word,count_a,count_b,total_count,log_odds,z_score,variance
arm,106,20,126,2.800836976469304,11.488695425932574,0.059433900164900064
receiver,285,364,649,0.8938725207521925,11.301249032703817,0.006256022223591411
throw,93,46,139,1.8354149261557504,10.18233434194257,0.03249180304246156
poise,81,19,100,2.581209200616737,10.12611138686902,0.06497720232597248
accuracy,67,17,84,2.5016348110910096,9.211838259129362,0.07374884365333076
pocket,62,20,82,2.2610917157786083,8.79269961660195,0.06612898917269007
needle,62,11,73,2.8591552235418387,8.739140698020751,0.10703800470459932
threading,62,11,73,2.8591552235418387,8.739140698020751,0.10703800470459932
making,127,134,261,1.078244888512022,8.706658224991482,0.015336696467686216
drops,158,196,354,0.9172436988433805,8.579061274741301,0.011431150286755294
unleashes,57,15,72,2.4644263795199617,8.492446624668675,0.08421046118084685
decision,54,12,66,2.633344145811268,8.251318480812337,0.10185176029323063
scans,47,8,55,2.8995274198684147,7.581236549434258,0.1462764274113132
pinpoint,45,13,58,2.37025292394254,7.527638976680158,0.0991452283610112
between,45,17,62,2.1018882139347923,7.383199657127464,0.08104570496630518
scanning,53,34,87,1.5725657227837155,7.156928246025781,0.04827966901158323
stride,49,28,77,1.6880894639455715,7.125695311063568,0.05612242417819922
open,78,77,155,1.1424044592642604,7.111263761149997,0.025807515981074964
line,72,526,598,-0.8710096373779841,-6.931572918564464,0.01579000720248453
through,68,500,568,-0.877123240224611,-6.786193181008653,0.01670585853668517
pass,140,211,351,0.720752655642027,6.612078914960132,0.011882188725871653
throws,35,6,41,2.8915250904432854,6.544024737278448,0.1952378720638195
under,32,12,44,2.1083813823834516,6.228573193098725,0.11458326698697004
running,43,355,398,-0.9911951909640555,-6.138558526123336,0.026072673784734966
delivering,35,19,54,1.7385185216796275,6.10089236782781,0.08120297065179916
bursts,34,312,346,-1.0965279369229588,-6.0715390265051505,0.032616835257095175
strike,30,14,44,1.8894860902979493,5.837704586162691,0.1047618527205317
speed,29,277,306,-1.136107197811402,-5.821003772322034,0.03809279690054558
great,42,34,76,1.3390857214593312,5.804512774638012,0.05322126779853383
pressure,26,8,34,2.3058406678638903,5.703240037823592,0.1634614277563519
veteran,133,221,354,0.6223516230396013,5.670955591106612,0.01204367868090993
cannon,28,13,41,1.8944706724299811,5.644776592510971,0.11263730649921405
beautiful,39,31,70,1.357192949561382,5.64034683258375,0.05789906752992552
bullet,96,143,239,0.7307440126383993,5.538217909952156,0.017409666498043992
handoff,20,222,242,-1.285635345418374,-5.5068350558983425,0.054504388399933656
breaking,14,196,210,-1.5175547465887353,-5.485640656946981,0.07653040724366379
rocket,23,7,30,2.3165614235442495,5.3665635806358845,0.1863352763818718
spots,31,21,52,1.51671227252515,5.366512093411759,0.07987707938802524
showing,72,98,170,0.8202002514803244,5.284146018620739,0.024092960909284956
precision,21,4,25,2.7851250370403076,5.105221164520472,0.2976187393843918
perfect,58,75,133,0.8709444475516976,4.980917496816762,0.030574700616363706
run,11,159,170,-1.5488024444905149,-4.967833935443736,0.09719813035264115
showed,60,81,141,0.8278894947232933,4.860500996388916,0.029012334132065123
scrimmage,12,157,169,-1.449004539251657,-4.838016964481479,0.08970253536728749
winds,19,3,22,2.972593025224983,4.784778194336501,0.3859644353465397
downfield,127,232,359,0.5268650821044467,4.773073735638206,0.012184355068789808
agility,8,138,146,-1.7253068878958837,-4.744333177875491,0.13224594108630253
fires,106,184,290,0.5774888717489617,4.7359440225741904,0.014868738328982833
demonstrates,20,10,30,1.8198156881281236,4.698745020279643,0.14999992861361724
way,29,225,254,-0.9268709448903367,-4.697783455206519,0.038927144616183504
athleticism,11,143,154,-1.4423381801328796,-4.6096891625835195,0.0979018541879463
surveying,26,21,47,1.3404323441381596,4.568697203952228,0.0860805525570435
experience,19,10,29,1.7684446059084076,4.526571268611512,0.152631508449524
got,28,213,241,-0.9069276722135386,-4.511627854542739,0.04040906186648203
confidence,17,7,24,2.0138138458467933,4.4842240104456845,0.20168056322081043
accurate,15,4,19,2.4481862836773765,4.350542856316537,0.316666424534716
deep,45,59,104,0.8565046338965745,4.327582896770834,0.03917135930049498
decisions,15,3,18,2.7358933220144896,4.325829307454524,0.3999996040437651
nfl,25,22,47,1.254588572275873,4.291744176057074,0.08545451265346199
tackles,10,125,135,-1.4027399240100111,-4.268406770337527,0.10799974136480767
power,10,124,134,-1.3946824777648956,-4.242621651135785,0.10806425938321353
display,24,185,209,-0.9197438359254804,-4.239216060890125,0.047072001836731686
smart,14,3,17,2.666822735085118,4.191741913333579,0.4047615286751131
gain,141,285,426,0.4254401580171594,4.13205194098473,0.01060096543396952
money,22,1,23,4.218089669277711,4.125381736091809,1.045450158060445
happen,16,9,25,1.701746715828186,4.084193027749761,0.17361103376667963
backfield,15,138,153,-1.0961554262447857,-4.031920684974929,0.07391291250175093
defender,8,107,115,-1.4700987127620024,-4.010837025746131,0.1343454504214156
big,144,297,441,0.4051815016610121,3.9901561437615714,0.010311442811193268
signal,12,3,15,2.5125166438803612,3.892375622081555,0.4166663295644371
defense,56,300,356,-0.5562966099860471,-3.8215212990367347,0.02119045382733339
middle,41,59,100,0.7631024303882219,3.7531926669532365,0.04133937965172972
caller,11,3,14,2.425427571200996,3.7237577927270786,0.42424210609568713
physicality,12,114,126,-1.1278699377168069,-3.7163550134807273,0.09210509474428374
wide,37,220,257,-0.6600264264845954,-3.714558632952742,0.03157244482504924
see,24,26,50,1.046533811946805,3.69709525230487,0.08012817452342108
right,58,97,155,0.6131657679733289,3.694128596358626,0.02755064575367015
asset,15,126,141,-1.0048802202238,-3.679052588460204,0.07460305361806605
taylor,11,4,15,2.137720474024267,3.6612699753288074,0.3409088888443595
center,12,6,18,1.81929424013871,3.6385893460966288,0.24999988102269544
excellent,22,23,45,1.0820447669947466,3.628392940672222,0.08893277243149464
snap,165,363,528,0.34061630194191483,3.6278043950040058,0.008815422542553904
instincts,4,78,82,-1.846702711702573,-3.602202853480778,0.26281953464420316
incredible,16,127,143,-0.9481944752765168,-3.5743048212655393,0.07037390772442344
may,18,17,35,1.1834950072400625,3.4993969100358173,0.11437904134891011
tight,25,30,55,0.9442319158055863,3.4868081052279325,0.07333330494798888
dynamic,2,74,76,-2.487257196155843,-3.4709334610457154,0.5135098939857491
head,7,84,91,-1.3611147435760778,-3.4598972745921026,0.15476154877494774
powerful,18,132,150,-0.8689972837773361,-3.458567979922236,0.06313122336126456
picking,9,92,101,-1.2008191130757027,-3.438210797992065,0.1219804366902305
time,35,51,86,0.7503246916993547,3.418371127553686,0.04817925205014961
putting,11,6,17,1.732205140058534,3.4130836186608065,0.2575756409364791
