word,count_a,count_b,total_count,log_odds,z_score,variance
wraps,8,8,16,1.7585491112791836,3.517104779409493,0.24999906786328166
relentless,9,12,21,1.47126400351672,3.336519621843932,0.1944436892412583
veteran,13,25,38,1.1072734764050072,3.2382156559408375,0.11692254439012874
long,9,13,22,1.391002194442379,3.207822066812934,0.18803343900211378
lineman,11,19,30,1.2134174915941767,3.2027548710385387,0.1435400527146395
motor,5,1,6,3.3657018108638077,3.072466231924991,1.1999883670164995
offensive,12,25,37,1.0259515656416092,2.921377375620997,0.12333274395450383
off,16,40,56,0.8454533426526076,2.858161685034816,0.08749952694168284
kirk,4,1,5,3.141293606482926,2.809669547250535,1.2499900960986854
side,5,5,10,1.7553970081146364,2.7755315460982204,0.39999850858125063
strength,10,21,31,1.0163088739855564,2.645182013877423,0.14761833864663979
powering,5,6,11,1.5728570552738939,2.5974928615182953,0.3666652767473777
big,14,37,51,0.7879784563623762,2.5112812770257005,0.0984550439147922
unit,4,4,8,1.7543494291914739,2.4810293812255626,0.4999981357265633
size,5,7,12,1.418487842617398,2.422533955243355,0.34285579144955736
kind,3,64,67,-1.320374251101497,-2.2352129992755834,0.3489444248846133
loss,10,26,36,0.8016361416169806,2.154338391535527,0.1384607680441553
technique,3,3,6,1.7533034045828009,2.1473533560137503,0.666664180968751
savvy,3,3,6,1.7533034045828009,2.1473533560137503,0.666664180968751
lines,3,3,6,1.7533034045828009,2.1473533560137503,0.666664180968751
perfectly,1,49,50,-2.151074026537535,-2.1295519440736856,1.0203149191110366
stifling,4,6,10,1.3484477633974752,2.0890105113773414,0.4166649836428006
bengals,4,6,10,1.3484477633974752,2.0890105113773414,0.4166649836428006
defense,18,62,80,0.5226890988323913,1.95223483675336,0.07168408870262291
right,5,10,15,1.061156745610261,1.937402803541801,0.2999986017967471
smith,3,4,7,1.465403435956068,1.9186672027948508,0.583331067723775
using,10,30,40,0.6576554797163761,1.801069302671077,0.13333250477003888
exactly,5,11,16,0.9656277035382166,1.7903261084991335,0.29090765126101414
explodes,5,11,16,0.9656277035382166,1.7903261084991335,0.29090765126101414
sack,4,8,12,1.0603286305170663,1.731513437971496,0.37499825224593386
come,1,33,34,-1.7522583808890806,-1.7263507121415738,1.0302395905821644
way,3,5,8,1.2420417540738535,1.7007393085705869,0.5333310796355045
forcing,1,30,31,-1.6562927951329618,-1.6294050236569437,1.0332754797671362
expect,1,30,31,-1.6562927951329618,-1.6294050236569437,1.0332754797671362
instincts,2,37,39,-1.1731688295811304,-1.6160380526281244,0.5270087978445922
felt,1,27,28,-1.5502773114571573,-1.5223804648272956,1.0369847683062663
driving,2,3,5,1.3465764399875155,1.4751035623367366,0.8333299672856012
pocket,2,3,5,1.3465764399875155,1.4751035623367366,0.8333299672856012
turf,2,3,5,1.3465764399875155,1.4751035623367366,0.8333299672856012
zeroes,2,3,5,1.3465764399875155,1.4751035623367366,0.8333299672856012
showed,2,3,5,1.3465764399875155,1.4751035623367366,0.8333299672856012
bringing,4,10,14,0.8367477022902685,1.4143655847544765,0.34999810776673135
reason,4,10,14,0.8367477022902685,1.4143655847544765,0.34999810776673135
him,10,35,45,0.5024039045551483,1.4011424913972623,0.12857052116868678
impact,4,47,51,-0.7189440181199265,-1.380364247560677,0.2712706104509459
line,19,78,97,0.3449171542917542,1.3482014488901883,0.06545156112111598
make,9,80,89,-0.4408717700969831,-1.2539700960049136,0.12360903681693294
got,2,4,6,1.058676626713039,1.2224573195780633,0.7499965044918677
falcons,2,4,6,1.058676626713039,1.2224573195780633,0.7499965044918677
lions,2,4,6,1.058676626713039,1.2224573195780633,0.7499965044918677
reckoned,2,4,6,1.058676626713039,1.2224573195780633,0.7499965044918677
tenacious,2,4,6,1.058676626713039,1.2224573195780633,0.7499965044918677
bills,1,20,21,-1.2486461633113466,-1.2185766556656017,1.049960753769982
hard,3,35,38,-0.7104421513115025,-1.1809631041074615,0.3618968328539314
tackle,8,29,37,0.4660872462177741,1.1671103726138639,0.15948159882360838
display,1,19,20,-1.1971349843895691,-1.1668435718149448,1.0525941914457484
brings,3,8,11,0.7713830256576228,1.1394114714438375,0.4583307343616202
back,8,68,76,-0.39474066010274456,-1.056107204615235,0.13970363791796564
full,1,17,18,-1.0854737267779013,-1.0549076212120068,1.0587898573767023
hitting,3,32,35,-0.6201705763356342,-1.0271103555211183,0.36457601979133963
presence,3,32,35,-0.6201705763356342,-1.0271103555211183,0.36457601979133963
stopping,2,5,7,0.8353151623249344,0.9983952786777289,0.6999962155334627
middle,2,5,7,0.8353151623249344,0.9983952786777289,0.6999962155334627
browns,2,5,7,0.8353151623249344,0.9983952786777289,0.6999962155334627
receiver,1,16,17,-1.0246313671682818,-0.9940533193785975,1.0624681844381831
snapped,6,22,28,0.4536576713584832,0.985003568522273,0.21211965428729415
eyes,3,9,12,0.653381465396822,0.9800752433038603,0.4444416825667963
force,4,14,18,0.4993999747771021,0.8808618670554192,0.321426302921717
third,2,22,24,-0.6500038531481866,-0.8801184764476703,0.5454432675789846
pass,2,22,24,-0.6500038531481866,-0.8801184764476703,0.5454432675789846
crucial,6,50,56,-0.3734894099244839,-0.8644668185425654,0.1866637249656177
speed,3,29,32,-0.5210715273712507,-0.8591835139521312,0.36780939259773165
takes,5,43,48,-0.40470833236990256,-0.856533366665981,0.22325218620262607
wrapping,3,10,13,0.5478023615279604,0.8321743437225935,0.4333303981497755
comes,5,19,24,0.4173310440685265,0.8303066542926956,0.2526296653134248
why,5,19,24,0.4173310440685265,0.8303066542926956,0.2526296653134248
physicality,2,21,23,-0.6032649274291808,-0.815216748142635,0.5476082310067888
season,6,24,30,0.36620711257574534,0.8023227635627631,0.2083316826831142
edge,2,6,8,0.6527755823273242,0.7994860307218307,0.6666625238501944
dropping,2,6,8,0.6527755823273242,0.7994860307218307,0.6666625238501944
past,2,6,8,0.6527755823273242,0.7994860307218307,0.6666625238501944
jaguars,2,6,8,0.6527755823273242,0.7994860307218307,0.6666625238501944
cardinals,2,6,8,0.6527755823273242,0.7994860307218307,0.6666625238501944
quick,1,13,14,-0.8163390845843894,-0.7866536139394159,1.076896823241718
folks,10,74,84,-0.25494245127515924,-0.7566959759822836,0.11351191894513661
hit,4,34,38,-0.3922930161575646,-0.7421500500727932,0.2794072758359313
get,5,20,25,0.36581839342579237,0.7316396852922223,0.24999801921973708
disrupt,5,20,25,0.36581839342579237,0.7316396852922223,0.24999801921973708
bursts,7,30,37,0.29716393343342684,0.7079567274104666,0.17618899183996042
situation,2,7,9,0.4984067957781093,0.6216246832663649,0.642852605843434
colts,2,7,9,0.4984067957781093,0.6216246832663649,0.642852605843434
linebacker,2,7,9,0.4984067957781093,0.6216246832663649,0.642852605843434
texans,2,7,9,0.4984067957781093,0.6216246832663649,0.642852605843434
go,10,70,80,-0.19848408583265797,-0.587127752867777,0.11428419244648122
quickly,3,12,15,0.3650434529433504,0.5655251259231118,0.4166633653662284
drive,1,10,11,-0.5533223518710573,-0.5275771291609309,1.0999792882658443
massive,1,10,11,-0.5533223518710573,-0.5275771291609309,1.0999792882658443
downfield,1,10,11,-0.5533223518710573,-0.5275771291609309,1.0999792882658443
stalwart,1,10,11,-0.5533223518710573,-0.5275771291609309,1.0999792882658443
plays,1,10,11,-0.5533223518710573,-0.5275771291609309,1.0999792882658443
stop,6,28,34,0.21117747017184918,0.46942340698083385,0.2023791108415863
impressive,4,18,22,0.24720919008836795,0.44722022031998193,0.3055528656096544
bone,2,16,18,-0.3302374011138536,-0.44031986959967023,0.5624914797970723
power,2,16,18,-0.3302374011138536,-0.44031986959967023,0.5624914797970723
bursting,2,16,18,-0.3302374011138536,-0.44031986959967023,0.5624914797970723
punt,1,9,10,-0.4477444493900151,-0.4247712883914891,1.1110922384971853
showcasing,1,9,10,-0.4477444493900151,-0.4247712883914891,1.1110922384971853
simply,1,9,10,-0.4477444493900151,-0.4247712883914891,1.1110922384971853
offense,9,60,69,-0.14874950751504823,-0.4161315370516163,0.1277761539778109
carrier,6,29,35,0.17586628571556684,0.3921256338948976,0.20114753522643483
huge,6,29,35,0.17586628571556684,0.3921256338948976,0.20114753522643483
wow,2,15,17,-0.265480266991573,-0.3526724237501888,0.5666586027441278
ready,4,19,23,0.1929227513290881,0.3506939980009822,0.30262878029643947
