word,count_a,count_b,total_count,log_odds,z_score,variance
touchdown,7,8,15,-1.6495433277098117,-3.187226944677645,0.26785606121764555
seahawks,6,7,13,-1.6692931016719923,-3.000450367300805,0.30952255594229705
zone,5,6,11,-1.6965956145867214,-2.80184114407811,0.3666651746664718
end,8,6,14,-1.2258595891955881,-2.269855626042133,0.2916654506644515
tackle,2,3,5,-1.917140536640371,-2.100126788641987,0.8333297200704779
veteran,46,3,49,1.2291375864868996,2.062759965826885,0.3550615223565849
young,18,9,27,-0.8212873460151631,-2.0117399622901915,0.1666658328375385
back,87,10,97,0.6648392120227067,1.9911052423435167,0.11149228610035163
caught,3,3,6,-1.5114325698468507,-1.8511229928316868,0.6666639984097189
seattle,3,3,6,-1.5114325698468507,-1.8511229928316868,0.6666639984097189
window,6,4,10,-1.1063444432950922,-1.713945157385055,0.41666486003523895
placed,4,3,7,-1.2235070786028732,-1.6019501396781841,0.583330901328903
display,4,3,7,-1.2235070786028732,-1.6019501396781841,0.583330901328903
such,4,3,7,-1.2235070786028732,-1.6019501396781841,0.583330901328903
spots,13,6,19,-0.7391289900425697,-1.4975863723094673,0.24358846242076246
wow,13,6,19,-0.7391289900425697,-1.4975863723094673,0.24358846242076246
perfectly,5,3,8,-1.000119848538712,-1.3694736091257416,0.5333309141155612
air,5,3,8,-1.000119848538712,-1.3694736091257416,0.5333309141155612
drive,14,6,20,-0.664776231544594,-1.3623896280352676,0.23809392212090497
playmaking,8,4,12,-0.8181741135357807,-1.336076074792702,0.37499812388446174
strong,8,4,12,-0.8181741135357807,-1.336076074792702,0.37499812388446174
time,17,1,18,1.327391353619551,1.2900145401708727,1.0587873844543114
middle,17,1,18,1.327391353619551,1.2900145401708727,1.0587873844543114
connects,3,2,5,-1.1048611065804073,-1.2103173258880437,0.8333297200704779
catch,19,7,26,-0.5134322683174668,-1.1612444355076061,0.1954875158203922
right,27,3,30,0.6916608617662474,1.1365251294641086,0.37036361748103713
strike,13,1,14,1.0581543034397303,1.0196763426006705,1.0768948951183264
defenders,24,8,32,-0.41323530859487523,-1.012219025828468,0.16666555489679485
deep,19,2,21,0.7448690265642686,1.0019965831194564,0.5526209564512655
drops,68,11,79,0.3172830115202583,0.9763079571419705,0.10561363252176004
impressive,7,3,10,-0.66315981748851,-0.9610125316221257,0.47618784424180993
showcasing,4,2,6,-0.8169357820990246,-0.943318547113415,0.7499962477689235
buffalo,4,2,6,-0.8169357820990246,-0.943318547113415,0.7499962477689235
first,12,1,13,0.97786848398278,0.939517009113857,1.0833071377371997
pass,62,10,72,0.3198478373162681,0.9385896900316846,0.1161275539309253
tight,14,5,19,-0.4813440333044694,-0.9239089712837149,0.2714268565341692
between,25,8,33,-0.37216774198352365,-0.9162168033461343,0.16499886247627757
strength,29,4,33,0.4748241783871414,0.8902419608216039,0.2844785526874083
folks,71,12,83,0.27307096563239597,0.8749010179197434,0.09741665397202588
takes,53,15,68,-0.2502871040536636,-0.8557940047423382,0.08553393794837766
surveying,11,4,15,-0.49898731930686857,-0.8546170852568727,0.34090696671543785
pressure,11,1,12,0.8906140576191364,0.8527075041195803,1.0908848786113698
crucial,11,1,12,0.8906140576191364,0.8527075041195803,1.0908848786113698
ability,26,8,34,-0.33270139422892164,-0.8229024887890842,0.16346037468085392
showing,33,5,38,0.38076817255050077,0.7934393722278632,0.23029991869366348
accurate,8,3,11,-0.5293843734503545,-0.7819549218116176,0.45833054348386165
delivering,16,2,18,0.5722855311581965,0.7630535783250303,0.5624908540498409
great,12,4,16,-0.41173143757757646,-0.7131421475115645,0.3333311097935897
demonstrates,5,2,7,-0.5935487855031996,-0.709428548036805,0.6999959375886367
leading,5,2,7,-0.5935487855031996,-0.709428548036805,0.6999959375886367
keep,5,2,7,-0.5935487855031996,-0.709428548036805,0.6999959375886367
launches,5,2,7,-0.5935487855031996,-0.709428548036805,0.6999959375886367
tough,5,2,7,-0.5935487855031996,-0.709428548036805,0.6999959375886367
perfect,26,4,30,0.3648883279383712,0.6793896166165645,0.2884576974560266
scans,26,4,30,0.3648883279383712,0.6793896166165645,0.2884576974560266
pocket,31,5,36,0.3177560294178283,0.6593426405601238,0.2322551078618506
pinpoint,20,6,26,-0.306631167189801,-0.6587518138927163,0.21666509128986028
throw,48,13,61,-0.20527000989245536,-0.6565300406681432,0.09775563495326171
target,9,1,10,0.6894574536292879,0.6540827338819498,1.1110908524431113
open,36,6,42,0.2850868700118694,0.6465202407413801,0.1944420448894004
accuracy,36,10,46,-0.2301930024446186,-0.6439707434663229,0.12777678620382962
bullet,41,7,48,0.2611101472068311,0.6384791192519211,0.16724536928357742
make,46,8,54,0.24276912323237276,0.6337574148349903,0.1467373908742633
go,66,12,78,0.1988040025177531,0.6334945490091926,0.09848372868113704
him,20,3,23,0.3898404965711286,0.6296534987946255,0.3833281041634011
throws,20,3,23,0.3898404965711286,0.6296534987946255,0.3833281041634011
looking,30,5,35,0.2847204054670973,0.5894308745318532,0.2333304538672805
bills,14,2,16,0.4382656232939377,0.5797750673985675,0.5714204033908908
made,14,2,16,0.4382656232939377,0.5797750673985675,0.5714204033908908
precision,14,2,16,0.4382656232939377,0.5797750673985675,0.5714204033908908
why,17,5,22,-0.2864534272361583,-0.56305880000103,0.2588216160304924
got,8,1,9,0.5714315612871754,0.5387552225810757,1.1249817080996818
moving,8,1,9,0.5714315612871754,0.5387552225810757,1.1249817080996818
steps,8,1,9,0.5714315612871754,0.5387552225810757,1.1249817080996818
signal,8,1,9,0.5714315612871754,0.5387552225810757,1.1249817080996818
hits,8,1,9,0.5714315612871754,0.5387552225810757,1.1249817080996818
confidence,8,1,9,0.5714315612871754,0.5387552225810757,1.1249817080996818
winds,8,1,9,0.5714315612871754,0.5387552225810757,1.1249817080996818
downfield,54,14,68,-0.16123222671224546,-0.5376010175737082,0.08994634899259644
fantastic,6,2,8,-0.4109836568527587,-0.5033518047930912,0.6666622195871794
alive,6,2,8,-0.4109836568527587,-0.5033518047930912,0.6666622195871794
happen,6,2,8,-0.4109836568527587,-0.5033518047930912,0.6666622195871794
league,6,2,8,-0.4109836568527587,-0.5033518047930912,0.6666622195871794
nfl,13,2,15,0.3639134878578467,0.47911755982841964,0.5769153949120532
potential,10,3,13,-0.3057524750879228,-0.46447304074502427,0.43333018257972056
showcases,10,3,13,-0.3057524750879228,-0.46447304074502427,0.43333018257972056
fires,43,8,51,0.17458742587585974,0.4534292283133145,0.14825416406906688
unleashes,23,4,27,0.24155000005970262,0.44588375284286297,0.2934747817485266
delivered,7,1,8,0.43765737987756204,0.40939391803603836,1.1428408067817817
reliable,7,1,8,0.43765737987756204,0.40939391803603836,1.1428408067817817
going,7,1,8,0.43765737987756204,0.40939391803603836,1.1428408067817817
today,7,1,8,0.43765737987756204,0.40939391803603836,1.1428408067817817
man,7,1,8,0.43765737987756204,0.40939391803603836,1.1428408067817817
caller,7,1,8,0.43765737987756204,0.40939391803603836,1.1428408067817817
needle,31,8,39,-0.1555816230156184,-0.39233190826618286,0.15725676383236029
threading,31,8,39,-0.1555816230156184,-0.39233190826618286,0.15725676383236029
gain,61,12,73,0.11878284314982057,0.37614052044688306,0.09972572221082054
quarterback,83,20,103,-0.0876003326116157,-0.3516762946460786,0.06204764754658803
beautiful,19,5,24,-0.1747377411929154,-0.34765194607013944,0.2526295247696519
cannon,15,4,19,-0.1878539629732261,-0.3338265941150874,0.3166641212735459
plays,15,4,19,-0.1878539629732261,-0.3338265941150874,0.3166641212735459
rocket,11,3,14,-0.21019801128553262,-0.3227180574893051,0.42423907974930214
sideline,11,3,14,-0.21019801128553262,-0.3227180574893051,0.42423907974930214
look,7,2,9,-0.25658930715331874,-0.3200243043990384,0.6428522726295366
season,7,2,9,-0.25658930715331874,-0.3200243043990384,0.6428522726295366
stride,26,5,31,0.14063697136093634,0.2880001259630241,0.23845896523261367
receiver,115,27,142,-0.06154062014475459,-0.28777326968324696,0.0457322779190881
really,41,10,51,-0.09890745223472219,-0.28043856937697503,0.12438916258604261
scanning,21,4,25,0.15008785974596073,0.27511708892435954,0.29761580733554827
decision,24,6,30,-0.12332825285352378,-0.27019981329238624,0.20833156145380938
position,6,1,7,0.28326398310712886,0.2622531072834612,1.1666522693364025
needs,6,1,7,0.28326398310712886,0.2622531072834612,1.1666522693364025
putting,6,1,7,0.28326398310712886,0.2622531072834612,1.1666522693364025
come,6,1,7,0.28326398310712886,0.2622531072834612,1.1666522693364025
big,50,12,62,-0.08279120356220027,-0.2575525721487459,0.10333242208449941
making,50,12,62,-0.08279120356220027,-0.2575525721487459,0.10333242208449941
see,11,2,13,0.1963712689060353,0.255458336469493,0.5909023720868224
hauls,11,2,13,0.1963712689060353,0.255458336469493,0.5909023720868224
decisions,11,2,13,0.1963712689060353,0.255458336469493,0.5909023720868224
smart,11,2,13,0.1963712689060353,0.255458336469493,0.5909023720868224
snap,59,14,73,-0.0714405958246509,-0.24031207643808636,0.08837693666650842
offense,39,8,47,0.0759625938515125,0.19571781631199212,0.15063949418812447
poise,38,9,47,-0.06915669495706567,-0.18655216418646522,0.13742567427051566
arm,56,13,69,-0.049140459144100035,-0.15961816989184974,0.09477935869920359
under,15,3,18,0.1009347265158338,0.15959264577059568,0.39999583755094303
hitting,15,3,18,0.1009347265158338,0.15959264577059568,0.39999583755094303
center,8,2,10,-0.12281416090583264,-0.15534965158142044,0.6249946843614281
through,8,2,10,-0.12281416090583264,-0.15534965158142044,0.6249946843614281
most,10,2,12,0.10081712043557367,0.130155020026167,0.5999937563264146
kind,47,10,57,0.03914901939193349,0.11241765564127888,0.12127540343536215
showed,17,4,21,-0.062201210907074866,-0.11192976643613606,0.30882075744780463
talent,4,1,5,-0.12268630774330447,-0.10973443625686888,1.2499893687228563
rolling,4,1,5,-0.12268630774330447,-0.10973443625686888,1.2499893687228563
uncorks,4,1,5,-0.12268630774330447,-0.10973443625686888,1.2499893687228563
passes,4,1,5,-0.12268630774330447,-0.10973443625686888,1.2499893687228563
example,4,1,5,-0.12268630774330447,-0.10973443625686888,1.2499893687228563
far,4,1,5,-0.12268630774330447,-0.10973443625686888,1.2499893687228563
off,33,7,40,0.042075156921274726,0.10111227440057516,0.17315846603979615
expect,5,1,6,0.10069978832971227,0.09192638764017437,1.1999875126528292
keeping,5,1,6,0.10069978832971227,0.09192638764017437,1.1999875126528292
presence,5,1,6,0.10069978832971227,0.09192638764017437,1.1999875126528292
chiefs,5,1,6,0.10069978832971227,0.09192638764017437,1.1999875126528292
spectacular,5,1,6,0.10069978832971227,0.09192638764017437,1.1999875126528292
over,5,1,6,0.10069978832971227,0.09192638764017437,1.1999875126528292
chains,15,0,15,11.61659201048754,0.06364572777336161,33313.39999986659
get,12,0,12,11.615856452868957,0.05692286495186477,41641.74999983323
money,11,0,11,11.615611387181378,0.05449834415226255,45427.363636181704
experience,10,0,10,11.61536638153736,0.05196103629870296,49970.09999979989
hands,10,0,10,11.61536638153736,0.05196103629870296,49970.09999979989
move,10,0,10,11.61536638153736,0.05196103629870296,49970.09999979989
huge,31,7,38,-0.020937207080343967,-0.050033264456283484,0.17511357630698032
jets,9,0,9,11.615121435907483,0.04929352775881544,55522.333333110975
shows,8,0,8,11.614876550262363,0.046473403826892475,62462.62499974986
clutch,8,0,8,11.614876550262363,0.046473403826892475,62462.62499974986
browns,8,0,8,11.614876550262363,0.046473403826892475,62462.62499974986
boykin,0,5,5,-14.636150903691021,-0.04629741803181629,99940.19999959978
diving,7,0,7,11.614631724572618,0.04347097235148163,71385.85714257126
defense,7,0,7,11.614631724572618,0.04347097235148163,71385.85714257126
despite,7,0,7,11.614631724572618,0.04347097235148163,71385.85714257126
touch,6,0,6,11.614386958808906,0.040245451812547246,83283.49999966646
dropping,6,0,6,11.614386958808906,0.040245451812547246,83283.49999966646
always,6,0,6,11.614386958808906,0.040245451812547246,83283.49999966646
cowboys,6,0,6,11.614386958808906,0.040245451812547246,83283.49999966646
long,6,0,6,11.614386958808906,0.040245451812547246,83283.49999966646
saints,6,0,6,11.614386958808906,0.040245451812547246,83283.49999966646
cardinals,6,0,6,11.614386958808906,0.040245451812547246,83283.49999966646
panthers,6,0,6,11.614386958808906,0.040245451812547246,83283.49999966646
ravens,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
firing,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
pick,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
read,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
continue,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
matt,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
alright,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
still,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
build,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
broncos,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
surveys,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
jaguars,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
giants,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
textbook,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
spiral,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
backup,5,0,5,11.614142252941896,0.036738128931823905,99940.19999959978
makes,23,5,28,0.017298353355865714,0.03505716253678827,0.24347591362646662
like,9,2,11,-0.004787295787603618,-0.0061239582837547876,0.6111053361023675
excellent,9,2,11,-0.004787295787603618,-0.0061239582837547876,0.6111053361023675
shown,9,2,11,-0.004787295787603618,-0.0061239582837547876,0.6111053361023675
performance,9,2,11,-0.004787295787603618,-0.0061239582837547876,0.6111053361023675
bengals,9,2,11,-0.004787295787603618,-0.0061239582837547876,0.6111053361023675
