word,count_a,count_b,total_count,log_odds,z_score,variance
may,5,5,10,2.5361760392517665,4.0100516712175995,0.39999895150995673
tough,8,23,31,1.4829553400913227,3.6129092587152676,0.1684775492397215
grind,4,4,8,2.5345303690422236,3.5843719198719133,0.4999986893874459
white,4,7,11,1.974491233729327,3.1502030211808947,0.3928559475925875
reliable,3,4,7,2.2450649689672773,2.9394840588733016,0.5833317405752785
veteran,4,10,14,1.6173924247815439,2.7338973742026025,0.3499986697303678
first,5,16,21,1.3714699720777794,2.676841453041667,0.2624987915773459
relentless,3,7,10,1.6850260208714305,2.4418391090248224,0.4761887524846996
panthers,2,3,5,2.1256429367083136,2.32852847738984,0.8333309669503106
oakland,2,3,5,2.1256429367083136,2.32852847738984,0.8333309669503106
redskins,2,3,5,2.1256429367083136,2.32852847738984,0.8333309669503106
easily,2,3,5,2.1256429367083136,2.32852847738984,0.8333309669503106
style,4,15,19,1.2112202734908966,2.1524005745873906,0.31666499964581263
backs,2,4,6,1.837820147423903,2.1221353902958797,0.7499975426037155
fought,2,4,6,1.837820147423903,2.1221353902958797,0.7499975426037155
see,2,4,6,1.837820147423903,2.1221353902958797,0.7499975426037155
pick,6,31,37,0.8920563702137363,2.0000895209216583,0.19892333371101084
over,2,5,7,1.614535771851049,1.929743012568685,0.6999973394607356
breakaway,2,5,7,1.614535771851049,1.929743012568685,0.6999973394607356
legs,3,11,14,1.2324760451538657,1.8922240593068078,0.4242402338776433
hard,6,33,39,0.8292521369610979,1.8684802341494997,0.1969682302112157
nosed,4,18,22,1.0284742028641496,1.8605855961842923,0.3055536644792589
physical,4,18,22,1.0284742028641496,1.8605855961842923,0.3055536644792589
performance,3,12,15,1.1453233836801715,1.774332298002116,0.41666434579872313
exactly,3,12,15,1.1453233836801715,1.774332298002116,0.41666434579872313
determination,7,43,50,0.7190819661698091,1.764324388275715,0.16611158401873913
powers,2,6,8,1.4320733270538426,1.7539282939620995,0.6666637542009406
solid,2,6,8,1.4320733270538426,1.7539282939620995,0.6666637542009406
like,2,6,8,1.4320733270538426,1.7539282939620995,0.6666637542009406
bengals,4,20,24,0.9228305676295472,1.6848561367711108,0.29999795545463936
moving,3,13,16,1.065139366842919,1.662953277176514,0.4102539562069282
forward,2,7,9,1.2777817141960863,1.5936777501281754,0.642853953263578
agility,1,60,61,-1.5730395785789675,-1.5601538868237765,1.01658670327478
keep,3,14,17,0.9908900618221059,1.5574963812076028,0.4047593154966146
raiders,3,14,17,0.9908900618221059,1.5574963812076028,0.4047593154966146
versatility,2,8,10,1.1441093528696573,1.447200609467183,0.6249965186980846
cowboys,2,8,10,1.1441093528696573,1.447200609467183,0.6249965186980846
showed,2,8,10,1.1441093528696573,1.447200609467183,0.6249965186980846
running,17,152,169,0.3461827509060398,1.3536640755804383,0.06540170078777742
powering,6,42,48,0.5868116173911604,1.3445606212179915,0.19047440734355986
defenders,1,48,49,-1.3482004347127585,-1.3344143623033018,1.0207690894005081
really,3,81,84,-0.774018375455511,-1.3165048378434359,0.34566676359895915
refusing,2,9,11,1.026185318035119,1.312704731668146,0.6111073289585178
big,1,46,47,-1.305358506357206,-1.291435997253111,1.0216775061664758
run,3,79,82,-0.7487316660323851,-1.2729195392897175,0.34597960322123406
young,1,45,46,-1.2832384731531512,-1.2692510334061422,1.0221619077491912
huge,1,43,44,-1.2374939070523325,-1.2233851450404176,1.0231981189870287
defense,2,59,61,-0.8612048023723551,-1.197818273254973,0.5169291434806423
ability,2,57,59,-0.8264345549887455,-1.148796247632796,0.5175245050106572
picking,1,39,40,-1.1392912971280316,-1.1249887876132074,1.0255885692824716
way,10,87,97,0.3701680519895403,1.108600834930737,0.11149296479613044
valuable,1,38,39,-1.1131748263852934,-1.0988380592791172,1.0262646426651274
chains,2,11,13,0.8252325441124535,1.073538509520162,0.5909046906336471
expect,2,11,13,0.8252325441124535,1.073538509520162,0.5909046906336471
course,1,4,5,1.142898166926865,1.022242044033862,1.2499930373961692
wears,1,4,5,1.142898166926865,1.022242044033862,1.2499930373961692
find,1,4,5,1.142898166926865,1.022242044033862,1.2499930373961692
finding,1,4,5,1.142898166926865,1.022242044033862,1.2499930373961692
driving,1,4,5,1.142898166926865,1.022242044033862,1.2499930373961692
keeps,1,4,5,1.142898166926865,1.022242044033862,1.2499930373961692
starting,1,4,5,1.142898166926865,1.022242044033862,1.2499930373961692
powerful,2,51,53,-0.7143571950381196,-0.9910255301689089,0.5195904513724104
come,2,12,14,0.7380800911387073,0.9663775870493153,0.5833286187986495
johnson,2,12,14,0.7380800911387073,0.9663775870493153,0.5833286187986495
impressive,2,50,52,-0.6944126848868466,-0.9629929326785494,0.5199829353119285
downfield,5,41,46,0.4269410877502571,0.9012978504746079,0.22438779653358212
asset,1,31,32,-0.9085895489752609,-0.8942983434535072,1.0322160829216498
workhorse,3,22,25,0.5377734800548488,0.8737827580813394,0.37878417053066327
hole,2,13,15,0.6578962843286851,0.8661644833019738,0.5769180458347394
off,2,46,48,-0.6104637480725952,-0.8451615516525379,0.5217233738072158
involving,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
analysis,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
tackler,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
york,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
tony,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
effort,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
burst,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
dallas,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
commentary,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
shoulder,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
example,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
proving,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
need,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
goes,1,5,6,0.9196143811205779,0.839492095214144,1.1999918218185575
makes,1,29,30,-0.8416165507852869,-0.8274864710660996,1.034443394934893
crucial,2,14,16,0.5836471905350589,0.7720962737560132,0.5714232220306795
him,4,74,78,-0.39317768210437176,-0.7659363706732161,0.2635071057554968
head,5,44,49,0.35589718739825305,0.7541198856889385,0.22272467078139274
got,5,88,93,-0.34352401665333243,-0.7472174302624256,0.211358745251449
using,4,34,38,0.39021812504569375,0.7382229564206184,0.2794086089491933
steam,5,45,50,0.3332821796238852,0.7070024889576392,0.22221956866375553
jets,2,15,17,0.5145131753791645,0.6834942093185186,0.5666609975865908
presence,1,6,7,0.7371525479321956,0.6824734033750606,1.166657237597299
finally,1,6,7,0.7371525479321956,0.6824734033750606,1.166657237597299
consistently,1,6,7,0.7371525479321956,0.6824734033750606,1.166657237597299
brought,1,6,7,0.7371525479321956,0.6824734033750606,1.166657237597299
