word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,13,27,40,1.236308389407336,3.6622758331408183,0.11395976115869162
sure,11,20,31,1.3683480420617604,3.645253124348739,0.14090868711271134
reliable,18,49,67,0.9676621185603356,3.5109241165211134,0.07596343482499353
handed,5,2,7,2.8790438356506014,3.441121597665228,0.6999975435719821
savvy,5,5,10,1.9623411980375307,3.102737620607028,0.3999990319481318
wideout,4,3,7,2.2493160891846946,2.945049780925057,0.5833318627686488
always,4,3,7,2.2493160891846946,2.945049780925057,0.5833318627686488
target,12,33,45,0.9537734231163739,2.829354537096808,0.11363593548918573
bills,7,14,21,1.2699199476323457,2.7433447789779075,0.21428506603724448
crisp,3,2,5,2.3662551246997063,2.5921060152227167,0.8333311484946915
chargers,4,5,9,1.7382153988163145,2.5911817414138496,0.44999888371528995
kelly,3,3,6,1.9606528951032027,2.4013024835901713,0.6666650532468863
first,9,26,35,0.9025072238084615,2.333594772931495,0.14957206405498785
season,11,36,47,0.7783455420414862,2.2592903460126967,0.11868635477941639
running,6,15,21,1.0456540351278019,2.1647133080779444,0.23333251452399403
chains,8,24,32,0.8640574955830163,2.1165042411131307,0.16666599440983487
playmaking,2,63,65,-1.4986003423537975,-2.0865207446384493,0.5158533332279785
ability,5,91,96,-0.9510128840156362,-2.070433467201172,0.2109843504086937
long,5,12,17,1.0859071494244912,2.040067781128032,0.28333236763566205
middle,5,12,17,1.0859071494244912,2.040067781128032,0.28333236763566205
cowboys,5,12,17,1.0859071494244912,2.040067781128032,0.28333236763566205
move,8,25,33,0.8230971175411419,2.0263292519258607,0.16499931217044783
route,6,17,23,0.9202145765989398,1.9378765771829327,0.2254893266803552
snatches,4,9,13,1.1498775110553305,1.913514962513354,0.3611099337268525
made,2,54,56,-1.3432022535998929,-1.8653759803046206,0.5185015549052139
athleticism,4,72,76,-0.9382926586061808,-1.8265539755221494,0.26388312345898934
easy,3,6,9,1.2670930254951065,1.7919428519020815,0.4999984874202371
late,3,6,9,1.2670930254951065,1.7919428519020815,0.4999984874202371
ryan,3,6,9,1.2670930254951065,1.7919428519020815,0.4999984874202371
over,4,10,14,1.0443790881288466,1.765325957191699,0.34999877178599104
presence,2,3,5,1.554207930921578,1.7025517175202907,0.8333311484946915
turning,2,3,5,1.554207930921578,1.7025517175202907,0.8333311484946915
steady,2,3,5,1.554207930921578,1.7025517175202907,0.8333311484946915
needs,2,3,5,1.554207930921578,1.7025517175202907,0.8333311484946915
looking,11,45,56,0.5539533259096618,1.6469594228731748,0.11313071963984937
keep,6,20,26,0.7572810086948207,1.626904158854871,0.21666571407913893
using,6,20,26,0.7572810086948207,1.626904158854871,0.21666571407913893
jaguars,3,7,10,1.1128046292169271,1.6126098074260629,0.4761888847239838
performance,3,7,10,1.1128046292169271,1.6126098074260629,0.4761888847239838
come,3,7,10,1.1128046292169271,1.6126098074260629,0.4761888847239838
alive,6,21,27,0.70835258931728,1.530219989736213,0.21428473265416711
driving,4,12,16,0.861781632542316,1.4926525829336685,0.33333198881966974
surveying,2,4,6,1.2663885162196724,1.462301713325809,0.7499977311303557
expect,2,4,6,1.2663885162196724,1.462301713325809,0.7499977311303557
incredible,1,31,32,-1.4791330083623127,-1.4558654532188742,1.0322193035534666
moore,3,8,11,0.979135479429079,1.4462816140043475,0.45833164638813323
great,3,8,11,0.979135479429079,1.4462816140043475,0.45833164638813323
quarter,3,8,11,0.979135479429079,1.4462816140043475,0.45833164638813323
downfield,3,48,51,-0.8181522174272278,-1.3747840673531158,0.35415978297174
example,4,13,17,0.7816009374712563,1.3669833270910996,0.3269216695100897
clutch,4,13,17,0.7816009374712563,1.3669833270910996,0.3269216695100897
drive,6,23,29,0.6171042386460943,1.3461707488585104,0.21014388642880644
make,14,68,82,0.3820420201580532,1.3017392840139512,0.08613392607347788
haul,3,9,12,0.86121465309445,1.2918245849580103,0.44444265175955966
touchdown,3,45,48,-0.753197987756896,-1.2631629404819087,0.3555490733027127
look,4,14,18,0.7073549543517847,1.247659722977788,0.32142709898125066
roethlisberger,2,5,7,1.0431075228958617,1.2467541415231302,0.6999975435719821
buffalo,2,5,7,1.0431075228958617,1.2467541415231302,0.6999975435719821
moving,2,5,7,1.0431075228958617,1.2467541415231302,0.6999975435719821
spots,2,5,7,1.0431075228958617,1.2467541415231302,0.6999975435719821
asset,1,25,26,-1.263197189363364,-1.2386855191750252,1.0399684888891971
towards,1,24,25,-1.2222378559687348,-1.1975610559258465,1.041636363367473
attack,1,24,25,-1.2222378559687348,-1.1975610559258465,1.041636363367473
huge,3,43,46,-0.7074585715899184,-1.1847336850549248,0.35658293250637657
bursts,2,33,35,-0.8478212512959216,-1.1642509349274448,0.5302924035432909
showing,3,10,13,0.7557163175598367,1.148018021377101,0.43333142815827785
showcases,3,10,13,0.7557163175598367,1.148018021377101,0.43333142815827785
gain,4,51,55,-0.5905339886803471,-1.1373182513295577,0.2696036580108126
line,4,51,55,-0.5905339886803471,-1.1373182513295577,0.2696036580108126
speed,6,68,74,-0.473152971671702,-1.1110121153972052,0.18137004232996884
defender,3,41,44,-0.6595535580590646,-1.1027571829935359,0.35771762978056176
right,2,31,33,-0.7850247189968655,-1.0760347494250224,0.532248040103655
rams,1,21,22,-1.0882945630252179,-1.0632864926878058,1.047592366470813
display,1,21,22,-1.0882945630252179,-1.0632864926878058,1.047592366470813
saints,2,6,8,0.8606484646630506,1.0540769190004902,0.6666639776393395
another,2,6,8,0.8606484646630506,1.0540769190004902,0.6666639776393395
vikings,2,6,8,0.8606484646630506,1.0540769190004902,0.6666639776393395
dallas,2,6,8,0.8606484646630506,1.0540769190004902,0.6666639776393395
agility,1,20,21,-1.039367137595816,-1.0143307699376527,1.0499745256942075
spectacular,5,56,61,-0.4606311409589692,-0.9868936614760754,0.21785416679774766
tough,5,22,27,0.4783899240240528,0.9656009852501996,0.24545317108622014
makes,7,72,79,-0.3757349757895483,-0.94904340295393,0.15674406240665859
valuable,3,37,40,-0.5563457076276626,-0.9267860697954077,0.36035494701197307
why,4,17,21,0.5127847733732827,0.9227437415780019,0.30882185327924633
full,1,18,19,-0.9337321578958164,-0.9088380738324173,1.0555324938359574
leaps,3,12,15,0.5731190434794131,0.887874487380896,0.4166645238507277
alright,2,7,9,0.7063602412490502,0.8809880226797717,0.6428541979625013
kind,8,78,86,-0.3220984099280537,-0.8676293582982211,0.1378188697082926
back,11,59,70,0.2811328496929839,0.8560248684242829,0.10785751908423594
shows,1,17,18,-0.8764365413760355,-0.8517520095366227,1.0588016732989818
him,4,44,48,-0.4419271655094743,-0.8462317742957991,0.2727236125750536
snapped,3,35,38,-0.5004991247101493,-0.8319730559900019,0.3618996152713224
impressive,2,26,28,-0.6084439538845627,-0.8291759024478577,0.5384530180096027
exactly,1,16,17,-0.8156747365323929,-0.7913284184965281,1.06247934891522
skills,1,16,17,-0.8156747365323929,-0.7913284184965281,1.06247934891522
catches,1,16,17,-0.8156747365323929,-0.7913284184965281,1.06247934891522
receiver,24,144,168,0.1700542102735021,0.771296277348851,0.048610748373893606
fantastic,3,13,16,0.49293844148834864,0.7696020203041001,0.4102541444762556
streaking,4,19,23,0.40128292075833105,0.7294488726492526,0.3026297623914438
get,1,15,16,-0.7509990521137979,-0.7271583340277861,1.0666472199081383
jets,2,8,10,0.5726912715279431,0.724405388373785,0.6249967857760915
off,8,74,82,-0.2688971015722492,-0.7225077453453347,0.13851194501336536
lining,2,24,26,-0.5281253429756356,-0.7175862824869366,0.5416587467288876
crucial,5,25,30,0.35014171637735814,0.7147260342974384,0.23999848984605773
really,3,32,35,-0.4104720140732727,-0.6798106657691614,0.36457858622100187
takes,14,82,96,0.19287834966420636,0.6669916434734745,0.08362308342208283
such,1,14,15,-0.681869037213815,-0.658753682336345,1.0714103281344611
open,1,14,15,-0.681869037213815,-0.658753682336345,1.0714103281344611
through,1,14,15,-0.681869037213815,-0.658753682336345,1.0714103281344611
way,2,23,25,-0.48542780623927406,-0.6584709291380003,0.5434706408739434
lofts,2,23,25,-0.48542780623927406,-0.6584709291380003,0.5434706408739434
traffic,4,20,24,0.3498514866219393,0.6387405129110539,0.2999981123075722
side,3,31,34,-0.37858503734192084,-0.6261353186799428,0.365586783733132
snap,14,83,97,0.18061740471941068,0.6251415952419158,0.08347614830637391
leaping,2,22,24,-0.44083814093852425,-0.5969016699257021,0.5454472251501072
speedy,1,13,14,-0.6076239416759757,-0.5855257136294193,1.0769060360192053
keeping,1,13,14,-0.6076239416759757,-0.5855257136294193,1.0769060360192053
separation,1,13,14,-0.6076239416759757,-0.5855257136294193,1.0769060360192053
need,2,9,11,0.45477063006169605,0.5817462067412644,0.6111076191169603
air,4,38,42,-0.2944923133815305,-0.5602393846234602,0.2763125778903328
formation,3,29,32,-0.3116171644559218,-0.5138171261871425,0.3678117435034507
justin,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
chris,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
part,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
board,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
scampers,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
nfl,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
allen,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
russell,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
emerged,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
finding,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
points,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
vick,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
josh,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
shown,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
pittsburgh,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
receivers,1,4,5,0.5722641549908527,0.5118499368203446,1.249993571552183
young,4,37,41,-0.2676855713297073,-0.5085882834630159,0.2770238900267307
size,1,12,13,-0.5274441308635618,-0.5067556342210007,1.0833174934577752
got,1,12,13,-0.5274441308635618,-0.5067556342210007,1.0833174934577752
lines,2,20,22,-0.3452522146551944,-0.4655408360890768,0.5499932781622475
catch,20,127,147,0.1117514873171821,0.46452940764616807,0.05787356002351922
real,2,10,12,0.34927248275655476,0.4509102549702394,0.5999962246151443
stride,2,10,12,0.34927248275655476,0.4509102549702394,0.5999962246151443
reaches,1,11,12,-0.44029567127721947,-0.4215538398619823,1.0908944503002145
high,1,11,12,-0.44029567127721947,-0.4215538398619823,1.0908944503002145
create,1,11,12,-0.44029567127721947,-0.4215538398619823,1.0908944503002145
diving,7,42,49,0.1674315898949752,0.41012349224389266,0.16666542299620665
folks,16,102,118,0.10734572014554011,0.3992137799717476,0.07230335008367796
deep,2,19,21,-0.29382107665897195,-0.39524612485622285,0.5526251557806656
concentration,2,19,21,-0.29382107665897195,-0.39524612485622285,0.5526251557806656
defense,2,19,21,-0.29382107665897195,-0.39524612485622285,0.5526251557806656
perfect,3,27,30,-0.23988178016614548,-0.39416815923862786,0.37036628706300556
passing,3,27,30,-0.23988178016614548,-0.39416815923862786,0.37036628706300556
