word,count_a,count_b,total_count,log_odds,z_score,variance
pocket,110,38,148,2.183917614812837,11.606296926726232,0.03540667530619094
poise,100,27,127,2.4298262333752705,11.20354371592093,0.047036999144023435
pressure,189,186,375,1.139582186432082,11.03360621909925,0.010667345051230844
under,131,91,222,1.4856702008412128,10.886853108173415,0.01862259071772525
drops,155,170,325,1.0288146253888133,9.263729114935197,0.012333960822052993
receiver,112,101,213,1.2228676313044184,8.911676945039453,0.018829553852010645
throw,91,79,170,1.2597590204763058,8.192139646238928,0.02364722915294438
accuracy,50,14,64,2.389684906261852,7.903143052645541,0.09142850004019554
deliver,48,15,63,2.279678568122266,7.706722909021286,0.08749993769137893
speed,28,367,395,-1.467801016696411,-7.486541986056255,0.03843897861817126
scans,52,28,80,1.7355461776192556,7.404094836993781,0.05494502826003147
end,78,75,153,1.1566029897486807,7.151820673851474,0.02615383554120622
back,199,323,522,0.6363520351092147,7.061388139908039,0.008121097173666632
arm,40,13,53,2.239853606953928,7.015902116785253,0.10192300662866843
decision,49,34,83,1.4815581722508426,6.637694417604255,0.049819906406863346
fires,52,39,91,1.4038926430323233,6.627462347287138,0.044871775919748134
tight,81,92,173,0.9898315370809723,6.49642975861123,0.02321523474033565
snap,172,281,453,0.6287324019237825,6.4943280679850215,0.009372668082191565
line,121,680,801,-0.6218281592595609,-6.302335571614749,0.009735039602651692
agility,33,309,342,-1.1294907051824836,-6.167458486455517,0.03353921186353104
connecting,30,8,38,2.4369918154114076,6.124463771764645,0.15833320440099752
scanning,59,59,118,1.1162477254698162,6.062778236913935,0.033898291340152105
handoff,21,237,258,-1.3152265141706083,-5.776636280322554,0.05183833736522847
through,74,459,533,-0.7183494348341251,-5.734487794320393,0.01569214250536151
confidence,48,46,94,1.1582522830380215,5.613566357495919,0.04257244649081453
read,104,165,269,0.6555432796965706,5.235811093235859,0.015675983630787284
accurate,22,7,29,2.259738161542952,5.20738435177738,0.18831155617983553
steps,24,15,39,1.584558578598144,4.814235641793116,0.10833328446629506
bursts,13,158,171,-1.3878518046774975,-4.810007987616279,0.0832519843269387
vision,12,142,154,-1.3607759591938846,-4.5264902313432644,0.09037536849517008
key,19,171,190,-1.087290570047334,-4.496184020058621,0.05847942414516287
being,60,339,399,-0.6229066879739911,-4.447462314329628,0.019616496000637133
tackle,25,191,216,-0.9235124739761753,-4.342130985852574,0.045235530829535894
strike,29,28,57,1.1497068621475188,4.339381152792793,0.07019701585496864
bullet,20,13,33,1.5450632845133647,4.336866691857451,0.12692302061075805
growing,15,5,20,2.2126973670889205,4.284871474272272,0.2666664864598354
deep,40,49,89,0.9120128526141942,4.279904524305963,0.04540814447342159
brought,49,286,335,-0.6548887263678935,-4.235712083114629,0.023904637645206152
quick,129,250,379,0.4552162371040369,4.199166615753059,0.011751932137871995
laser,15,7,22,1.876171453447581,4.0987926405203945,0.2095236986781998
run,11,121,132,-1.2872654094141707,-4.087621264022995,0.0991733307286558
smart,16,9,25,1.6894238371857444,4.054618171104557,0.17361102874116008
sideline,124,243,367,0.44386051634917223,4.021865752681576,0.012179736367561932
dropping,17,11,28,1.5494060290558993,4.004120380314828,0.1497325537655663
launches,23,21,44,1.2052830704571909,3.9933407689969567,0.09109727139884853
connection,15,8,23,1.7426131886423635,3.980409990611572,0.19166657308580037
surveying,15,8,23,1.7426131886423635,3.980409990611572,0.19166657308580037
defense,148,304,452,0.3971593428600144,3.9624457323942908,0.010046225265924894
spots,31,36,67,0.9650325730412082,3.9385535751949434,0.06003581767879035
dart,19,15,34,1.3505332353063233,3.910104264789273,0.11929819588492002
precise,28,31,59,1.0126698698337577,3.884202234788881,0.0679723225270885
over,24,25,49,1.0734636783042752,3.7563411468204024,0.0816666335260556
surveys,20,18,38,1.2195062923647528,3.75356193379124,0.10555551251864523
release,12,5,17,1.9893077602286509,3.737259592742822,0.28333317154136706
firing,12,5,17,1.9893077602286509,3.737259592742822,0.28333317154136706
rush,11,2,13,2.818585199095228,3.6666637200246064,0.5909084102470247
side,10,102,112,-1.2113267668876295,-3.655550954605055,0.10980369232592688
off,43,238,281,-0.6009794923480056,-3.626848798968436,0.027457462809951143
composure,12,6,18,1.8069593628740064,3.613919641572862,0.2499998732920452
running,26,169,195,-0.7612396907357164,-3.6135530730505043,0.044378638360157936
where,22,23,45,1.0697235582430737,3.587076592067812,0.08893277022929316
feels,10,2,12,2.723193079849132,3.5156290020262575,0.5999993674742891
pass,91,178,269,0.44474788917520414,3.451187553303273,0.016606980210311945
build,25,30,55,0.9319115400363147,3.4413121370120225,0.07333330310362707
precision,19,19,38,1.1140367664000754,3.4336926174314915,0.10526311521415653
moving,60,105,165,0.5554728197924241,3.432347241800063,0.02619046386446366
chains,60,105,165,0.5554728197924241,3.432347241800063,0.02619046386446366
man,13,9,22,1.4815383520157637,3.4166035114713074,0.18803410657972713
showcased,10,94,104,-1.1294328530152953,-3.3955340667483043,0.11063808464446136
instincts,2,69,71,-2.4296586518919128,-3.387327217962527,0.5144891521178799
middle,22,25,47,0.9862880792876263,3.373931714764324,0.08545451052218375
beyond,9,2,11,2.6177506322994146,3.3486394631873706,0.6111105260648132
defender,39,211,250,-0.5778027918050084,-3.314999055922938,0.030380327673254586
first,70,131,201,0.48850815737058095,3.299579260863747,0.02191929138126613
crease,3,64,67,-1.9487558903541577,-3.298918566243581,0.3489568207906263
chemistry,16,15,31,1.178436774013977,3.2789224759564437,0.12916661418492834
makes,96,195,291,0.406973420855806,3.2641686207594485,0.015544863841995204
break,7,77,84,-1.2864052577395304,-3.258614864456396,0.15584380543074483
left,25,153,178,-0.7006490050418908,-3.247928834478348,0.04653588843262668
strength,41,66,107,0.6384947880460512,3.2109198281740996,0.039541741169599874
scrimmage,3,60,63,-1.8841097217114617,-3.184733167979898,0.34999857732834716
cut,17,116,133,-0.809120329273763,-3.115595405243364,0.06744412376406503
separation,25,148,173,-0.6672881781525399,-3.0859686469152234,0.046756699039181726
tackles,3,54,57,-1.7785877568059343,-2.9984455916393027,0.35185056391926883
threading,10,7,17,1.4702962476526498,2.98352376750297,0.24285703805672398
right,63,121,184,0.46224773252634943,2.975287552504892,0.02413746673655592
kelly,7,2,9,2.3662723642841588,2.951261289509896,0.6428566494720379
why,32,170,202,-0.5590343386044898,-2.901098619986076,0.03713231153198249
ground,2,49,51,-2.086834926537872,-2.8927914612754444,0.5204055741286983
execution,9,6,15,1.519031292093925,2.8821598650517997,0.27777765576269886
decisions,24,34,58,0.765736502314831,2.8721725434595027,0.07107840078677516
backfield,7,66,73,-1.1319580477446962,-2.8476742550072305,0.1580083525812447
throws,13,13,26,1.1137059542129553,2.83940477210858,0.15384609146684416
gap,8,70,78,-1.0572932059941191,-2.832973707445466,0.13928546397838046
creating,10,78,88,-0.942415272738133,-2.8057477928338836,0.11282033148357185
yardage,8,69,77,-1.0428775091470541,-2.7922729078174227,0.1394925064319056
finds,32,53,85,0.6096321979079544,2.723149326376797,0.050117901565232326
unleashes,6,2,8,2.2120397778994283,2.7091852886973498,0.6666662161495883
watson,6,2,8,2.2120397778994283,2.7091852886973498,0.6666662161495883
completion,9,7,16,1.3648537389613766,2.7082982434426706,0.2539681477238283
caught,9,7,16,1.3648537389613766,2.7082982434426706,0.2539681477238283
connect,9,7,16,1.3648537389613766,2.7082982434426706,0.2539681477238283
spectacular,31,51,82,0.6163215359224274,2.7062408876746344,0.051865883963227916
accelerates,7,62,69,-1.0693298837262555,-2.681837246539388,0.1589858859957776
exploit,5,53,58,-1.248880533154355,-2.669502347504696,0.21886745000321228
good,15,18,33,0.9314138788403783,2.6642054148590697,0.12222217183937843
delivering,16,20,36,0.890620082681961,2.655316614448828,0.11249995324475873
lee,6,3,9,1.8065479699414588,2.554845287607318,0.4999997465840904
feeling,9,8,17,1.2312954614451401,2.533985671652273,0.23611101471137297
finally,6,54,60,-1.0851963997192575,-2.5217708790910662,0.18518484312634909
power,3,41,44,-1.5028260612196487,-2.5126704950906604,0.3577225807938872
contact,4,45,49,-1.3082607707105574,-2.5074543239660394,0.27222159644881266
beam,5,1,6,2.7228098939634497,2.4855753080289706,1.1999987349485781
bledsoe,5,1,6,2.7228098939634497,2.4855753080289706,1.1999987349485781
dan,5,1,6,2.7228098939634497,2.4855753080289706,1.1999987349485781
starting,7,5,12,1.449901333743452,2.4761784610830984,0.34285699589658647
asset,27,138,165,-0.5199340328809612,-2.470745041173148,0.04428336620614812
changer,4,44,48,-1.2857609990714325,-2.462047637155167,0.2727266595038034
manages,20,30,50,0.7083574565784287,2.4538227483543436,0.08333329672880967
before,107,423,530,-0.26420147896394663,-2.4415159584701946,0.011709850600917985
spiral,12,14,26,0.9594463348224629,2.4388705197266134,0.154761841264259
quarterback,74,308,382,-0.31528986407088144,-2.4353968487596505,0.016760251801484077
yates,5,2,7,2.02963632513592,2.4258801154644805,0.6999995884526053
dalton,5,2,7,2.02963632513592,2.4258801154644805,0.6999995884526053
releasing,5,2,7,2.02963632513592,2.4258801154644805,0.6999995884526053
hole,3,39,42,-1.4527618493452357,-2.424729452652257,0.3589734072923196
another,4,43,47,-1.2627445658059147,-2.4156348141532793,0.273255213273899
today,11,73,84,-0.7806389561515905,-2.413618624813496,0.10460757711050471
despite,25,42,67,0.5951159205962613,2.3559112013071832,0.06380949437640762
need,15,88,103,-0.6574382121996454,-2.3535507198609187,0.07803020752737208
few,6,4,10,1.5188390955479516,2.352975925827815,0.41666648364404835
secondary,5,46,51,-1.1070415092126833,-2.350948659854083,0.22173871197436507
cuts,7,54,61,-0.930963966724514,-2.3174704198031666,0.16137540475342924
takes,152,371,523,0.22316412925955476,2.3173008370175774,0.00927435979863261
after,33,156,189,-0.44185943402044625,-2.306071223173787,0.036713249953811436
early,15,21,36,0.7771824175596533,2.2989370868550263,0.11428566529886214
route,32,152,184,-0.44662960734020807,-2.296336872255164,0.037828909325344884
remains,7,6,13,1.2675529146674505,2.2783432599014475,0.309523682528518
target,46,93,139,0.4103020183972985,2.2762332037165605,0.03249180203115395
looking,39,76,115,0.4469715110896635,2.269186185442331,0.038798901013217556
marker,30,55,85,0.5078341397969472,2.237456020102015,0.051515126671548755
rosen,4,1,5,2.4995845513923083,2.2356973521225814,1.2499989229828383
esiason,4,1,5,2.4995845513923083,2.2356973521225814,1.2499989229828383
mayfield,4,1,5,2.4995845513923083,2.2356973521225814,1.2499989229828383
wrist,4,1,5,2.4995845513923083,2.2356973521225814,1.2499989229828383
flick,4,1,5,2.4995845513923083,2.2356973521225814,1.2499989229828383
matt,4,1,5,2.4995845513923083,2.2356973521225814,1.2499989229828383
needle,8,8,16,1.1134304426224837,2.22686133670275,0.2499998986336218
remain,5,3,8,1.6241444901469393,2.2239519457366623,0.5333330882519758
carry,1,28,29,-2.2198813796491548,-2.181278000587726,1.0357083989974851
bursting,7,51,58,-0.8737247232197554,-2.1676794622416895,0.16246474150455636
delivers,27,49,76,0.5179018428765119,2.160830426523739,0.05744517274977275
quickness,5,42,47,-1.0159620292270537,-2.147526691060677,0.22380913727090276
explosive,5,42,47,-1.0159620292270537,-2.147526691060677,0.22380913727090276
darting,1,27,28,-2.183486983955362,-2.1441475298117947,1.037031352763058
releases,19,31,50,0.624165315119698,2.1422609692824848,0.08488960483616084
textbook,29,54,83,0.49222653588684206,2.1380702030198795,0.0530012513605892
safety,2,29,31,-1.5617732338147414,-2.136248479946674,0.5344811799732181
stride,18,29,47,0.6367612769185653,2.122086418011579,0.09003827343759148
coverage,17,90,107,-0.5546378804020042,-2.097314674064942,0.06993456278464133
johnson,9,58,67,-0.7510526106843045,-2.096372725553844,0.12835231869133257
faces,4,2,6,1.8064108913351564,2.0858641573500787,0.7499996198761356
backup,4,2,6,1.8064108913351564,2.0858641573500787,0.7499996198761356
simms,4,2,6,1.8064108913351564,2.0858641573500787,0.7499996198761356
