word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,505,504,1009,0.8387790944738613,13.321802889202232,0.003964324425936865
defensive,229,1189,1418,-0.8242686311386347,-11.421927802524205,0.005207853075959141
experience,103,35,138,1.9113800474153457,9.769226783413142,0.03828015727494965
speed,30,423,453,-1.8200014580344757,-9.63282499470291,0.03569736265014489
poise,91,16,107,2.5701799111511336,9.480962225142791,0.0734889795775622
instincts,67,508,575,-1.1996209295183258,-9.229527995070766,0.016893867571209534
interception,37,412,449,-1.5836484719771438,-9.227525697274693,0.02945418739105377
reliable,223,221,444,0.841950585311575,8.870410496360268,0.009009190496987328
reads,48,400,448,-1.2934162763108104,-8.467399739376859,0.023333318954410494
perfectly,92,542,634,-0.9470662641299263,-8.399034992343415,0.012714578049709761
arm,70,20,90,2.084125273835417,8.219902066233125,0.06428569654447155
secondary,21,304,325,-1.8452975130419143,-8.178457202226928,0.05090846732316494
goal,73,8,81,3.0425775706938953,8.169692675425674,0.1386985367661405
defense,209,889,1098,-0.6221932097851539,-8.093720292770556,0.005909546454064763
steps,75,32,107,1.683109188296247,7.9712433324960505,0.04458332432925228
bursts,96,528,624,-0.8780933279791068,-7.914091190748492,0.012310600961565917
kick,74,6,80,3.343910047366137,7.877733310417058,0.1801800171174531
good,62,16,78,2.1857574688303316,7.79490041612198,0.07862900856742235
accuracy,62,16,78,2.1857574688303316,7.79490041612198,0.07862900856742235
playmaking,46,352,398,-1.2076861378138082,-7.703053534302299,0.024580025579900702
leg,65,7,72,3.0598548822736618,7.692020425149618,0.15824164988256478
tight,188,199,387,0.7754651082360873,7.624515887379501,0.01034427305369666
first,217,246,463,0.707100184432365,7.5925543145558985,0.008673334306765288
young,72,419,491,-0.9339805171983464,-7.321000313229895,0.016275516625283287
unleashes,53,11,64,2.4034443728735146,7.254014926475059,0.1097769752183091
athleticism,71,412,483,-0.9310696340328724,-7.245802201862408,0.01651168431607196
under,61,26,87,1.6838605011343777,7.1894905754286285,0.05485496999807456
deep,110,94,204,0.988735255706886,7.039231335041651,0.01972920405116081
sails,54,6,60,3.0283483842943504,7.03724805237,0.1851850621868778
impact,73,406,479,-0.888508718718934,-6.989055268279407,0.016161677559773033
block,95,74,169,1.081210040919693,6.973397361406951,0.02403982568809121
may,53,19,72,1.8568170601686527,6.944126993809329,0.07149948706771095
chains,136,135,271,0.8391260650106771,6.906832693140169,0.014760346431788942
changing,26,247,273,-1.4233658552530084,-6.903518970157811,0.04251009169130673
pressure,57,25,82,1.65517293471643,6.899917930876881,0.0575438482449048
decision,49,14,63,2.0836832489966124,6.875804873089638,0.09183670934924507
hold,49,14,63,2.0836832489966124,6.875804873089638,0.09183670934924507
end,185,215,400,0.6818055705314761,6.798853382828459,0.010056566713286395
force,32,261,293,-1.2708614801141769,-6.7851551091309315,0.035081396452173785
attempt,49,16,65,1.9501309499330794,6.772752130724318,0.08290814278226058
kicker,70,3,73,3.981421789781388,6.752844921560727,0.34761845524176
threading,45,10,55,2.3349433480209525,6.678844540618269,0.12222218014778714
ability,212,810,1022,-0.5139713753893123,-6.662296997505441,0.005951547262075255
breaking,24,229,253,-1.4276013550213316,-6.653807092649602,0.046033446522171347
deliver,47,16,63,1.9084101959880853,6.593415210291906,0.08377657572562731
agility,11,194,205,-2.0418404570159874,-6.587829668759471,0.09606360618078778
backfield,64,358,422,-0.8939767818581936,-6.5872114684078165,0.018418288338762173
clutch,77,56,133,1.1496075292277332,6.545806882267264,0.030844151117176092
uprights,52,4,56,3.396045736000115,6.545026230684645,0.2692305125746132
talented,11,191,202,-2.0262242754948874,-6.534692130367496,0.09614457090060378
needle,43,10,53,2.2894329262283026,6.521151489799267,0.12325577322741856
incredible,21,213,234,-1.4886070302656922,-6.508362711657197,0.05231384424271007
skills,16,197,213,-1.6824043689652708,-6.47193111816272,0.06757608107765097
technique,156,177,333,0.7054936457650527,6.424213327345665,0.012059972152018343
punter,56,3,59,3.757941984406977,6.341310262293202,0.3511899969258868
precision,40,9,49,2.322411149033928,6.294951552236592,0.13611106477917048
matt,60,38,98,1.2876919372307656,6.211069617029393,0.04298244920843551
throws,40,12,52,2.034697752566779,6.181856361106398,0.10833330463946604
clean,42,16,58,1.79581207922985,6.112678800654377,0.08630950489643002
stop,45,275,320,-0.9820203455439538,-6.106863314205555,0.025858574030276676
strike,44,19,63,1.670498513297483,6.085258069688165,0.07535883658041824
turnover,23,197,220,-1.3193310293522265,-5.987418361367654,0.04855437227113182
offensive,387,604,991,0.3877311033294637,5.954808510995591,0.004239607786850039
route,34,232,266,-1.0921014844077384,-5.947106835995111,0.03372209239885989
dynamic,5,169,174,-2.6922190339642196,-5.932867595365135,0.2059166519430997
steady,96,93,189,0.8629719490970853,5.931204519173307,0.02116935175070277
make,355,1162,1517,-0.35957072008742763,-5.929373753569172,0.0036774856469761487
showed,115,123,238,0.7641138872165731,5.890757187815708,0.016825731016016716
made,111,471,582,-0.6177123644912452,-5.85459444116453,0.011132147624799901
lined,37,238,275,-1.0330683166700698,-5.845910205848673,0.03122869270167783
drops,309,463,772,0.42809099172923926,5.827700288761886,0.005396072316570263
white,46,25,71,1.4404987086668681,5.797391865929894,0.06173911970740698
handoff,23,186,209,-1.261758619252726,-5.708521711643132,0.048854575713885205
sideline,82,375,457,-0.6922795243673567,-5.678662035486153,0.014861783426362398
fantastic,33,218,251,-1.059589268156361,-5.672650330939842,0.03489016907906278
quickness,10,146,156,-1.8524199254605298,-5.667007725993971,0.10684920081259769
between,40,19,59,1.575092230509723,5.6531019847732,0.07763156434496989
snatching,28,200,228,-1.1376458465046708,-5.638113195151731,0.040714264098539996
execution,35,14,49,1.74687466842804,5.524103323001658,0.09999997885928061
teams,31,8,39,2.185096209373894,5.510159444236359,0.1572580171348447
scans,37,17,54,1.608305174745973,5.489046929055606,0.08585053994202745
scanning,56,42,98,1.1184775815647123,5.479399143237795,0.041666660338625164
own,68,60,128,0.9560586365483887,5.397711366423847,0.03137254440967556
territory,48,33,81,1.2053909140880608,5.330439599827047,0.05113635565126438
playmaker,7,126,133,-2.061632260232555,-5.309088431654108,0.15079345231437022
him,197,691,888,-0.42756571241092356,-5.293812860503844,0.0065233183312755644
move,118,140,258,0.6603023332053946,5.28369855718712,0.015617431103696375
awareness,35,17,52,1.5526872802707476,5.252195056353745,0.08739494177192231
middle,137,175,312,0.5865455907896759,5.1416654824851244,0.013013553832788839
savvy,76,76,152,0.8309202700535687,5.122136921467854,0.026315785636892696
burst,100,114,214,0.7000711754899918,5.109610168648291,0.018771927064122295
impressive,91,377,468,-0.5932629755346435,-5.079439124195486,0.013641526522987503
disrupt,26,173,199,-1.0664929101946514,-5.070388860983489,0.04424186333772162
