word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,34,220,254,0.8345247122550017,4.528701587920812,0.033957131348209664
jaguars,9,26,35,1.6334831594759072,4.223658947225843,0.1495724605079719
awareness,5,6,11,2.5103986586518214,4.145788585685019,0.36666637535460533
smith,6,11,17,2.086992779483343,4.112147228257399,0.2575755181675279
gaines,4,2,6,3.385417267380613,3.9091450505655625,0.7499992673785715
experience,6,13,19,1.9198553649746026,3.889907154791914,0.24358949344200942
always,6,14,20,1.8457057217706945,3.782573172893621,0.23809498115170222
positioning,4,5,9,2.4690021025401263,3.6805724993153084,0.4499996395501691
known,5,10,15,1.9994065198378062,3.6504019580357894,0.29999970695142864
savvy,11,51,62,1.1606175284302234,3.4912031667658057,0.11051672452321831
timely,5,12,17,1.817001662504456,3.413553612417998,0.28333302150799566
eric,3,3,6,2.691612993390116,3.2965404974880896,0.6666661456912861
nelson,4,8,12,1.9988736729937733,3.2641486336689356,0.37499963368928574
carr,3,4,7,2.403889417234038,3.147431342979221,0.5833328584860041
excellent,5,15,20,1.5937331310293699,3.086252947214424,0.26666631934998153
packers,3,6,9,1.9983411988093396,2.826082605904532,0.4999995115857143
possession,5,19,24,1.3571776723499056,2.700183211881852,0.25263117786888556
wait,4,14,18,1.439008086702695,2.5381735652470816,0.3214280959725051
critical,4,14,18,1.439008086702695,2.5381735652470816,0.3214280959725051
may,2,3,5,2.2855326404135976,2.503676625925395,0.833332627845906
difficult,2,3,5,2.2855326404135976,2.503676625925395,0.833332627845906
scans,2,3,5,2.2855326404135976,2.503676625925395,0.833332627845906
harrison,2,3,5,2.2855326404135976,2.503676625925395,0.833332627845906
davis,4,16,20,1.305393400061785,2.3351606428273026,0.3124994810602431
nate,2,4,6,1.9978090968182904,2.3068723663847406,0.7499992673785715
matchup,2,4,6,1.9978090968182904,2.3068723663847406,0.7499992673785715
stay,2,4,6,1.9978090968182904,2.3068723663847406,0.7499992673785715
aaron,2,4,6,1.9978090968182904,2.3068723663847406,0.7499992673785715
pass,29,281,310,0.4250282304977544,2.1791640207696568,0.038041331921298466
reaching,2,5,7,1.7746240465701248,2.121082632995274,0.6999992068153582
young,1,122,123,-2.1185694806826474,-2.1099901263157808,1.0081486603757481
loose,3,12,15,1.3049444501230445,2.0216129277741497,0.4166659747469908
mike,2,6,8,1.5922609760760214,1.9501147343178336,0.6666657983749539
anticipate,2,6,8,1.5922609760760214,1.9501147343178336,0.6666657983749539
spots,2,6,8,1.5922609760760214,1.9501147343178336,0.6666657983749539
jarring,2,6,8,1.5922609760760214,1.9501147343178336,0.6666657983749539
flying,2,6,8,1.5922609760760214,1.9501147343178336,0.6666657983749539
