word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,34,70,104,0.9436901007931269,4.514414794925962,0.04369742821770392
leverage,16,25,41,1.216808049828268,3.800671724028659,0.10249989691035505
smith,9,10,19,1.5565425636086037,3.38770554211152,0.21111091723581532
savvy,7,6,13,1.8156981063373188,3.263599142561388,0.30952352347574735
anderson,6,5,11,1.8436369940171105,3.0446677031827454,0.36666632621511286
need,11,19,30,1.1154435146234913,2.944152672814418,0.14354051869156198
quickness,7,114,121,-1.1346220929227346,-2.9138126015588126,0.1516279408132098
force,15,164,179,-0.7365969754395243,-2.730687878592112,0.07276386132121984
shift,4,2,6,2.3540527659130266,2.7182275477420577,0.749999143797576
ryan,4,2,6,2.3540527659130266,2.7182275477420577,0.749999143797576
reliable,4,2,6,2.3540527659130266,2.7182275477420577,0.749999143797576
stalwart,4,2,6,2.3540527659130266,2.7182275477420577,0.749999143797576
key,6,7,13,1.5070563353353004,2.7088356520421755,0.30952352347574735
justin,6,7,13,1.5070563353353004,2.7088356520421755,0.30952352347574735
experience,4,3,7,1.9485337213168252,2.5512307198561244,0.5833327783871717
reed,4,3,7,1.9485337213168252,2.5512307198561244,0.5833327783871717
hands,7,11,18,1.2092910070533982,2.5011523842201893,0.23376599809030024
momentum,8,14,22,1.1017837092863756,2.4859606377640597,0.19642836320244889
get,32,104,136,0.48473681400688395,2.3978861622718974,0.04086531822596079
overpowered,6,9,15,1.2556334035865895,2.382398055474144,0.27777750294731285
incredible,2,58,60,-1.7099968572092354,-2.377669904031243,0.5172345216317223
baker,4,4,8,1.660797557208614,2.348723502285252,0.4999995433585613
blocker,15,39,54,0.706535037665776,2.3254930870269996,0.09230756650170044
agility,2,54,56,-1.638320753255691,-2.275199469804447,0.5185121168447531
saints,3,2,5,2.066084916493696,2.2632837486046116,0.8333325088419384
derek,3,2,5,2.066084916493696,2.2632837486046116,0.8333325088419384
want,3,2,5,2.066084916493696,2.2632837486046116,0.8333325088419384
overpower,9,19,28,0.9141998137664151,2.259229885376031,0.16374249678901703
technique,21,63,84,0.5638500687476453,2.237712291002313,0.06349196684844925
speed,2,52,54,-1.6004718731826406,-2.2211117923362598,0.5192245955223986
dominant,4,62,66,-1.083193250454415,-2.099719885131498,0.26612714078424077
impressive,14,131,145,-0.5794004860794484,-2.0606083635483743,0.07906181753630397
win,3,3,6,1.6605658338440668,2.03377041731268,0.666666057811415
mike,3,3,6,1.6605658338440668,2.03377041731268,0.666666057811415
impactful,7,15,22,0.8989188727145621,1.963830796898061,0.20952355985183374
reckoned,3,50,53,-1.1553953266310701,-1.943748001649873,0.3533306345610737
tenacity,13,37,50,0.6156130887526423,1.9093946352650466,0.10394995217127592
seahawks,1,36,37,-1.9253039727046302,-1.8991237620001393,1.027760869277738
quarterback,84,353,437,0.2291501984158817,1.8875869022576983,0.014737593211953774
way,16,49,65,0.5425574317801072,1.8842885354422292,0.08290803495907484
display,18,57,75,0.5092478937975695,1.883530406131049,0.07309929895962013
young,1,34,35,-1.8680375703457308,-1.8411722356033557,1.0293957686707094
used,7,16,23,0.8343260366188074,1.8411160333790613,0.20535688748897907
combination,2,39,41,-1.3120845032791566,-1.8097522190834838,0.5256363327966098
makes,3,46,49,-1.0717963695707677,-1.798685823450062,0.3550699670510393
chiefs,6,13,19,0.887691500755488,1.7985926867768625,0.24358945124626896
point,3,4,7,1.3728296697358182,1.7974568200918897,0.5833327783871717
him,33,240,273,-0.32791022716212925,-1.7661881398818764,0.03446958033088283
barreling,4,7,11,1.101019215634805,1.7566199141580598,0.39285672640489777
swing,4,7,11,1.101019215634805,1.7566199141580598,0.39285672640489777
full,14,43,57,0.5393990780905744,1.752957369292211,0.0946842385062931
simply,9,24,33,0.680313204990723,1.7405203605508814,0.15277756557705813
falcons,11,32,43,0.5934397375467126,1.697907592694622,0.12215890945631763
season,10,91,101,-0.550495037514481,-1.65239674516163,0.110988544213391
ability,16,130,146,-0.43757800345181863,-1.6516253492740012,0.07019204331988319
unit,9,25,34,0.6394368479056549,1.644938899023295,0.1511108945933119
textbook,10,29,39,0.5964462842513054,1.6264411531689624,0.1344825593546766
drops,11,33,44,0.5626136812943434,1.6159859988738154,0.12121193671067583
through,28,105,133,0.3404284920077787,1.600568052274744,0.04523801226354194
kansas,4,8,12,0.9674335999354415,1.5798133550040523,0.374999571898788
city,4,8,12,0.9674335999354415,1.5798133550040523,0.374999571898788
attack,3,5,8,1.1496319781460098,1.5741992328402568,0.5333327813046687
oakland,3,5,8,1.1496319781460098,1.5741992328402568,0.5333327813046687
example,3,40,43,-0.9317084949566823,-1.5564593403387215,0.35833113934205824
quickly,6,61,67,-0.6608431339462078,-1.5445520254736742,0.18305925121047031
showed,6,15,21,0.7444820592819825,1.5412253064677257,0.2333330243394639
front,12,38,50,0.5085610180344275,1.5358218157143568,0.10964894843943018
make,33,230,263,-0.2848002459795813,-1.5299741004295058,0.03465074383839457
nightmare,1,25,26,-1.560067070462182,-1.529780367991346,1.0399881084564162
zeroes,1,24,25,-1.5191911131869107,-1.488505390287853,1.041655230931081
cardinals,1,24,25,-1.5191911131869107,-1.488505390287853,1.041655230931081
lead,5,12,17,0.7851809181374945,1.4750990401436919,0.2833329689082804
made,12,39,51,0.4825311117363045,1.461717718804058,0.10897418193589543
power,9,79,88,-0.5140754223506567,-1.4612387715267294,0.12376883641790933
effort,9,27,36,0.5623670712322468,1.4610736217944138,0.14814792264638157
powering,19,69,88,0.37189301042675904,1.435418083583189,0.0671242128160938
crucial,36,146,182,0.2621607043650718,1.4088345903946577,0.03462702482035331
athleticism,1,22,23,-1.4320718197793374,-1.4006009196966118,1.0454440211022564
stopping,1,22,23,-1.4320718197793374,-1.4006009196966118,1.0454440211022564
trenches,12,40,52,0.4571588807060287,1.3889495387323985,0.10833315359436022
frame,11,36,47,0.4754390921751517,1.380047093623841,0.1186866747536276
physical,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
anthony,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
surge,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
kelly,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
brady,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
every,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
wright,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
simon,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
john,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
lays,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
zach,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
getting,2,3,5,1.254815106694445,1.3745817588682658,0.8333325088419384
valuable,10,32,42,0.49784304940963686,1.3741784714805991,0.1312497894813485
bone,3,6,9,0.9672562552890662,1.367907695324156,0.499999429198384
needed,3,6,9,0.9672562552890662,1.367907695324156,0.499999429198384
rams,5,13,18,0.7050839317912656,1.3398665324856474,0.2769226995051013
driving,5,49,54,-0.6237434113799694,-1.3285965346016653,0.22040716665360466
massive,4,42,46,-0.6926407464550355,-1.3236855019028138,0.27380819906319437
disrupt,21,150,171,-0.30840430357936643,-1.3236658779602082,0.054285533750686996
turf,1,20,21,-1.3366537357468902,-1.304446449718957,1.0499903866392997
pocket,10,81,91,-0.4335391194884819,-1.2934537966372333,0.11234525713643885
read,7,21,28,0.5621206829285788,1.2879812698525388,0.19047590054534774
hit,7,21,28,0.5621206829285788,1.2879812698525388,0.19047590054534774
shed,7,21,28,0.5621206829285788,1.2879812698525388,0.19047590054534774
impact,24,166,190,-0.27623967050873244,-1.2649390849445747,0.04769060927579662
offense,44,283,327,-0.20422843832362592,-1.2602669560578532,0.026260762638605932
offenses,2,26,28,-0.9059146048782925,-1.2345571927994408,0.5384583230748325
run,2,26,28,-0.9059146048782925,-1.2345571927994408,0.5384583230748325
drive,10,34,44,0.43710963664091995,1.2150771888574738,0.1294115464030479
part,5,14,19,0.6309216759161291,1.2110107012310876,0.27142818011508835
opposing,8,66,74,-0.45164276822751237,-1.2064157326303147,0.1401509794041432
fumble,1,18,19,-1.2311853281634972,-1.1983527417902862,1.0555468526572036
explodes,14,103,117,-0.33740160382829476,-1.1845068728889145,0.0811370316704454
able,3,7,10,0.8130513933962851,1.1782241485601115,0.4761898756192541
buffalo,3,7,10,0.8130513933962851,1.1782241485601115,0.4761898756192541
pressure,3,7,10,0.8130513933962851,1.1782241485601115,0.4761898756192541
kind,42,182,224,0.19567144019343097,1.1430473578913545,0.029303968229878786
panthers,1,17,18,-1.1739729730242932,-1.140901098911303,1.0588152814845733
showcasing,4,38,42,-0.5923398847324268,-1.1268577027717825,0.27631457751273997
physicality,2,24,26,-0.8257635135040848,-1.1219947698028323,0.5416636778999282
collapse,3,31,34,-0.6763275504350164,-1.118562174107084,0.3655896566110397
such,3,31,34,-0.6763275504350164,-1.118562174107084,0.3655896566110397
onto,2,4,6,0.9670789806395561,1.116687257006826,0.749999143797576
sacking,2,4,6,0.9670789806395561,1.116687257006826,0.749999143797576
clear,2,4,6,0.9670789806395561,1.116687257006826,0.749999143797576
hard,2,4,6,0.9670789806395561,1.116687257006826,0.749999143797576
execution,2,4,6,0.9670789806395561,1.116687257006826,0.749999143797576
