word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,163,41,204,1.2178454413148732,6.970489181985797,0.030525151954898848
experience,52,11,63,1.3843417974729642,4.171301491141154,0.11013960183768806
reliable,54,17,71,0.9863162064653279,3.546571301251578,0.0773419197083066
explodes,41,67,108,-0.666932930227043,-3.3635651576173804,0.03931557510401493
savvy,27,2,29,2.432420752169935,3.3192348414839854,0.5370335754621369
ravens,10,28,38,-1.2040756824529968,-3.2684461072462634,0.13571408225321405
force,2,19,21,-2.4255072855104087,-3.2627644732763863,0.5526290583407213
years,27,4,31,1.7390689336486354,3.246000176732077,0.28703609681344994
physicality,24,45,69,-0.8036124553222734,-3.179319985256067,0.06388881582485337
sheer,17,36,53,-0.924983387290836,-3.1431997133682024,0.08660120068602137
get,40,12,52,1.0338091814930275,3.14094047799776,0.10833314642495782
impressive,24,44,68,-0.7810352355303465,-3.0778565521525953,0.06439386665575719
textbook,36,11,47,1.0152131361324255,2.946838000165243,0.11868666701804606
impact,2,15,17,-2.188703107810716,-2.9075273479521466,0.5666646126572831
powerful,57,79,136,-0.5020603105774493,-2.8889340456348096,0.030202057272451815
determination,11,26,37,-1.0343618396575165,-2.875775184347699,0.12937045817621065
power,32,51,83,-0.6410189468013092,-2.8424453685011466,0.050857789494932595
effective,9,23,32,-1.112292645364179,-2.828977888840424,0.1545891556586692
raiders,11,25,36,-0.9950369948640541,-2.750138741707353,0.13090892227802609
why,44,63,107,-0.5340758228500873,-2.7183655771712933,0.03860024955406551
example,7,19,26,-1.1723102384362774,-2.651441333864809,0.1954884356402001
tackle,48,20,68,0.7051752825988533,2.6495891205441136,0.07083323859303485
size,55,73,128,-0.45833738381317257,-2.5669847345571375,0.03188041681992102
become,3,13,16,-1.6398431198434444,-2.5602070246316986,0.4102555211126825
flacco,1,12,13,-2.6584798803904324,-2.5541921787976705,1.0833271173698589
white,16,2,18,1.9082114741643688,2.54428687373038,0.5624978297672109
middle,17,3,20,1.5633557636028748,2.496482418104297,0.39215577465007884
steady,38,15,53,0.7588851023768388,2.4887187642293087,0.09298232685655908
hole,106,123,229,-0.32471370515704834,-2.4501268800613176,0.01756402669931173
showcases,25,39,64,-0.6189760058921117,-2.415941211192865,0.0656409570350029
exactly,18,4,22,1.3328163208760966,2.4111581492530263,0.3055548703864573
dominant,19,32,51,-0.6953827021026937,-2.400992589976248,0.08388148821242947
may,16,3,19,1.5026437282157392,2.388363417658124,0.3958322956185937
forward,4,13,17,-1.3520741208460088,-2.3647110365148998,0.3269225246226309
jets,5,14,19,-1.2030553464584184,-2.309181941655895,0.2714281645064281
awareness,17,4,21,1.2755704471937293,2.2953542451276503,0.3088228716592384
defender,90,104,194,-0.31996319303244825,-2.222477075138896,0.020726475836203018
reason,23,35,58,-0.5939020940493043,-2.2125802152574927,0.07204961489443318
williams,4,12,16,-1.2719275021293486,-2.2030448007795123,0.3333328057160954
time,35,15,50,0.6763839229043,2.1917358456953107,0.09523797033274868
jaguars,23,8,31,0.8848145820695796,2.15566201095751,0.1684780030343378
jones,11,1,12,2.226329917073672,2.131554226400573,1.0909033455721215
center,12,2,14,1.6201801395125797,2.1213168569781047,0.5833316251750473
showed,26,10,36,0.7843284082656146,2.107820755917019,0.13846134222535086
performance,37,49,86,-0.45518431515673186,-2.089956175641104,0.047435143453505975
simply,16,26,42,-0.6592310618245873,-2.0747220064418417,0.10096143105262761
snapped,58,70,128,-0.36268574374671125,-2.042625393921183,0.03152706312342178
needs,22,8,30,0.8402752632275199,2.0352492631867714,0.17045429343279883
like,22,8,30,0.8402752632275199,2.0352492631867714,0.17045429343279883
chris,4,11,15,-1.184812227133997,-2.029226649411992,0.34090858686559766
frame,38,18,56,0.5762515278144997,2.0139393784657518,0.08187124453995388
takes,103,63,166,0.3216556802375976,2.0110658897739104,0.025581726446545633
line,219,222,441,-0.19002436840665204,-1.9952106480191083,0.009070705934804524
dominated,2,8,10,-1.559367947984442,-1.9724637607075373,0.624998738665667
strength,120,129,249,-0.24768436025707707,-1.9529206418573983,0.016085256001490127
dalton,16,5,21,0.9916112768228222,1.9354286488562196,0.26249956216842035
completely,9,1,10,2.0254851263759894,1.9215480665866977,1.1111063039458897
show,21,8,29,0.7936676997135645,1.9102695712014974,0.17261880122377052
devastating,12,3,15,1.2146120868877928,1.8816708525812607,0.4166658257771114
difference,12,3,15,1.2146120868877928,1.8816708525812607,0.4166658257771114
ability,39,49,88,-0.40236514869462603,-1.8750358506801357,0.04604914402861903
season,41,51,92,-0.3923934559662907,-1.87070397833159,0.04399804425501739
huge,44,54,98,-0.37898441497234625,-1.8660863738012843,0.04124575124985888
long,38,19,57,0.5220802648803833,1.8580983835675597,0.07894727469952359
carrier,10,2,12,1.4376840035423157,1.8560443591260827,0.5999985184522607
texans,23,32,55,-0.503977217299763,-1.8436084255796525,0.07472818599396341
steelers,4,10,14,-1.0893981630232341,-1.8414202530381978,0.34999951802153345
rumbling,17,6,23,0.8698981460409358,1.8319132407931946,0.22548985490722198
redskins,8,15,23,-0.8018866738038426,-1.8316392842986489,0.19166644747456013
doesn,22,9,31,0.7223883955983661,1.825672203544306,0.15656544441647222
defensive,71,42,113,0.35444577416837486,1.8208100257144477,0.03789398978855239
wide,1,6,7,-1.9647115641467492,-1.8189721195665485,1.1666632503500947
new,1,6,7,-1.9647115641467492,-1.8189721195665485,1.1666632503500947
dominance,1,6,7,-1.9647115641467492,-1.8189721195665485,1.1666632503500947
highlights,1,6,7,-1.9647115641467492,-1.8189721195665485,1.1666632503500947
cylinders,1,6,7,-1.9647115641467492,-1.8189721195665485,1.1666632503500947
block,82,50,132,0.32426498005164994,1.8071959433170819,0.03219508755685571
running,146,151,297,-0.20905616908804614,-1.8011499526119927,0.013471818823172603
wilson,8,1,9,1.9076150563910819,1.7985201925447083,1.1249956595344217
shine,8,1,9,1.9076150563910819,1.7985201925447083,1.1249956595344217
headlines,8,1,9,1.9076150563910819,1.7985201925447083,1.1249956595344217
always,15,5,20,0.9269852911252112,1.7951007180432748,0.26666624457287635
own,15,5,20,0.9269852911252112,1.7951007180432748,0.26666624457287635
creates,5,11,16,-0.9615814950064951,-1.782820930768051,0.29090872421060515
young,2,7,9,-1.4257328219094552,-1.7782028465300683,0.6428559872141639
manhandled,2,7,9,-1.4257328219094552,-1.7782028465300683,0.6428559872141639
oakland,2,7,9,-1.4257328219094552,-1.7782028465300683,0.6428559872141639
blocks,2,7,9,-1.4257328219094552,-1.7782028465300683,0.6428559872141639
driving,53,62,115,-0.33107840559064083,-1.7697663090191156,0.034996923139697
full,43,23,66,0.4546613342647783,1.7600072145352976,0.06673399862832481
situation,34,17,51,0.5219375602469984,1.7571046987081285,0.08823518937005578
seahawks,23,10,33,0.6614633369685121,1.746276491522928,0.14347807454481432
spring,18,7,25,0.7728896292290859,1.735134133779318,0.19841241949933153
combination,6,12,18,-0.8662879700599211,-1.7325769685253112,0.24999970321515802
matchups,3,8,11,-1.1538160625258431,-1.7043005042322388,0.4583326713384704
tenacity,3,8,11,-1.1538160625258431,-1.7043005042322388,0.4583326713384704
defenders,3,8,11,-1.1538160625258431,-1.7043005042322388,0.4583326713384704
picks,3,8,11,-1.1538160625258431,-1.7043005042322388,0.4583326713384704
lay,9,2,11,1.332236212426726,1.7042041997961943,0.6111097407729146
bay,9,2,11,1.332236212426726,1.7042041997961943,0.6111097407729146
massive,51,59,110,-0.3198097640225859,-1.6726561768269805,0.03655696059179361
seal,7,1,8,1.77399663898096,1.6594247213248927,1.1428532664932
cowboys,8,14,22,-0.7327898161768553,-1.6533977240085282,0.1964283548967488
deliver,14,5,19,0.8579049641592329,1.6466895365415515,0.2714281645064281
good,1,5,6,-1.7822865318214296,-1.6269995710929306,1.1999970369045214
barreling,1,5,6,-1.7822865318214296,-1.6269995710929306,1.1999970369045214
york,1,5,6,-1.7822865318214296,-1.6269995710929306,1.1999970369045214
lanes,9,15,24,-0.6840162529548621,-1.6222878600002075,0.17777758642847025
part,9,15,24,-0.6840162529548621,-1.6222878600002075,0.17777758642847025
cardinals,12,4,16,0.9268265842613559,1.605312004232117,0.3333328057160954
lions,12,4,16,0.9268265842613559,1.605312004232117,0.3333328057160954
drops,79,50,129,0.28672941256745155,1.5866318417692062,0.0326581935303819
hero,5,10,15,-0.8661674114698492,-1.581399038130457,0.29999964385818967
quarterback,135,92,227,0.21333782408622604,1.5780325318596298,0.01827695397488765
andy,10,3,13,1.0321158005471096,1.567897806458659,0.4333325856998313
anchor,10,3,13,1.0321158005471096,1.567897806458659,0.4333325856998313
strike,10,3,13,1.0321158005471096,1.567897806458659,0.4333325856998313
need,10,3,13,1.0321158005471096,1.567897806458659,0.4333325856998313
trenches,42,49,91,-0.32799396356314237,-1.5597968850750759,0.04421764458084174
kansas,2,6,8,-1.2714784250971904,-1.5572379126616758,0.6666656114321908
another,2,6,8,-1.2714784250971904,-1.5572379126616758,0.6666656114321908
complete,8,2,10,1.2143659116104155,1.5360664274176905,0.624998738665667
arizona,8,2,10,1.2143659116104155,1.5360664274176905,0.624998738665667
houston,6,11,17,-0.7791726626880999,-1.535258318713569,0.25757546662302877
such,14,20,34,-0.5299485202966201,-1.5208047506789257,0.12142844869286741
quickly,18,8,26,0.6392544277803305,1.5044182553860306,0.18055532453972784
sealing,6,1,7,1.6197589448518626,1.4996075835608011,1.1666632503500947
chunk,6,1,7,1.6197589448518626,1.4996075835608011,1.1666632503500947
best,6,1,7,1.6197589448518626,1.4996075835608011,1.1666632503500947
newton,6,1,7,1.6197589448518626,1.4996075835608011,1.1666632503500947
necessary,6,1,7,1.6197589448518626,1.4996075835608011,1.1666632503500947
pro,6,1,7,1.6197589448518626,1.4996075835608011,1.1666632503500947
chains,46,27,73,0.3616067359176718,1.4915441595241852,0.05877610353902395
gets,13,5,18,0.7837095459322905,1.4892783298280219,0.27692268445070173
city,3,7,10,-1.020180865787971,-1.478383496993555,0.4761898516637434
opening,20,26,46,-0.4357373834932856,-1.4650342928615028,0.0884614515404337
way,45,51,96,-0.2989519993876826,-1.4616971446258074,0.04183002532139004
gaping,26,32,58,-0.38111210047265853,-1.4434462450272192,0.0697114708233306
dominate,28,34,62,-0.36766197642942355,-1.440693368299253,0.06512598739973924
space,11,4,15,0.8397278016141225,1.4382009184775315,0.34090858686559766
stalwart,19,9,28,0.5755222870144312,1.4222680441971904,0.16374248907990777
baltimore,4,8,12,-0.8660468885018675,-1.4142494862256103,0.37499955482273706
looking,102,69,171,0.2202118447537682,1.4127570178588709,0.024296650331777393
cooper,1,4,5,-1.5590395236982095,-1.3944487489328123,1.249997477331334
mahomes,1,4,5,-1.5590395236982095,-1.3944487489328123,1.249997477331334
wentz,1,4,5,-1.5590395236982095,-1.3944487489328123,1.249997477331334
paved,1,4,5,-1.5590395236982095,-1.3944487489328123,1.249997477331334
felt,1,4,5,-1.5590395236982095,-1.3944487489328123,1.249997477331334
truly,1,4,5,-1.5590395236982095,-1.3944487489328123,1.249997477331334
jordan,1,4,5,-1.5590395236982095,-1.3944487489328123,1.249997477331334
make,75,49,124,0.2547246837566277,1.3867209797394564,0.03374146160670587
engages,35,20,55,0.38818171485367614,1.3848508084893993,0.07857134195869951
sheet,14,6,20,0.675479696668015,1.3843223468064203,0.2380949258318717
matt,14,6,20,0.675479696668015,1.3843223468064203,0.2380949258318717
stat,14,6,20,0.675479696668015,1.3843223468064203,0.2380949258318717
execution,14,6,20,0.675479696668015,1.3843223468064203,0.2380949258318717
hands,29,16,45,0.4231632248202608,1.3588167611325523,0.09698264974149087
consistently,14,19,33,-0.478551159560892,-1.3586651542872918,0.12406002701783858
box,7,2,9,1.080747265253069,1.3479298743216013,0.6428559872141639
man,61,39,100,0.27618126984900293,1.3470746714754607,0.042034424282488866
off,91,93,184,-0.1958791256030432,-1.3284390148552945,0.02174167850782587
incredible,6,10,16,-0.6837585676398152,-1.3240934852353077,0.26666637964270534
key,24,29,53,-0.36257732638687834,-1.3139158061084144,0.07614935166849895
air,5,1,6,1.4373503859344012,1.3121170023293618,1.1999970369045214
winston,5,1,6,1.4373503859344012,1.3121170023293618,1.1999970369045214
lets,5,1,6,1.4373503859344012,1.3121170023293618,1.1999970369045214
dallas,2,5,7,-1.0890531711732692,-1.3016684035245765,0.6999990360430669
member,2,5,7,-1.0890531711732692,-1.3016684035245765,0.6999990360430669
guy,2,5,7,-1.0890531711732692,-1.3016684035245765,0.6999990360430669
marcus,2,5,7,-1.0890531711732692,-1.3016684035245765,0.6999990360430669
unit,2,5,7,-1.0890531711732692,-1.3016684035245765,0.6999990360430669
chiefs,7,11,18,-0.6249346499339623,-1.2925398534972619,0.23376598868968446
pass,59,38,97,0.2687488438071908,1.2920483567177197,0.043264896885724255
offensive,319,297,616,-0.10401302857215144,-1.289944897237249,0.006501793414639782
eagles,15,7,22,0.5903055815974527,1.289616163883195,0.2095235498929479
ryan,18,9,27,0.5213675385668699,1.2770851959789418,0.16666646881010536
solid,21,11,32,0.47490234797659614,1.2759556180305687,0.1385279784897937
move,41,25,66,0.32326794154769267,1.273951324620277,0.06439017511371142
open,48,52,100,-0.25367264962874536,-1.2673487550809994,0.040064064392798325
looks,8,12,20,-0.5784312055964946,-1.2672799290038306,0.20833311898867882
pave,8,12,20,-0.5784312055964946,-1.2672799290038306,0.20833311898867882
towards,10,4,14,0.7443302266924956,1.2581485823111695,0.34999951802153345
guard,10,4,14,0.7443302266924956,1.2581485823111695,0.34999951802153345
side,9,13,22,-0.5407074423251572,-1.2469359842781331,0.18803399724543587
find,10,14,24,-0.5094714596831613,-1.2304910949782726,0.171428399317547
bursts,10,14,24,-0.5094714596831613,-1.2304910949782726,0.171428399317547
value,10,14,24,-0.5094714596831613,-1.2304910949782726,0.171428399317547
dominating,3,6,9,-0.8659264011393146,-1.2246055873971111,0.49999940643031604
outstanding,3,6,9,-0.8659264011393146,-1.2246055873971111,0.49999940643031604
overwhelm,3,6,9,-0.8659264011393146,-1.2246055873971111,0.49999940643031604
turner,3,6,9,-0.8659264011393146,-1.2246055873971111,0.49999940643031604
plays,13,6,19,0.6012842652216728,1.218289807964722,0.24358943958530765
mark,11,15,26,-0.4831707101662417,-1.2171836606623971,0.1575756006683772
him,35,39,74,-0.28162729505066064,-1.2095544321478067,0.05421240242449596
detroit,8,3,11,0.8087975622018,1.1946740367479145,0.4583326713384704
seasoned,8,3,11,0.8087975622018,1.1946740367479145,0.4583326713384704
seals,14,18,32,-0.4243798847256812,-1.1909136813268741,0.12698400255728923
end,15,19,34,-0.40947079427330735,-1.1855124369086274,0.11929812913476545
valuable,25,29,54,-0.3216677326982582,-1.17863634692325,0.07448268710298735
kind,137,99,236,0.1541551267332979,1.1686381756808246,0.017400262769062806
back,278,258,536,-0.10031936802265617,-1.1604724923986918,0.007473084177332765
needed,11,5,16,0.6164805992322622,1.1429863422197861,0.29090872421060515
qb,6,2,8,0.9265093450031019,1.1347384666506481,0.6666656114321908
points,6,2,8,0.9265093450031019,1.1347384666506481,0.6666656114321908
stones,6,2,8,0.9265093450031019,1.1347384666506481,0.6666656114321908
conversion,6,2,8,0.9265093450031019,1.1347384666506481,0.6666656114321908
fantastic,5,8,13,-0.6428161013343558,-1.12757462890198,0.3249996566198769
picking,5,8,13,-0.6428161013343558,-1.12757462890198,0.3249996566198769
burst,94,93,187,-0.1631793889542994,-1.1157068682152913,0.021390965727949428
paving,6,9,15,-0.5782941533129691,-1.0972365736650054,0.2777774919849051
skill,6,9,15,-0.5782941533129691,-1.0972365736650054,0.2777774919849051
snap,119,86,205,0.15384221252943853,1.0869798921063334,0.02003124828518304
perfectly,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
away,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
nick,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
past,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
seasons,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
your,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
hustles,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
leader,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
goff,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
rip,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
fella,4,1,5,1.2141198480655095,1.0859429010326829,1.249997477331334
joe,7,10,17,-0.5295205478964675,-1.074502910621055,0.24285689738573482
surveying,21,12,33,0.38778703803518955,1.0716101742680533,0.13095223659783253
showcasing,9,12,21,-0.46056077287613206,-1.0444541754836463,0.19444425208384605
fourth,12,6,18,0.521154108529676,1.042308835742462,0.24999970321515802
browns,12,6,18,0.521154108529676,1.042308835742462,0.24999970321515802
give,12,6,18,0.521154108529676,1.042308835742462,0.24999970321515802
giants,10,13,23,-0.4352595083473654,-1.0347995678358064,0.1769229030808674
unsung,11,14,25,-0.414073843134652,-1.027704754000303,0.16233750365858945
brown,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
touchdown,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
angeles,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
cog,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
los,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
michael,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
protect,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
showcased,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
zach,2,4,6,-0.8658059493655417,-0.9997471892841493,0.7499991096454741
finds,7,3,10,0.6751788451815717,0.978427743265533,0.4761898516637434
feet,7,3,10,0.6751788451815717,0.978427743265533,0.4761898516637434
denver,7,3,10,0.6751788451815717,0.978427743265533,0.4761898516637434
taken,7,3,10,0.6751788451815717,0.978427743265533,0.4761898516637434
battles,7,3,10,0.6751788451815717,0.978427743265533,0.4761898516637434
quarter,16,9,25,0.40340947625597234,0.9681832809828441,0.17361091817804414
allowing,16,9,25,0.40340947625597234,0.9681832809828441,0.17361091817804414
lead,13,7,20,0.4470297918760249,0.9535476772498149,0.21977996976558453
exemplifies,10,5,15,0.5210830048847557,0.9513636183939543,0.29999964385818967
yardage,10,5,15,0.5210830048847557,0.9513636183939543,0.29999964385818967
maintains,10,5,15,0.5210830048847557,0.9513636183939543,0.29999964385818967
neutralize,10,5,15,0.5210830048847557,0.9513636183939543,0.29999964385818967
push,10,5,15,0.5210830048847557,0.9513636183939543,0.29999964385818967
stonewalling,10,5,15,0.5210830048847557,0.9513636183939543,0.29999964385818967
keeping,10,5,15,0.5210830048847557,0.9513636183939543,0.29999964385818967
target,3,5,8,-0.6835010839014073,-0.9359229080157789,0.5333327592854107
washington,3,5,8,-0.6835010839014073,-0.9359229080157789,0.5333327592854107
lines,3,5,8,-0.6835010839014073,-0.9359229080157789,0.5333327592854107
davis,3,5,8,-0.6835010839014073,-0.9359229080157789,0.5333327592854107
raw,3,5,8,-0.6835010839014073,-0.9359229080157789,0.5333327592854107
murray,3,5,8,-0.6835010839014073,-0.9359229080157789,0.5333327592854107
pick,31,20,51,0.2664701725211005,0.9290938517450368,0.08225797877154326
leverage,31,20,51,0.2664701725211005,0.9290938517450368,0.08225797877154326
through,128,121,249,-0.11757463393464729,-0.9272820186132339,0.01607694751728319
buccaneers,4,6,10,-0.578157167758464,-0.8956776936486519,0.41666623797735763
watson,4,6,10,-0.578157167758464,-0.8956776936486519,0.41666623797735763
receiver,70,50,120,0.16498470833455148,0.8910197088824292,0.034285679863509395
survey,5,2,7,0.7441005644870415,0.8893708952650238,0.6999990360430669
kyle,5,2,7,0.7441005644870415,0.8893708952650238,0.6999990360430669
league,5,2,7,0.7441005644870415,0.8893708952650238,0.6999990360430669
under,5,2,7,0.7441005644870415,0.8893708952650238,0.6999990360430669
sam,5,2,7,0.7441005644870415,0.8893708952650238,0.6999990360430669
invaluable,5,2,7,0.7441005644870415,0.8893708952650238,0.6999990360430669
martin,5,2,7,0.7441005644870415,0.8893708952650238,0.6999990360430669
front,36,24,60,0.23370234254225952,0.8868384925544206,0.06944437299622627
downfield,57,40,97,0.18258500908646624,0.8852111857059296,0.042543816684002825
springing,14,8,22,0.3875900041897635,0.8745214748196598,0.1964283548967488
