word,count_a,count_b,total_count,log_odds,z_score,variance
legs,2,9,11,-2.7661063405759396,-3.5384255605655057,0.6111075047834926
athleticism,1,8,9,-3.341059490184799,-3.14999708775388,1.1249885772012262
threat,5,8,13,-1.730987839675855,-3.0363577535916373,0.324999096322297
immediately,1,7,8,-3.2069626394505573,-2.9998522510007137,1.1428469414261333
playmaking,11,11,22,-1.261723233197678,-2.959006966590198,0.18181772738747104
spots,13,12,25,-1.1819270982489236,-2.952456646594159,0.16025600843274407
off,35,22,57,-0.7998182507727112,-2.9396785736227335,0.07402576870389045
back,130,18,148,0.7307679496632855,2.905752098113246,0.06324728146479165
using,2,6,8,-2.3589430551772903,-2.8891094261849877,0.6666638895961162
picks,2,6,8,-2.3589430551772903,-2.8891094261849877,0.6666638895961162
seahawks,1,6,7,-3.0522468299550667,-2.8258423531125927,1.1666576759356908
something,3,6,9,-1.9533188277152362,-2.7624142929759468,0.4999984378957981
such,3,6,9,-1.9533188277152362,-2.7624142929759468,0.4999984378957981
vikings,1,5,6,-2.8693604760341014,-2.6193642746542314,1.1999922020061837
bills,2,5,7,-2.1760561180755627,-2.600889240759931,0.6999974631443941
defenses,4,6,10,-1.6654769852796072,-2.5801493440633996,0.41666553847965515
lofts,3,5,8,-1.770431723989482,-2.424266912891446,0.533331822604407
asset,3,5,8,-1.770431723989482,-2.424266912891446,0.533331822604407
drops,102,15,117,0.6676576751909078,2.4143960705153837,0.07646992435052788
quick,5,6,11,-1.4421733882473093,-2.381673991183077,0.36666573495753674
opening,1,4,5,-2.6456524686976097,-2.366349789955625,1.2499933610743943
mobility,1,4,5,-2.6456524686976097,-2.366349789955625,1.2499933610743943
tucks,1,4,5,-2.6456524686976097,-2.366349789955625,1.2499933610743943
seattle,1,4,5,-2.6456524686976097,-2.366349789955625,1.2499933610743943
true,1,4,5,-2.6456524686976097,-2.366349789955625,1.2499933610743943
zone,7,7,14,-1.260097363537228,-2.357429250211246,0.28571357160888305
throws,38,3,41,1.286118436597448,2.1445931768576583,0.35964339440028703
takes,89,38,127,-0.41350482738689287,-2.1338617398914654,0.03755161458351094
valuable,3,4,7,-1.546723008502953,-2.025138426404541,0.5833318146198204
truly,3,4,7,-1.546723008502953,-2.025138426404541,0.5833318146198204
presence,3,4,7,-1.546723008502953,-2.025138426404541,0.5833318146198204
way,3,4,7,-1.546723008502953,-2.025138426404541,0.5833318146198204
ability,38,19,57,-0.5687801639402981,-2.0243066017115714,0.07894712177302077
touchdown,9,7,16,-1.0084621314924753,-2.0011075850597924,0.25396759905685073
