word,count_a,count_b,total_count,log_odds,z_score,variance
may,9,2,11,3.800277557907158,4.8613414777229655,0.6111085739306773
white,8,6,14,2.582535970783164,4.781931799710605,0.2916661324326641
hard,12,35,47,1.2254547893286096,3.66330966684848,0.11190444121277439
powers,6,9,15,1.8871780851113193,3.5806720700427137,0.277777248631774
gritty,5,1,6,3.9018920405122293,3.56193195480625,1.1999945138314614
inch,4,2,6,2.9845490488212274,3.446264180922702,0.7499983515073421
flashiest,4,2,6,2.9845490488212274,3.446264180922702,0.7499983515073421
nosed,7,15,22,1.530882298996949,3.344456940419895,0.20952332881693164
every,6,12,18,1.599205776857998,3.1984150687604322,0.24999945050244737
tough,12,46,58,0.9510928749435292,2.9341293248892373,0.10507208554915713
driving,4,6,10,1.885551293211619,2.9210862850387502,0.41666587294766105
fought,5,10,15,1.5984404432866715,2.9183428326351413,0.29999934060293687
easily,3,4,7,2.0025704994875513,2.621982657972805,0.5833322648653282
valuable,12,52,64,0.827907196074082,2.5851445779232285,0.10256369100179039
refusing,5,13,18,1.3357859576518871,2.5383872006219503,0.2769223502601024
hands,6,18,24,1.1931597967537115,2.5310778588267215,0.2222215709664552
physical,8,29,37,1.0047719177004533,2.5160042109758076,0.15948221165581924
needs,4,9,13,1.4797963024946137,2.462532814904878,0.36111025565893795
fighting,4,9,13,1.4797963024946137,2.462532814904878,0.36111025565893795
shoulder,3,5,8,1.7793304888255008,2.436451042701913,0.5333322704826611
short,3,5,8,1.7793304888255008,2.436451042701913,0.5333322704826611
contributor,3,5,8,1.7793304888255008,2.436451042701913,0.5333322704826611
ravens,6,19,25,1.1389957215573627,2.432233013017327,0.21929757417575663
style,6,21,27,1.0387185224998623,2.2438922019184107,0.21428500106129605
speed,3,105,108,-1.2748982826248998,-2.1773368492574834,0.3428465842004628
yardage,7,28,35,0.9054682393869351,2.1427329413568854,0.17857076132562025
determined,5,17,22,1.0671348221652126,2.0975780006900875,0.25882268879186265
keeps,3,7,10,1.4426651923040366,2.0906230203137417,0.4761893198785093
agility,2,87,89,-1.491500637362397,-2.0855056614573098,0.5114746811415463
veteran,4,12,16,1.1918241651907389,2.064303032676762,0.33333235644968284
strong,2,3,5,1.883928086699573,2.063741785244038,0.8333317458953221
exemplifies,2,3,5,1.883928086699573,2.063741785244038,0.8333317458953221
years,2,3,5,1.883928086699573,2.063741785244038,0.8333317458953221
snap,5,18,23,1.0098795920576125,1.9976880558349555,0.2555546842843635
first,7,30,37,0.8362814041278783,1.992333731198811,0.17618977616445344
jaguars,4,13,17,1.1116847404153951,1.9442832497531455,0.3269220543385594
over,3,8,11,1.309037227383353,1.9335787142018082,0.45833210764925175
bruising,3,8,11,1.309037227383353,1.9335787142018082,0.45833210764925175
fight,3,8,11,1.309037227383353,1.9335787142018082,0.45833210764925175
handing,2,4,6,1.5961497254708776,1.843076972868802,0.7499983515073421
fourth,2,4,6,1.5961497254708776,1.843076972868802,0.7499983515073421
tone,2,4,6,1.5961497254708776,1.843076972868802,0.7499983515073421
kind,18,112,130,0.46607011196477455,1.8353802742819552,0.0644837651100897
solid,3,9,12,1.1911575995709942,1.7867390175126103,0.4444431419329104
baltimore,3,9,12,1.1911575995709942,1.7867390175126103,0.4444431419329104
display,3,81,84,-1.0130487940288182,-1.723054519963027,0.34567079544178425
grind,4,15,19,0.9683904253451052,1.7208779836419057,0.31666554837988
physicality,9,48,57,0.6177664587891405,1.7007082735669374,0.13194380400190636
dynamic,1,54,55,-1.7054523083097504,-1.6899172032810552,1.0184701483743377
steelers,3,10,13,1.0857004750355452,1.6493000521661036,0.433331949089626
move,3,10,13,1.0857004750355452,1.6493000521661036,0.433331949089626
quarter,2,5,7,1.3729098173806218,1.6409431837004629,0.6999982152327499
jacksonville,2,5,7,1.3729098173806218,1.6409431837004629,0.6999982152327499
power,2,61,63,-1.1339417508931628,-1.577997154351083,0.5163795807496107
defenders,3,74,77,-0.921983766194403,-1.5655217866185749,0.3468393126250776
alright,3,12,15,0.9031856576407575,1.399211818363879,0.4166651097597806
effort,3,12,15,0.9031856576407575,1.399211818363879,0.4166651097597806
defense,6,105,111,-0.5788915957145937,-1.3791432615195371,0.1761877565217571
running,27,202,229,0.28169330305082463,1.3747312394609326,0.04198725097278198
