word,count_a,count_b,total_count,log_odds,z_score,variance
buccaneers,2,3,5,-3.057980591469043,-3.3498548849279763,0.833330853522879
titans,4,3,7,-2.364541071608585,-3.095915413342534,0.5833316642298672
man,9,4,13,-1.8426483388473383,-3.0663578591414664,0.3611097747701112
return,9,4,13,-1.8426483388473383,-3.0663578591414664,0.3611097747701112
teams,31,7,38,-1.1685553413227758,-2.7924714497726617,0.17511408795767086
special,31,7,38,-1.1685553413227758,-2.7924714497726617,0.17511408795767086
tackle,6,3,9,-1.9587828508499197,-2.7701420291741607,0.49999828320922307
close,6,3,9,-1.9587828508499197,-2.7701420291741607,0.49999828320922307
cardinals,6,3,9,-1.9587828508499197,-2.7701420291741607,0.49999828320922307
sure,3,2,5,-2.244820066942138,-2.459080835244272,0.833330853522879
eagles,9,3,12,-1.5528776250846645,-2.329321769569706,0.4444424097323373
ace,4,2,6,-1.9569917567813757,-2.2597433146690227,0.7499974248138346
jets,11,3,14,-1.3519133400451144,-2.0755967426135893,0.42424012888757934
posts,5,2,7,-1.7337018545372906,-2.0721741832881317,0.6999972119337325
clock,6,2,8,-1.5512338793673246,-1.8998700869887388,0.6666636145985059
board,6,2,8,-1.5512338793673246,-1.8998700869887388,0.6666636145985059
playmaking,6,2,8,-1.5512338793673246,-1.8998700869887388,0.6666636145985059
time,48,7,55,-0.7288300493512372,-1.8014269373133174,0.16368890180734577
points,14,3,17,-1.11031069148133,-1.7452038482901397,0.4047591913863556
young,7,2,9,-1.3969367333320317,-1.7422907451591363,0.6428538003777594
guy,7,2,9,-1.3969367333320317,-1.7422907451591363,0.6428538003777594
middle,7,2,9,-1.3969367333320317,-1.7422907451591363,0.6428538003777594
veteran,111,3,114,0.9745166545157646,1.6655972659712779,0.3423249336648221
redskins,17,3,20,-0.9157138614643223,-1.4622836400252743,0.3921537156417941
take,10,2,12,-1.03982218219521,-1.3424094585176642,0.5999957149085557
presence,28,4,32,-0.7048732437935241,-1.318703558054261,0.28571148281044323
example,11,2,13,-0.9443654090034475,-1.2285177333240165,0.5909044797171825
position,48,1,49,1.2295756444398993,1.2170044096984194,1.0207660102047393
steady,21,3,24,-0.7038166862024866,-1.1403189539941314,0.3809486437472577
league,4,1,5,-1.2617665408594796,-1.128561596591063,1.249992703660036
incredible,4,1,5,-1.2617665408594796,-1.128561596591063,1.249992703660036
shown,4,1,5,-1.2617665408594796,-1.128561596591063,1.249992703660036
remaining,4,1,5,-1.2617665408594796,-1.128561596591063,1.249992703660036
brett,4,1,5,-1.2617665408594796,-1.128561596591063,1.249992703660036
forcing,4,1,5,-1.2617665408594796,-1.128561596591063,1.249992703660036
focused,4,1,5,-1.2617665408594796,-1.128561596591063,1.249992703660036
drives,4,1,5,-1.2617665408594796,-1.128561596591063,1.249992703660036
heads,12,2,14,-0.8572074127611575,-1.1223527115111827,0.5833283928190941
long,43,1,44,1.1188412767659273,1.1060867770744636,1.0231953536625962
punt,61,2,63,0.7759717012431864,1.07985297672895,0.5163717886612131
lead,22,3,25,-0.6571495931441236,-1.0677471835075854,0.3787839927848606
good,54,6,60,-0.4539071806136201,-1.054791570265459,0.1851828678937738
