word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,21,42,63,-0.9501345392568972,-3.555082920440783,0.07142837038051272
young,6,21,27,-1.5073147854193145,-3.256179030995328,0.2142848009547062
talented,1,14,15,-2.8927904369654804,-2.794723208928418,1.071411597461894
browns,4,14,18,-1.505907118277694,-2.65617614894793,0.32142720143205933
side,10,21,31,-0.995688707852203,-2.5915107343547374,0.14761861945693797
playmaking,2,11,13,-1.9575165017834752,-2.546516445278877,0.5909053108887242
presence,19,4,23,1.3105802501679609,2.382361762514177,0.30262988878465896
veteran,49,21,70,0.6013983227193984,2.3057995767875488,0.06802699935087582
matt,16,3,19,1.426065983871326,2.266651691174407,0.39583087294748703
steady,14,2,16,1.697853453033245,2.2460580309569234,0.571423976071084
handed,11,1,12,2.1494890883028575,2.0579919698569538,1.0908954689643617
bursts,7,14,21,-0.9456918786002291,-2.042930823692386,0.2142851111415382
display,3,9,12,-1.35066761477976,-2.0260052238633444,0.44444277649212016
lions,3,9,12,-1.35066761477976,-2.0260052238633444,0.44444277649212016
ability,24,32,56,-0.541470301432259,-2.0052187056675366,0.07291649563608901
fourth,10,1,11,2.0539793828716757,1.9584036353550072,1.0999874917094856
defense,12,19,31,-0.7123660235439093,-1.9319252362251833,0.13596457322466698
ryan,11,2,13,1.4560909020118968,1.8942161787223564,0.5909053108887242
full,2,7,9,-1.5045025554434606,-1.8764483655791402,0.6428544028641187
sure,22,8,30,0.7636117690749185,1.8495627962908883,0.17045394791863366
turns,3,8,11,-1.2326272367454782,-1.8207142102479372,0.4583317637635173
great,18,6,24,0.8503339804741046,1.803834156400987,0.22222138824606008
dalton,18,6,24,0.8503339804741046,1.803834156400987,0.22222138824606008
quarter,14,4,18,1.0041955745071638,1.7712382799117163,0.32142720143205933
perfect,14,4,18,1.0041955745071638,1.7712382799117163,0.32142720143205933
formation,12,18,30,-0.6580405048775901,-1.7657101146496257,0.13888855008550474
cleveland,1,5,6,-1.860860816900333,-1.698730715605532,1.1999929746012783
placed,1,5,6,-1.860860816900333,-1.698730715605532,1.1999929746012783
david,1,5,6,-1.860860816900333,-1.698730715605532,1.1999929746012783
perfectly,1,5,6,-1.860860816900333,-1.698730715605532,1.1999929746012783
exactly,19,7,26,0.7501942356956182,1.6967334547458324,0.19548804331759878
dynamic,2,6,8,-1.3500948604012164,-1.6535248589221552,0.6666641647381801
lined,8,13,21,-0.737594427713657,-1.641440697870354,0.20192256759616936
driving,13,4,17,0.9298871259761858,1.6263286620671011,0.32692176743593004
need,13,4,17,0.9298871259761858,1.6263286620671011,0.32692176743593004
falcons,13,4,17,0.9298871259761858,1.6263286620671011,0.32692176743593004
snapped,10,15,25,-0.6576669768998507,-1.6109504789483098,0.1666662601026057
after,9,2,11,1.2550200947216057,1.6054313671267704,0.6111078620847054
asset,11,16,27,-0.6269529616632372,-1.6006999589352204,0.15340872093788077
extends,3,7,10,-1.0988385815719903,-1.5923708626548756,0.47618899545613075
upfield,3,7,10,-1.0988385815719903,-1.5923708626548756,0.47618899545613075
separation,3,7,10,-1.0988385815719903,-1.5923708626548756,0.47618899545613075
impressive,13,18,31,-0.5777972473780855,-1.587461003119172,0.13247831823602157
got,7,1,8,1.6967061210844188,1.587129629547373,1.142847952142168
heads,7,1,8,1.6967061210844188,1.587129629547373,1.142847952142168
raiders,7,1,8,1.6967061210844188,1.587129629547373,1.142847952142168
flashiest,7,1,8,1.6967061210844188,1.587129629547373,1.142847952142168
james,7,1,8,1.6967061210844188,1.587129629547373,1.142847952142168
looking,55,30,85,0.35912094839635156,1.5822453577022462,0.051515013547049925
breaks,4,8,12,-0.9447456753479502,-1.5427653987271606,0.3749989444976918
make,54,56,110,-0.2903454552918907,-1.5223344401184362,0.03637557941295634
physicality,21,9,30,0.5988503898075903,1.503104886064878,0.15872966515204356
impact,6,10,16,-0.7625393210332625,-1.4766529297839475,0.2666659861410847
route,12,4,16,0.8496439863552121,1.4716293141486532,0.33333208236909007
set,1,4,5,-1.6374609486639322,-1.4645931006793629,1.2499940188342562
carolina,1,4,5,-1.6374609486639322,-1.4645931006793629,1.2499940188342562
tremendous,1,4,5,-1.6374609486639322,-1.4645931006793629,1.2499940188342562
detroit,1,4,5,-1.6374609486639322,-1.4645931006793629,1.2499940188342562
agility,1,4,5,-1.6374609486639322,-1.4645931006793629,1.2499940188342562
skill,1,4,5,-1.6374609486639322,-1.4645931006793629,1.2499940188342562
garrett,1,4,5,-1.6374609486639322,-1.4645931006793629,1.2499940188342562
jones,1,4,5,-1.6374609486639322,-1.4645931006793629,1.2499940188342562
lead,8,2,10,1.1370370720505498,1.4382542136703367,0.6249970094171281
reliable,71,42,113,0.27812512948404766,1.428747180095006,0.03789393349204982
smith,6,1,7,1.542356093138432,1.4279492290452376,1.1666585667015443
momentum,2,5,7,-1.167516376194893,-1.3954512527835583,0.6999977144869818
chains,36,19,55,0.39107262656538033,1.3791284467991238,0.08040913741387316
rumbling,23,26,49,-0.37503731396173645,-1.3101696179724278,0.08193961343555045
moving,11,4,15,0.762432222956531,1.3058181860496108,0.3409078958372673
line,22,25,47,-0.3802105985001649,-1.3006400638965003,0.0854543514587728
secures,9,3,12,0.8492994339719777,1.2739515414619482,0.44444277649212016
steelers,5,8,13,-0.7214022946962801,-1.265424920403314,0.32499918585554355
arms,5,8,13,-0.7214022946962801,-1.265424920403314,0.32499918585554355
extra,7,2,9,1.003305741572028,1.2513447797993782,0.6428544028641187
lining,6,9,15,-0.6569212370400175,-1.246421931681108,0.2777771001710095
example,6,9,15,-0.6569212370400175,-1.246421931681108,0.2777771001710095
buccaneers,5,1,6,1.3598352391422237,1.2413576920500078,1.1999929746012783
alex,5,1,6,1.3598352391422237,1.2413576920500078,1.1999929746012783
safety,5,1,6,1.3598352391422237,1.2413576920500078,1.1999929746012783
excellent,5,1,6,1.3598352391422237,1.2413576920500078,1.1999929746012783
schaub,5,1,6,1.3598352391422237,1.2413576920500078,1.1999929746012783
valve,5,1,6,1.3598352391422237,1.2413576920500078,1.1999929746012783
extend,5,1,6,1.3598352391422237,1.2413576920500078,1.1999929746012783
haul,14,6,20,0.5982168762634963,1.2259816818099625,0.23809449772806537
comes,9,12,21,-0.539310552476624,-1.2230428068931884,0.19444398836290405
right,25,27,52,-0.32925268886405945,-1.186260406604184,0.07703686305568111
downfield,23,25,48,-0.3355577905216087,-1.1613981246883585,0.08347807224441225
off,32,33,65,-0.28320889313950826,-1.14151771767302,0.061552891635982425
really,21,23,44,-0.3430325971650223,-1.1365357721558567,0.09109710251177032
drops,47,28,75,0.26982828808245873,1.1302781886866549,0.05699073552907431
spots,10,4,14,0.6669217038400168,1.127305271480204,0.3499988572434909
savvy,10,4,14,0.6669217038400168,1.127305271480204,0.3499988572434909
big,94,61,155,0.18526647730409973,1.1268351207343392,0.027031673846798367
huge,19,21,40,-0.35202901746533843,-1.1118223680453991,0.10025039969655025
move,29,16,45,0.3460641258585859,1.1112451861222425,0.09698250047125394
spectacular,18,20,38,-0.3572484826150868,-1.0995888733076147,0.10555531655142514
middle,61,38,99,0.22541298842050317,1.0907333695007877,0.04270912495290814
free,2,4,6,-0.9441160013206202,-1.0901727892583266,0.7499978889953836
going,2,4,6,-0.9441160013206202,-1.0901727892583266,0.7499978889953836
making,13,6,19,0.5239083462827656,1.0615157946810527,0.24358902280416983
another,3,5,8,-0.7618520913704883,-1.0432102709372515,0.5333319722821694
showcased,3,5,8,-0.7618520913704883,-1.0432102709372515,0.5333319722821694
create,3,5,8,-0.7618520913704883,-1.0432102709372515,0.5333319722821694
spark,3,5,8,-0.7618520913704883,-1.0432102709372515,0.5333319722821694
see,3,5,8,-0.7618520913704883,-1.0432102709372515,0.5333319722821694
jets,3,5,8,-0.7618520913704883,-1.0432102709372515,0.5333319722821694
makes,25,26,51,-0.29125347988863837,-1.039784173110899,0.07846136165064795
combination,6,2,8,0.848955177503055,1.0397554507353692,0.6666641647381801
needs,6,2,8,0.848955177503055,1.0397554507353692,0.6666641647381801
strike,6,2,8,0.848955177503055,1.0397554507353692,0.6666641647381801
fight,6,2,8,0.848955177503055,1.0397554507353692,0.6666641647381801
open,16,8,24,0.4439530083884904,1.0252669984991498,0.1874994722488459
way,16,8,24,0.4439530083884904,1.0252669984991498,0.1874994722488459
performance,4,6,10,-0.6565490235613947,-1.0171226142660672,0.4166656502565143
dart,4,1,5,1.1364924495680544,1.0165121812338123,1.2499940188342562
win,4,1,5,1.1364924495680544,1.0165121812338123,1.2499940188342562
davis,5,7,12,-0.5876135296168785,-1.0035423456546984,0.3428563267164206
seahawks,8,10,18,-0.4744569010831583,-1.0002441269710558,0.2249994806924986
ravens,6,8,14,-0.5388807182725781,-0.9978143709317706,0.29166598254435605
expect,7,9,16,-0.5025704227792307,-0.997258424655651,0.2539676639432137
bengals,25,14,39,0.33088663395782536,0.9912461567625955,0.11142827714928955
rumbles,25,14,39,0.33088663395782536,0.9912461567625955,0.11142827714928955
target,44,27,71,0.23989082998369948,0.9812806644877576,0.05976415882207971
pass,44,27,71,0.23989082998369948,0.9812806644877576,0.05976415882207971
valuable,19,20,39,-0.3029803991193285,-0.9457460100562916,0.1026313475436561
receiver,9,4,13,0.5613608982251872,0.9341624181304536,0.36111001564770967
cowboys,9,4,13,0.5613608982251872,0.9341624181304536,0.36111001564770967
shows,9,4,13,0.5613608982251872,0.9341624181304536,0.36111001564770967
andy,9,4,13,0.5613608982251872,0.9341624181304536,0.36111001564770967
fires,59,38,97,0.19167130149130163,0.9214877492782046,0.04326483501332519
redskins,12,6,18,0.44366512727402707,0.8873315033228661,0.24999929633179452
titans,7,3,10,0.5975847412767674,0.8659839087693467,0.47618899545613075
close,7,3,10,0.5975847412767674,0.8659839087693467,0.47618899545613075
first,54,35,89,0.18512227755809985,0.8530905265093062,0.04708983092910653
reception,12,13,25,-0.33132770947648105,-0.827657287819511,0.16025604824405076
