word,count_a,count_b,total_count,log_odds,z_score,variance
handed,14,5,19,2.8298187069032483,5.4316434222500165,0.271428047948467
sure,20,29,49,1.4295165210772858,4.918191325750155,0.0844826481969096
taylor,10,8,18,2.021406850359315,4.261502484985973,0.22499971823493248
reliable,38,109,147,0.7494045690949136,3.9779850193665633,0.0354900316550245
presence,9,8,17,1.915616081789957,3.942307797411847,0.23611082064015435
heads,7,5,12,2.1336586153391224,3.6439181502935782,0.3428567000367403
chains,15,31,46,1.0728414378606894,3.4110135017019596,0.09892457705278745
allen,5,2,7,2.712830547499192,3.242455554701943,0.6999987599291271
steady,7,8,15,1.6634417495205662,3.2140767926086986,0.26785681268195666
move,15,34,49,0.9802540499376375,3.1624673648809574,0.09607827244472426
moving,6,6,12,1.7966857010573838,3.1119528204718185,0.33333292608479814
savvy,6,7,13,1.6424639372820478,2.952222462131049,0.3095234268625666
bills,6,7,13,1.6424639372820478,2.952222462131049,0.3095234268625666
route,14,33,47,0.9407543059415602,2.9495016439903687,0.10173142888233452
crisp,4,2,6,2.4892579033002455,2.8743496359330227,0.7499988546139845
buffalo,4,2,6,2.4892579033002455,2.8743496359330227,0.7499988546139845
austin,4,3,7,2.083722102444449,2.728234382247651,0.583332590953247
running,12,29,41,0.9152389253954931,2.6664445183391905,0.11781588824414382
always,5,6,11,1.6139347243268132,2.665327131457118,0.3666662112270686
veteran,20,61,81,0.683652671822137,2.6532206539689636,0.0663933056236697
tough,19,57,76,0.7000358588972997,2.6425801071793,0.07017529570241965
speed,7,117,124,-1.0270805649261954,-2.63959832842096,0.15140260000328204
raiders,6,9,15,1.3910072676851462,2.6392524712413925,0.2777774101229048
nelson,4,4,8,1.7959691285435415,2.5398854507370827,0.49999938912719716
connect,4,4,8,1.7959691285435415,2.5398854507370827,0.49999938912719716
target,22,73,95,0.5993835230087408,2.4644286444269388,0.05915304479895739
rivers,3,2,5,2.2011469630449314,2.4112372837935734,0.8333322303687145
greg,3,2,5,2.2011469630449314,2.4112372837935734,0.8333322303687145
playmaking,8,114,122,-0.8669296909189779,-2.3702998032182707,0.1337707596231322
white,4,5,9,1.5727545892524324,2.3445255836746135,0.44999943646986496
spark,5,8,13,1.3261104723533101,2.3261532293736424,0.32499955826269245
great,7,15,22,1.0343348613476264,2.259668948374334,0.20952347552477468
scott,3,3,6,1.795611111283062,2.1991668429693054,0.6666658521695963
first,17,56,73,0.6057175989996288,2.1873975107132893,0.07668050374567249
traffic,13,39,52,0.6987330323891268,2.1817954156737165,0.10256389371892101
brown,5,9,14,1.2082563181040928,2.1662153367428267,0.3111106634395264
