position,word_group,white_prob,nonwhite_prob,white_ci,nonwhite_ci,white_n,nonwhite_n,n_words,mwu_p
overall,white-associated,72.00003339510745,60.029939368307005,1.0424354938400064,1.224017204982337,3224,2788,20,1.2030859676102062e-39
overall,nonwhite-associated,62.8610142619308,65.57145572265189,1.4979866512553976,0.5979617978086611,1578,8903,20,0.0030508057803049346
QB,white-associated,47.83746911940249,52.92805254813948,4.632748086382526,11.717018302683945,176,34,10,0.517372493405192
QB,nonwhite-associated,52.02557163099681,59.467479387584504,4.803419883211157,6.0469960926952995,121,85,19,0.051276872580704194
RB,white-associated,56.456986441448954,61.270636564953904,7.669590823654963,4.215474186374121,56,178,15,0.2972840966477648
RB,nonwhite-associated,69.04565399838899,59.242174484743124,6.680994818235108,2.4095283213232452,32,482,7,0.07704993642730125
WR,white-associated,67.17287277051192,60.377135412165316,4.451176526716041,2.3645290930801792,192,667,18,0.0025571437652451732
WR,nonwhite-associated,58.90709409351991,60.288630651814685,3.5265244773608573,1.3531429981494396,233,1656,20,0.3779989073957096
TE,white-associated,75.87417824099546,73.17869082637068,3.718901207630827,4.726461703140941,227,129,7,0.3240251791104095
TE,nonwhite-associated,66.07499249723502,62.88301039083187,3.853256060403542,3.980417128066716,241,214,15,0.15517212243829545
OL,white-associated,66.06143701094688,65.17952081647945,2.6192355152436733,3.0480713926050482,518,376,16,0.6995324215537582
OL,nonwhite-associated,57.3620788392206,61.53415858897516,3.0560114414310178,2.7970478528105764,375,429,15,0.057883301827344316
DB,nonwhite-associated,69.1021523554129,61.620078200487306,15.73071040974043,2.487142470029811,12,439,4,0.27035294589394276
LB,white-associated,59.35677708836816,54.85345993153571,8.035022709020748,4.89271125758486,78,217,15,0.49933197858389455
LB,nonwhite-associated,54.29543880948363,57.85401405954699,4.0151046191576585,1.743743929601164,213,1057,19,0.10924507907476938
DL,white-associated,57.596306800208126,62.81946342549253,6.22861540516542,2.8472310487035024,90,451,14,0.07649113380473534
DL,nonwhite-associated,48.406669601750885,49.15879553270951,7.2422772246935345,2.4443197050145895,61,534,12,0.8666982409984243
