word,count_a,count_b,total_count,log_odds,z_score,variance
presence,4,5,9,-1.6729228600608312,-2.493851935477466,0.4499979147927793
long,6,5,11,-1.2669001630467855,-2.09222156837801,0.36666498142231474
talent,2,3,5,-1.8534217431455762,-2.0303267663553646,0.8333292520801714
duress,2,3,5,-1.8534217431455762,-2.0303267663553646,0.8333292520801714
before,2,3,5,-1.8534217431455762,-2.0303267663553646,0.8333292520801714
third,2,3,5,-1.8534217431455762,-2.0303267663553646,0.8333292520801714
own,8,5,13,-0.9786597176259759,-1.7166870239560907,0.32499836545841354
like,15,7,22,-0.6869499022980801,-1.5007545062827632,0.20952257364258015
quick,25,2,27,1.0853792507985895,1.4770350786643114,0.5399846451312793
pocket,28,11,39,-0.5159189818584116,-1.4498597847070525,0.12662253562833167
stride,7,4,11,-0.8881367589926494,-1.41697979609732,0.39285508140884945
scrambling,10,5,15,-0.7549572914768898,-1.3783610228533822,0.299998304711974
open,28,3,31,0.7929059344093252,1.3052241420239523,0.36903974403697193
placed,5,3,8,-0.9362965055752452,-1.2820800759410553,0.5333306007782392
steps,5,3,8,-0.9362965055752452,-1.2820800759410553,0.5333306007782392
young,5,3,8,-0.9362965055752452,-1.2820800759410553,0.5333306007782392
defenders,5,3,8,-0.9362965055752452,-1.2820800759410553,0.5333306007782392
corner,5,3,8,-0.9362965055752452,-1.2820800759410553,0.5333306007782392
unfortunately,5,3,8,-0.9362965055752452,-1.2820800759410553,0.5333306007782392
deep,58,19,77,-0.3353939106937909,-1.2688265781088606,0.06987242438837855
downfield,85,14,99,0.36592660289062984,1.2686824382578434,0.08319210462477306
impressive,8,4,12,-0.7543261797330088,-1.2318129737804417,0.37499788088996744
dodges,8,4,12,-0.7543261797330088,-1.2318129737804417,0.37499788088996744
legs,8,4,12,-0.7543261797330088,-1.2318129737804417,0.37499788088996744
looks,11,5,16,-0.6593675180534202,-1.2225037651506654,0.29090734537034557
incredible,11,5,16,-0.6593675180534202,-1.2225037651506654,0.29090734537034557
pass,83,14,97,0.3415442094350776,1.1821351100629298,0.08347561372363993
something,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
allowing,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
through,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
launching,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
closely,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
route,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
most,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
giving,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
covered,3,2,5,-1.041027430048386,-1.1403912053768115,0.8333292520801714
bomb,15,6,21,-0.5316061625725137,-1.1005329188372899,0.23333180380856758
too,6,3,9,-0.7536961717091639,-1.0658903595959748,0.4999971745199566
back,80,14,94,0.3038732331892562,1.048915303985665,0.08392745417717204
past,19,7,26,-0.44943999978096016,-1.0165116989223606,0.19548735962158198
off,12,1,13,1.0420952111286983,1.001226366495269,1.0833037449618128
defensive,28,4,32,0.5040394607041456,0.94297909810828,0.28570967273947695
step,11,1,12,0.9548058846379366,0.9141684954021737,1.0908817426997313
line,27,9,36,-0.3495005232862507,-0.9080324162406248,0.1481470319117259
eyes,4,2,6,-0.7530672643878242,-0.869569632579525,0.7499957617799349
quarterbacks,4,2,6,-0.7530672643878242,-0.869569632579525,0.7499957617799349
really,4,2,6,-0.7530672643878242,-0.869569632579525,0.7499957617799349
smith,4,2,6,-0.7530672643878242,-0.869569632579525,0.7499957617799349
being,4,2,6,-0.7530672643878242,-0.869569632579525,0.7499957617799349
secondary,4,2,6,-0.7530672643878242,-0.869569632579525,0.7499957617799349
slightly,7,3,10,-0.5992665719395287,-0.8684224773052278,0.47618750335206533
defense,7,3,10,-0.5992665719395287,-0.8684224773052278,0.47618750335206533
shows,17,6,23,-0.4058827178999094,-0.8547483904803967,0.22548857205518374
taking,10,1,11,0.8592178372690764,0.819241415319662,1.0999748875989486
beautiful,11,4,15,-0.43503424214832087,-0.745084757968961,0.34090669159034453
comes,18,6,24,-0.34844402620135106,-0.7391641860297048,0.22222054786758882
sack,40,7,47,0.3009078741320774,0.7344572629069247,0.16785490835434408
under,29,9,38,-0.2774790562083984,-0.7272109303590716,0.14559270717417036
defender,30,5,35,0.3492631376673243,0.7230484266251996,0.23333008092231436
cornerback,9,1,10,0.7535795370809479,0.7149156822044295,1.1110882285829795
decision,9,1,10,0.7535795370809479,0.7149156822044295,1.1110882285829795
drops,63,12,75,0.2166944687839214,0.6879878401311316,0.09920512921907075
rush,8,3,11,-0.4654561406769915,-0.6875266475853441,0.4583301821431024
big,14,2,16,0.5024839045089218,0.6647290907557901,0.5714193454789539
showed,14,2,16,0.5024839045089218,0.6647290907557901,0.5714193454789539
avoiding,24,4,28,0.3487656138984869,0.6457929317521072,0.29166260115289294
kind,5,2,7,-0.5296453909713721,-0.6330493989474851,0.6999954114257028
league,5,2,7,-0.5296453909713721,-0.6330493989474851,0.6999954114257028
precision,5,2,7,-0.5296453909713721,-0.6330493989474851,0.6999954114257028
streaking,19,6,25,-0.29409644359139886,-0.6280206201632815,0.21929651937132352
catch,12,4,16,-0.3477432717996569,-0.6023112838375635,0.3333308218013832
extend,12,4,16,-0.3477432717996569,-0.6023112838375635,0.3333308218013832
showing,13,2,15,0.42809670327213656,0.5636197380807231,0.5769143999484108
dropping,13,2,15,0.42809670327213656,0.5636197380807231,0.5769143999484108
offense,7,1,8,0.501709796494624,0.46931033013731066,1.1428386909579078
over,7,1,8,0.501709796494624,0.46931033013731066,1.1428386909579078
find,7,1,8,0.501709796494624,0.46931033013731066,1.1428386909579078
spiral,7,1,8,0.501709796494624,0.46931033013731066,1.1428386909579078
season,7,1,8,0.501709796494624,0.46931033013731066,1.1428386909579078
makes,7,1,8,0.501709796494624,0.46931033013731066,1.1428386909579078
placing,7,1,8,0.501709796494624,0.46931033013731066,1.1428386909579078
tackle,7,1,8,0.501709796494624,0.46931033013731066,1.1428386909579078
options,12,2,14,0.3477748492514383,0.4553473368172848,0.5833252023057859
sideline,17,5,22,-0.2223699810544577,-0.43709525782107717,0.2588213682101539
throws,6,2,8,-0.3470453584842259,-0.425043624212791,0.6666616436027664
coming,6,2,8,-0.3470453584842259,-0.425043624212791,0.6666616436027664
example,6,2,8,-0.3470453584842259,-0.425043624212791,0.6666616436027664
perfect,6,2,8,-0.3470453584842259,-0.425043624212791,0.6666616436027664
incomplete,6,2,8,-0.3470453584842259,-0.425043624212791,0.6666616436027664
favorite,35,7,42,0.1659667339822395,0.40085010069764204,0.17142655647184973
strength,21,4,25,0.21439269001224304,0.39299070857402324,0.29761538765721224
got,37,10,47,-0.13816156488251252,-0.38765119351395605,0.12702588704841675
surveying,14,4,18,-0.193033140201611,-0.34047991261480176,0.3214258209199262
making,14,4,18,-0.193033140201611,-0.34047991261480176,0.3214258209199262
display,14,4,18,-0.193033140201611,-0.34047991261480176,0.3214258209199262
dodging,11,2,13,0.2604844097355663,0.33886302897829707,0.5909015018720671
left,25,5,30,0.16553647103848768,0.3379018923951795,0.23999717906058962
him,25,5,30,0.16553647103848768,0.3379018923951795,0.23999717906058962
analysis,6,1,7,0.3472815959803288,0.3215225226833354,1.1666504046115718
air,6,1,7,0.3472815959803288,0.3215225226833354,1.1666504046115718
make,22,6,28,-0.14665139041310837,-0.3184168696146749,0.2121193232861156
launches,46,12,58,-0.10261747145969835,-0.316576636740226,0.10507149138224978
arm,34,9,43,-0.11700668848006757,-0.312132619992568,0.14052159178537066
gain,20,4,24,0.16532217696687912,0.3018373924926899,0.299996473825737
receiver,69,15,84,0.08261941560819741,0.2900113635003014,0.08115853653779509
target,42,9,51,0.09655887105364691,0.2628786931301287,0.1349191463739574
come,7,2,9,-0.19261608162030353,-0.2402354894016711,0.6428516418398524
deliver,7,2,9,-0.19261608162030353,-0.2402354894016711,0.6428516418398524
why,7,2,9,-0.19261608162030353,-0.2402354894016711,0.6428516418398524
takes,7,2,9,-0.19261608162030353,-0.2402354894016711,0.6428516418398524
avoid,7,2,9,-0.19261608162030353,-0.2402354894016711,0.6428516418398524
great,31,8,39,-0.09124598906160042,-0.2300961481907595,0.15725659536853404
unleashes,11,3,14,-0.14616469111562846,-0.22440749550285088,0.4242386465722312
full,10,2,12,0.16489525276259975,0.21288010703033763,0.599992947651474
poise,32,7,39,0.07550969049386413,0.18096589997919235,0.17410525769851595
quarterback,14,3,17,0.09583588978484947,0.15063668842739203,0.4047574391218723
end,14,3,17,0.09583588978484947,0.15063668842739203,0.4047574391218723
wide,14,3,17,0.09583588978484947,0.15063668842739203,0.4047574391218723
defenses,5,1,6,0.16468261831912834,0.15033485831811008,1.199985895302948
avoids,5,1,6,0.16468261831912834,0.15033485831811008,1.199985895302948
overthrown,5,1,6,0.16468261831912834,0.15033485831811008,1.199985895302948
new,5,1,6,0.16468261831912834,0.15033485831811008,1.199985895302948
pressure,40,9,49,0.04720410771438743,0.12794852833809875,0.1361096745022907
plays,20,5,25,-0.059010174275274885,-0.1180209154410069,0.24999759835325147
ability,20,5,25,-0.059010174275274885,-0.1180209154410069,0.24999759835325147
attempt,18,4,22,0.05940120740197585,0.107461401001452,0.3055522940637994
accuracy,31,7,38,0.043479524673377234,0.10390229509930092,0.17511336505247135
perfectly,12,3,15,-0.05887389200298099,-0.09120747939892858,0.41666266392208584
looking,12,3,15,-0.05887389200298099,-0.09120747939892858,0.41666266392208584
throw,48,11,59,0.028719524212833747,0.08591528806370813,0.11174126419504198
bit,9,2,11,0.05925584753297919,0.07580073940234315,0.6111045881275988
completion,9,2,11,0.05925584753297919,0.07580073940234315,0.6111045881275988
accurate,9,2,11,0.05925584753297919,0.07580073940234315,0.6111045881275988
first,9,2,11,0.05925584753297919,0.07580073940234315,0.6111045881275988
linebacker,9,2,11,0.05925584753297919,0.07580073940234315,0.6111045881275988
delivering,8,2,10,-0.05880598671745485,-0.07438470052471277,0.6249939958831287
side,8,2,10,-0.05880598671745485,-0.07438470052471277,0.6249939958831287
feet,16,0,16,11.559494705326657,0.06951696315685431,27650.062499858726
releases,14,0,14,11.55893370115082,0.06502400878399774,31600.071428409967
lineman,13,0,13,11.558653317043161,0.06265718279399766,34030.84615367228
bengals,10,0,10,11.557812636112308,0.05494998773791519,44240.099999773964
tight,10,0,10,11.557812636112308,0.05494998773791519,44240.099999773964
sprints,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
panthers,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
calm,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
high,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
connecting,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
safety,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
hands,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
where,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
enough,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
speed,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
sails,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
delivers,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
gives,4,1,5,-0.058738237940676896,-0.05253732951838361,1.2499879917662573
trying,9,0,9,11.557532566119352,0.05212887237273656,49155.66666641551
getting,8,0,8,11.557252574545142,0.04914638155655364,55300.12499971745
away,8,0,8,11.557252574545142,0.04914638155655364,55300.12499971745
green,8,0,8,11.557252574545142,0.04914638155655364,55300.12499971745
behind,8,0,8,11.557252574545142,0.04914638155655364,55300.12499971745
however,7,0,7,11.556972661345766,0.04597111696240728,63200.14285681993
snap,7,0,7,11.556972661345766,0.04597111696240728,63200.14285681993
exactly,7,0,7,11.556972661345766,0.04597111696240728,63200.14285681993
drive,7,0,7,11.556972661345766,0.04597111696240728,63200.14285681993
time,7,0,7,11.556972661345766,0.04597111696240728,63200.14285681993
zip,6,0,6,11.556692826477363,0.04255995354199492,73733.49999962327
towards,6,0,6,11.556692826477363,0.04255995354199492,73733.49999962327
moore,6,0,6,11.556692826477363,0.04255995354199492,73733.49999962327
receivers,6,0,6,11.556692826477363,0.04255995354199492,73733.49999962327
finding,6,0,6,11.556692826477363,0.04255995354199492,73733.49999962327
johnson,6,0,6,11.556692826477363,0.04255995354199492,73733.49999962327
gets,6,0,6,11.556692826477363,0.04255995354199492,73733.49999962327
ravens,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
hit,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
territory,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
may,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
using,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
sanders,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
release,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
surveys,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
buying,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
john,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
himself,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
read,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
reed,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
hall,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
which,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
center,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
way,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
patriots,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
excellent,5,0,5,11.556413069896106,0.03885080383886304,88480.19999954793
still,13,3,16,0.021448324248267703,0.03348635823244927,0.4102521778182571
right,13,3,16,0.021448324248267703,0.03348635823244927,0.4102521778182571
get,17,4,21,0.0019626892865183265,0.003531820006729931,0.3088203984249166
