word,count_a,count_b,total_count,log_odds,z_score,variance
impressive,5,8,13,2.004823384693731,3.516698728911719,0.3249989140674666
momentum,4,4,8,2.47354177952786,3.4981215849165306,0.49999849827752435
bounce,4,1,5,3.860319458137093,3.452785707668008,1.2499920221326466
able,4,8,12,1.7797445475079874,2.906316131529775,0.374998592136659
bengals,4,9,13,1.6617988281914595,2.76540600309355,0.36110964994650147
hit,3,7,10,1.6238252583000383,2.353151238779927,0.476188501139051
break,4,13,17,1.2934229187770967,2.2621371052529313,0.32692133028733994
outside,4,14,18,1.2191520793475625,2.150388254113033,0.32142674408369243
showed,2,4,6,1.776535912042121,2.05137082482177,0.749997184273318
path,2,5,7,1.553230225626061,1.8564692450055436,0.6999969515089153
getting,3,11,14,1.1711897475244246,1.7981317050468002,0.42423991448583553
scrimmage,3,12,15,1.0840156828237397,1.6793552337194704,0.41666400737754894
blockers,2,6,8,1.370746457086189,1.678818895155601,0.6666633295142961
agility,1,59,60,-1.6186996224787018,-1.6052249093797257,1.0168590311567747
contact,2,7,9,1.2164335103134585,1.5171634557264986,0.6428534881673849
opening,2,7,9,1.2164335103134585,1.5171634557264986,0.6428534881673849
quarterback,5,30,35,0.6794795424420688,1.4066628048048468,0.23333117253726185
elusive,2,8,10,1.0827398062618308,1.369573930965365,0.6249960110663233
clear,2,8,10,1.0827398062618308,1.369573930965365,0.6249960110663233
zone,2,8,10,1.0827398062618308,1.369573930965365,0.6249960110663233
burst,4,23,27,0.7212480574575153,1.3313695497662887,0.293475650083408
back,5,33,38,0.5836790154168838,1.2162600871477496,0.2303006953022938
tackler,2,56,58,-0.8709950012719414,-1.2103746498781915,0.5178353409898647
nothing,1,38,39,-1.175331384963159,-1.1601983084923893,1.026257184992117
full,1,37,38,-1.148500722507662,-1.1333196282091307,1.0269699229737543
himself,2,10,12,0.8592715200669714,1.109319093659357,0.5999953146527213
sideline,6,45,51,0.455819351765693,1.048798463356008,0.18888672364827327
something,1,33,34,-1.0334409790752224,-1.0181551464612526,1.0302519273065627
created,3,19,22,0.623343692267496,1.0033576662818307,0.38596114991511055
around,2,11,13,0.763798922642601,0.9936205352257643,0.5909040490017441
analysis,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
reads,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
tony,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
drive,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
smith,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
chris,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
mark,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
perfectly,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
trademark,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
long,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
gaining,1,4,5,1.081467216315839,0.9672967712389323,1.2499920221326466
elusiveness,4,77,81,-0.49591250059420755,-0.9670394666537419,0.26297939020927513
defender,4,29,33,0.48846709208138517,0.9158192007393503,0.2844796024209876
