word,count_a,count_b,total_count,log_odds,z_score,variance
over,4,6,10,1.651535880885505,2.5585526996253303,0.41666526135124815
line,13,49,62,0.735001219307172,2.355934948954904,0.09733062891237934
using,5,11,16,1.2690419201539251,2.352871553364559,0.29090788881083823
completion,3,4,7,1.768295586811977,2.3152461478229194,0.5833314415622235
clear,3,4,7,1.768295586811977,2.3152461478229194,0.5833314415622235
around,3,5,8,1.5449769967877156,2.115550612198935,0.5333314515082991
moore,3,5,8,1.5449769967877156,2.115550612198935,0.5333314515082991
read,3,5,8,1.5449769967877156,2.115550612198935,0.5333314515082991
drops,5,13,18,1.1016365206691132,2.093436343504962,0.2769217903343295
impressive,4,10,14,1.1400086315788984,1.926970640277751,0.3499984199954426
wide,4,10,14,1.1400086315788984,1.926970640277751,0.3499984199954426
sets,3,6,9,1.3624802925418527,1.926841857469756,0.49999805418003385
snap,8,30,38,0.7365374323753171,1.8510152797134527,0.1583323433461778
chargers,2,3,5,1.6493160336674286,1.8067382390362958,0.8333305227024963
handoff,2,3,5,1.6493160336674286,1.8067382390362958,0.8333305227024963
back,7,26,33,0.7454307520090229,1.7506018204465685,0.18131755697105195
behind,6,22,28,0.7576594150031566,1.6450659217991987,0.2121199113378174
third,2,4,6,1.361459238787325,1.5720807749982668,0.7499970812700507
brees,2,4,6,1.361459238787325,1.5720807749982668,0.7499970812700507
seahawks,2,4,6,1.361459238787325,1.5720807749982668,0.7499970812700507
bills,2,4,6,1.361459238787325,1.5720807749982668,0.7499970812700507
cuts,2,4,6,1.361459238787325,1.5720807749982668,0.7499970812700507
launches,4,13,17,0.8771176552396804,1.5340385257442632,0.32692126639306146
coverage,6,24,30,0.6702958629504199,1.4685495151597008,0.20833195504865204
made,3,9,12,0.956489348961,1.4347377457621437,0.44444213829115703
leaps,1,32,33,-1.4173867104399385,-1.3957807446091082,1.0311985826099122
air,4,63,67,-0.7098895573430113,-1.376762416664526,0.26586647124098595
diving,2,5,7,1.138140830369144,1.3603415524063442,0.6999968399908852
defense,2,5,7,1.138140830369144,1.3603415524063442,0.6999968399908852
slant,2,5,7,1.138140830369144,1.3603415524063442,0.6999968399908852
plays,2,41,43,-0.9723139073285134,-1.3427221150370339,0.524373470521059
route,1,30,31,-1.3524980779738822,-1.3305358748891527,1.0332850255056427
man,3,10,13,0.8509534583294132,1.2926947558504205,0.4333308824702607
look,3,10,13,0.8509534583294132,1.2926947558504205,0.4333308824702607
