word,count_a,count_b,total_count,log_odds,z_score,variance
drops,71,33,104,1.8707085355542583,8.879241410781262,0.04438748391726856
downfield,90,67,157,1.401094227744763,8.68313158264421,0.02603645923759782
receiver,76,60,136,1.3401915394804362,7.760327407746625,0.029824533190670452
back,103,110,213,1.039996636932651,7.58502974726138,0.01879962961943106
launches,50,25,75,1.7942828800477164,7.325133396434858,0.05999993099014829
pass,94,100,194,1.0428106066433411,7.258864704958436,0.020638278846025617
sack,45,18,63,2.0169320318647195,7.232089427195843,0.07777767400743255
target,45,20,65,1.9114486657568301,7.112585246598684,0.07222213269401964
pressure,40,19,59,1.8440967138054374,6.618578771566,0.07763148679166151
arm,35,14,49,2.0153312385668825,6.373041204985352,0.09999986658098468
accuracy,33,7,40,2.6496981047224955,6.367557590030768,0.1731597806982161
favorite,36,16,52,1.9100324212869468,6.356976093429113,0.09027766586752456
poise,32,7,39,2.618742098329454,6.276028601237785,0.17410675916085866
throw,55,50,105,1.1958329025504408,6.11987281588278,0.038181782889826675
pocket,30,13,43,1.9344280243085041,5.825737671708826,0.11025627121738334
under,29,12,41,1.9804462750413725,5.7698037532821935,0.11781593853424507
avoiding,26,6,32,2.564209188804468,5.661626535791612,0.2051277744031595
speed,22,211,233,-1.1763498087296878,-5.25063781863271,0.05019365806259301
strength,23,11,34,1.834612507786412,5.004554334958353,0.13438719293457074
agility,13,152,165,-1.3724547782537027,-4.749530907703615,0.08350157183139639
through,23,191,214,-1.0308860836602705,-4.670735062522564,0.048713674152067656
defensive,33,34,67,1.0675893645438892,4.368813098714673,0.05971474003895418
surveying,14,4,18,2.3485504680996456,4.142457260794684,0.32142801160415513
lineman,14,2,16,3.041818837737642,4.023954700698995,0.5714266936139376
deep,67,108,175,0.6217295473480347,3.997900537331493,0.024184607555735718
hole,14,124,138,-1.0928308995095382,-3.8760482928572557,0.07949275950577211
extend,12,4,16,2.194032528826937,3.8001787272731518,0.3333328221494896
options,12,2,14,2.887301117543023,3.780369912661365,0.5833316783780065
elusiveness,7,91,98,-1.4757994255466098,-3.762576352751901,0.15384522827501293
however,11,2,13,2.800106272500357,3.6426273687622364,0.5909075462696728
completion,12,6,18,1.7884450773351652,3.5768922116775976,0.2499997124589512
wide,18,16,34,1.2135698262755525,3.532008632332955,0.11805544617455142
bit,10,3,13,2.299086933824662,3.4925666883855153,0.4333326089859433
decision,10,3,13,2.299086933824662,3.4925666883855153,0.4333326089859433
streaking,23,26,49,0.9734897315177378,3.4008237756055424,0.08193972336834479
bursts,10,92,102,-1.1295662717119273,-3.3923954639438807,0.11086909040774508
defenders,12,100,112,-1.0307536354956772,-3.373939816126218,0.0933329703528253
scrambling,11,6,17,1.7012500928790288,3.3520918230731747,0.257575475685173
accurate,9,2,11,2.5990687467911053,3.3247435235941585,0.6111097834540288
may,9,3,12,2.1935429492716585,3.2903169468437508,0.44444376286598614
takes,25,147,172,-0.6825656345411568,-3.1550734316378772,0.04680259081664154
great,37,57,94,0.6646307146555337,3.1481468997007225,0.04457084177592223
delivering,8,3,11,2.075576482270586,3.0658317912430313,0.45833269195725135
vision,4,58,62,-1.5835123145147225,-3.063169635254554,0.26723958808712145
showed,18,20,38,0.9901805240075747,3.047712756802834,0.10555545789096518
tackler,6,65,71,-1.2920577700926277,-3.028211140029122,0.1820503669720538
placing,8,1,9,3.1743090597243917,2.9927728758161756,1.1249957947241158
still,16,17,33,1.0347330680265925,2.97068094662262,0.12132341757293652
air,12,88,100,-0.902179397033839,-2.9317410652804052,0.09469664426680847
bomb,18,21,39,0.9413289064846193,2.9305908807930563,0.10317450711021738
deliver,7,2,9,2.3473876337516577,2.927709309377805,0.6428560232083103
tight,11,9,20,1.2956010428881193,2.8825317011895355,0.20202001237976874
dropping,17,20,37,0.9328382554754038,2.827776929997225,0.1088234279545165
route,4,51,55,-1.4544643537173023,-2.801161202328014,0.2696062519411022
handoff,13,88,101,-0.8219532153008249,-2.766305339535257,0.08828643233651617
bursting,5,54,59,-1.2884815104420406,-2.7563550270169617,0.21851742345945793
unleashes,11,10,21,1.1901791682296716,2.7239506830589564,0.19090891444913338
bengals,17,21,38,0.8839866383605219,2.7094941310741425,0.10644247689487069
throws,6,2,8,2.1930536693917766,2.685933293783431,0.6666656442989792
zip,6,1,7,2.8862608199329323,2.6721620708330476,1.166663356756013
before,9,68,77,-0.9313489324659177,-2.6256905288865577,0.12581654845771134
step,15,18,33,0.9127909184915106,2.6109371989776213,0.12222210788734729
leaps,2,39,41,-1.878972169864964,-2.5916578995809507,0.5256362976049258
trying,11,11,22,1.0948076154238295,2.567552627922812,0.18181801452151775
rush,8,6,14,1.3822457731277265,2.5594230657405386,0.2916663871127951
move,13,83,96,-0.7631484623963525,-2.558496297589249,0.08897100194450212
ability,33,160,193,-0.4890073123768426,-2.5577268652363836,0.036552945298707964
nothing,4,45,49,-1.328932288783042,-2.5470777308910395,0.27222080214481187
delivers,6,3,9,1.7875276673991474,2.527947324130685,0.4999994249179024
quickness,9,65,74,-0.8860436340508864,-2.491253478886923,0.1264952981319177
veteran,5,1,6,2.7037562357456615,2.4681834195549692,1.1999971291942837
good,5,1,6,2.7037562357456615,2.4681834195549692,1.1999971291942837
avoids,5,1,6,2.7037562357456615,2.4681834195549692,1.1999971291942837
known,5,1,6,2.7037562357456615,2.4681834195549692,1.1999971291942837
overthrown,5,1,6,2.7037562357456615,2.4681834195549692,1.1999971291942837
inside,4,43,47,-1.2833469713644439,-2.455050713863687,0.2732544508217009
