word,count_a,count_b,total_count,log_odds,z_score,variance
pressure,199,130,329,1.4870294800717732,13.186208544146284,0.012717427687881502
pocket,129,39,168,2.2544632410158343,12.33717812933471,0.03339293917932268
under,156,89,245,1.6201956518408354,12.196685487628173,0.017646203152474577
poise,114,31,145,2.359458962532452,11.648281929400355,0.04102996148020445
receiver,154,117,271,1.3328276809093396,10.867827616416163,0.015040508708630579
arm,95,34,129,2.083184410245564,10.42399661373078,0.03993805496703949
accuracy,79,17,96,2.591108512344384,9.691437626122246,0.07148168677769187
deliver,75,19,94,2.4275538843386704,9.451757466883567,0.06596485608775536
speed,49,538,587,-1.3578935738233788,-9.099894299425364,0.022266849335148706
throw,93,66,159,1.3975782202429503,8.68342579233876,0.025904192193411064
confidence,56,25,81,1.8593235488637951,7.729948428910365,0.05785711133763667
agility,34,371,405,-1.3482430388208302,-7.524325468276052,0.032107110852305276
erupts,60,45,105,1.3402959899070073,6.7965425864940165,0.038888872459118526
shotgun,44,22,66,1.745135279691917,6.683360988066984,0.06818178361529235
through,70,462,532,-0.8451665299739384,-6.589565494774425,0.016450193927561176
strength,99,117,216,0.8866522574459079,6.492875359730258,0.018648010978963542
handoff,23,267,290,-1.4081449308702005,-6.479901747124513,0.04722346722643027
crowd,82,94,176,0.9164238640833275,6.064723393277326,0.022833410476262708
snap,169,270,439,0.5865020851271705,5.979469192282314,0.009620859128814023
connecting,30,7,37,2.506588005375602,5.971616941547815,0.17619031472626218
steps,30,7,37,2.506588005375602,5.971616941547815,0.17619031472626218
precision,40,28,68,1.408185048141135,5.714975559702717,0.06071425950674263
threading,27,7,34,2.4009925183742684,5.66086022449691,0.1798940297246294
needle,27,8,35,2.2674338439213884,5.6328429104332605,0.16203691639997586
laser,31,16,47,1.7125316443186698,5.563276207682722,0.09475801736715642
tight,51,49,100,1.0918030014406979,5.457924202699985,0.04001599015985509
launches,61,67,128,0.9582705522223236,5.414839208097269,0.03131880299903068
chemistry,32,20,52,1.5211056748014675,5.336392925105069,0.08124996333931604
beautiful,28,14,42,1.7441000302362326,5.328314956084843,0.10714280282403085
line,138,642,780,-0.4950763973116974,-5.276332941462141,0.00880400052074209
flick,23,8,31,2.1067779736035623,5.132712936937992,0.16847815075930045
wrist,23,8,31,2.1067779736035623,5.132712936937992,0.16847815075930045
being,24,206,230,-1.1044539647639349,-5.120629038212599,0.04652095352442241
decision,25,12,37,1.7847417595989379,5.082007055292457,0.1233332692223125
builds,22,7,29,2.195806612755714,5.060059253999976,0.18831155614232248
strike,25,13,38,1.704671701671706,4.985293612485427,0.11692301899561121
both,30,21,51,1.4075929028904497,4.947232818082466,0.08095234600899015
bursting,8,134,142,-1.7722999748402959,-4.869576490211561,0.13246223502388224
quarterback,123,566,689,-0.4832203099784076,-4.857318170778674,0.009896856081558283
makes,108,171,279,0.5933990430732861,4.8278611415016,0.015107205690036766
moving,42,42,84,1.0512834060182374,4.817586761889596,0.047619028305684416
streaking,34,31,65,1.143330883341715,4.604003554551744,0.06166980410313558
deep,75,108,183,0.68742133841039,4.5734092689371515,0.022592582813509968
between,25,17,42,1.4362982683255714,4.568930495091511,0.09882348631300092
stepping,21,11,32,1.697113900769418,4.559761198672405,0.13852807018270746
beam,19,8,27,1.915409619144369,4.544663152506263,0.17763147822808437
connection,19,8,27,1.915409619144369,4.544663152506263,0.17763147822808437
textbook,31,27,58,1.1889823587873503,4.516731059546741,0.06929507317979183
accurate,16,4,20,2.43658086142314,4.358690229340892,0.31249973066926656
off,57,304,361,-0.6287228552420174,-4.3559221550176135,0.02083331000894627
dart,20,12,32,1.5612067286900881,4.275541693805648,0.1333332720455989
accelerates,9,111,120,-1.46549811484602,-4.228418184668985,0.12011981771564598
vision,11,118,129,-1.326017961748211,-4.206223781137358,0.09938344910399892
hitting,20,13,33,1.4811366662910679,4.157429885827768,0.12692302059477062
scans,36,40,76,0.945507243565948,4.115659136337109,0.05277775625321339
separation,18,143,161,-1.025841164928516,-4.101774785788448,0.06254846018282545
brought,15,129,144,-1.1049804299376218,-4.0505519714590354,0.07441847311075109
run,9,103,112,-1.3904773877183167,-4.0003251646803895,0.12081956643348864
after,9,103,112,-1.3904773877183167,-4.0003251646803895,0.12081956643348864
chains,49,66,115,0.7533401689334198,3.9949587993792948,0.035559663350094126
read,90,152,242,0.5279648949461047,3.9695430188079976,0.017690050296757125
break,8,98,106,-1.4584396959677228,-3.9663781612469204,0.13520374352375153
feels,15,7,22,1.812266541287582,3.9591822746258756,0.20952369864673004
calm,20,1,21,4.046410799122922,3.948900622029027,1.0499957307733292
asset,28,177,205,-0.797465710350604,-3.921037735195201,0.041363948875988654
key,19,141,160,-0.9575560418214808,-3.918238783642601,0.05972368601764897
rush,18,12,30,1.4556896679053661,3.9060261200095936,0.138888827864029
collapse,13,4,17,2.2287068544993627,3.897896619817257,0.3269228410594386
explosive,15,124,139,-1.0653122764215581,-3.896963814089475,0.07473105568329683
throws,14,6,20,1.8973734209932056,3.8884594948503084,0.2380951047410917
around,14,6,20,1.8973734209932056,3.8884594948503084,0.2380951047410917
corps,17,11,28,1.485491720946717,3.8389470309673177,0.14973255374667083
cornerback,16,126,142,-1.0167508535623178,-3.8310338537158257,0.07043639363759122
tackler,7,89,96,-1.4954710447530566,-3.8096666737933713,0.15409269815304036
solid,22,149,171,-0.8661241261127213,-3.7921618107585586,0.052165881641648114
tackles,5,81,86,-1.737692226306744,-3.770959432521973,0.21234497875769032
athleticism,21,144,165,-0.8784519705968279,-3.7606875392124146,0.05456341457601685
spiral,40,52,92,0.7884882188186504,3.749152047270303,0.04423075067065615
alive,19,15,34,1.286609528398258,3.7250304345639926,0.11929819587080162
duress,12,2,14,2.8417872521949707,3.7207752385292205,0.5833326038522272
spirals,12,2,14,2.8417872521949707,3.7207752385292205,0.5833326038522272
formation,35,43,78,0.8448551108700384,3.711105273350253,0.051827221057852146
unleashes,13,6,19,1.8231872268031992,3.6940424866919543,0.24358961376263438
create,16,121,137,-0.9761221846602384,-3.669415701566123,0.07076435238799106
finally,5,77,82,-1.6869388929814306,-3.6553037394143675,0.21298634503207015
drops,172,351,523,0.3397344885906479,3.650116162225139,0.00866295189148792
bursts,18,128,146,-0.914614718699517,-3.633317201133862,0.06336796236775674
composure,12,5,17,1.9254151487237596,3.6172262427289903,0.28333317149543324
phenomenal,5,75,80,-1.6605667889544753,-3.595238052175535,0.2133326815220427
pushed,8,86,94,-1.327490412366898,-3.5913866415270146,0.1366276065516813
side,7,82,89,-1.4133620062384953,-3.5893422825886994,0.15505189379156856
route,28,166,194,-0.7330012304780382,-3.587873867366665,0.04173833049193543
begins,11,2,13,2.754697729401058,3.583553276630738,0.5909084100537805
leaps,6,78,84,-1.5174704563169463,-3.581822859942503,0.17948670351106577
perfectly,89,159,248,0.4714967185162875,3.5616111552806107,0.017525254893763234
defender,57,272,329,-0.516614166169072,-3.5464223975950055,0.02122030880064603
center,11,4,15,2.0614963759087894,3.530721169158674,0.34090887565394107
crucial,76,131,207,0.5070473522085228,3.5164617021894835,0.020791472809409114
traffic,7,79,86,-1.3760083730785535,-3.489272739888611,0.15551501199387407
effectively,12,6,18,1.7430663043321566,3.48613349235693,0.24999987325607198
second,6,75,81,-1.4781675282882567,-3.4840787207208375,0.1799995408026774
avoid,10,2,12,2.6593094105296036,3.4331554966114495,0.5999993672947112
pass,106,201,307,0.41208231451880106,3.432937181788467,0.014409079560476223
past,17,118,135,-0.8902310750789173,-3.4316393733715183,0.06729800898787429
scrimmage,8,81,89,-1.2674551775135603,-3.4199956970425465,0.13734539425673548
burst,12,96,108,-1.0319882981366808,-3.3704624446484766,0.09374984553103129
level,7,75,82,-1.3239389936212032,-3.34997198337655,0.1561901338715301
spots,34,46,80,0.7482656975588649,3.308486062747626,0.05115087343980325
secondary,3,60,63,-1.947992769968769,-3.2927154494213227,0.3499985769244431
receiving,18,17,35,1.1072461576120993,3.2739418477655042,0.11437903850157874
breaks,10,85,95,-1.092467366883147,-3.267807857519832,0.11176451056540053
completion,11,6,17,1.65597672008672,3.262885537655047,0.2575756333224775
why,60,272,332,-0.4650853050406907,-3.2607977476341206,0.020343117643129092
instincts,5,64,69,-1.5016604365864454,-3.233871431095374,0.2156244368839277
stride,39,57,96,0.6711473774305414,3.229625063822451,0.04318486649880307
offensive,30,162,192,-0.6393502812497545,-3.216670874827313,0.03950612809400556
leader,10,1,11,3.3524829394736706,3.196470337344779,1.099997747003683
precise,26,32,58,0.8426640059161148,3.191554021944693,0.06971150957619981
