word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,90,439,529,0.9028828889106144,7.802923770298188,0.013388999234769394
savvy,31,101,132,1.2968564934279758,6.316066202247419,0.04215901882765782
chargers,10,19,29,1.8317977581948908,4.688732434570429,0.1526314907667411
experience,16,51,67,1.3154290570944802,4.590661705958581,0.08210777468526921
francisco,4,2,6,3.165399583813718,3.6550896915166415,0.7499995535398255
smart,4,2,6,3.165399583813718,3.6550896915166415,0.7499995535398255
gaines,4,2,6,3.165399583813718,3.6550896915166415,0.7499995535398255
lynch,4,3,7,2.759908869269492,3.6135698404599084,0.5833330439609583
eric,6,12,18,1.7794598406688245,3.5589207406153895,0.24999985117994186
jeff,4,4,8,2.472201110344021,3.496221171655118,0.49999976188786727
may,4,4,8,2.472201110344021,3.496221171655118,0.49999976188786727
fox,4,4,8,2.472201110344021,3.496221171655118,0.49999976188786727
carr,4,4,8,2.472201110344021,3.496221171655118,0.49999976188786727
close,13,54,67,1.0496330025771083,3.397573489378461,0.0954414955711544
steve,4,5,9,2.2490318401408684,3.352659537011002,0.4499997803415615
heads,32,206,238,0.6134367153333988,3.2284214746307964,0.036104312254202915
mike,6,15,21,1.5562389360908853,3.2217217880516094,0.23333317221083663
possession,5,11,16,1.683869412818745,3.121978434622456,0.2909089070314636
shine,4,7,11,1.9125081229214844,3.0513082377272798,0.3928569257013313
waters,3,3,6,2.471920985841347,3.027473270772634,0.666666349183823
front,10,41,51,1.0620967144433928,3.0114186124231543,0.12439011524123571
patriots,3,4,7,2.1842132269158547,2.859807122546716,0.5833330439609583
presence,24,158,182,0.5898150876546051,2.6922457269486,0.047995703618041154
slot,3,5,8,1.9610439646497424,2.685270763893388,0.5333330454822481
grab,3,5,8,1.9610439646497424,2.685270763893388,0.5333330454822481
scott,3,5,8,1.9610439646497424,2.685270763893388,0.5333330454822481
tim,3,5,8,1.9610439646497424,2.685270763893388,0.5333330454822481
thompson,3,5,8,1.9610439646497424,2.685270763893388,0.5333330454822481
athleticism,7,229,236,-1.0205122823375898,-2.659687969075889,0.14722280719552006
reliable,9,40,49,0.9811482354255663,2.659427032328695,0.13611095977590182
flashiest,3,6,9,1.7786966843312682,2.515457723030576,0.4999997023598837
shift,4,12,16,1.3733828296481931,2.378769783216424,0.3333330687644062
matt,3,7,10,1.6245202735092388,2.3541543056210337,0.47619016302720446
securing,6,25,31,1.045155383456608,2.299036532161129,0.20666644981545418
