word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,101,87,188,1.5278956424661434,10.445643623723944,0.021395230757996
savvy,20,4,24,2.9797047960800596,5.440175764741163,0.2999995596088872
years,18,9,27,2.0629589893174947,5.053198667277521,0.1666665490407318
impressive,20,215,235,-1.012137422888319,-4.329526918232513,0.05465099550337623
stalwart,13,7,20,1.9882251151873458,4.241030547908648,0.2197800711462588
hands,15,14,29,1.438209741638178,3.8701963357111224,0.13809515994039076
force,30,244,274,-0.7328434025429509,-3.78784280629113,0.037431606744649196
dominant,7,117,124,-1.4518132060882136,-3.7311514620789468,0.15140343445246598
speed,6,102,108,-1.468368491698194,-3.4954245799058574,0.17646973840174654
quickness,16,156,172,-0.9129532368102371,-3.4778208254993976,0.06891006474363376
leverage,18,24,42,1.0815987023618465,3.4688339693915378,0.09722216504293903
agility,4,91,95,-1.7596060195444174,-3.444337701775433,0.2609873315908143
frame,29,53,82,0.766790987030828,3.319763553126734,0.053350647382747765
reliable,7,2,9,2.6212899348763203,3.2693246962243,0.6428564558259642
technique,44,99,143,0.5593198302610043,3.086997652081285,0.032828257857526376
experience,8,6,14,1.6562072861930108,3.066700891703658,0.29166649512881704
phillips,6,2,8,2.467000221276396,3.0214472903323495,0.6666660393285304
may,6,3,9,2.0615000186266803,2.915402313955189,0.49999964712219547
chance,9,9,18,1.3685583150333152,2.9031514145943134,0.22222209675453358
incredible,8,89,97,-1.0436112141071918,-2.827441019700983,0.13623552373592543
got,22,41,63,0.7467063261611484,2.8254197194307755,0.069844742030993
powerful,50,299,349,-0.4244639960899139,-2.7781079550967145,0.023344441093965038
seasoned,6,4,10,1.7737827092273868,2.7479331974449233,0.4166664118104416
bennett,6,4,10,1.7737827092273868,2.7479331974449233,0.4166664118104416
fast,5,2,7,2.2845396554576896,2.7305482730798976,0.6999994269265278
situation,28,59,87,0.6241016734496068,2.7195741252789314,0.05266339987422397
jim,5,1,6,2.977721496441279,2.7182773844576156,1.1999982384355488
use,5,1,6,2.977721496441279,2.7182773844576156,1.1999982384355488
nosed,5,1,6,2.977721496441279,2.7182773844576156,1.1999982384355488
full,30,65,95,0.596310998414066,2.701646257923948,0.048717912571755846
athleticism,1,59,60,-2.711848926346547,-2.6891776323343484,1.0169322098158535
blocker,27,57,84,0.6221515976721825,2.6630299209292794,0.054580856858834535
get,49,123,172,0.4497324601594537,2.6622006502466964,0.028538221133423792
disruptive,14,114,128,-0.7316114164380458,-2.583404663307777,0.08020031411237113
anderson,6,5,11,1.5506038632502355,2.560738736206092,0.3666664561946219
give,7,7,14,1.368350741760505,2.559950552982927,0.285714124398686
textbook,17,31,48,0.7681195208289191,2.545151487360648,0.09108153293989665
changing,9,85,94,-0.8795621960319853,-2.509192213363889,0.12287548571130782
impact,43,254,297,-0.4115476746422875,-2.495705787105126,0.027192775182510575
white,8,10,18,1.1452402309505354,2.414379097198445,0.22499986978806713
tackle,83,241,324,0.30470547641398404,2.3941729585142726,0.016197555512551958
read,16,30,46,0.7401808173094295,2.391000550534496,0.09583326817836534
mike,7,8,15,1.2347839945831671,2.385830021628267,0.2678569902734713
jeff,4,2,6,2.061257123894145,2.380135550595793,0.749999470683293
wright,5,4,9,1.5913220916533115,2.3722036004432163,0.44999973957613426
used,14,25,39,0.7888695187389931,2.3632356968326986,0.1114284976405219
display,36,90,126,0.4531605317433005,2.297944249503867,0.03888885705147377
falcons,17,34,51,0.6756398794363472,2.274543568943332,0.0882352318450933
physicality,3,43,46,-1.2960659735041569,-2.1704207419618853,0.3565876973906265
barnett,4,3,7,1.6557568506689284,2.1678952376825458,0.5833329902576341
armstrong,4,3,7,1.6557568506689284,2.1678952376825458,0.5833329902576341
excellent,5,5,10,1.368143240971122,2.163225014100153,0.39999977415816046
ryan,5,5,10,1.368143240971122,2.163225014100153,0.39999977415816046
pays,5,5,10,1.368143240971122,2.163225014100153,0.39999977415816046
powering,32,81,113,0.4404988844051587,2.1097124661983218,0.0435956429977704
lined,14,100,114,-0.6000856639855137,-2.1029322933622794,0.08142840401437378
bills,18,39,57,0.5955592984187028,2.090048186504804,0.0811965209529264
performance,3,41,44,-1.2483671666157496,-2.087225622570535,0.35772218970689706
powerhouse,1,32,33,-2.099097107019654,-2.0670572865251846,1.0312406750080092
quickly,15,104,119,-0.5703164192433556,-2.0649290177986237,0.07628189886979941
saints,7,10,17,1.0115697092245277,2.0526764795584596,0.24285699692414564
buffalo,9,15,24,0.8575203774735334,2.0337888003135056,0.17777766402041906
perfectly,17,37,54,0.5909761566126814,2.0169659364448393,0.08585049255490908
hit,4,44,48,-1.031270711397049,-1.9747361604859024,0.2727264188235328
showcased,2,33,35,-1.4366223390833195,-1.9727932626816977,0.5303005510956394
extends,5,6,11,1.1857863600289171,1.9582622853950962,0.3666664561946219
justin,5,6,11,1.1857863600289171,1.9582622853950962,0.3666664561946219
make,80,398,478,-0.23980964167509633,-1.9572195209255696,0.015012540877765249
third,33,87,120,0.3997381483498321,1.9552475685953754,0.041797247593254996
reckoned,13,91,104,-0.5797024530819241,-1.9551553860518973,0.08791191064249153
tremendous,3,38,41,-1.1722751324157015,-1.954748240927533,0.3596478287519339
bryan,3,2,5,1.7734361093731312,1.9427025169276126,0.8333328236208832
brian,3,2,5,1.7734361093731312,1.9427025169276126,0.8333328236208832
great,4,4,8,1.3680395177444566,1.9347005860270603,0.4999997176977005
sets,4,4,8,1.3680395177444566,1.9347005860270603,0.4999997176977005
pound,4,4,8,1.3680395177444566,1.9347005860270603,0.4999997176977005
dan,4,4,8,1.3680395177444566,1.9347005860270603,0.4999997176977005
today,10,19,29,0.726489679854506,1.85954802744308,0.15263147440169528
seahawks,5,47,52,-0.8740528681002964,-1.8581062506990023,0.2212760019118747
effort,18,42,60,0.5213449676934472,1.850591775480946,0.07936501748477486
penetrate,4,41,45,-0.9605469353083249,-1.8337278972996365,0.2743894423721227
fumble,4,41,45,-0.9605469353083249,-1.8337278972996365,0.2743894423721227
overpower,15,34,49,0.5501980830518258,1.775032409134437,0.09607835792730074
thunderous,1,24,25,-1.8111336485327767,-1.7745473398695686,1.0416595969022968
season,24,139,163,-0.39038627309115714,-1.7660952514692367,0.048860829001841105
rock,5,7,12,1.0316003413552757,1.761793510447995,0.34285693821679175
stingy,5,7,12,1.0316003413552757,1.761793510447995,0.34285693821679175
lead,7,12,19,0.8291773968964149,1.7434537792000289,0.2261903294781169
long,42,121,163,0.3110672217625572,1.7369126430980502,0.03207395739079255
wraps,76,238,314,0.22824739150735684,1.73235336956004,0.017359558497440843
recover,1,23,24,-1.7685388666601831,-1.7313079304166445,1.0434714728487873
stifling,5,44,49,-0.8079886379314161,-1.7120604724076836,0.2227267122709345
surge,4,5,9,1.14486066706226,1.7066580113830245,0.44999973957613426
strong,4,5,9,1.14486066706226,1.7066580113830245,0.44999973957613426
hard,8,15,23,0.7395981923259125,1.689361893407968,0.19166653635673067
valuable,15,35,50,0.5211751044621451,1.6888010136147062,0.09523802098172983
panthers,2,27,29,-1.2357397437081579,-1.6862646186084285,0.5370349791224527
showcasing,7,54,61,-0.6763875910222517,-1.683748007133167,0.1613753040332688
big,95,307,402,0.19702002967320453,1.6781414363826916,0.013783631001032824
offenses,8,59,67,-0.6314479443918275,-1.6759907298897863,0.14194885157411458
sheer,13,84,97,-0.4994111846242548,-1.675653129836256,0.08882767291573396
price,3,3,6,1.3679358126227399,1.6753728438642594,0.6666662902636007
paul,3,3,6,1.3679358126227399,1.6753728438642594,0.6666662902636007
second,3,3,6,1.3679358126227399,1.6753728438642594,0.6666662902636007
hampton,3,3,6,1.3679358126227399,1.6753728438642594,0.6666662902636007
cole,3,3,6,1.3679358126227399,1.6753728438642594,0.6666662902636007
exploding,3,3,6,1.3679358126227399,1.6753728438642594,0.6666662902636007
pro,3,3,6,1.3679358126227399,1.6753728438642594,0.6666662902636007
chris,6,10,16,0.8572799364755888,1.6601159896457172,0.26666649603062864
houston,1,21,22,-1.67749675746317,-1.6389333271844815,1.0476128229204131
strength,88,417,505,-0.1906909490474895,-1.6255265156238947,0.013761698669144588
rams,11,24,35,0.5881471343679525,1.6153033302397017,0.13257565876430671
blow,3,31,34,-0.968428592243697,-1.6016597372656274,0.36559032138911374
firing,1,20,21,-1.628671429770681,-1.5894250653056672,1.0499940568626345
guy,1,20,21,-1.628671429770681,-1.5894250653056672,1.0499940568626345
become,2,25,27,-1.1587080797306424,-1.576804775552138,0.5399980822702023
lines,4,36,40,-0.8303168181289458,-1.5754174209513632,0.2777770633105869
turn,5,8,13,0.8980336002272562,1.5752556360998338,0.32499979586016847
brady,5,8,13,0.8980336002272562,1.5752556360998338,0.32499979586016847
carrier,28,78,106,0.3442558835750589,1.5626256489580863,0.04853475544791187
clears,5,41,46,-0.7372648199670397,-1.5564029167653042,0.22438971674215435
throat,5,41,46,-0.7372648199670397,-1.5564029167653042,0.22438971674215435
guard,5,41,46,-0.7372648199670397,-1.5564029167653042,0.22438971674215435
