word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,123,115,238,1.0536324945410298,8.122735545301,0.016825721030046273
speed,16,150,166,-1.2680102340822303,-4.821421445382088,0.06916642468718454
wait,19,10,29,1.6194337160848349,4.145158799187892,0.1526314423035582
savvy,16,7,23,1.8040054491832906,3.9809173087725687,0.20535693651410972
receiver,33,33,66,0.9783039051487572,3.973890714688234,0.060606015881674295
leadership,13,5,18,1.9325347282451837,3.6723830309354946,0.27692277196113135
saints,14,7,21,1.6702040975636283,3.6080548873505984,0.21428551661995088
power,12,92,104,-1.0644212481668678,-3.46802346421912,0.09420262753484308
bursts,36,174,210,-0.6040263482139769,-3.298925548890035,0.03352484186754726
young,2,53,55,-2.3040372205220407,-3.1986240973294002,0.5188628439289379
over,16,13,29,1.1846617666983033,3.172686821677906,0.13942297180955537
scott,9,3,12,2.0751971582711546,3.1127976516531106,0.4444438978134059
deep,12,8,20,1.3822014293895908,3.028252818036328,0.2083331667815972
bursting,52,81,133,0.5352283452920625,3.0120185505912755,0.0315764226148838
open,17,16,33,1.0376296686624293,2.9789967096803593,0.1213234397161993
experience,9,4,13,1.7874645867241803,2.974522349618497,0.3611107520996849
collins,8,3,11,1.9572793356778062,2.8910948026406165,0.45833281894491873
drops,39,57,96,0.5984049557102109,2.8795821198864293,0.04318485109936983
get,42,63,105,0.5725302422424283,2.8740801548361894,0.03968250795839947
ravens,3,44,47,-1.7118809943582143,-2.868882673206681,0.35605867023709314
reads,72,128,200,0.4033871619951217,2.7382840400907784,0.021701370149596003
error,8,4,12,1.6695467385075258,2.7263596648330695,0.374999654084914
difference,1,40,41,-2.715239688373882,-2.6819424058201307,1.0249848627390044
side,8,58,66,-1.0073466836900735,-2.670955026661969,0.14224099156539863
maker,1,39,40,-2.6898713396373344,-2.6560542558601066,1.0256262570969608
beautifully,7,3,10,1.8236131787112946,2.6426679077431317,0.47618999091585823
felt,33,144,177,-0.5006654603124785,-2.594176867108896,0.03724741162667578
