word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,250,37,287,1.669399295182136,9.477430469878298,0.031026960850407445
experience,72,8,80,1.948274423690875,5.227776216789412,0.138888497998878
sheer,41,79,120,-0.9115610303640471,-4.735880830623791,0.03704844376002535
years,59,12,71,1.342682990681073,4.239955369539075,0.1002823272709786
force,14,40,54,-1.304224479622536,-4.200003923951566,0.09642847589838834
frame,65,16,81,1.1518986250904728,4.127515464686818,0.07788451172497758
savvy,50,2,52,2.9691330816147845,4.117462681338541,0.5199959779150569
dominant,38,67,105,-0.8221046485278674,-4.048198599863363,0.04124113292120004
impressive,32,58,90,-0.8493966177552501,-3.857255590267709,0.04849134389675935
powerful,103,131,234,-0.4964382018322535,-3.76974230517093,0.017342314625010458
brown,4,23,27,-2.0029467735568858,-3.6972757084449137,0.2934777238368032
massive,94,121,215,-0.5082495159146347,-3.696702439647725,0.018902748629917532
really,63,19,82,0.948473702496262,3.623812224830754,0.06850451827307043
why,77,100,177,-0.5165608070429331,-3.4070642230367354,0.02298699829784833
determination,22,41,63,-0.8765636219145287,-3.3167794820739127,0.0698447375722107
texans,19,37,56,-0.9203944005461437,-3.2610524348742325,0.07965854542076618
steady,42,11,53,1.0889618668914087,3.2151112021886203,0.1147184701347897
reckoned,4,18,22,-1.75747097240769,-3.179386934551705,0.30555510984497175
dominated,8,21,29,-1.2184676961070195,-2.9327150186834396,0.17261888733606434
jets,8,21,29,-1.2184676961070195,-2.9327150186834396,0.17261888733606434
surveying,5,17,22,-1.4770437311378224,-2.9032987290522962,0.2588232340658465
reason,40,56,96,-0.5905800649354012,-2.8527736714976513,0.042857114867094294
nice,24,4,28,1.5404512477837509,2.852364172536493,0.29166611107796325
athleticism,11,24,35,-1.0335930368344366,-2.838688204991052,0.1325756494548619
simply,31,46,77,-0.6485479447764053,-2.790979408421058,0.05399715895974505
incredible,5,16,21,-1.4163484479636441,-2.7644306070913043,0.26249971518545484
defenders,5,16,21,-1.4163484479636441,-2.7644306070913043,0.26249971518545484
reliable,72,31,103,0.5921038138343366,2.7563002589629533,0.04614691415974279
side,10,22,32,-1.041805232554628,-2.7316374848866296,0.14545442618374682
white,28,7,35,1.1349946384526621,2.6858892968363115,0.1785711941392008
ravens,13,25,38,-0.9073219606999228,-2.653453422730951,0.11692298868539755
combination,8,19,27,-1.1182428345032402,-2.6532380899685073,0.17763142552730507
show,39,13,52,0.8474936331591723,2.646299383766437,0.10256399695759479
become,1,12,13,-2.7380382326930928,-2.630626952931006,1.0833292897706288
impact,9,20,29,-1.05176897684108,-2.6203408627879092,0.16111097812241604
blocking,25,6,31,1.1757223451467853,2.586246109947279,0.20666638534898904
always,21,4,25,1.4067552183619014,2.578627075732345,0.29761854745338334
opposing,6,16,22,-1.2339721679131772,-2.577685001014215,0.22916645134899993
manhandled,6,16,22,-1.2339721679131772,-2.577685001014215,0.22916645134899993
physicality,46,59,105,-0.5028866121520803,-2.5567041974627163,0.03868825833142521
power,75,87,162,-0.40280185100661825,-2.5563737182824275,0.02482757069920186
presence,77,36,113,0.5096329616648783,2.5241495093039013,0.04076475794419086
drive,126,67,193,0.38144254663667976,2.5227447697134777,0.02286186403483227
tackle,67,30,97,0.552715464147882,2.516019235588092,0.04825866650039375
moving,24,6,30,1.1348454405485056,2.4863234203299007,0.2083330598290676
center,20,4,24,1.3579101817907056,2.479195449910035,0.29999951811781495
left,9,19,28,-1.0004049802649586,-2.472265213034742,0.1637425593196009
doesn,35,12,47,0.819173483926102,2.448791566571956,0.11190464923190951
box,16,2,18,1.8278344037837835,2.4371155967174785,0.562498588237122
end,18,29,47,-0.7303281310121701,-2.4339099240168207,0.09003825210370525
score,23,6,29,1.0922309193412465,2.382622756596636,0.21014466176699598
showcases,42,53,95,-0.48640740302062735,-2.354512992851448,0.04267742125516927
job,15,2,17,1.7632411021960719,2.3423316118752915,0.566665330508643
value,15,25,40,-0.7641113550825223,-2.3396044773357505,0.10666659198171324
guy,5,13,18,-1.2084971343641442,-2.296498948464241,0.27692282161524956
effort,26,8,34,0.9271748949402916,2.2932643055405744,0.16346135882259855
