word,count_a,count_b,total_count,log_odds,z_score,variance
ability,67,41,108,-0.9232729855134574,-4.656374567892017,0.03931555763934877
playmaking,22,21,43,-1.3647497495881904,-4.473424126687902,0.09307346772995076
young,47,31,78,-0.9964570976433924,-4.306668038297033,0.05353458191590443
threat,2,12,14,-3.2016097250806954,-4.191899811133558,0.5833309137425171
dynamic,1,18,19,-4.3023580641563015,-4.187633264855363,1.0555427362920073
athleticism,2,10,12,-3.0186029942537145,-3.8970065237378946,0.5999979014005543
happen,9,11,20,-1.6095950767285974,-3.581125429295685,0.2020199247603209
talent,9,11,20,-1.6095950767285974,-3.581125429295685,0.2020199247603209
legs,3,8,11,-2.389226853631092,-3.5291255585605605,0.4583323956229352
veteran,150,14,164,0.973505140154507,3.483594136244564,0.07809467038353801
season,27,18,45,-1.0043537234022732,-3.300645545252624,0.09259245765146043
incredible,5,8,13,-1.8782345556601028,-3.294643823746871,0.3249995136047161
something,1,8,9,-3.4880029185553827,-3.2885296747486414,1.1249938517721054
exciting,3,7,10,-2.2553531978401526,-3.2683203244053565,0.47618959155332247
defenses,3,7,10,-2.2553531978401526,-3.2683203244053565,0.47618959155332247
dual,1,7,8,-3.3541296871592152,-3.1375085670957867,1.1428516520236645
watch,2,6,8,-2.5064084769035144,-3.069714368999933,0.6666651719356235
seahawks,11,10,21,-1.3131040817984188,-3.005288295899784,0.19090883291944977
using,5,7,12,-1.7443608342077201,-2.97906538267763,0.34285665526926234
lions,8,8,16,-1.4079801898226911,-2.8159622737460297,0.2499996636851232
opposing,2,5,7,-2.323745012340278,-2.777409228390043,0.6999986345627116
truly,2,5,7,-2.323745012340278,-2.777409228390043,0.6999986345627116
develop,2,5,7,-2.323745012340278,-2.777409228390043,0.6999986345627116
nothing,1,5,6,-3.016974139175745,-2.7541128022143546,1.1999958028011086
vikings,1,4,5,-2.793489122317178,-2.498576200069324,1.249996426661114
vince,1,4,5,-2.793489122317178,-2.498576200069324,1.249996426661114
make,103,40,143,-0.4651616611829983,-2.4968067796454925,0.034708668681395216
texans,8,7,15,-1.2741064539566214,-2.4618092225429473,0.26785677930248347
asset,6,6,12,-1.407462862243631,-2.4377988269088604,0.33333288491349755
valuable,4,5,9,-1.630431395821926,-2.4305052981732236,0.4499993794990833
toes,4,5,9,-1.630431395821926,-2.4305052981732236,0.4499993794990833
webb,2,4,6,-2.100259692799556,-2.4251730370662137,0.7499987388198057
takes,148,53,201,-0.38479522913391984,-2.4038142355969883,0.025624626982288082
showcases,11,8,19,-1.0892754387647594,-2.3442426003697605,0.21590878560261567
between,59,5,64,1.065422048840432,2.287412221106091,0.21694741825605593
get,41,1,42,2.310729015218639,2.2830861148864736,1.0243619774070978
plays,30,15,45,-0.715389494840359,-2.262262119933729,0.09999983184264077
immediately,5,5,10,-1.407204363764479,-2.224986958004868,0.39999946189619706
defenders,63,6,69,0.948693094779733,2.2204890793071455,0.18253838164739777
really,141,21,162,0.5029983850024093,2.1504497042100907,0.05471099363216111
experience,33,1,34,2.092997797319809,2.0620116139532128,1.0302801403832489
come,16,9,25,-0.8322888142415481,-1.9974947263484593,0.1736108378229252
zone,16,9,25,-0.8322888142415481,-1.9974947263484593,0.1736108378229252
through,30,14,44,-0.6460533952223182,-1.9960301696480047,0.10476172087937163
buccaneers,4,4,8,-1.4069459753868454,-1.989723418265942,0.4999993273702464
well,2,3,5,-1.8122360140049016,-1.985206535372487,0.8333321188631437
future,2,3,5,-1.8122360140049016,-1.985206535372487,0.8333321188631437
evades,2,3,5,-1.8122360140049016,-1.985206535372487,0.8333321188631437
opening,2,3,5,-1.8122360140049016,-1.985206535372487,0.8333321188631437
precision,40,3,43,1.186674961470537,1.9823947213343291,0.3583301016075675
kind,159,26,185,0.40937366760539096,1.9351747683550482,0.04475065763846505
spots,34,15,49,-0.5898906631638026,-1.903088415911317,0.09607825637772732
see,28,1,29,1.9282782810564516,1.8947583133293808,1.0356947549252236
rocket,17,9,26,-0.7715804216703344,-1.8717187624705414,0.16993436410373547
needle,76,10,86,0.6251928802028965,1.8585434698344043,0.11315730626289942
him,44,18,62,-0.5145737365086749,-1.839139953779548,0.07828267802901488
threading,75,10,85,0.6118634370880391,1.8175099025138395,0.11333275143635355
white,5,4,9,-1.1837189433293256,-1.7645852322780973,0.4499993794990833
cardinals,5,4,9,-1.1837189433293256,-1.7645852322780973,0.4499993794990833
fires,114,18,132,0.443333987829039,1.747968846692857,0.06432720451487092
such,10,6,16,-0.8963027239355412,-1.7356840846173027,0.266666260099454
back,237,44,281,0.2828557732451489,1.7231108318203106,0.026946581016658998
picking,3,3,6,-1.4066876970317805,-1.7228347014195893,0.6666657698269951
feet,3,3,6,-1.4066876970317805,-1.7228347014195893,0.6666657698269951
tackle,3,3,6,-1.4066876970317805,-1.7228347014195893,0.6666657698269951
another,3,3,6,-1.4066876970317805,-1.7228347014195893,0.6666657698269951
textbook,3,3,6,-1.4066876970317805,-1.7228347014195893,0.6666657698269951
own,3,3,6,-1.4066876970317805,-1.7228347014195893,0.6666657698269951
part,3,3,6,-1.4066876970317805,-1.7228347014195893,0.6666657698269951
griffin,3,3,6,-1.4066876970317805,-1.7228347014195893,0.6666657698269951
delivered,23,1,24,1.7311516996177865,1.6947154522109455,1.0434620874780545
bullet,97,15,112,0.46376225651588765,1.6715480025804152,0.07697560219161867
demonstrates,22,1,23,1.6866167010239073,1.649555904954298,1.0454390432249014
spiral,8,5,13,-0.9369499979264004,-1.643520248589488,0.3249995136047161
reliable,27,2,29,1.198347469016288,1.63524423433136,0.5370321337547455
scanning,65,9,74,0.5736236000275134,1.6128358154946298,0.12649510021606425
years,21,1,22,1.640013456533353,1.6023182995547238,1.047604216408287
makes,71,25,96,-0.3647248393133289,-1.5683008218269536,0.054084390916991895
right,69,10,79,0.5279766798072139,1.5603670446049624,0.11449221108673717
pocket,104,17,121,0.4081834672224982,1.5602880164376713,0.06843862488324803
rush,6,4,10,-1.0013138539297666,-1.5512298825925823,0.41666605943157187
continues,6,4,10,-1.0013138539297666,-1.5512298825925823,0.41666605943157187
pick,6,4,10,-1.0013138539297666,-1.5512298825925823,0.41666605943157187
impressive,14,7,21,-0.7139885203103153,-1.5423927840810552,0.21428535394851592
winds,42,5,47,0.7241267040778148,1.5306522217652119,0.2238082413503295
touchdown,17,8,25,-0.6534549436222479,-1.5241070671302202,0.18382320847998043
snap,157,49,206,-0.2451360546953545,-1.4980350049210793,0.02677752668557988
strong,24,2,26,1.0803136552222607,1.467863174854837,0.5416622642438381
detroit,4,3,7,-1.1189222405396908,-1.4650141304834108,0.5833325159014089
jones,4,3,7,-1.1189222405396908,-1.4650141304834108,0.5833325159014089
big,149,27,176,0.30548262769397994,1.4605150364578008,0.043748278710458374
expect,12,6,18,-0.7138138004551484,-1.4276288012422473,0.2499995796066019
starting,18,8,26,-0.5962127566640332,-1.4031245701700354,0.18055522832346602
spectacular,28,3,31,0.8289948373150908,1.3646208447971762,0.36904527562844175
accuracy,94,16,110,0.36721120163664445,1.3578268092262997,0.07313800047906999
lead,22,2,24,0.9931351289671904,1.3447163372723425,0.5454504763496073
wide,22,2,24,0.9931351289671904,1.3447163372723425,0.5454504763496073
