word,count_a,count_b,total_count,log_odds,z_score,variance
white,21,13,34,2.762296930965592,7.827308599848182,0.12454199218510766
may,14,5,19,3.309166296074782,6.351716971783718,0.27142816384838625
tough,21,56,77,1.2996361654367714,5.079025584931583,0.06547609575256362
solid,8,5,13,2.7464790216570805,4.817645450773891,0.3249996560645898
nosed,16,42,58,1.313550850601386,4.471135588712294,0.08630940041265989
hard,22,74,96,1.067010381635133,4.394005607683771,0.0589679562913743
first,18,57,75,1.1261907494926628,4.165387065356919,0.07309929412737318
flashiest,5,3,8,2.7858733602219026,3.8147162606516485,0.533332758357106
gritty,6,1,7,4.067420467821632,3.765705145758813,1.1666632448255103
grind,8,17,25,1.5220749223136707,3.550060452260999,0.18382330247737744
quarter,6,10,16,1.7643663542455883,3.4166825950307405,0.266666379178553
shoulder,6,10,16,1.7643663542455883,3.4166825950307405,0.266666379178553
veteran,9,23,32,1.337773596342366,3.4024606243530253,0.1545891553088506
moore,4,3,7,2.5622197068981825,3.354734734637424,0.5833327553183272
bruising,7,16,23,1.448709637625237,3.196882865229575,0.20535687687345194
presence,6,12,18,1.5819400171694502,3.1638819153607747,0.24999970273522124
lead,4,5,9,2.0512896267875247,3.057883522120612,0.449999561237056
fought,5,9,14,1.6869472942579131,3.024433197028931,0.31111076255528114
johnny,3,2,5,2.679545021841535,2.935296017064825,0.8333324745682305
proven,3,2,5,2.679545021841535,2.935296017064825,0.8333324745682305
role,3,2,5,2.679545021841535,2.935296017064825,0.8333324745682305
late,4,6,10,1.868915774274127,2.8953133595280427,0.4166662372841152
fights,4,6,10,1.868915774274127,2.8953133595280427,0.4166662372841152
reliable,5,10,15,1.5815344110883975,2.887475291435797,0.29999964328226547
dragging,6,15,21,1.358639250981124,2.8126524037762852,0.23333301149474428
frame,3,3,6,2.2740278403051244,2.7851052594780668,0.6666660325015941
extend,3,3,6,2.2740278403051244,2.7851052594780668,0.6666660325015941
edwards,3,3,6,2.2740278403051244,2.7851052594780668,0.6666660325015941
got,10,236,246,-0.8959328202780759,-2.7750213955207252,0.10423611601285862
speed,7,195,202,-1.0611320411238925,-2.7584362413642345,0.14798338474887188
couple,12,50,62,0.8490441996226368,2.64125623302178,0.10333311675569581
great,5,12,17,1.3991080977931567,2.6284681907205716,0.28333295375931367
downhill,5,12,17,1.3991080977931567,2.6284681907205716,0.28333295375931367
see,5,12,17,1.3991080977931567,2.6284681907205716,0.28333295375931367
plow,3,4,7,1.9862935727659075,2.600670045509743,0.5833327553183272
agility,5,156,161,-1.173415512953059,-2.5827918921370965,0.20640719029035992
style,10,39,49,0.9147382489957616,2.5806644064164215,0.12564077726314865
young,1,120,121,-2.5205842441066864,-2.5102186345619732,1.0082757821135664
powers,6,18,24,1.1761604386484015,2.4950150436082854,0.2222218699085835
crucial,9,35,44,0.9172899346622989,2.4543471743316703,0.13968226423571006
exactly,7,24,31,1.0428249984063926,2.427647417254961,0.18452348302148372
chains,7,24,31,1.0428249984063926,2.427647417254961,0.18452348302148372
short,3,5,8,1.7630977760483226,2.4142223589354304,0.533332758357106
season,12,55,67,0.753471189382604,2.3648397302275135,0.10151491968386032
breaking,11,218,229,-0.7198200874098761,-2.3293398801620677,0.09549534444106916
extra,8,31,39,0.9205665887229477,2.3213956816502135,0.15725775538115205
scrimmage,9,189,198,-0.777227865660131,-2.2780859117601904,0.1164009511408456
middle,5,15,20,1.1758073712396895,2.2769429885259913,0.2666662438903002
consistently,5,15,20,1.1758073712396895,2.2769429885259913,0.2666662438903002
determination,22,127,149,0.5240943195719234,2.2694997194065545,0.0533284103877083
drive,10,44,54,0.7938476260170377,2.266037468749517,0.12272700262446234
needs,3,6,9,1.5807239473159536,2.235482573723016,0.49999940547044247
john,3,6,9,1.5807239473159536,2.235482573723016,0.49999940547044247
display,6,145,151,-0.9168827637222812,-2.20083488557529,0.17356122001926558
physical,13,65,78,0.6664461575294593,2.1935455568413205,0.09230746400868049
snap,9,39,48,0.8088663142133843,2.1873091022674354,0.13675183989161055
fight,7,27,34,0.9248845824655811,2.1806170761121653,0.17989382768721107
bengals,8,33,41,0.8579412558397204,2.177048169636751,0.15530270770011204
forward,5,16,21,1.111216449539687,2.168874240025545,0.2624995614603944
huge,6,143,149,-0.902888085858085,-2.166640704011444,0.17365770166137642
impressive,5,127,132,-0.9662165509778946,-2.1192246504473977,0.20787150059097328
key,2,3,5,1.8680533170020395,2.0463509350898663,0.8333324745682305
second,2,3,5,1.8680533170020395,2.0463509350898663,0.8333324745682305
setting,2,3,5,1.8680533170020395,2.0463509350898663,0.8333324745682305
steelers,4,12,16,1.1754545395929021,2.0359485984710615,0.33333280486287525
gain,29,189,218,0.40311926735311765,2.0213238447512887,0.03977363772042622
powering,15,83,98,0.5651715497203069,2.014431573103025,0.07871464551158162
redskins,5,18,23,0.9933286011841558,1.9649462618954536,0.25555508421876677
blockers,2,78,80,-1.3939681811458007,-1.946588695073383,0.5128109942622511
running,55,408,463,0.275492322615424,1.9179231945174366,0.02063272445334766
anderson,4,13,17,1.0953594656939165,1.9157297525929298,0.32692252372949515
need,4,13,17,1.0953594656939165,1.9157297525929298,0.32692252372949515
easily,3,8,11,1.2929372870528422,1.9097963223136187,0.45833267026794533
inch,3,8,11,1.2929372870528422,1.9097963223136187,0.45833267026794533
michael,3,8,11,1.2929372870528422,1.9097963223136187,0.45833267026794533
front,3,89,92,-1.120504878541487,-1.9088795976969206,0.3445644209993517
