word,count_a,count_b,total_count,log_odds,z_score,variance
hanson,4,3,7,-2.859875479155612,-3.744458748039278,0.5833324647827804
lines,11,4,15,-2.137173354422057,-3.6603359124574375,0.34090833228680045
broncos,13,4,17,-1.9699704269840863,-3.4453827093563594,0.32692224567065076
points,15,4,19,-1.8267207076297138,-3.246172542793867,0.3166657576183986
buccaneers,9,3,12,-2.0485738046751685,-3.0728643672686116,0.44444338564117924
leg,49,7,56,-1.205258896673163,-2.982871199913467,0.1632644726646126
tremendous,12,3,15,-1.760668671365191,-2.727620319448736,0.416665401066835
soaring,12,3,15,-1.760668671365191,-2.727620319448736,0.416665401066835
block,5,2,7,-2.2294587484425668,-2.664715640926537,0.6999985491742836
greg,6,2,8,-2.0470630127615452,-2.5071329126774744,0.6666650784617689
titans,6,2,8,-2.0470630127615452,-2.5071329126774744,0.6666650784617689
weapon,15,3,18,-1.5373019852541212,-2.4306923791602024,0.39999851344242776
back,26,4,30,-1.2758550751577893,-2.3755185190661137,0.2884601667000953
led,7,2,9,-1.89283813487053,-2.360787123466543,0.6428554035303388
part,7,2,9,-1.89283813487053,-2.360787123466543,0.6428554035303388
touchdown,8,2,10,-1.759232530109684,-2.2252760711763315,0.6249981016002525
showing,8,2,10,-1.759232530109684,-2.2252760711763315,0.6249981016002525
real,8,2,10,-1.759232530109684,-2.2252760711763315,0.6249981016002525
need,8,2,10,-1.759232530109684,-2.2252760711763315,0.6249981016002525
young,8,2,10,-1.759232530109684,-2.2252760711763315,0.6249981016002525
situations,9,2,11,-1.6413752710796645,-2.09965784471924,0.6111090486528916
boom,10,2,12,-1.5359405225117104,-1.9828943727627202,0.5999977701636416
uprights,47,5,52,-0.907120393221402,-1.9284068486500001,0.22127509236804807
powerful,22,3,25,-1.1537888522183453,-1.8746899932915462,0.37878585662229514
stop,11,2,13,-1.4405561013428043,-1.8740049005823398,0.5909066913787678
takes,23,3,26,-1.1092626535474617,-1.807063745672322,0.37680949441709677
swings,12,2,14,-1.3534704752552207,-1.7721127347254249,0.5833307624323676
lining,128,1,129,1.7171381989796712,1.7105479164650832,1.0077203073317602
kicker,38,4,42,-0.8954708531643281,-1.703531207446344,0.27631389262823614
alright,13,2,15,-1.2733535112493133,-1.67645178391071,0.5769203334001906
strength,14,2,16,-1.1991712758849609,-1.5863585368110302,0.5714256543261441
flies,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
foot,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
tampa,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
bay,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
past,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
fantastic,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
house,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
board,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
plants,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
stopping,4,1,5,-1.7577993033792643,-1.57222588103551,1.249996203200505
using,27,3,30,-0.9486222001495346,-1.5587504077129826,0.37036795866243655
jets,27,3,30,-0.9486222001495346,-1.5587504077129826,0.37036795866243655
kind,139,2,141,1.105573256151641,1.5524268809188027,0.5071690476905523
technique,15,2,17,-1.1301041345700806,-1.501259660719414,0.5666635752360805
splitting,16,2,18,-1.065491337182797,-1.4206592410292653,0.5624967336452983
looking,16,2,18,-1.065491337182797,-1.4206592410292653,0.5624967336452983
moment,16,2,18,-1.065491337182797,-1.4206592410292653,0.5624967336452983
deliver,16,2,18,-1.065491337182797,-1.4206592410292653,0.5624967336452983
vikings,16,2,18,-1.065491337182797,-1.4206592410292653,0.5624967336452983
free,5,1,6,-1.5345819241720227,-1.4008778301238498,1.1999955403272833
gain,5,1,6,-1.5345819241720227,-1.4008778301238498,1.1999955403272833
philadelphia,5,1,6,-1.5345819241720227,-1.4008778301238498,1.1999955403272833
thanks,5,1,6,-1.5345819241720227,-1.4008778301238498,1.1999955403272833
minnesota,5,1,6,-1.5345819241720227,-1.4008778301238498,1.1999955403272833
splits,17,2,19,-1.0047924328441793,-1.3441271427686678,0.5588200876510144
clean,31,3,34,-0.8101739654878717,-1.339929404347258,0.3655886726300773
air,63,5,68,-0.6129378105665939,-1.319225996843898,0.2158710596792422
clutch,47,4,51,-0.682237921148781,-1.3098800528182422,0.27127430117756635
few,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
teammates,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
sends,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
skill,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
shown,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
rocket,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
spot,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
career,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
crushes,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
coming,6,1,7,-1.3521865220104443,-1.251884219410719,1.1666615248647352
sails,49,4,53,-0.6404159424706837,-1.2315559572978518,0.27040578008723964
goal,83,6,89,-0.5197987973380052,-1.2295808663810037,0.1787130833405881
line,110,2,112,0.8694077511301792,1.2185248072762853,0.5090708918413407
snapped,50,4,54,-0.6201385855414703,-1.1934626294076203,0.26999757249326733
speed,34,3,37,-0.7175771630076753,-1.1914329458622408,0.3627421370030741
ace,165,4,169,0.5824062489877466,1.150962163650576,0.2560530528955178
pressure,35,3,38,-0.6885151206132143,-1.1445062204706216,0.3619017221646363
attempt,69,5,74,-0.5215173631719097,-1.1260679888401848,0.21449062704254787
arizona,7,1,8,-1.1979619844450928,-1.120593687322733,1.1428513086522882
weaves,7,1,8,-1.1979619844450928,-1.120593687322733,1.1428513086522882
chris,7,1,8,-1.1979619844450928,-1.120593687322733,1.1428513086522882
high,52,4,56,-0.5807685562290761,-1.1192903985561025,0.2692282530250634
position,69,1,70,1.0948254150706536,1.0870039098378976,1.014442717030166
redskins,21,2,23,-0.7931861483488314,-1.0718585902307702,0.5476149008874185
booming,37,3,40,-0.6327962413603023,-1.054137616556285,0.3603571630901505
him,72,5,77,-0.4787333380453056,-1.0351464696245145,0.2138866770396288
precision,22,2,24,-0.7465918201591304,-1.0108941097141795,0.5454502218873065
erupts,8,1,9,-1.0643567242636527,-1.003488056662386,1.1249934672905966
nfl,8,1,9,-1.0643567242636527,-1.003488056662386,1.1249934672905966
flying,8,1,9,-1.0643567242636527,-1.003488056662386,1.1249934672905966
washington,8,1,9,-1.0643567242636527,-1.003488056662386,1.1249934672905966
maker,8,1,9,-1.0643567242636527,-1.003488056662386,1.1249934672905966
blockers,8,1,9,-1.0643567242636527,-1.003488056662386,1.1249934672905966
dolphins,8,1,9,-1.0643567242636527,-1.003488056662386,1.1249934672905966
go,208,6,214,0.40830518656914183,0.9860312681454074,0.17147010708807253
hold,56,4,60,-0.5063618840580677,-0.9783890305812999,0.26785444910897444
off,74,5,79,-0.45118472853006786,-0.9764365221291849,0.21351124479503514
performance,39,3,42,-0.5800034570802444,-0.9680569277808982,0.3589710040334179
effort,58,1,59,0.920345796938248,0.912531842580927,1.0171992016010205
reliable,58,4,62,-0.47112118040769957,-0.9113454678263119,0.26723859672922706
unleash,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
instincts,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
much,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
league,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
unleashes,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
tracks,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
city,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
kansas,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
races,9,1,10,-0.9464998126487405,-0.8979314873630242,1.1111038759873095
heads,24,2,26,-0.6594318005552173,-0.8959952488535237,0.5416619889376337
big,78,5,83,-0.3982416567343874,-0.8632615034274046,0.21281813031412172
carrier,10,1,11,-0.84106541348077,-0.8019273011651953,1.0999920598102941
critical,10,1,11,-0.84106541348077,-0.8019273011651953,1.0999920598102941
kicking,10,1,11,-0.84106541348077,-0.8019273011651953,1.0999920598102941
breath,10,1,11,-0.84106541348077,-0.8019273011651953,1.0999920598102941
fair,10,1,11,-0.84106541348077,-0.8019273011651953,1.0999920598102941
full,26,2,28,-0.5792404271206184,-0.7893753322597369,0.5384565060501268
display,26,2,28,-0.5792404271206184,-0.7893753322597369,0.5384565060501268
way,26,2,28,-0.5792404271206184,-0.7893753322597369,0.5384565060501268
returner,80,2,82,0.5487121907213304,0.7664853979726391,0.5124853400430189
wrapping,11,1,12,-0.7456813431552893,-0.7139383612211041,1.090900443774613
execution,11,1,12,-0.7456813431552893,-0.7139383612211041,1.090900443774613
receive,11,1,12,-0.7456813431552893,-0.7139383612211041,1.090900443774613
good,104,6,110,-0.29267440798004785,-0.6970812475368814,0.17627986025458514
most,28,2,30,-0.5049837662308798,-0.6899426412915017,0.5357088982179489
makes,46,1,47,0.6876546405379607,0.6803110219212538,1.0217055250652873
make,125,7,132,-0.2630702219684693,-0.6773163075820102,0.15085521154693737
through,105,6,111,-0.2830299377720893,-0.674285601471653,0.17618826538388233
ability,47,3,50,-0.39282107208924977,-0.659662463047806,0.3546059424256127
snap,126,7,133,-0.25502689728464745,-0.65674573542364,0.1507917049486853
veteran,155,5,160,0.2942545224022082,0.6476178673268469,0.20644703420585694
value,12,1,13,-0.6585960689936163,-0.6327613679959786,1.0833239778752675
fields,12,1,13,-0.6585960689936163,-0.6327613679959786,1.0833239778752675
testament,12,1,13,-0.6585960689936163,-0.6327613679959786,1.0833239778752675
poise,12,1,13,-0.6585960689936163,-0.6327613679959786,1.0833239778752675
making,43,1,44,0.6199911004308438,0.6129146780123489,1.0232243513941508
sending,30,2,32,-0.4358421831571837,-0.5968047012545781,0.5333275904344993
opposing,41,1,42,0.5722149066302231,0.5653700743855652,1.024360209794072
true,13,1,14,-0.5784794577462131,-0.557439358478186,1.0769130121002537
ease,13,1,14,-0.5784794577462131,-0.557439358478186,1.0769130121002537
distance,13,1,14,-0.5784794577462131,-0.557439358478186,1.0769130121002537
tackle,68,2,70,0.38529794959287056,0.5370595123058772,0.5146933646995264
teams,422,16,438,0.13368176833157897,0.5248744618568206,0.06486844371561484
lead,39,1,40,0.5220563636994582,0.515496544374942,1.025612419898465
physicality,38,1,39,0.4960068245408822,0.4896131213499034,1.0262878978775787
made,38,1,39,0.4960068245408822,0.4896131213499034,1.0262878978775787
savvy,14,1,15,-0.504297575794463,-0.4872001940113082,1.0714177964358977
composure,14,1,15,-0.504297575794463,-0.4872001940113082,1.0714177964358977
eagles,14,1,15,-0.504297575794463,-0.4872001940113082,1.0714177964358977
job,14,1,15,-0.504297575794463,-0.4872001940113082,1.0714177964358977
perfect,33,2,35,-0.34030889332127146,-0.46731940425994273,0.5302967538378237
steps,53,3,56,-0.2722292012598002,-0.4587140137782357,0.35219679668730836
folks,218,8,226,0.16484651733541966,0.4579341499376553,0.12958462885195804
racing,36,1,37,0.4417915146110687,0.43578607599393027,1.027751314390863
coverage,95,5,100,-0.19980039721012854,-0.43545783489884815,0.21052344913485005
exactly,34,2,36,-0.3103815488203967,-0.42658123705626255,0.5294053102847375
over,15,1,16,-0.43523078841538787,-0.4214126677006612,1.0666551808689986
consistently,15,1,16,-0.43523078841538787,-0.4214126677006612,1.0666551808689986
catch,16,1,17,-0.37061834538893734,-0.35955467197950536,1.0624878028876104
