word,count_a,count_b,total_count,log_odds,z_score,variance
handed,18,14,32,2.0612114381863744,5.784262445008503,0.1269840307201532
savvy,14,11,25,2.050141992548191,5.0883205350466785,0.1623375395741302
sure,36,86,122,0.9407013628966405,4.738845589368116,0.03940564411121572
white,11,8,19,2.126778595132058,4.577063988696623,0.21590892415691065
veteran,38,97,135,0.8744582192972485,4.569304286448331,0.03662502820695498
first,31,71,102,0.9821679444962719,4.56242678970057,0.046342525131718465
reliable,48,140,188,0.7419253419281642,4.435740973408935,0.027976156975478936
may,9,2,11,3.312135713582685,4.236901915975336,0.6111100509359269
chains,24,52,76,1.0366504468091167,4.200810060871288,0.060897377098470165
running,20,40,60,1.1161602749514907,4.075642940834055,0.0749999311168942
athleticism,9,207,216,-1.3362342319666034,-3.9243161130352986,0.11594104747040415
taylor,9,9,18,1.8077603917756218,3.8348403041860526,0.22222205894370722
crisp,7,4,11,2.3670680347955884,3.77653573909076,0.39285680781343535
route,20,45,65,0.998163086223558,3.7142086425973306,0.07222215073120297
presence,7,5,12,2.1438818811498086,3.661376769330148,0.3428568765465691
catches,16,32,48,1.1154569812175295,3.643068918317365,0.09374991389611774
playmaking,9,186,195,-1.2283570786425138,-3.599040274318672,0.11648656870751739
clutch,20,47,67,0.9545922989828863,3.5755649658126556,0.07127652306641331
steady,6,4,10,2.2126567601981915,3.427834477497066,0.41666633500721273
dwight,6,4,10,2.2126567601981915,3.427834477497066,0.41666633500721273
showing,14,30,44,1.0460272370028392,3.2317779106128954,0.10476180432898807
bills,17,41,58,0.928121446451148,3.2174175463691603,0.08321368690897084
cowboys,15,34,49,0.9899469517640895,3.193737272508089,0.09607833579391668
speed,14,204,218,-0.8783710126096729,-3.179289075224709,0.07633012167765256
jeff,5,1,6,3.4164957928258692,3.1188226679525157,1.1999977075728623
flashiest,5,1,6,3.4164957928258692,3.1188226679525157,1.1999977075728623
crucial,22,62,84,0.7727961886998145,3.11410152214181,0.06158350592506334
moving,9,15,24,1.2966783771067467,3.075344078712043,0.17777762973861172
roethlisberger,6,7,13,1.6529130364427704,2.9710033085170147,0.3095235793927422
young,7,134,141,-1.1500472041379668,-2.9662589434338464,0.1503187694014371
talented,1,112,113,-2.917199575839968,-2.9043226824536115,1.008887056249495
keep,22,66,88,0.7101043360793255,2.8844592149412116,0.06060598638860104
tough,25,79,104,0.6583725022029432,2.8690547858402944,0.052658160594708986
heads,4,1,5,3.1930920415348867,2.8559905749144137,1.249998048313493
extra,4,1,5,3.1930920415348867,2.8559905749144137,1.249998048313493
precise,8,14,22,1.247670198131086,2.815124832539266,0.19642840390671767
target,31,107,138,0.5704736767777625,2.796849521398528,0.041603801725099816
lined,2,87,89,-1.97015248022171,-2.75475469917228,0.511486074550734
hogan,4,3,7,2.094395358585084,2.7422082682223863,0.583332886868664
warner,4,3,7,2.094395358585084,2.7422082682223863,0.583332886868664
number,4,3,7,2.094395358585084,2.7422082682223863,0.583332886868664
nelson,4,3,7,2.094395358585084,2.7422082682223863,0.583332886868664
austin,4,3,7,2.094395358585084,2.7422082682223863,0.583332886868664
drive,23,73,96,0.6537129649654174,2.733865271887373,0.05717681771895781
late,12,29,41,0.9252987296719892,2.6957516850251775,0.11781596944361672
looking,39,149,188,0.46922573290301006,2.6087271620038557,0.0323523865172497
touchdown,5,99,104,-1.182815995182927,-2.5805049841295693,0.21009947792637015
wideout,8,16,24,1.1140533183441361,2.5727971144323085,0.18749982779223548
extend,4,4,8,1.8066707188708664,2.5550191720241076,0.4999996326233412
cousins,4,4,8,1.8066707188708664,2.5550191720241076,0.4999996326233412
gentry,4,4,8,1.8066707188708664,2.5550191720241076,0.4999996326233412
move,16,47,63,0.7304029719760425,2.5234891322134776,0.08377649485817382
him,13,161,174,-0.7141715579001993,-2.4769288678040726,0.0831338763370002
kurt,3,2,5,2.211960564298014,2.423082359121756,0.8333326700144255
called,3,2,5,2.211960564298014,2.423082359121756,0.8333326700144255
dependable,3,2,5,2.211960564298014,2.423082359121756,0.8333326700144255
ability,32,303,335,-0.4468750359958005,-2.4041455552623336,0.03455020850616364
defender,11,140,151,-0.7410816667989248,-2.366676933389246,0.09805148676184171
great,12,33,45,0.7959158112487641,2.361069204481858,0.11363623365037437
ben,4,5,9,1.5834845494803185,2.3605202848526137,0.4499996610950415
threat,1,65,66,-2.3710871700772387,-2.3530839286224725,1.0153603633563124
determination,5,8,13,1.3367568889723334,2.344827657020665,0.32499973434078544
alive,19,63,82,0.6093646554208823,2.3281861325626814,0.06850450378197126
right,26,95,121,0.5127394338631053,2.3166094538219286,0.04898778356733369
incredible,4,79,83,-1.1796893803543043,-2.3018326427779168,0.2626563172090119
leaving,1,57,58,-2.2394110112294854,-2.22004505755045,1.017522545682991
derek,3,3,6,1.8064529826017397,2.212444838652262,0.6666661768311216
free,5,9,14,1.2189311615847647,2.18535304127918,0.31111084188303195
experience,5,9,14,1.2189311615847647,2.18535304127918,0.31111084188303195
third,5,9,14,1.2189311615847647,2.18535304127918,0.31111084188303195
harris,4,6,10,1.4011203482877361,2.1706071738633352,0.41666633500721273
clark,4,6,10,1.4011203482877361,2.1706071738633352,0.41666633500721273
quarter,12,36,48,0.7087760220986352,2.1263293682351065,0.11111097504576857
long,10,28,38,0.7775894259843454,2.110754945249764,0.13571412830472177
leaping,2,55,57,-1.510210454518985,-2.0979666673639525,0.5181765761929245
chargers,5,10,15,1.1135279472621606,2.033015517362729,0.2999997244675768
across,5,10,15,1.1135279472621606,2.033015517362729,0.2999997244675768
breaking,1,46,47,-2.024533616892347,-2.0028971599686076,1.0217218558571963
proven,4,7,11,1.246927008235878,1.9894081375852681,0.39285680781343535
spot,4,7,11,1.246927008235878,1.9894081375852681,0.39285680781343535
palmer,3,4,7,1.5187283428874983,1.9884829299198399,0.583332886868664
trailing,3,4,7,1.5187283428874983,1.9884829299198399,0.583332886868664
hardy,3,4,7,1.5187283428874983,1.9884829299198399,0.583332886868664
driving,12,38,50,0.6546231825682165,1.9769199229606251,0.1096489825249776
needs,8,22,30,0.7953430531329824,1.926417642950092,0.17045435047556154
left,4,64,68,-0.9684823974333785,-1.879137413146548,0.26562343255877546
vikings,7,19,26,0.8082827683336218,1.828111634709659,0.1954885004108135
buffalo,7,19,26,0.8082827683336218,1.828111634709659,0.1954885004108135
continues,4,8,12,1.1133529448088666,1.818098580513214,0.37499965558447096
tackle,1,38,39,-1.8331385035988763,-1.8094967517332214,1.0263014520565175
made,16,156,172,-0.4739856758571408,-1.805610494468309,0.06891000698334153
buccaneers,3,5,8,1.2955421857428,1.7739949369481582,0.5333328892158352
miller,3,5,8,1.2955421857428,1.7739949369481582,0.5333328892158352
trent,3,5,8,1.2955421857428,1.7739949369481582,0.5333328892158352
diving,25,103,128,0.3920611305503616,1.7584813546690439,0.04970865819293993
reason,5,12,17,0.9311209774397042,1.7492726270889927,0.283333040146469
allen,5,12,17,0.9311209774397042,1.7492726270889927,0.283333040146469
steelers,8,24,32,0.708246144549121,1.7348427286729948,0.16666646256865286
explosive,1,35,36,-1.7507729821563922,-1.7262965482310493,1.0285581923805285
easy,6,16,22,0.8258500255329437,1.7251454032594586,0.2291664105874071
spectacular,20,182,202,-0.40506727567631895,-1.7195028536537302,0.05549431772947205
opposing,1,34,35,-1.7217429745847044,-1.6969790101448157,1.0293988955557083
showcased,1,34,35,-1.7217429745847044,-1.6969790101448157,1.0293988955557083
open,12,42,54,0.5543684636199666,1.6936248093550312,0.10714270813050943
middle,12,42,54,0.5543684636199666,1.6936248093550312,0.10714270813050943
fourth,8,25,33,0.6673813808136391,1.6429804240119048,0.16499979117406577
off,22,193,215,-0.36839162852176877,-1.6371226851775083,0.05063572729060693
jets,3,48,51,-0.9680568693063893,-1.6266657046032946,0.35416457674503393
picking,7,21,28,0.708113804059284,1.622493547315834,0.19047595722131755
snatching,5,64,69,-0.7450794417356263,-1.6045529437606878,0.21562397985609705
consistent,1,31,32,-1.6292422534884112,-1.603592432405117,1.032246296359463
falcons,3,47,50,-0.9469607208060182,-1.5902220615277862,0.35460787979211894
air,11,110,121,-0.49863046645403486,-1.5768109101218744,0.09999962895078808
kevin,3,6,9,1.113178002919005,1.5742721520019876,0.49999954077929465
races,2,38,40,-1.139737930625695,-1.5710258181998948,0.5263121055547475
agility,3,46,49,-0.9254117781408739,-1.5530225231905845,0.3550704551095317
dust,1,29,30,-1.5624659543069388,-1.5362123449473783,1.0344717243292971
justin,2,3,5,1.4007277306580477,1.5344209606952497,0.8333326700144255
theismann,2,3,5,1.4007277306580477,1.5344209606952497,0.8333326700144255
moments,2,3,5,1.4007277306580477,1.5344209606952497,0.8333326700144255
romo,2,3,5,1.4007277306580477,1.5344209606952497,0.8333326700144255
mariota,2,3,5,1.4007277306580477,1.5344209606952497,0.8333326700144255
felt,2,3,5,1.4007277306580477,1.5344209606952497,0.8333326700144255
allowed,2,3,5,1.4007277306580477,1.5344209606952497,0.8333326700144255
carson,2,3,5,1.4007277306580477,1.5344209606952497,0.8333326700144255
body,5,62,67,-0.7132451098079464,-1.5342044705475226,0.216128041289453
clears,2,37,39,-1.1130270238678692,-1.533171527773455,0.5270234346618216
throat,2,37,39,-1.1130270238678692,-1.533171527773455,0.5270234346618216
real,2,37,39,-1.1130270238678692,-1.533171527773455,0.5270234346618216
keeping,9,31,40,0.570057064012091,1.5055345818594865,0.14336897891539463
finding,4,10,14,0.8901240306518545,1.504585024969538,0.3499996271128571
outside,7,77,84,-0.5935665934433496,-1.5035749261569626,0.15584352085304573
example,4,53,57,-0.7794205355177661,-1.5031537674802373,0.26886660830006504
display,10,100,110,-0.4984617787594958,-1.5029215996359555,0.10999959184586688
plays,5,61,66,-0.6969417749116698,-1.4982194428453646,0.21639246623633873
firing,5,14,19,0.7768848685104484,1.4911767858560303,0.27142825660944353
weapon,3,44,47,-0.8808745462619134,-1.4762274372971185,0.3560586786289325
leaps,7,76,83,-0.5804516492038934,-1.4695477186580446,0.15601441002603023
control,5,60,65,-0.6803696607914667,-1.4616717460832171,0.2166657048580219
huge,18,157,175,-0.362113009130443,-1.4551638150261574,0.06192478127070257
quickness,3,7,10,0.9589846847347498,1.389701541068433,0.4761899930195445
hits,3,7,10,0.9589846847347498,1.389701541068433,0.4761899930195445
slant,3,7,10,0.9589846847347498,1.389701541068433,0.4761899930195445
wake,1,25,26,-1.4138761222269762,-1.3864259801787342,1.0399904330082146
seahawks,11,42,53,0.4670961503439335,1.3790806549658232,0.11471844276376858
past,2,33,35,-0.9984460526582337,-1.3710833945712053,0.5302998039682357
stride,5,15,20,0.7078492775379281,1.3707450710639701,0.2666663401098446
impressive,9,88,97,-0.47573455687802113,-1.359384178929505,0.1224743029295807
skills,3,41,44,-0.8101287890594273,-1.3545073914057193,0.3577217715644159
pick,9,33,42,0.5074511275505031,1.3494230230824358,0.14141393675392663
downfield,18,153,171,-0.33613296527412295,-1.3489495480869778,0.06209130669162723
beautiful,1,24,25,-1.3730116756567021,-1.3452771474374683,1.0416574663826283
side,10,94,104,-0.4363288775127607,-1.3117829213095384,0.110637911477758
showcases,8,29,37,0.5187902771182706,1.299078124925833,0.15948253006843366
cardinals,8,29,37,0.5187902771182706,1.299078124925833,0.15948253006843366
gain,23,186,209,-0.2864329193862041,-1.2958980354969156,0.048854457591550875
yardage,6,20,26,0.602535514205865,1.2944547954994159,0.2166663774598182
needed,6,20,26,0.602535514205865,1.2944547954994159,0.2166663774598182
add,2,4,6,1.1130031215584655,1.285185893865456,0.7499993111689419
keenan,2,4,6,1.1130031215584655,1.285185893865456,0.7499993111689419
gutsy,2,4,6,1.1130031215584655,1.285185893865456,0.7499993111689419
hasselbeck,2,4,6,1.1130031215584655,1.285185893865456,0.7499993111689419
formation,9,85,94,-0.44092032061707886,-1.2578465623534731,0.12287538587673016
like,1,22,23,-1.2859154002347282,-1.2576551645167793,1.045446078398593
tremendous,1,22,23,-1.2859154002347282,-1.2576551645167793,1.045446078398593
points,5,16,21,0.643268033989326,1.255531452666462,0.26249966126748187
showcasing,2,30,32,-0.9030079275185701,-1.2364979508526546,0.5333303812728933
concentration,9,84,93,-0.4290429739198567,-1.2232661857418257,0.12301544637220796
spots,3,8,11,0.8254106453620995,1.21921300529092,0.4583328211748142
toughness,3,8,11,0.8254106453620995,1.21921300529092,0.4583328211748142
lead,6,21,27,0.5537026038113799,1.1961351648934693,0.21428541626101885
another,2,29,31,-0.8690637311692768,-1.1887374307052612,0.5344798979238732
rams,4,45,49,-0.6154489313703868,-1.179590154489578,0.27222108824583025
high,4,45,49,-0.6154489313703868,-1.179590154489578,0.27222108824583025
such,4,45,49,-0.6154489313703868,-1.179590154489578,0.27222108824583025
used,1,20,21,-1.1905203296095985,-1.161833155465396,1.0499922658567349
take,1,20,21,-1.1905203296095985,-1.161833155465396,1.0499922658567349
drops,32,156,188,0.2233503483284256,1.1509207050557773,0.03766018612424204
ravens,2,28,30,-0.8339297685790239,-1.1393679157655607,0.5357115163447187
wow,15,66,81,0.3252818575002454,1.1371959342401234,0.08181804273136375
strong,6,59,65,-0.48093825045402294,-1.1223674533493027,0.18361514903227347
quarterback,67,352,419,0.14928475289330834,1.1199989344662107,0.01776624669228074
blazing,1,19,20,-1.1391845926930477,-1.110343680477515,1.052624211109495
making,20,93,113,0.27016776242390783,1.096102490106336,0.060752579588464015
truly,2,27,29,-0.7975194835303396,-1.088279041829593,0.537034358954052
jaguars,3,35,38,-0.6516484543824657,-1.0832212178759957,0.3619031993687699
snapped,9,80,89,-0.38008127209317877,-1.0810566034309603,0.1236107023426744
difficult,7,27,34,0.45654280317074036,1.0763989687389603,0.17989390784586134
carr,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
oakland,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
picks,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
scott,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
defensive,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
snagging,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
fighting,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
swing,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
point,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
brian,2,5,7,0.8898170072742921,1.0635353107076142,0.6999992542257142
stretches,3,9,12,0.7075849567530659,1.061378085005275,0.4444439001830743
quick,3,9,12,0.7075849567530659,1.061378085005275,0.4444439001830743
always,3,9,12,0.7075849567530659,1.061378085005275,0.4444439001830743
jim,3,9,12,0.7075849567530659,1.061378085005275,0.4444439001830743
effortless,1,18,19,-1.0850749308340255,-1.0561378866450215,1.0555485538989318
years,1,18,19,-1.0850749308340255,-1.0561378866450215,1.0555485538989318
phenomenal,1,18,19,-1.0850749308340255,-1.0561378866450215,1.0555485538989318
new,1,18,19,-1.0850749308340255,-1.0561378866450215,1.0555485538989318
russell,1,18,19,-1.0850749308340255,-1.0561378866450215,1.0555485538989318
proving,2,26,28,-0.7597365165784362,-1.0353488382839549,0.5384589516194741
looks,3,34,37,-0.622618202514543,-1.0337652953316165,0.36274357596008583
using,13,58,71,0.3112134154889956,1.0141803278538526,0.09416429413815461
broncos,6,23,29,0.462645326287233,1.0092274399872219,0.2101446114544848
passing,10,85,95,-0.3352992305557292,-1.0029537453298234,0.11176435204492899
own,1,17,18,-1.0278740783643858,-0.9989171809172109,1.058816893789177
testament,1,17,18,-1.0278740783643858,-0.9989171809172109,1.058816893789177
atlanta,1,17,18,-1.0278740783643858,-0.9989171809172109,1.058816893789177
standout,1,17,18,-1.0278740783643858,-0.9989171809172109,1.058816893789177
step,2,25,27,-0.7204731663736625,-0.980442060588272,0.5399975043473527
spark,4,14,18,0.5534810148787805,0.9762494260518537,0.32142812439152824
