word,count_a,count_b,total_count,log_odds,z_score,variance
eric,5,7,12,2.1787933255699556,3.7209990447131114,0.34285694837907843
feet,11,42,53,1.1766314121501278,3.473951325217731,0.11471848914547955
tackler,9,31,40,1.2792434616937376,3.3785124953209484,0.14336903197486414
panthers,7,20,27,1.465784644375197,3.3377398991367078,0.19285697691846884
spot,4,6,10,2.1094707564953135,3.2679789934937213,0.41666642446641056
grab,4,6,10,2.1094707564953135,3.2679789934937213,0.41666642446641056
case,3,2,5,2.920157926645955,3.198873665524772,0.8333328489328211
fox,3,2,5,2.920157926645955,3.198873665524772,0.8333328489328211
catch,5,12,17,1.6396521303007008,3.0803711426354043,0.2833331192283566
gaines,3,3,6,2.5146640394633293,3.0798227118709205,0.666666308955496
look,3,3,6,2.5146640394633293,3.0798227118709205,0.666666308955496
waters,3,3,6,2.5146640394633293,3.0798227118709205,0.666666308955496
chargers,4,8,12,1.8217308500398568,2.974875018493085,0.37499974848438034
tim,3,4,7,2.226953120025062,2.9157668838836788,0.5833330072945166
shifted,10,45,55,1.011881925861105,2.8943765165597255,0.12222206737979227
time,11,54,65,0.9249688005490002,2.7961722809198046,0.10942745932833563
stand,3,5,8,2.0037806940547895,2.7437905503298063,0.533333009008572
nelson,3,6,9,1.8214302483493139,2.5758922239685114,0.4999996646458404
forward,4,11,15,1.5031903311181978,2.574511663720592,0.34090880613526636
reads,29,217,246,0.5052045217424004,2.555224041605101,0.03909097367486815
opposing,11,60,71,0.8194341453355882,2.4983724295180947,0.1075755948623221
davis,6,24,30,1.1288376641897209,2.4731608197063286,0.20833309579093612
tremendous,5,18,23,1.234013302420557,2.4410540963469853,0.25555528969020846
thompson,3,7,10,1.6672506711039556,2.416076655654329,0.4761901233462223
immediately,3,7,10,1.6672506711039556,2.416076655654329,0.4761901233462223
breaking,15,96,111,0.6599786808724124,2.377114195070754,0.0770831977491135
bringing,5,19,24,1.1799171226205294,2.347512546267062,0.25263130355950136
capitalize,8,40,48,0.9059480853833373,2.339149529787177,0.1499997907391793
heads,4,13,17,1.336078374331267,2.3367344051253824,0.3269227648850694
create,2,3,5,2.1088406689332624,2.3101198805321133,0.8333328489328211
diagnose,2,3,5,2.1088406689332624,2.3101198805321133,0.8333328489328211
spark,2,3,5,2.1088406689332624,2.3101198805321133,0.8333328489328211
scott,2,3,5,2.1088406689332624,2.3101198805321133,0.8333328489328211
preparation,2,3,5,2.1088406689332624,2.3101198805321133,0.8333328489328211
jeff,2,3,5,2.1088406689332624,2.3101198805321133,0.8333328489328211
upfield,5,20,25,1.1285948684690315,2.25719102376699,0.24999971494912337
ravens,8,43,51,0.8335404216949645,2.164816665182774,0.14825559276550065
crosses,2,4,6,1.8211297718518864,2.1028602332189013,0.7499994969687607
during,6,29,35,0.9394507854556062,2.0946667043274125,0.20114915329137797
smith,6,30,36,0.9055202549710799,2.0248062574941663,0.1999997209855724
hawking,3,10,13,1.3104890068666935,1.9907766813437768,0.4333329109362952
understanding,3,10,13,1.3104890068666935,1.9907766813437768,0.4333329109362952
shadowing,1,91,92,-1.99944343232076,-1.9885714784790622,1.0109643265336077
edwards,2,5,7,1.5979573771812756,1.9099251166855997,0.6999994553849194
nowhere,2,5,7,1.5979573771812756,1.9099251166855997,0.6999994553849194
deep,10,65,75,0.6435767631920459,1.8946403816208806,0.11538440940995082
mike,3,11,14,1.2151499144321507,1.865619370128019,0.4242419758719655
elite,2,91,93,-1.3059501038542205,-1.8269365141892788,0.5109827704619733
highlighting,6,33,39,0.8101231330121861,1.8253731422580906,0.19696939672177483
intended,28,242,270,0.3599814152874883,1.8033723512119022,0.039846423489045435
like,2,89,91,-1.2836690826169388,-1.7953328605944872,0.5112298485983964
turnover,9,59,68,0.6348810176120887,1.7741303982188503,0.12806003318745363
anticipation,21,174,195,0.40163632632755597,1.7386030677278885,0.05336605369941124
returns,4,19,23,0.9564150970947187,1.7385596262505674,0.30263117619755
chiefs,5,27,32,0.828287526770298,1.7012703840222694,0.23703668185821644
lands,6,35,41,0.7512246668751388,1.7001526182880886,0.19523778071425069
makes,8,52,60,0.6432357643543858,1.693719982024479,0.1442305117624385
crucial,19,157,176,0.40413624402585135,1.6637902773674271,0.05900087298616864
awareness,27,239,266,0.33581388697661385,1.6540140263776375,0.04122103831416433
erupts,4,20,24,0.9050928556513185,1.6524670649124302,0.2999995814783586
harris,4,20,24,0.9050928556513185,1.6524670649124302,0.2999995814783586
chris,3,13,16,1.048037998606758,1.636249802657366,0.4102559079089941
fuller,3,13,16,1.048037998606758,1.636249802657366,0.4102559079089941
cut,5,28,33,0.791890914342293,1.6310705439216764,0.23571392028812105
react,1,62,63,-1.6148832065527357,-1.602028733245162,1.0161121262848998
suddenly,2,7,9,1.2614274283275915,1.573277217305069,0.6428564899433988
timely,2,7,9,1.2614274283275915,1.573277217305069,0.6428564899433988
diving,2,7,9,1.2614274283275915,1.573277217305069,0.6428564899433988
turning,10,73,83,0.5272723415769578,1.5637157405595714,0.11369840328360274
man,1,59,60,-1.5651999159303323,-1.5521140657867092,1.016933051165913
intercept,23,203,226,0.3383339524137332,1.537814035557149,0.04840425315652041
point,3,14,17,0.9739011084033606,1.5307889865084792,0.4047613747354297
stunning,7,47,54,0.6105866288611859,1.5071232110548416,0.1641334363847345
looks,1,54,55,-1.4765026197173956,-1.4630288962737719,1.0185037580823155
position,8,57,65,0.5512831541479386,1.4601614823372078,0.1425435818069444
reinforces,3,15,18,0.9048793174353706,1.4307408233308199,0.3999994419711448
near,2,8,10,1.127867172575832,1.4266524787268424,0.6249992873728084
demonstrate,2,8,10,1.127867172575832,1.4266524787268424,0.6249992873728084
break,1,51,52,-1.4192578767195645,-1.4055545379558816,1.019593887225124
lightning,3,84,87,-0.8198849804427271,-1.3953887200999733,0.34523549854297614
moments,5,32,37,0.6582436391557129,1.368819496295854,0.2312495932473405
most,3,82,85,-0.7957294669202666,-1.3537084069943366,0.3455259181235463
role,2,64,66,-0.953192526485946,-1.3274418691001304,0.5156205690381506
turf,1,47,48,-1.3374647520296907,-1.3234678472942774,1.0212637124718456
crowd,13,110,123,0.3796190621801525,1.2943865001258295,0.08601378802769809
critical,3,78,81,-0.7456031326350798,-1.267286067310351,0.3461514280478169
league,5,110,115,-0.5787633193575061,-1.2657114463896268,0.20908967244452142
proving,11,91,102,0.4020189842705557,1.2594009130024562,0.10189787243776526
lurking,1,44,45,-1.2714204728905454,-1.2572216358543051,1.022715193878604
harmlessly,1,44,45,-1.2714204728905454,-1.2572216358543051,1.022715193878604
route,15,258,273,-0.33335212551229354,-1.2551001833025546,0.07054230904284889
turns,3,17,20,0.7796583316412162,1.2450154902053399,0.392156247994232
today,3,17,20,0.7796583316412162,1.2450154902053399,0.392156247994232
showing,3,17,20,0.7796583316412162,1.2450154902053399,0.392156247994232
decision,1,42,43,-1.2248429206046882,-1.2105236034191598,1.0237979812113696
showcased,13,113,126,0.3526243881513027,1.2040332602002166,0.08577243177636014
released,8,63,71,0.4510255938415897,1.2016769948556862,0.1408727134474672
