word,count_a,count_b,total_count,log_odds,z_score,variance
tenacity,32,37,69,1.2223127768795905,5.0633017106828015,0.05827698691106227
motor,15,24,39,0.8951935968327103,2.7197944205614624,0.10833325123753423
athleticism,4,62,66,-1.379108745162056,-2.6733359347052903,0.26612762149329916
phillips,5,3,8,1.8752454783629853,2.5677866145613444,0.5333329216007945
mike,6,5,11,1.5468235052121546,2.5544958299567866,0.36666641273967676
technique,26,56,82,0.5984174992035802,2.521611867909414,0.05631863109914145
agility,27,176,203,-0.513962633309907,-2.486693367715984,0.042718758145733074
bennett,4,2,6,2.0574422822366483,2.3757307224134663,0.7499993613983598
wright,4,2,6,2.0574422822366483,2.3757307224134663,0.7499993613983598
drives,4,2,6,2.0574422822366483,2.3757307224134663,0.7499993613983598
anderson,5,4,9,1.5875208416570032,2.366537171258883,0.4499996858079261
performance,16,31,47,0.7036668547045739,2.285910304598365,0.09475798532913636
capitalize,4,3,7,1.6519347138801006,2.1628910157710055,0.5833329194247816
chris,5,5,10,1.364334667494279,2.1572032547220594,0.39999972752990187
impactful,5,5,10,1.364334667494279,2.1572032547220594,0.39999972752990187
today,12,22,34,0.7586442581297375,2.113979911459281,0.1287877744457991
relentless,76,226,302,0.27699122002183607,2.088929543845678,0.017582653676371216
power,13,94,107,-0.6164827310663288,-2.083364092817108,0.08756115503319298
critical,5,51,56,-0.9600192940348471,-2.0485982609689364,0.21960707289045542
remarkable,1,31,32,-2.0714241546144603,-2.038812037209214,1.0322471544824527
bills,9,15,24,0.8537513366616354,2.024849866038678,0.17777764053359818
right,10,18,28,0.7768294798089874,1.9696230102650862,0.1555554307575445
big,8,13,21,0.8789872222986768,1.95609413003805,0.20192292284624258
firmly,5,6,11,1.181970457639629,1.9519606438605481,0.36666641273967676
surge,5,6,11,1.181970457639629,1.9519606438605481,0.36666641273967676
shove,3,2,5,1.7695930870678822,1.9384928180301864,0.8333327183835102
barreling,3,2,5,1.7695930870678822,1.9384928180301864,0.8333327183835102
signaling,3,2,5,1.7695930870678822,1.9384928180301864,0.8333327183835102
hampton,3,2,5,1.7695930870678822,1.9384928180301864,0.8333327183835102
scott,3,2,5,1.7695930870678822,1.9384928180301864,0.8333327183835102
stand,3,2,5,1.7695930870678822,1.9384928180301864,0.8333327183835102
reed,3,2,5,1.7695930870678822,1.9384928180301864,0.8333327183835102
