word,count_a,count_b,total_count,log_odds,z_score,variance
reads,83,117,200,0.659397830847162,4.594779671197926,0.02059518258117889
before,25,23,48,1.082346738734815,3.7461046338847996,0.08347818894053574
interception,24,24,48,0.9987465011779291,3.4597608532285955,0.0833332617780682
textbook,32,43,75,0.7034428031781736,3.0130585479092944,0.05450576509355809
coverage,21,23,44,0.9073543204686887,3.0062446848537268,0.09109722994280828
explosive,7,62,69,-1.1874267574488888,-2.9780225826642,0.15898556284174462
technique,9,5,14,1.585256064784324,2.842116539763383,0.31111079648002854
saints,8,4,12,1.6905158458373473,2.760602297777846,0.3749995975017546
intended,13,12,25,1.0777388271200055,2.6921918868121644,0.16025627220908595
scott,7,3,10,1.8445657489560592,2.673031304927826,0.47618991153693485
intercept,8,5,13,1.4673137189532515,2.573839757441134,0.32499968953963687
sideline,17,20,37,0.8353450378064871,2.532238937534352,0.10882343473226591
clean,7,4,11,1.5568251907691186,2.4838349843898917,0.39285675131119024
speed,67,254,321,-0.340629861363003,-2.4801893555253014,0.018862348171536987
eyes,47,82,129,0.4424377959315935,2.4183181550028814,0.03347168438729996
scanning,36,152,188,-0.4472573760732761,-2.412970692196191,0.03435665937317893
decisive,17,21,38,0.7864960599276349,2.410677151723169,0.10644248358435149
aggressive,10,9,19,1.102754572001646,2.400067791211997,0.21111092883069998
snagging,6,3,9,1.690255867867168,2.39038405505265,0.49999946333567274
being,11,11,22,0.9974359837022675,2.3391957329768913,0.18181802569760333
collins,5,2,7,1.9132986059948873,2.286830655706939,0.6999991284573236
tackling,8,7,15,1.1307241736192388,2.1847676124902047,0.2678569108045159
made,11,12,23,0.910365856338621,2.1809172909209305,0.17424227406014503
front,6,4,10,1.4025152841248065,2.172768345861423,0.4166662790756877
air,18,25,43,0.669225385920762,2.1649338579386863,0.09555546903835546
impact,8,49,57,-0.8176563601681819,-2.144257862389416,0.1454077707003173
thunderous,2,26,28,-1.5698249423566297,-2.1393167937939404,0.5384585153729136
gaining,4,1,5,2.3832009931882077,2.1316017146475095,1.2499977191786455
invaluable,4,1,5,2.3832009931882077,2.1316017146475095,1.2499977191786455
bursts,26,111,137,-0.457500454011055,-2.0998091750972807,0.04747045568732368
tackle,66,131,197,0.31362081088992255,2.0776845385539287,0.022785078592751
meet,7,6,13,1.1512428503748886,2.069284019419118,0.30952354058310627
solid,5,3,8,1.5077751474745806,2.0646071543817284,0.5333328143192292
anticipate,20,30,50,0.5922893987392257,2.0517516170902446,0.08333325581513754
passing,12,15,27,0.7742168062368799,1.9990200776382507,0.14999986798054005
sack,21,92,113,-0.48300829228936504,-1.9971898755194983,0.0584884970946004
exploding,13,17,30,0.7291382569499243,1.9789990621635907,0.1357464855548456
explosiveness,3,27,30,-1.2020014978602287,-1.9750938665651423,0.3703689216020095
closing,8,46,54,-0.7543007740537826,-1.96911978159745,0.1467387572305104
energizing,4,2,6,1.6899959880255295,1.9514403245005438,0.7499991950035092
opponent,4,2,6,1.6899959880255295,1.9514403245005438,0.7499991950035092
leadership,4,2,6,1.6899959880255295,1.9514403245005438,0.7499991950035092
maintain,4,2,6,1.6899959880255295,1.9514403245005438,0.7499991950035092
keen,9,10,19,0.8918154524211408,1.9409736285889916,0.21111092883069998
explodes,17,77,94,-0.5160867532703834,-1.9258792378232619,0.0718103959480604
ravens,3,26,29,-1.1642024376883198,-1.9093151800363446,0.3717934699795545
showcased,19,83,102,-0.4799314204282732,-1.887101991234258,0.0646796440548643
turnover,11,14,25,0.7560976500478063,1.8765858455390414,0.16233751887111103
tight,7,7,14,0.9970334955511087,1.8652796725685858,0.28571404038194814
end,7,7,14,0.9970334955511087,1.8652796725685858,0.28571404038194814
stepping,7,7,14,0.9970334955511087,1.8652796725685858,0.28571404038194814
forcing,21,89,110,-0.4496788501170821,-1.8535793690193376,0.05885488962367591
leaps,16,24,40,0.5920040012048391,1.8342581631740968,0.10416656976892193
confidence,5,4,9,1.2200345422656644,1.8187209146245966,0.4499996039416201
darting,8,9,17,0.8792923355619617,1.8095694800070241,0.23611090696327897
brought,8,9,17,0.8792923355619617,1.8095694800070241,0.23611090696327897
sails,6,36,42,-0.796589779080537,-1.8064982077173597,0.19444392964513496
part,2,20,22,-1.3071087857609873,-1.7625089484975358,0.549997615072128
matters,6,6,12,0.9969329283973076,1.72673922506642,0.3333330471122728
athleticism,33,125,158,-0.3375822006788054,-1.7248977302469715,0.0383029636711686
edge,12,56,68,-0.5454982085328046,-1.7148414161913637,0.10119026414138829
massive,13,59,72,-0.5176587384616704,-1.6895670333664723,0.09387203767505369
find,4,3,7,1.2844724794166087,1.681769999268911,0.5833328115762194
snag,4,3,7,1.2844724794166087,1.681769999268911,0.5833328115762194
nick,4,3,7,1.2844724794166087,1.681769999268911,0.5833328115762194
redskins,7,8,15,0.8634434065826717,1.6683318831700054,0.2678569108045159
eagles,7,8,15,0.8634434065826717,1.6683318831700054,0.2678569108045159
locked,1,15,16,-1.7124367512881724,-1.6580651174464145,1.0666597668722435
turf,10,48,58,-0.573516279234525,-1.6498818260000137,0.12083307351358673
perfectly,85,186,271,0.21586627130489422,1.648793725585238,0.017141030501660638
him,54,188,242,-0.25360522400334506,-1.6425805206207431,0.02383762888469735
rams,8,10,18,0.7738730934715736,1.6314684481458053,0.22499980197081004
surges,2,18,20,-1.2016310019106156,-1.6121603156123314,0.5555533824030142
time,15,24,39,0.5273059369183208,1.6020712076419412,0.10833322984654561
prowess,10,14,24,0.6606280788470187,1.595569120786726,0.17142841581778567
performance,12,18,30,0.5917188865528393,1.587749123160018,0.1388887596918959
broncos,1,14,15,-1.6433854756098087,-1.587666000189419,1.0714220986336298
instincts,90,200,290,0.20042886647331315,1.579056875725435,0.01611109262733338
shone,5,5,10,0.996832383181717,1.5761310648169773,0.3999996565347273
shed,5,5,10,0.996832383181717,1.5761310648169773,0.3999996565347273
instinct,9,43,52,-0.5687406455517223,-1.5515598838411682,0.13436663737053653
highlights,32,62,94,0.3363885059104623,1.5454262466622883,0.04737898234803645
explode,3,21,24,-0.9503347310529815,-1.5397206030525963,0.3809512127060949
halted,3,21,24,-0.9503347310529815,-1.5397206030525963,0.3809512127060949
echoes,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
prowl,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
ready,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
hawk,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
rapidly,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
flying,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
scoring,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
felt,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
value,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
races,3,2,5,1.4021549029209366,1.5359844532931544,0.8333325581513754
shedding,12,53,65,-0.49026162081936775,-1.5335580111602596,0.10220105413171318
vikings,6,7,13,0.8427235735735197,1.5147407195758886,0.30952354058310627
snap,40,81,121,0.29237672063204734,1.5129439722528373,0.03734563862629013
high,1,13,14,-1.5692191030408162,-1.5121416089866222,1.0769170307458271
showcasing,79,175,254,0.20330925870109873,1.499937341338252,0.01837249252837436
reading,17,69,86,-0.40591573887596066,-1.4991188763493557,0.07331614752034263
exemplifies,7,9,16,0.745601659197507,1.4795080808800454,0.25396802897211573
powerful,12,52,64,-0.47115449609401416,-1.4711808839198726,0.10256390158863746
position,9,13,22,0.6292749446871921,1.4511831592274473,0.18803401553630317
drops,82,266,348,-0.18306508442179847,-1.449318960775968,0.01595449611587779
weaving,4,4,8,0.9967318598966513,1.4095923194978466,0.4999995706684092
around,4,4,8,0.9967318598966513,1.4095923194978466,0.4999995706684092
sprinting,4,4,8,0.9967318598966513,1.4095923194978466,0.4999995706684092
showing,4,4,8,0.9967318598966513,1.4095923194978466,0.4999995706684092
offensive,37,130,167,-0.2620484269967873,-1.4063590550679557,0.034719278104073395
favor,15,26,41,0.44714556326098265,1.3790801785374542,0.10512810085512643
testament,2,15,17,-1.0191335711852814,-1.3538420099153305,0.5666648095740987
read,43,147,190,-0.23471057664214978,-1.3537831400027367,0.03005848714965147
importance,5,6,11,0.814452179382628,1.3450240939785074,0.3666663465761208
lands,5,6,11,0.814452179382628,1.3450240939785074,0.3666663465761208
keep,5,6,11,0.814452179382628,1.3450240939785074,0.3666663465761208
blitz,5,6,11,0.814452179382628,1.3450240939785074,0.3666663465761208
account,1,11,12,-1.4020482292170255,-1.342362176972342,1.0909038963737638
today,11,18,29,0.5045480898180461,1.318367146733293,0.14646450513918657
sheds,6,8,14,0.7091334871606145,1.3130606588978175,0.2916664057881097
demonstrating,19,72,91,-0.33710759615186614,-1.3070471941860928,0.06652035207503165
key,36,124,160,-0.2419993235893685,-1.2782523561335404,0.03584223643541383
incredible,12,49,61,-0.41155430767715373,-1.2777659204303948,0.10374130382161137
free,3,18,21,-0.7960079321435245,-1.2764541008332355,0.3888878592902699
remarkable,3,18,21,-0.7960079321435245,-1.2764541008332355,0.3888878592902699
sending,17,65,82,-0.3459605402474999,-1.2699925119012643,0.07420801464666768
why,59,192,251,-0.18553986335689476,-1.2464570659677923,0.02215745199523567
giants,1,10,11,-1.3066796609238738,-1.2458728740191778,1.099995230144256
running,38,81,119,0.2407630728990906,1.224477888745777,0.03866142531784807
return,3,3,6,0.996631358534426,1.220619669083767,0.6666660942245456
chance,3,3,6,0.996631358534426,1.220619669083767,0.6666660942245456
quarterbacks,3,3,6,0.996631358534426,1.220619669083767,0.6666660942245456
turned,3,3,6,0.996631358534426,1.220619669083767,0.6666660942245456
heads,3,3,6,0.996631358534426,1.220619669083767,0.6666660942245456
decisively,3,3,6,0.996631358534426,1.220619669083767,0.6666660942245456
cowboys,11,19,30,0.45042207197217277,1.1888645977543337,0.1435405277321116
comes,11,19,30,0.45042207197217277,1.1888645977543337,0.1435405277321116
blocker,7,31,38,-0.49245418324709256,-1.1768045355135304,0.17511485744603533
breaks,7,31,38,-0.49245418324709256,-1.1768045355135304,0.17511485744603533
plays,15,28,43,0.37291990830946453,1.1654837164259229,0.10238084678341738
phenomenal,2,13,15,-0.8759154980134412,-1.1531979863713775,0.576921428827045
top,4,5,9,0.773529700812694,1.1531105031983702,0.4499996039416201
deflecting,4,5,9,0.773529700812694,1.1531105031983702,0.4499996039416201
dolphins,4,5,9,0.773529700812694,1.1531105031983702,0.4499996039416201
wraps,43,142,185,-0.1998086565809487,-1.147908235574233,0.03029802057926039
energize,1,9,10,-1.2012607611045434,-1.139618249573374,1.1111067648060284
himself,1,9,10,-1.2012607611045434,-1.139618249573374,1.1111067648060284
movements,5,7,12,0.6602428286476973,1.1275798048906984,0.34285683163557135
shy,5,7,12,0.6602428286476973,1.1275798048906984,0.34285683163557135
steps,5,7,12,0.6602428286476973,1.1275798048906984,0.34285683163557135
surging,5,7,12,0.6602428286476973,1.1275798048906984,0.34285683163557135
handoff,5,7,12,0.6602428286476973,1.1275798048906984,0.34285683163557135
really,5,7,12,0.6602428286476973,1.1275798048906984,0.34285683163557135
shows,5,7,12,0.6602428286476973,1.1275798048906984,0.34285683163557135
beautifully,7,11,18,0.5448135071316162,1.1268268376173631,0.2337660121851075
wrap,7,11,18,0.5448135071316162,1.1268268376173631,0.2337660121851075
swift,7,11,18,0.5448135071316162,1.1268268376173631,0.2337660121851075
dropping,6,9,15,0.5912917440346774,1.1218977254867628,0.2777775193837918
underscores,6,9,15,0.5912917440346774,1.1218977254867628,0.2777775193837918
fumble,4,20,24,-0.6136452224103071,-1.1203590193443345,0.2999993302438154
react,16,59,75,-0.3095410253442852,-1.0981810652303907,0.0794490175115977
move,7,30,37,-0.45960553398543613,-1.0949504235149066,0.17619013435146857
league,7,30,37,-0.45960553398543613,-1.0949504235149066,0.17619013435146857
seahawks,3,16,19,-0.6781075032113684,-1.077811672836275,0.3958323951038627
rhythm,3,16,19,-0.6781075032113684,-1.077811672836275,0.3958323951038627
changer,5,23,28,-0.5302810478354489,-1.074673300816289,0.24347775729437363
entire,12,46,58,-0.3481986701823292,-1.0741947659578224,0.10507227907503029
bengals,8,33,41,-0.42140167703956255,-1.0693175677195514,0.1553027390988444
released,11,20,31,0.3990699761646681,1.0631138335495152,0.1409089476418809
momentum,47,106,153,0.18429953441519764,1.0516727859845751,0.03071052242624986
significant,2,12,14,-0.7958141818669784,-1.0419667300462159,0.5833317889354049
during,2,12,14,-0.7958141818669784,-1.0419667300462159,0.5833317889354049
caller,4,19,23,-0.5622931869965822,-1.0221300630698236,0.3026309344306547
signal,4,19,23,-0.5622931869965822,-1.0221300630698236,0.3026309344306547
see,1,8,9,-1.0834193459388173,-1.0214593367604299,1.1249960756525175
turn,1,8,9,-1.0834193459388173,-1.0214593367604299,1.1249960756525175
suddenly,1,8,9,-1.0834193459388173,-1.0214593367604299,1.1249960756525175
long,1,8,9,-1.0834193459388173,-1.0214593367604299,1.1249960756525175
scheme,9,16,25,0.4214592720549577,1.01150276108824,0.17361093667448407
through,90,275,365,-0.12249579443722602,-1.0087014924682227,0.014747453328921824
crowd,34,112,146,-0.19698496536566967,-1.0060173200762053,0.03834027691396215
backfield,30,100,130,-0.20874965798628597,-1.00280170236081,0.043333265737519985
shift,8,14,22,0.43716586199972607,0.98637970546844,0.19642837565559512
run,8,14,22,0.43716586199972607,0.98637970546844,0.19642837565559512
makes,8,14,22,0.43716586199972607,0.98637970546844,0.19642837565559512
marker,8,14,22,0.43716586199972607,0.98637970546844,0.19642837565559512
opposing,15,54,69,-0.2853908869383863,-0.9778188986214512,0.0851850433645603
crushing,12,23,35,0.34630238791804135,0.9724700445115562,0.12681146144582364
wrapping,30,99,129,-0.1986402064625601,-0.9531271997664326,0.04343427624604547
deflect,6,10,16,0.4858725102923733,0.9408885281848037,0.2666664071596146
steelers,6,10,16,0.4858725102923733,0.9408885281848037,0.2666664071596146
work,3,4,7,0.7088907390144579,0.9281562639439039,0.5833328115762194
securing,3,4,7,0.7088907390144579,0.9281562639439039,0.5833328115762194
screen,3,4,7,0.7088907390144579,0.9281562639439039,0.5833328115762194
needs,3,4,7,0.7088907390144579,0.9281562639439039,0.5833328115762194
impeccable,3,4,7,0.7088907390144579,0.9281562639439039,0.5833328115762194
stifled,3,4,7,0.7088907390144579,0.9281562639439039,0.5833328115762194
step,3,4,7,0.7088907390144579,0.9281562639439039,0.5833328115762194
closes,14,28,42,0.30376753089839514,0.928025634046208,0.10714274214335845
qb,14,50,64,-0.27734644635844674,-0.9172379134342804,0.09142842024792687
sets,14,50,64,-0.27734644635844674,-0.9172379134342804,0.09142842024792687
stopping,10,19,29,0.35495251221625157,0.9085488479246105,0.1526314199520068
most,10,19,29,0.35495251221625157,0.9085488479246105,0.1526314199520068
demonstrates,10,19,29,0.35495251221625157,0.9085488479246105,0.1526314199520068
snaps,1,7,8,-0.9498295789678224,-0.8884855774169719,1.1428536381182843
