word,count_a,count_b,total_count,log_odds,z_score,variance
end,64,102,166,-0.6722818477968717,-4.215873542985961,0.025428902643279287
quarterback,216,253,469,-0.3663767117555299,-3.954838220881788,0.00858219297637669
pass,74,106,180,-0.5652553705946817,-3.7314479868447967,0.02294745939615715
running,250,139,389,0.3894429373373196,3.6808371819576333,0.011194235772850192
space,105,48,153,0.583122331970495,3.346797371658541,0.03035711595691725
brown,2,15,17,-2.2183619107167765,-2.946925263075741,0.5666652173306229
neutralizing,12,27,39,-1.0146777830403026,-2.9246139620833604,0.12037026169858117
pull,22,3,25,1.7910797051846794,2.9101637039520667,0.3787869307487116
through,190,110,300,0.34747949400784517,2.900292930030607,0.014354055893801173
pulls,38,12,50,0.9516350692781765,2.8738765630250844,0.10964899486338847
textbook,21,3,24,1.7444988520028772,2.8264145593725396,0.3809514692146471
role,37,54,91,-0.5823084465742676,-2.7285397908011,0.045545512816801054
hole,95,48,143,0.48242651486148436,2.7242424289494527,0.03135962301767128
pocket,124,141,265,-0.33393068241143986,-2.7124012362304786,0.01515670446970125
touchdown,4,14,18,-1.4560268715699678,-2.5681916317547433,0.3214281637103611
launch,11,23,34,-0.9411088032929875,-2.5672066253316763,0.13438723609307246
critical,23,37,60,-0.6792483401580753,-2.5581022692242787,0.07050523520802178
snaps,34,12,46,0.8401655369959258,2.5021668189260224,0.11274497767184974
downfield,91,106,197,-0.35742105969730087,-2.5010409410948893,0.020422959407526448
stellar,1,11,12,-2.6011154350550685,-2.4903830552542607,1.0909050369217332
linebacker,39,15,54,0.7543044099463936,2.4827209962393924,0.09230759999653379
manning,4,13,17,-1.3818443832186285,-2.4167771579980766,0.32692268721285445
pressure,41,55,96,-0.49783426118102536,-2.4128070328513065,0.04257203231567366
protects,18,30,48,-0.7144319472749316,-2.396278509068127,0.08888882137965098
drops,47,61,108,-0.4648823525345698,-2.39521873174898,0.03767001226098004
quick,55,69,124,-0.431040104020763,-2.384585372918637,0.03267454934340919
create,138,81,219,0.33272001411585084,2.377054218243491,0.01959204078667848
strike,13,24,37,-0.816567267058665,-2.3712021250107393,0.11858964870926766
jets,5,14,19,-1.2328226904141903,-2.366317787572783,0.2714282842991481
wilson,18,4,22,1.3024095803247535,2.3561494465330766,0.3055550720914333
qb,10,20,30,-0.8964940333847711,-2.3147386103317675,0.14999987435092618
success,18,29,47,-0.680455724652071,-2.267703952667978,0.09003824684589798
develop,4,12,16,-1.3017271661406635,-2.254658848440625,0.3333329610399103
tone,48,22,70,0.5789785403705094,2.248772896387006,0.06628782014828268
opponent,20,31,51,-0.6418141264885238,-2.2377944283562257,0.08225800401367273
allows,14,24,38,-0.7423984313458822,-2.207572895248948,0.11309515102887457
execution,12,1,13,2.283094348635446,2.19353053851341,1.0833289472649401
defense,36,15,51,0.6740787472951606,2.193424203886154,0.09444435531117534
foster,2,9,11,-1.70708972804284,-2.1837182450028774,0.6111101441828666
bursts,88,49,137,0.3847639384859285,2.1586072196544155,0.03177177458266621
deep,32,43,75,-0.4991887535434998,-2.1381763891374455,0.054505775821616205
protection,37,48,85,-0.4640765940553022,-2.1212987372525087,0.04786032719520453
fires,59,30,89,0.47523449397365347,2.119335756842057,0.05028244417487077
receiver,46,57,103,-0.4183275919444771,-2.1106411000585656,0.03928296315183805
lined,7,15,22,-0.9652964072943631,-2.108842710516182,0.20952362632499943
completion,7,15,22,-0.9652964072943631,-2.108842710516182,0.20952362632499943
gains,14,3,17,1.3386079937601636,2.1040398151105295,0.4047612428017905
footwork,81,91,172,-0.3207375159065595,-2.099659590256115,0.023334674258042053
zone,4,11,15,-1.2146412868736958,-2.0803143957683567,0.3409087352496144
scans,4,11,15,-1.2146412868736958,-2.0803143957683567,0.3409087352496144
scanning,8,16,24,-0.8963173138606164,-2.069957036707793,0.18749984293865776
excellent,21,7,28,0.8969041555127379,2.05506673951085,0.19047597773709157
green,1,7,8,-2.1488333398176964,-2.0100519400604533,1.1428544076439415
looks,1,7,8,-2.1488333398176964,-2.0100519400604533,1.1428544076439415
thrive,1,7,8,-2.1488333398176964,-2.0100519400604533,1.1428544076439415
sends,1,7,8,-2.1488333398176964,-2.0100519400604533,1.1428544076439415
handoff,10,1,11,2.1006516426977955,2.0028961433920776,1.0999962774470038
cuts,10,1,11,2.1006516426977955,2.0028961433920776,1.0999962774470038
rhythm,10,1,11,2.1006516426977955,2.0028961433920776,1.0999962774470038
stance,11,19,30,-0.7497551257142829,-1.9789377220184619,0.14354055893801174
frame,11,19,30,-0.7497551257142829,-1.9789377220184619,0.14354055893801174
white,13,3,16,1.2644392171130647,1.9741066044596294,0.4102557828651829
defenders,13,3,16,1.2644392171130647,1.9741066044596294,0.4102557828651829
set,48,24,72,0.49181791777315986,1.9672724950460352,0.06249994764621925
explosive,22,8,30,0.8098792499080094,1.9616259814590322,0.1704543676248072
example,11,2,13,1.5028025471220552,1.9549785655590783,0.5909079659531868
break,11,2,13,1.5028025471220552,1.9549785655590783,0.5909079659531868
once,3,9,12,-1.3015642788543147,-1.952347508550982,0.44444394805321363
again,3,9,12,-1.3015642788543147,-1.952347508550982,0.44444394805321363
across,3,9,12,-1.3015642788543147,-1.952347508550982,0.44444394805321363
clean,60,69,129,-0.34372335910146923,-1.9472177050344304,0.031159399204769254
time,59,68,127,-0.3459178546800681,-1.944248298459989,0.03165501346823298
performance,40,49,89,-0.4066261380150529,-1.9082201285447113,0.045408132207231285
chris,8,15,23,-0.83170422731303,-1.8997470951883375,0.19166651200195783
ravens,8,15,23,-0.83170422731303,-1.8997470951883375,0.19166651200195783
holding,4,10,14,-1.1192566123869137,-1.8918898953453425,0.3499996599098984
bay,4,10,14,-1.1192566123869137,-1.8918898953453425,0.3499996599098984
veteran,33,15,48,0.5868844507753046,1.8846676549052224,0.09696961072067097
guard,44,22,66,0.4917230679974267,1.8831567679625751,0.06818176106860283
front,16,5,21,0.9612870325265757,1.8762412744205588,0.26249969106046844
read,16,5,21,0.9612870325265757,1.8762412744205588,0.26249969106046844
awareness,59,32,91,0.4105466156498796,1.8700057795518135,0.04819911400693896
passing,9,16,25,-0.7784734704517255,-1.8683370616063264,0.1736109749751128
exceptional,18,26,44,-0.5710324565166784,-1.8623338506138847,0.09401702670562528
wrist,1,6,7,-1.9946084346476054,-1.846650487772549,1.1666642560692633
lower,1,6,7,-1.9946084346476054,-1.846650487772549,1.1666642560692633
hopkins,1,6,7,-1.9946084346476054,-1.846650487772549,1.1666642560692633
flick,1,6,7,-1.9946084346476054,-1.846650487772549,1.1666642560692633
elite,5,11,16,-0.9914370619855797,-1.838174327262906,0.2909088321620129
needs,5,11,16,-0.9914370619855797,-1.838174327262906,0.2909088321620129
clear,12,3,15,1.1843357095779012,1.834766298179691,0.4166660733242316
right,60,33,93,0.3965684660965296,1.8298246367662876,0.04696965969957189
instrumental,10,2,12,1.4074316303696675,1.8169880046812907,0.5999989546007972
carson,2,7,9,-1.4556265026479593,-1.815486370105467,0.6428563274207222
block,132,84,216,0.25130743202919614,1.8005501664145613,0.01948050506976192
boosts,6,12,18,-0.896140668593925,-1.792282087849955,0.249999790584877
presence,24,10,34,0.6737199600157266,1.7899701204811187,0.14166653296676301
off,213,144,357,0.1912738889856671,1.7729348813578516,0.011639271720027058
cog,8,1,9,1.87738695987204,1.7700198096602284,1.124996937310167
formation,35,17,52,0.5205346188677806,1.760786153472071,0.0873948834716939
line,500,363,863,0.1212212135706352,1.7579709628715445,0.004754817585547505
gain,218,148,366,0.18708480982215292,1.7565367689889375,0.011343904540923773
burst,62,35,97,0.37049056322457563,1.752351885810141,0.04470042584282269
rusher,15,22,37,-0.5861840529308449,-1.7506134609631374,0.11212113140734165
successful,15,22,37,-0.5861840529308449,-1.7506134609631374,0.11212113140734165
provided,3,8,11,-1.1837067893402002,-1.7484516939573709,0.45833286622137437
hands,8,14,22,-0.76263679757911,-1.7207413543803054,0.1964284186409949
find,48,55,103,-0.33977816632376,-1.72020009064372,0.039015125127349747
created,13,4,17,0.9766829817148128,1.7081700005291827,0.32692268721285445
rushing,13,4,17,0.9766829817148128,1.7081700005291827,0.32692268721285445
wall,4,9,13,-1.0138216103175761,-1.6871019001095244,0.36111078509574346
runner,11,3,14,1.09726353760899,1.6846286658577838,0.42424186426401805
opportunity,11,3,14,1.09726353760899,1.6846286658577838,0.42424186426401805
dominate,29,36,65,-0.41960739224373533,-1.6816547971807856,0.062260493696783964
eagles,18,7,25,0.7425708059548244,1.6670681515616141,0.19841250160789728
tenacity,18,7,25,0.7425708059548244,1.6670681515616141,0.19841250160789728
being,23,10,33,0.6310994263317822,1.6661148392687268,0.14347812939646834
vikings,9,2,11,1.3020103828274792,1.6655385955741604,0.6111101441828666
secure,1,5,6,-1.812212661262051,-1.6543176971354525,1.1999979092015944
seattle,1,5,6,-1.812212661262051,-1.6543176971354525,1.1999979092015944
ray,1,5,6,-1.812212661262051,-1.6543176971354525,1.1999979092015944
marcus,1,5,6,-1.812212661262051,-1.6543176971354525,1.1999979092015944
star,1,5,6,-1.812212661262051,-1.6543176971354525,1.1999979092015944
balance,11,17,28,-0.6383803095778484,-1.6497625095400197,0.14973251032235638
bills,26,12,38,0.5714139461146086,1.6373311550450316,0.12179476454018956
point,5,10,15,-0.8960523737916413,-1.6359610112958725,0.29999974870185236
