word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,4,10,14,-2.3461367096246013,-3.9656987184177446,0.3499993162235214
downfield,7,11,18,-1.8819303671874703,-3.8923598414871607,0.23376588607931043
evading,2,7,9,-2.6817283866622894,-3.344707207474488,0.6428555033620678
threat,3,7,10,-2.2761806013503367,-3.2985021322787245,0.4761895901826264
agility,2,6,8,-2.5272293409508126,-3.095214649423262,0.666665169619622
evades,3,6,9,-2.121681459400267,-3.0005132216212878,0.49999915791045113
extend,12,10,22,-1.246857300160725,-2.912033269537321,0.18333308220340672
read,139,16,155,0.7412809361578372,2.8079260204795005,0.06969383131466977
dual,2,5,7,-2.3445595526782075,-2.802287390990871,0.6999986324470427
escape,2,5,7,-2.3445595526782075,-2.802287390990871,0.6999986324470427
changing,3,5,8,-1.9390115813049285,-2.6551029830189736,0.5333325189390008
jackson,3,5,8,-1.9390115813049285,-2.6551029830189736,0.5333325189390008
deftly,6,6,12,-1.4282845692695698,-2.4738631082142866,0.3333328842186955
green,6,6,12,-1.4282845692695698,-2.4738631082142866,0.3333328842186955
dynamic,4,5,9,-1.6512463579088985,-2.461534435646053,0.449999378537651
growth,2,4,6,-2.121067913830066,-2.449200324485398,0.7499987368656766
evans,2,4,6,-2.121067913830066,-2.449200324485398,0.7499987368656766
keeping,11,8,19,-1.110110859226122,-2.389082758657386,0.21590878512956
tight,68,6,74,1.004651763335807,2.3590190246546574,0.18137115347802518
seahawks,9,7,16,-1.1770684350159035,-2.3356743897975454,0.2539679009227561
defender,54,23,77,-0.5767210345289904,-2.3162297350545775,0.06199666354104926
move,12,8,20,-1.0230159849946743,-2.2413173624188345,0.2083330292453472
past,10,7,17,-1.0716244596972553,-2.174540439003252,0.24285679461003076
incredible,10,7,17,-1.0716244596972553,-2.174540439003252,0.24285679461003076
composure,21,11,32,-0.7821486848334054,-2.1014578137246254,0.13852791148382743
sidesteps,27,13,40,-0.69808503407691,-2.0679130041264013,0.11395991754706515
status,2,3,5,-1.8330379201601614,-2.0079939007250545,0.8333321169813888
full,2,3,5,-1.8330379201601614,-2.0079939007250545,0.8333321169813888
both,22,11,33,-0.7355450542162512,-1.991867100262129,0.1363634067028503
defense,150,24,174,0.41010597492488365,1.865407251129487,0.04833312461925005
linebacker,7,5,12,-1.0913805940381813,-1.863888529739982,0.3428566545137716
touchdown,48,19,67,-0.5025503413818857,-1.8541293029709192,0.07346476766000604
beam,37,3,40,1.0876527377190257,1.8118555353282517,0.36035734660200025
cornerback,5,4,9,-1.204527796488958,-1.7956052623820613,0.449999378537651
while,10,6,16,-0.9171252728352988,-1.7760068100108037,0.2666662594695004
decision,36,3,39,1.0601701921396787,1.764237021421436,0.3611081716150494
mobility,3,3,6,-1.4274898140526728,-1.7483120065139113,0.666665768437391
hopkins,3,3,6,-1.4274898140526728,-1.7483120065139113,0.666665768437391
ravens,3,3,6,-1.4274898140526728,-1.7483120065139113,0.666665768437391
capability,3,3,6,-1.4274898140526728,-1.7483120065139113,0.666665768437391
eyes,3,3,6,-1.4274898140526728,-1.7483120065139113,0.666665768437391
textbook,29,2,31,1.2491723612342245,1.7086678492311564,0.5344775128783498
lead,8,5,13,-0.9577658019792139,-1.6800336136060696,0.3249995128510733
evade,8,5,13,-0.9577658019792139,-1.6800336136060696,0.3249995128510733
air,22,1,23,1.665823182559925,1.6292193106472803,1.0454390192053806
awareness,11,6,17,-0.8217316267679156,-1.619115601050079,0.2575753448049125
need,6,4,10,-1.0221229175914939,-1.5834671706759618,0.4166660584906944
expertly,6,4,10,-1.0221229175914939,-1.5834671706759618,0.4166660584906944
flick,20,9,29,-0.629653777497766,-1.5686984148067802,0.16111082107888033
wrist,20,9,29,-0.629653777497766,-1.5686984148067802,0.16111082107888033
