word,count_a,count_b,total_count,log_odds,z_score,variance
surprising,9,6,15,2.6693854430421,5.06480553674741,0.2777774744865203
determination,23,80,103,1.0207885263483956,4.314460439423262,0.05597815464083387
running,17,58,75,1.0380876097756744,3.7639360726564246,0.07606476670947776
versatility,5,6,11,2.079459210600896,3.434115622292163,0.3666662909587522
performance,4,2,6,2.9546153456039814,3.4116980793443457,0.7499990551312997
capitalize,5,7,12,1.9252530171861686,3.287997231456097,0.34285677755923566
showcase,4,4,8,2.2613575939018755,3.198044190262721,0.4999994960698488
forward,6,12,18,1.5688346790713235,3.13767133460156,0.24999968504376657
back,15,59,74,0.8946992162207348,3.09409248233729,0.08361564275957525
reliable,5,9,14,1.6738275124359836,3.000911576026074,0.3111107418112822
edwards,3,2,5,2.6663995663091757,2.9208959741674736,0.8333324234595608
moore,3,2,5,2.6663995663091757,2.9208959741674736,0.8333324234595608
slips,3,2,5,2.6663995663091757,2.9208959741674736,0.8333324234595608
pass,3,3,6,2.260879216173226,2.769001620227751,0.6666659947597984
barrels,3,4,7,1.973141772612676,2.5834503646600098,0.583332720918257
churning,3,4,7,1.973141772612676,2.5834503646600098,0.583332720918257
moments,4,8,12,1.5679884779740894,2.560516075301331,0.37499952756564986
jets,6,18,24,1.1630359545303381,2.4671739027744373,0.22222184894095476
become,3,5,8,1.749942796697857,2.3962092287628813,0.5333327241378907
bengals,6,19,25,1.1089131145033368,2.3679924974624527,0.21929786076470129
powering,5,14,19,1.2317169147321323,2.3641959579366,0.27142813959161627
solid,26,153,179,0.4925118560224613,2.3217915483869485,0.04499734888378952
quickly,7,25,32,0.9888277357025714,2.3124113699829394,0.18285678795909455
like,10,43,53,0.8037815227268164,2.2894692107043184,0.12325553242622098
initial,4,10,14,1.3447338647866234,2.273016755493899,0.34999948851120843
legs,3,6,9,1.5675657870076076,2.2168741923353443,0.49999937008753315
explosive,1,88,89,-2.2222231176130345,-2.209752452530496,1.0113187827548342
contact,6,21,27,1.0087184065946193,2.1790828888392237,0.2142853054856995
valuable,14,73,87,0.6114657941753068,2.0957456841577993,0.08512696965570292
backfield,10,47,57,0.7146110724234136,2.0520208997948544,0.12127629550184776
vision,9,173,182,-0.7014774526060963,-2.0517499787087203,0.1168903225903872
flacco,3,7,10,1.41335963678653,2.048154122770567,0.47618981342554445
alive,3,7,10,1.41335963678653,2.048154122770567,0.47618981342554445
fight,2,3,5,1.8548807702598271,2.031921187983111,0.8333324234595608
mahomes,2,3,5,1.8548807702598271,2.031921187983111,0.8333324234595608
jeff,2,3,5,1.8548807702598271,2.031921187983111,0.8333324234595608
build,2,3,5,1.8548807702598271,2.031921187983111,0.8333324234595608
finally,2,78,80,-1.407380050188646,-1.9653186102614457,0.5128104277841791
quarterback,25,158,183,0.42031316430544763,1.952750259822632,0.04632896267960815
steelers,3,8,11,1.2797727616695678,1.8903510969365955,0.4583326308061993
skills,3,8,11,1.2797727616695678,1.8903510969365955,0.4583326308061993
tackler,5,113,118,-0.8621327622620862,-1.886513195766368,0.20884717434081324
traffic,2,73,75,-1.3408524799964257,-1.8708147822847043,0.5136891745233962
defenders,6,124,130,-0.7727875756595797,-1.8487457540426628,0.17472935880536744
ground,7,31,38,0.7733823688065282,1.8481313963013968,0.17511479664448648
instincts,2,4,6,1.5671433686932446,1.8095824314264557,0.7499990551312997
runs,2,4,6,1.5671433686932446,1.8095824314264557,0.7499990551312997
forced,2,4,6,1.5671433686932446,1.8095824314264557,0.7499990551312997
opening,2,4,6,1.5671433686932446,1.8095824314264557,0.7499990551312997
stafford,2,4,6,1.5671433686932446,1.8095824314264557,0.7499990551312997
option,2,4,6,1.5671433686932446,1.8095824314264557,0.7499990551312997
offensive,17,102,119,0.4710994363036569,1.7983090308665772,0.0686272377163551
offense,8,146,154,-0.6485953565803575,-1.78622802586416,0.13184809885640175
spectacular,2,68,70,-1.269622637573491,-1.769696594836308,0.5146970560932412
races,3,80,83,-1.026817013325985,-1.7460736268422254,0.3458286795022558
charging,3,9,12,1.1619342344213628,1.742902815466846,0.4444436978819095
panthers,3,9,12,1.1619342344213628,1.742902815466846,0.4444436978819095
find,10,53,63,0.5941322179104436,1.723262209156229,0.11886759575088969
keeping,4,15,19,0.9389909889318488,1.6686324643134594,0.31666602569632396
shows,4,15,19,0.9389909889318488,1.6686324643134594,0.31666602569632396
such,3,76,79,-0.975300804321515,-1.6568959511400239,0.3464867978451327
why,8,137,145,-0.5844653655239638,-1.6068744189560125,0.1322981244724045
redskins,2,5,7,1.3439444515700183,1.6063220316098716,0.6999989770224169
effectively,2,5,7,1.3439444515700183,1.6063220316098716,0.6999989770224169
lowering,2,5,7,1.3439444515700183,1.6063220316098716,0.6999989770224169
critical,3,10,13,1.05651821987174,1.604967859261947,0.4333325399241391
showcases,10,56,66,0.5389051263582596,1.569766269573035,0.11785679965833679
scheme,4,17,21,0.8137167060965984,1.4642611245531212,0.3088228313867485
hole,9,51,60,0.5268140460069173,1.4570978005991564,0.13071856934295922
