word,count_a,count_b,total_count,log_odds,z_score,variance
towering,3,2,5,-2.6691931384204457,-2.92395721301048,0.8333318350741066
kind,18,4,22,-1.5730465351952834,-2.8457538310295902,0.305554358231773
moving,10,3,13,-1.8719605725289261,-2.8437165349832374,0.43333202685328165
broncos,4,2,6,-2.3814247661729686,-2.749835311894252,0.7499984441160077
low,5,2,7,-2.158194852198161,-2.57953933561147,0.6999983154969777
late,6,2,8,-1.9757868975375716,-2.41983821637688,0.6666648226575903
most,15,3,18,-1.466062325686866,-2.3180530716415495,0.3999982740104865
putting,8,2,10,-1.6879319652194358,-2.1350875830709075,0.6249977958348143
quarter,18,3,21,-1.2834807728283302,-2.058153257807995,0.38888689890089456
lead,18,3,21,-1.2834807728283302,-2.058153257807995,0.38888689890089456
setting,9,2,11,-1.5700624767807723,-2.008434603679957,0.611108716463546
forward,9,2,11,-1.5700624767807723,-2.008434603679957,0.611108716463546
giving,30,4,34,-1.0611793795197322,-1.9936152278975252,0.2833315386584068
chiefs,10,2,12,-1.4646154961795341,-1.8908145545122332,0.5999974110157298
pocket,21,3,24,-1.1290700209681246,-1.8293079303609423,0.38095012298982067
keep,11,2,13,-1.369218840526636,-1.7812035600969909,0.5909063048993144
significant,11,2,13,-1.369218840526636,-1.7812035600969909,0.5909063048993144
flip,12,2,14,-1.2821209776201457,-1.6786947036213455,0.5833303483513419
leg,51,5,56,-0.75375569647065,-1.608453609472817,0.21960596652175152
launching,13,2,15,-1.2019917745404332,-1.5825000744761408,0.5769198915160789
potential,4,1,5,-1.6864015516114783,-1.5083660624584692,1.2499955916696286
flipping,4,1,5,-1.6864015516114783,-1.5083660624584692,1.2499955916696286
protection,4,1,5,-1.6864015516114783,-1.5083660624584692,1.2499955916696286
sensational,4,1,5,-1.6864015516114783,-1.5083660624584692,1.2499955916696286
invaluable,4,1,5,-1.6864015516114783,-1.5083660624584692,1.2499955916696286
masterful,4,1,5,-1.6864015516114783,-1.5083660624584692,1.2499955916696286
