word,count_a,count_b,total_count,log_odds,z_score,variance
catches,9,28,37,-1.2730321637100461,-3.322304144968289,0.14682498894061963
soft,66,29,95,0.6928235838106191,3.1097988882686494,0.049634164700146546
sideline,30,50,80,-0.6495280710061939,-2.8125416295650774,0.05333323549531488
skill,3,15,18,-1.7461351860300134,-2.7608879547603333,0.3999983166152392
strength,5,17,22,-1.3605185476895674,-2.6742575985450125,0.25882275560037427
agility,48,69,117,-0.5021930776134687,-2.6719192571392747,0.03532602596932096
passing,26,8,34,1.0466647642960867,2.588811553888537,0.1634610678043861
speed,10,23,33,-0.9699387490283469,-2.5606589445347803,0.14347794330651992
first,33,13,46,0.7997659341900931,2.4423795059623825,0.10722585275126936
breaks,9,20,29,-0.9351667815178679,-2.329843742795469,0.16111076267822616
athleticism,9,20,29,-0.9351667815178679,-2.329843742795469,0.16111076267822616
spots,59,31,90,0.5125945336977473,2.3107874244336806,0.04920712033882493
make,24,38,62,-0.5970504002759895,-2.2898812314461456,0.06798233427656386
impressive,44,60,104,-0.44847420764170653,-2.2595561267012427,0.03939387253755071
contested,2,10,12,-1.7454174310944088,-2.2533289557991125,0.5999974749228588
spectacular,11,22,33,-0.8298509839456951,-2.2472493613354874,0.1363633604585328
tackle,14,25,39,-0.7165893217239745,-2.1467054710655775,0.11142835988837682
precise,15,4,19,1.1887863374645224,2.1125321923587657,0.3166656372560218
route,98,61,159,0.343877369773554,2.1085474622778917,0.02659747627410602
dynamic,2,9,11,-1.6398835311170847,-2.0977500700260454,0.6111087755736444
separation,41,55,96,-0.43166205917937006,-2.0920974083765813,0.042571990180527916
finding,20,7,27,0.917092750627277,2.0883147687799863,0.1928566422755515
create,42,56,98,-0.4256055945836854,-2.085034834584105,0.04166659641301955
demonstrated,5,13,18,-1.091559388678113,-2.0742844885767178,0.27692240801189316
burrow,10,1,11,2.169371365159363,2.068422892619229,1.0999910084962976
defense,46,24,70,0.5188647006910054,2.060582803294767,0.06340567197298083
formation,43,22,65,0.5383250700959046,2.0536854627319174,0.06871022226713557
situations,32,15,47,0.6253935071251009,1.9985983064767698,0.09791646046179282
crisp,14,4,18,1.1196416736345682,1.974865309315202,0.3214275866175145
remarkable,4,11,15,-1.1474527312791825,-1.965242103646922,0.3409082318414638
read,9,1,10,2.063859773169561,1.9579565151044054,1.111102918026175
showcases,19,7,26,0.8656474610533973,1.957856006705935,0.19548823407973726
chains,39,20,59,0.5357345954755406,1.9479213628518892,0.0756408748722737
ryan,10,2,12,1.476054746492225,1.9055824935414805,0.5999974749228588
textbook,18,7,25,0.8114282693920707,1.821654129009184,0.19841222304606354
scheme,7,14,21,-0.8290660032054946,-1.7909890747387425,0.21428528072055153
toward,7,14,21,-0.8290660032054946,-1.7909890747387425,0.21428528072055153
cowboys,7,14,21,-0.8290660032054946,-1.7909890747387425,0.21428528072055153
over,7,14,21,-0.8290660032054946,-1.7909890747387425,0.21428528072055153
along,1,6,7,-1.927194815203447,-1.7842401484912485,1.1666608440666308
downfield,4,10,14,-1.0519689460565917,-1.7781541478973737,0.34999917853887763
browns,4,10,14,-1.0519689460565917,-1.7781541478973737,0.34999917853887763
traffic,12,20,32,-0.6470295269312842,-1.7719649616634927,0.13333308873828717
chemistry,16,6,22,0.8476654058703019,1.7707174621395487,0.2291661025304559
delivering,16,6,22,0.8476654058703019,1.7707174621395487,0.2291661025304559
cut,2,7,9,-1.388222440213804,-1.7314202350508159,0.642855173235029
releases,25,12,37,0.6011324736953831,1.7117108572685615,0.1233330774708112
matt,7,1,8,1.8122432691330594,1.6952032535062045,1.1428505361775065
offense,44,54,98,-0.3420623452012421,-1.6842858812701764,0.041245723078604565
running,53,32,85,0.37250824341955724,1.663947985260936,0.05011783285828429
coverage,53,32,85,0.37250824341955724,1.663947985260936,0.05011783285828429
pushed,6,12,18,-0.8288700031396008,-1.6577416833378162,0.24999949417397682
keeps,3,8,11,-1.1163114846841946,-1.6489033701073899,0.4583322050609118
tight,86,57,143,0.2799352892637179,1.6389913684004758,0.029171715356683763
ravens,10,3,13,1.0704174724240714,1.6260832610837601,0.43333205910280415
mismatches,1,5,6,-1.7447004084934656,-1.5926896344242654,1.1999949498457176
feet,1,5,6,-1.7447004084934656,-1.5926896344242654,1.1999949498457176
