word,count_a,count_b,total_count,log_odds,z_score,variance
reliable,39,96,135,0.8928367368595929,4.701899560264065,0.03605764907246344
route,64,211,275,0.6023902130466743,4.221269714458486,0.020364305838792132
taylor,8,6,14,2.0766108374718897,3.8451377801610875,0.2916664126053925
precise,16,33,49,1.0660314640518687,3.499364451219787,0.09280293146062298
quickly,9,13,22,1.4211548721761398,3.277352784895833,0.18803402004402064
cardinals,9,13,22,1.4211548721761398,3.277352784895833,0.18803402004402064
target,32,99,131,0.6620309450520709,3.255633726207912,0.041350951023598974
running,37,124,161,0.5822964366605863,3.108445307435617,0.03509148960639394
middle,7,10,17,1.431766940550573,2.905340799626312,0.24285692671870474
dwight,4,2,6,2.481102974894923,2.8649324382148107,0.7499992160396859
long,4,1,5,3.174298031975999,2.839180994715036,1.249997778781041
across,5,6,11,1.6057315673307198,2.651779535446879,0.3666663549407325
situations,13,33,46,0.857514246877682,2.61873372169684,0.10722597575915506
bills,7,13,20,1.1692563994669278,2.4941103888449447,0.2197799996414495
moved,5,7,12,1.4515321917095116,2.47896424632212,0.3428568397684185
confidence,5,7,12,1.4515321917095116,2.47896424632212,0.3428568397684185
cowboys,10,24,34,0.9131662624170263,2.4261423335215837,0.14166649982832596
austin,3,2,5,2.1931294240910066,2.4024540024095584,0.8333325784084423
nelson,3,2,5,2.1931294240910066,2.4024540024095584,0.8333325784084423
watson,3,2,5,2.1931294240910066,2.4024540024095584,0.8333325784084423
hogan,3,2,5,2.1931294240910066,2.4024540024095584,0.8333325784084423
jeff,3,2,5,2.1931294240910066,2.4024540024095584,0.8333325784084423
beyond,3,2,5,2.1931294240910066,2.4024540024095584,0.8333325784084423
harris,4,5,9,1.5646665922198766,2.33246824116572,0.4499996142914246
huddle,5,8,13,1.3179520884627944,2.3118419718506993,0.3249996976525916
demonstrates,13,37,50,0.7429084532009922,2.3042156730801415,0.10394996497761523
athleticism,8,110,118,-0.8371951460060654,-2.2862740610373757,0.13409013412302387
crisp,7,15,22,1.0260580111442819,2.241586289435811,0.2095235809179143
chains,16,51,67,0.6298334830041874,2.198030632712351,0.08210772293923635
execute,3,3,6,1.7876158447533372,2.1893742532844667,0.6666661091836135
miller,3,3,6,1.7876158447533372,2.1893742532844667,0.6666661091836135
hardy,3,3,6,1.7876158447533372,2.1893742532844667,0.6666661091836135
opening,3,3,6,1.7876158447533372,2.1893742532844667,0.6666661091836135
value,3,3,6,1.7876158447533372,2.1893742532844667,0.6666661091836135
created,4,6,10,1.3822963688947647,2.141445296479397,0.41666628920422116
speed,27,244,271,-0.41852160001386096,-2.0635303335263524,0.04113524036015857
such,14,45,59,0.6211733370680301,2.029819381494892,0.09365065560853741
key,5,75,80,-0.9233658067943793,-1.9991519110350555,0.2133319894353492
again,8,21,29,0.8231163627955409,1.9811490474854907,0.17261883066712536
once,8,21,29,0.8231163627955409,1.9811490474854907,0.17261883066712536
snags,10,29,39,0.7236801172493665,1.9733932156623355,0.13448257616774698
territory,3,4,7,1.499885194160501,1.9638115513015642,0.583332825210785
between,4,7,11,1.2280970042240655,1.9593659465940008,0.39285676154307425
chargers,4,7,11,1.2280970042240655,1.9593659465940008,0.39285676154307425
secures,4,7,11,1.2280970042240655,1.9593659465940008,0.39285676154307425
find,6,14,20,0.9406571339615573,1.9277745809542477,0.23809496314623252
incredible,7,88,95,-0.7467964645349436,-1.901655988078545,0.15421996346961253
burrow,5,11,16,0.999352170443573,1.8528495418668196,0.2909087680297715
soft,5,11,16,0.999352170443573,1.8528495418668196,0.2909087680297715
look,5,11,16,0.999352170443573,1.8528495418668196,0.2909087680297715
slot,12,39,51,0.60983186511229,1.8473461295045108,0.10897419687351398
cut,19,71,90,0.470729415990224,1.8224533569925188,0.06671597428640813
quickness,6,15,21,0.8716154958325042,1.804416597939835,0.233333050410827
full,6,15,21,0.8716154958325042,1.804416597939835,0.233333050410827
