word,count_a,count_b,total_count,log_odds,z_score,variance
anderson,21,25,46,1.5678266689082347,5.296620213346376,0.08761902738471472
justin,16,17,33,1.6812806877190631,4.8268939365283074,0.12132350176367707
ryan,12,8,20,2.1471853901946467,4.7042480730424785,0.2083332819948167
derek,11,3,14,3.040993521446584,4.6688351977141895,0.42424223416267437
scott,11,8,19,2.0600977363457806,4.433558185070862,0.2159090392849971
hunt,10,2,12,3.3510853660341615,4.326233884099566,0.599999645148317
let,12,13,25,1.6616108385216908,4.15070301786551,0.1602563736861869
wright,10,8,18,1.964711286881757,4.141975556987513,0.22499994753993324
explosive,17,262,279,-0.9964290494875607,-3.9812529110849466,0.06264021304369505
smith,17,29,46,1.207738800069822,3.9538266027062847,0.09330626370846082
reed,10,10,20,1.7415410477256499,3.8942046112264435,0.19999995450617478
phillips,10,10,20,1.7415410477256499,3.8942046112264435,0.19999995450617478
simon,9,9,18,1.7414781309981722,3.6942334073126935,0.2222221716735275
strike,8,8,16,1.7414152199111106,3.482830835940487,0.24999994313271845
baker,8,8,16,1.7414152199111106,3.482830835940487,0.24999994313271845
mike,9,12,21,1.4537560155535063,3.296809148400597,0.19444439837141606
effort,24,68,92,0.700380332277402,2.9498517084526896,0.0563725285907894
solid,68,262,330,0.3937644016526569,2.893241492331726,0.018522667582434843
freight,9,136,145,-0.9756498373147577,-2.834660546225773,0.11846384779737329
train,9,136,145,-0.9756498373147577,-2.834660546225773,0.11846384779737329
sooner,4,1,5,3.1274976716132024,2.7973196333524855,1.2499993957853246
nick,5,5,10,1.741226520483603,2.75312117663406,0.39999990901234955
refined,5,5,10,1.741226520483603,2.75312117663406,0.39999990901234955
defensive,137,607,744,0.25471590589471926,2.692925519579832,0.008946711792904218
tries,9,17,26,1.1053825570876858,2.6814623797050365,0.1699345937833131
deliver,7,11,18,1.289313819024808,2.666660955029666,0.23376617506700098
value,4,3,7,2.028859006584211,2.656400306731652,0.5833331951142482
like,27,260,287,-0.5253528959748488,-2.598238290401771,0.04088314562420904
block,69,278,347,0.34894858246489857,2.5944407079527085,0.018089867125276295
enough,12,28,40,0.8941553107114686,2.5915087024527583,0.11904758165190543
massive,8,117,125,-0.9427738376909192,-2.579828302418598,0.13354678537097614
future,5,91,96,-1.1613433877939627,-2.528315017366958,0.21098857293064058
quickness,59,476,535,-0.34884304671622246,-2.527451696748729,0.01904997512993496
outside,17,48,65,0.703579651714354,2.4928821634516227,0.07965683395600766
engaging,35,124,159,0.476991659136071,2.4920524688677865,0.03663592876207761
trent,4,4,8,1.7411636319493837,2.46237750267106,0.4999998862654369
costly,4,4,8,1.7411636319493837,2.46237750267106,0.4999998862654369
cuts,4,4,8,1.7411636319493837,2.46237750267106,0.4999998862654369
athleticism,8,111,119,-0.8900498600921933,-2.43135112857957,0.13400879643563196
bringing,16,45,61,0.7074573511884683,2.4305338432135075,0.0847221916953355
reset,3,2,5,2.146579130730027,2.3514599124704643,0.8333331279792668
stalemated,3,2,5,2.146579130730027,2.3514599124704643,0.8333331279792668
incredible,7,99,106,-0.9090865052970134,-2.324444851164801,0.1529579056904215
lines,27,93,120,0.5049662376563884,2.3099105769471198,0.04778970490934339
rapidly,4,5,9,1.518006763108799,2.262911138882633,0.4499998950798665
scanning,14,150,164,-0.6316040157881195,-2.2601271528887144,0.07809514210068973
power,26,236,262,-0.46599795010426615,-2.2551543044412936,0.042698781981596934
textbook,9,21,30,0.8940200402425678,2.2439728442169105,0.15873010886920724
alter,6,11,17,1.1350869104514159,2.2365400593307605,0.2575756878885376
wants,6,11,17,1.1350869104514159,2.2365400593307605,0.2575756878885376
delivers,5,8,13,1.2711828949359107,2.2298025861551936,0.32499991775569714
blocks,42,164,206,0.37972783873166893,2.195763184928206,0.029907070632102475
tenacity,43,169,212,0.37323554237442735,2.185207824476184,0.029172959832172635
demonstrates,17,53,70,0.6044219016554431,2.168471173886497,0.07769142355765496
dragging,3,3,6,1.7411007490511707,2.1324044555045782,0.6666665150205826
solidifying,3,3,6,1.7411007490511707,2.1324044555045782,0.6666665150205826
easily,6,12,18,1.0480621876291956,2.0961246732606686,0.24999992891590372
raw,4,67,71,-1.0780753058357053,-2.094535550854309,0.26492486663923265
plays,46,363,409,-0.3261999886457714,-2.0842735342487395,0.024493929034750762
keeping,4,6,10,1.335671881027439,2.0692142354396728,0.4166665639896334
bounce,4,6,10,1.335671881027439,2.0692142354396728,0.4166665639896334
pivotal,4,6,10,1.335671881027439,2.0692142354396728,0.4166665639896334
lineman,82,364,446,0.25187076702625255,2.060478411463771,0.01494236677166461
potentially,9,23,32,0.8030215478791334,2.04238426274117,0.15458932016853716
faster,7,16,23,0.9145536218618897,2.018154146603401,0.2053570792531991
break,18,60,78,0.537510380581514,2.0000991350871824,0.07222219237743746
elite,1,43,44,-2.020781844702179,-1.9976913241189012,1.0232508069501156
front,33,128,161,0.38619608160656504,1.9781398043965028,0.03811551237065306
chris,8,20,28,0.8249642820191072,1.9720421483160306,0.17499994227971716
discipline,3,54,57,-1.1499509908497618,-1.9386519982271533,0.35185112931113827
momentum,29,111,140,0.39940637785428024,1.9151886840847072,0.043491747404150356
sails,19,172,191,-0.46299483263591323,-1.9151408090798736,0.05844547152615276
falcons,5,10,15,1.0480126643098862,1.9134008613368079,0.2999999146990845
josh,3,4,7,1.4534053744163398,1.90295455222642,0.5833331951142482
knack,3,4,7,1.4534053744163398,1.90295455222642,0.5833331951142482
pressured,3,4,7,1.4534053744163398,1.90295455222642,0.5833331951142482
showing,25,93,118,0.42785246536088994,1.8991733711456633,0.05075266514726111
left,28,107,135,0.40099357672230873,1.889041665797491,0.045060059181327494
deep,4,7,11,1.1815078714012994,1.8850347024806018,0.39285703913238734
