word,count_a,count_b,total_count,log_odds,z_score,variance
end,148,236,384,-0.5710384522808454,-5.446113087815862,0.010994042125610212
williams,8,40,48,-1.7121853193892935,-4.42084478704804,0.1499999116478273
long,47,9,56,1.551756114120174,4.26481079289705,0.13238762567273618
tackle,424,284,708,0.30117364368794686,3.9277377778571303,0.005879615886204748
brees,5,30,35,-1.8943325343886448,-3.9216422894247205,0.23333317034750667
ryan,47,13,60,1.1839360192436459,3.7780987847424248,0.0981996293761832
frame,12,35,47,-1.1729833681840898,-3.5064500015059736,0.11190472058807746
robinson,1,30,31,-3.503853944232003,-3.4468827751872464,1.033329818009252
rodgers,31,7,38,1.3866127966961779,3.3135489218042227,0.17511511505064292
today,12,32,44,-1.0832995731505735,-3.2002795825785997,0.11458329385527165
murray,1,23,24,-3.2379843744701597,-3.1698127839390176,1.0434755372077764
light,27,1,28,3.194426985445971,3.136869831132056,1.037033861077909
jake,24,4,28,1.6902156621335243,3.1296723589621602,0.29166646293438336
flacco,2,18,20,-2.2995753621953403,-3.0852056895696345,0.5555549822036392
cook,22,3,25,1.8908669413434573,3.0722964296528152,0.37878755829264854
roethlisberger,4,19,23,-1.6604766609310717,-3.0183929361810624,0.3026314089020634
ben,4,19,23,-1.6604766609310717,-3.0183929361810624,0.3026314089020634
agility,69,99,168,-0.4638558720445074,-2.9578123164396706,0.024593757785592037
power,31,54,85,-0.6575832155341335,-2.9182267927378245,0.05077656971396079
protecting,27,49,76,-0.698536575534197,-2.9144884257153696,0.05744518490800456
creating,277,191,468,0.27119819816201396,2.8835035737857435,0.008845708253478093
bull,31,10,41,1.0298663886838515,2.831847663737742,0.13225801324196584
grit,22,5,27,1.3799939149188871,2.785426773415356,0.24545441680186536
matt,25,7,32,1.171372104005104,2.7392962760288713,0.18285706308404057
sam,17,2,19,2.0384188504841276,2.7268189085883354,0.5588229839229588
potential,63,89,152,-0.4482344559280165,-2.7223801788172923,0.027108964417604253
brady,18,3,21,1.6901101376928773,2.710206552765746,0.38888861724584445
rusher,124,155,279,-0.32613884221375056,-2.7069308746621465,0.014516125661500668
far,3,15,18,-1.7116959637144697,-2.706429750590606,0.39999976439420615
alex,17,1,18,2.731588932755355,2.654629841982911,1.0588214834632774
aaron,17,3,20,1.6329301982208584,2.607581280151677,0.3921566031906326
