word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,10,27,37,-2.2587130252053464,-6.101579313955326,0.13703692049757887
agility,6,17,23,-2.3057979808187374,-4.855764481471925,0.2254899970775019
extend,33,27,60,-1.06397337698884,-4.100096804055501,0.06734002928310216
threat,5,12,17,-2.1392194744063495,-4.01889516418377,0.28333311228999497
rolls,13,16,29,-1.471609369378875,-3.9411715185740817,0.13942299801804695
right,147,69,216,-0.5095606980257879,-3.491824576917993,0.021295459376920782
mobility,17,16,33,-1.203203315223921,-3.454352255933528,0.12132346208045343
evading,17,16,33,-1.203203315223921,-3.454352255933528,0.12132346208045343
evades,6,10,16,-1.7742895636760876,-3.4358980442887916,0.26666649924919344
incredible,12,13,25,-1.343670905522984,-3.3564897788507606,0.1602563211970467
young,6,9,15,-1.668803381968866,-3.1663327424946193,0.2777776110783877
dual,2,7,9,-2.515991330362345,-3.1379941606196295,0.6428564687848519
escape,12,12,24,-1.2635024641168595,-3.094937183063497,0.16666657434084442
tackler,5,8,13,-1.7332516912455542,-3.0403255274069285,0.32499979971068743
evade,17,14,31,-1.069420361859593,-2.963167509109092,0.13025202732229102
fires,116,15,131,0.7853621376768798,2.862262161365746,0.07528719236320712
tucks,3,6,9,-1.9562147955150433,-2.766506452557201,0.4999996537782337
scrambles,11,10,21,-1.1679763782304828,-2.673134896878115,0.19090898467335388
signature,4,6,10,-1.6684973679923667,-2.5848257833702406,0.4166664166175816
move,18,13,31,-0.9379926997467258,-2.577072679504381,0.1324785551711878
webb,8,8,16,-1.263141701516341,-2.5262841027565504,0.24999986151126663
intensity,12,10,22,-1.080929500091771,-2.5245081344892824,0.1833332300822902
stepping,40,22,62,-0.6659283996083056,-2.508841184019584,0.07045449924109073
escaping,3,5,8,-1.7737676912682234,-2.4288322031330645,0.5333329984983869
navigate,3,5,8,-1.7737676912682234,-2.4288322031330645,0.5333329984983869
deftly,3,5,8,-1.7737676912682234,-2.4288322031330645,0.5333329984983869
hit,17,12,29,-0.9150181986107047,-2.4268668206245008,0.1421567791713313
receivers,36,20,56,-0.6758692368239867,-2.423455534637701,0.07777772703277741
refine,15,11,26,-0.9531152910176157,-2.4010481054667854,0.15757566605365686
remarkable,5,6,11,-1.445318404948666,-2.386865461504564,0.3666664601645804
charging,5,6,11,-1.445318404948666,-2.386865461504564,0.3666664601645804
showed,107,16,123,0.6396156396252586,2.386265762030455,0.07184565833806406
spin,1,4,5,-2.649181109369535,-2.369501012736846,1.2499985285583404
