word,count_a,count_b,total_count,log_odds,z_score,variance
grit,16,8,24,2.8836384960701,6.65947951034819,0.18749990638111697
determination,45,144,189,1.0300916526250177,6.031601229279322,0.029166646205744762
leonard,8,3,11,3.1698438739411383,4.682171125550027,0.45833305490387855
lowers,7,8,15,2.055174387256108,3.9709749768118527,0.26785703490882445
surprising,10,19,29,1.547202642361083,3.960272820381152,0.15263150498447298
zach,7,1,8,4.134770011097334,3.8677259474541517,1.1428555124891608
physicality,7,9,16,1.9373691825502943,3.8443485832304236,0.25396814930253453
tough,7,10,17,1.8319864934659797,3.717465263345757,0.24285703961397337
effort,9,19,28,1.4416438260708277,3.5626825617460907,0.16374260552860104
willingness,4,2,6,2.8813913108053875,3.3271449284912937,0.7499996255244679
derek,4,2,6,2.8813913108053875,3.3271449284912937,0.7499996255244679
peyton,4,3,7,2.4759041717371693,3.2417201831118394,0.5833330906176828
running,22,95,117,0.7269156321057011,3.0723056379733356,0.055980810375381995
situations,18,72,90,0.8031724166752481,3.0478263221330084,0.06944438549924628
backfield,20,84,104,0.7545127341200466,3.0325274279506074,0.061904707033790196
powering,13,45,58,0.9473611078975894,3.0087052963375536,0.09914522488188224
wall,19,81,100,0.7394551104448803,2.900890392658396,0.06497719959151071
met,27,131,158,0.6105827778461013,2.888908296847711,0.04467057969808769
explosive,5,157,162,-1.2618081202176503,-2.7776147016775843,0.2063681312592133
left,14,264,278,-0.7524972665005585,-2.7437802778343907,0.07521616614405713
bears,5,10,15,1.4951179795137532,2.729700159841463,0.2999998502097872
trubisky,3,3,6,2.1880240982654398,2.679771828036722,0.6666664003729177
palmer,3,3,6,2.1880240982654398,2.679771828036722,0.6666664003729177
patrick,3,3,6,2.1880240982654398,2.679771828036722,0.6666664003729177
approach,4,7,11,1.6285178021551747,2.598216187431272,0.39285696071427334
fights,5,11,16,1.3997856307462726,2.595272707213169,0.2909089366788218
agility,34,477,511,-0.4575545104392553,-2.5776957195155754,0.0315081120315962
brady,6,16,22,1.2075009459119856,2.5223879768970825,0.22916652745193927
smith,8,26,34,1.0098496108246984,2.4977505639324447,0.16346142231506475
barrels,8,26,34,1.0098496108246984,2.4977505639324447,0.16346142231506475
sharpening,3,4,7,1.900319927786696,2.488103350120174,0.5833330906176828
nothing,3,4,7,1.900319927786696,2.488103350120174,0.5833330906176828
chargers,3,4,7,1.900319927786696,2.488103350120174,0.5833330906176828
john,3,4,7,1.900319927786696,2.488103350120174,0.5833330906176828
him,19,300,319,-0.5747611592497792,-2.429574305017626,0.05596473508917183
great,15,69,84,0.6628814562627099,2.326840481217655,0.08115934220392262
style,6,18,24,1.089673542761635,2.311547423537113,0.2222220742813018
josh,3,5,8,1.6771542579799918,2.296538568599505,0.5333330918936862
available,3,5,8,1.6771542579799918,2.296538568599505,0.5333330918936862
tom,3,5,8,1.6771542579799918,2.296538568599505,0.5333330918936862
shows,9,34,43,0.8593892669257785,2.2925382275557653,0.14052276236364547
navigate,2,91,93,-1.631833993329697,-2.2828226333621835,0.5109843652900686
every,7,24,31,0.956207140379286,2.226003986201896,0.1845236724213665
reliable,6,19,25,1.0355841363467038,2.2114033411016027,0.21929809308838583
space,13,60,73,0.6593456992490898,2.1552579641509375,0.09358965327020072
jaguars,4,10,14,1.2717763912498592,2.149695078795902,0.3499997972839326
ultimately,12,54,66,0.6845984574497725,2.145120316943844,0.10185175579302039
accelerates,10,177,187,-0.6880221448279817,-2.1167473110167125,0.10564934284627422
vikings,3,6,9,1.4948105722140026,2.1139819121601295,0.4999997503496453
driving,3,6,9,1.4948105722140026,2.1139819121601295,0.4999997503496453
want,6,21,27,0.9354563050177962,2.0208173464573584,0.21428555226777937
evading,2,74,76,-1.4246629676933384,-1.9880980662116836,0.5135097160830074
moving,9,39,48,0.7220771090084259,1.95261542097358,0.13675201209662666
versatility,2,3,5,1.7823610783101822,1.9524791588650205,0.8333329727272327
commitment,2,3,5,1.7823610783101822,1.9524791588650205,0.8333329727272327
example,2,3,5,1.7823610783101822,1.9524791588650205,0.8333329727272327
impactful,2,3,5,1.7823610783101822,1.9524791588650205,0.8333329727272327
separation,2,3,5,1.7823610783101822,1.9524791588650205,0.8333329727272327
opened,2,3,5,1.7823610783101822,1.9524791588650205,0.8333329727272327
advancing,2,3,5,1.7823610783101822,1.9524791588650205,0.8333329727272327
forward,21,119,140,0.4544160913353066,1.9198754951799593,0.05602234358587424
navigating,13,65,78,0.5791918532978135,1.9063547604364381,0.09230759644201575
created,4,12,16,1.089410511166232,1.8869149837314638,0.3333331114219527
showed,21,121,142,0.43770451411209255,1.8515670488816611,0.055883444182945635
develop,6,23,29,0.8444401510200263,1.8420847048894178,0.21014475570176414
head,10,47,57,0.6408722268968177,1.840276860709749,0.12127647675069725
charging,10,47,57,0.6408722268968177,1.840276860709749,0.12127647675069725
navigates,2,66,68,-1.3100754368778107,-1.825283154343059,0.5151481168101508
clear,5,18,23,0.9071539208395816,1.7944794401840805,0.25555535763528575
chains,10,48,58,0.6197966022911876,1.7830192428499876,0.12083321246795822
option,3,8,11,1.2070842253584653,1.782982106009325,0.45833305490387855
bit,3,76,79,-1.0457148606701008,-1.7765124608237304,0.3464894722465494
classic,4,13,17,1.0093456395710447,1.7652949410026597,0.3269228446301295
need,7,30,37,0.7329304151032794,1.7461105072151617,0.17619031717063502
cuts,3,74,77,-1.0190022472053677,-1.7302439442605322,0.34684513532836186
show,2,4,6,1.4946569244747794,1.7258815862503083,0.7499996255244679
slips,2,4,6,1.4946569244747794,1.7258815862503083,0.7499996255244679
clean,14,76,90,0.4969076305396811,1.7085412496713812,0.08458637134520229
both,5,19,24,0.8530645204979992,1.6972203787117974,0.2526313739381698
tighter,6,25,31,0.7610141635193477,1.6740087102054748,0.20666648477926697
powers,10,50,60,0.5789301753656853,1.6712283307698743,0.11999987537462048
maximize,6,107,113,-0.6947602044759744,-1.656013994049583,0.17601183219021901
kind,4,14,18,0.9352155022704007,1.6495657177782184,0.32142832840166913
exactly,4,14,18,0.9352155022704007,1.6495657177782184,0.32142832840166913
showcase,3,9,12,1.0892790475989909,1.633919115276447,0.4444441485626036
able,3,9,12,1.0892790475989909,1.633919115276447,0.4444441485626036
inch,3,9,12,1.0892790475989909,1.633919115276447,0.4444441485626036
close,3,70,73,-0.9633436692622537,-1.6339188337660695,0.34761742469720847
side,18,238,256,-0.3961303301705712,-1.6204790512617409,0.05975707752187952
showcased,18,238,256,-0.3961303301705712,-1.6204790512617409,0.05975707752187952
future,5,20,25,0.8017490462533257,1.6034987730403767,0.24999978779728665
between,5,20,25,0.8017490462533257,1.6034987730403767,0.24999978779728665
miss,2,55,57,-1.1275103101043333,-1.5663204955214434,0.5181789684191139
traffic,11,159,170,-0.4848673645970436,-1.55522786025268,0.09719811714415753
after,29,348,377,-0.2994097630932089,-1.5491177403981118,0.03735623168774746
taking,4,15,19,0.8662004645575445,1.5392792366975465,0.3166664126336536
lateral,4,15,19,0.8662004645575445,1.5392792366975465,0.3166664126336536
impact,4,15,19,0.8662004645575445,1.5392792366975465,0.3166664126336536
work,39,268,307,0.2618530019099312,1.5278769328762818,0.029372327759256595
packers,2,5,7,1.271491277968753,1.519723192050766,0.6999995945678652
brian,2,5,7,1.271491277968753,1.519723192050766,0.6999995945678652
separate,2,5,7,1.271491277968753,1.519723192050766,0.6999995945678652
immediately,2,5,7,1.271491277968753,1.519723192050766,0.6999995945678652
skills,2,5,7,1.271491277968753,1.519723192050766,0.6999995945678652
really,10,53,63,0.5205946146894505,1.5099673940839329,0.11886779422530364
reflects,3,10,13,0.9838963876801232,1.4946464496979297,0.433333018884929
blocking,3,10,13,0.9838963876801232,1.4946464496979297,0.433333018884929
step,3,10,13,0.9838963876801232,1.4946464496979297,0.433333018884929
easily,3,64,67,-0.873598435346695,-1.478856340737149,0.3489568432656965
gap,19,240,259,-0.3502774319173172,-1.4697560194191137,0.05679810142667797
move,1,39,40,-1.4767259154141232,-1.4581556897653627,1.025633031636845
trademark,3,63,66,-0.8578279009211043,-1.451643636744746,0.349204881275456
commendable,11,61,72,0.4753433595144587,1.4511178737288204,0.10730241082579506
picking,11,61,72,0.4753433595144587,1.4511178737288204,0.10730241082579506
bursting,24,290,314,-0.30602777436690687,-1.4407915979896944,0.04511483290798188
moves,4,16,20,0.8016397762248015,1.4340174350900117,0.31249973474660825
dodges,2,50,52,-1.0320894366359026,-1.4312541113956274,0.51999739949421
changing,4,74,78,-0.7311232915320227,-1.4242622988207088,0.26351253703558564
way,9,48,57,0.514237844004195,1.4156918088812804,0.13194429895964493
