word,count_a,count_b,total_count,log_odds,z_score,variance
jake,6,5,11,-2.473655490062817,-4.085109096419895,0.366666396772733
bills,7,5,12,-2.3194661669939833,-3.961244118677009,0.34285688044134854
panthers,8,5,13,-2.1858961188516446,-3.8343169850135057,0.32499973822603856
justin,4,4,8,-2.6555027057970335,-3.755449300943751,0.49999963799620767
eagles,9,5,14,-2.0680744189923947,-3.7077341485481314,0.3111108458204794
today,20,7,27,-1.606717294755641,-3.65865834921932,0.1928569189505378
stephen,1,4,5,-4.04191196759349,-3.615198748462631,1.249998076856788
stands,21,7,28,-1.5578884085536062,-3.56957293190979,0.19047596063265704
patriots,2,3,5,-3.0604936021315057,-3.3526040807688156,0.8333326797154326
sharp,2,3,5,-3.0604936021315057,-3.3526040807688156,0.8333326797154326
finding,3,3,6,-2.6549900429630107,-3.2516866158377815,0.6666661839949436
stride,3,3,6,-2.6549900429630107,-3.2516866158377815,0.6666661839949436
elite,3,3,6,-2.6549900429630107,-3.2516866158377815,0.6666661839949436
decision,8,4,12,-1.9622010362943731,-3.204262324398245,0.3749996606215307
brett,11,4,15,-1.6436313363063384,-2.8150451582777145,0.340908706654237
plants,7,3,10,-1.8075378461665066,-2.619372500629805,0.47619000008589407
showcase,8,3,11,-1.6739678333623642,-2.472615718812132,0.45833282866510483
wall,3,2,5,-2.248974123351986,-2.4636286833738517,0.8333326797154326
looking,3,2,5,-2.248974123351986,-2.4636286833738517,0.8333326797154326
score,9,3,12,-1.5561461717143432,-2.3342206658989446,0.4444439081428664
breaking,4,2,6,-1.9612535380039207,-2.264661541001394,0.7499993212430613
reinforcing,4,2,6,-1.9612535380039207,-2.264661541001394,0.7499993212430613
trusted,4,2,6,-1.9612535380039207,-2.264661541001394,0.7499993212430613
struggles,4,2,6,-1.9612535380039207,-2.264661541001394,0.7499993212430613
bringing,4,2,6,-1.9612535380039207,-2.264661541001394,0.7499993212430613
put,10,3,13,-1.4507470255456205,-2.203844386010472,0.43333276337890336
makes,18,4,22,-1.1508841405861254,-2.0820295276622622,0.3055550332204604
rather,5,2,7,-1.7380714481578412,-2.0773938103407548,0.6999992651326236
returner,232,8,240,0.7184493312503895,1.997937011877961,0.12930898571295737
slight,6,2,8,-1.5557113392631088,-1.90535063370145,0.6666658622142996
fine,6,2,8,-1.5557113392631088,-1.90535063370145,0.6666658622142996
mattered,6,2,8,-1.5557113392631088,-1.90535063370145,0.6666658622142996
flipping,6,2,8,-1.5557113392631088,-1.90535063370145,0.6666658622142996
poise,46,7,53,-0.7728008246317648,-1.9048382635785293,0.16459587267038733
punter,95,1,96,1.903526076697978,1.8936184886961869,1.0104915607572547
mark,13,3,16,-1.1882668493903292,-1.8551825565874656,0.4102557324223314
cardinals,21,4,25,-0.996617408921523,-1.8268316850635398,0.29761846146722937
demonstrated,67,9,76,-0.6483544161205277,-1.8262697641863448,0.1260361384595273
distance,122,3,125,1.0550263315045516,1.8053110225110687,0.34152502384634514
soars,48,7,55,-0.7301636765881101,-1.8047168315470752,0.16369006121896412
directional,30,5,35,-0.8632889319943349,-1.7871798740013196,0.23333281245101187
downfield,157,5,162,0.7966892723954269,1.753754349829272,0.20636707861364356
wants,14,3,17,-1.114120234614604,-1.751187425664104,0.40476118957957424
too,14,3,17,-1.114120234614604,-1.751187425664104,0.40476118957957424
lane,7,2,9,-1.4015220989375328,-1.7480063691764278,0.6428562618588376
evident,7,2,9,-1.4015220989375328,-1.7480063691764278,0.6428562618588376
drop,7,2,9,-1.4015220989375328,-1.7480063691764278,0.6428562618588376
balance,7,2,9,-1.4015220989375328,-1.7480063691764278,0.6428562618588376
invaluable,7,2,9,-1.4015220989375328,-1.7480063691764278,0.6428562618588376
enough,7,2,9,-1.4015220989375328,-1.7480063691764278,0.6428562618588376
near,7,2,9,-1.4015220989375328,-1.7480063691764278,0.6428562618588376
deeper,7,2,9,-1.4015220989375328,-1.7480063691764278,0.6428562618588376
mechanics,22,4,26,-0.950058705636601,-1.7478556011053574,0.29545393775285067
kicking,31,5,36,-0.8304603886925115,-1.7231933939801367,0.23225752967062904
position,134,4,138,0.8610814989399511,1.6970308818571636,0.25745956153902455
performance,51,7,58,-0.6694227426932802,-1.6608146137074296,0.16246454942872096
moment,51,7,58,-0.6694227426932802,-1.6608146137074296,0.16246454942872096
tighter,8,2,10,-1.267952140002774,-1.6038479243695587,0.624999038428394
seam,8,2,10,-1.267952140002774,-1.6038479243695587,0.624999038428394
often,8,2,10,-1.267952140002774,-1.6038479243695587,0.624999038428394
continues,8,2,10,-1.267952140002774,-1.6038479243695587,0.624999038428394
ready,33,5,38,-0.7678625858841777,-1.6000524223053592,0.2303024674264729
coverage,235,10,245,0.5071670355571465,1.570738025068841,0.10425443064087588
shows,16,3,19,-0.9805115499988641,-1.5584646866824488,0.395832542236827
tighten,34,5,39,-0.7379708974069121,-1.5407491563821636,0.2294111877682175
counts,25,4,29,-0.8221092606473119,-1.5266203429603886,0.2899993270723923
