word,count_a,count_b,total_count,log_odds,z_score,variance
him,96,120,216,-0.4959850475048322,-3.622163612723236,0.01874999002660111
agility,66,89,155,-0.5713310309274053,-3.517135114127249,0.026387455897547138
brees,29,2,31,2.4053276044533405,3.290093242250119,0.5344807381666936
allen,1,21,22,-3.3157558944805707,-3.2395302765052114,1.0476133263525649
rodgers,4,17,21,-1.7177795329258334,-3.0910959462979886,0.30882317000269655
speed,37,52,89,-0.6117780825796713,-2.844471349736781,0.046257770849103236
jones,4,15,19,-1.5924965375109066,-2.8299420851811843,0.31666633663476396
davis,11,23,34,-1.008499785844882,-2.7510390630666657,0.13438726219284988
smith,25,5,30,1.3402562734198726,2.7357885076614417,0.2399996761810802
flacco,1,12,13,-2.7556024783135635,-2.6475013751445475,1.083329936801444
goff,18,2,20,1.927901134618641,2.5865538519299722,0.5555542421888188
exactly,3,12,15,-1.6569007922731247,-2.5668610852188403,0.41666620718790764
stafford,3,12,15,-1.6569007922731247,-2.5668610852188403,0.41666620718790764
should,27,7,34,1.080717088448786,2.5480250549773005,0.17989398775201768
off,167,167,334,-0.2724149229191699,-2.489282838441591,0.01197604168932826
thomas,24,35,59,-0.648320517137841,-2.446265124458191,0.07023805616343658
cardinals,2,10,12,-1.8799698760264887,-2.427032311072501,0.5999991904527004
soft,170,96,266,0.30346272470226854,2.37697570802138,0.01629900973057926
dynamic,9,18,27,-0.9638395455426059,-2.3609158462305504,0.16666655855395915
tony,1,9,10,-2.467741265345097,-2.3411076896042404,1.1111084843776375
towards,38,14,52,0.7294037423673885,2.3330406468217553,0.09774428271934585
reliability,15,2,17,1.7454426070872726,2.3186872282610747,0.566665544314264
broncos,15,2,17,1.7454426070872726,2.3186872282610747,0.566665544314264
athleticism,26,36,62,-0.5964171676755434,-2.317353746238433,0.0662392800287806
contested,6,14,20,-1.1178874487962958,-2.290988350838743,0.23809506746839493
lines,44,53,97,-0.457293893411137,-2.242197802068525,0.041595175295241815
wentz,13,1,14,2.2954558786498858,2.2119603845842337,1.0769194228521486
carr,5,12,17,-1.1459841021508268,-2.1529300326185608,0.2833331262614827
remarkable,6,13,19,-1.0437195422707104,-2.1147277492032917,0.24358957747574853
quite,1,7,8,-2.216307431468274,-2.0731676892408886,1.142855024733466
looking,37,15,52,0.6336368752346662,2.0700718763850805,0.09369362387147802
become,25,33,58,-0.5484921517300538,-2.0686333036794626,0.07030299240479697
wrapped,28,10,38,0.760275995465455,2.063757543772882,0.13571417453914403
powering,3,9,12,-1.3690390747803471,-2.0535595002339853,0.44444406004380965
confidence,11,1,12,2.128310758281822,2.037705345720809,1.090905951538006
running,275,173,448,0.19569292206877797,2.016627265127418,0.009416705036126238
david,4,10,14,-1.1867318754707217,-2.0059437422527786,0.3499997366374794
commendable,16,4,20,1.1167607757308717,1.9977235088058274,0.3124996553909307
james,16,4,20,1.1167607757308717,1.9977235088058274,0.3124996553909307
falcons,12,2,14,1.5221621067855677,1.9929796156899684,0.583332399961295
delivers,85,45,130,0.3671590836380876,1.991583213691631,0.033986906778535934
free,63,68,131,-0.3475955273722242,-1.9877573860341378,0.030578882311008224
vital,5,11,16,-1.0589128079086256,-1.9632775671240854,0.2909088905378341
sharpen,5,11,16,-1.0589128079086256,-1.9632775671240854,0.2909088905378341
zone,169,101,270,0.24644313145925612,1.9594717367804182,0.015818140541767837
drew,10,1,11,2.0329550643128984,1.938349139305278,1.0999971172889018
feels,10,1,11,2.0329550643128984,1.938349139305278,1.0999971172889018
focus,23,30,53,-0.5364750428497986,-1.9356919786446352,0.07681155292686381
bills,1,6,7,-2.06209705629597,-1.9091324297705112,1.16666479992259
tools,2,7,9,-1.5231154389793575,-1.899659644055318,0.6428565113909309
ravens,2,7,9,-1.5231154389793575,-1.899659644055318,0.6428565113909309
matt,19,6,25,0.883163618642385,1.885922265172917,0.2192980474573803
roethlisberger,15,4,19,1.0521765373124579,1.869767747586291,0.31666633663476396
russell,15,4,19,1.0521765373124579,1.869767747586291,0.31666633663476396
against,13,3,16,1.1967259890034532,1.8683889578088875,0.41025592441057646
anthony,11,2,13,1.4351050853735545,1.8669113145218403,0.5909082197537971
target,124,72,196,0.2749547885648118,1.8557115574095644,0.021953391900186733
garrett,3,8,11,-1.2511961682407806,-1.8481399515737045,0.45833297160629694
display,67,70,137,-0.31496199934881197,-1.8428263320023253,0.029211072246664374
trusted,9,1,10,1.9275490371100714,1.8286357391833703,1.1111084843776375
alex,9,1,10,1.9275490371100714,1.8286357391833703,1.1111084843776375
even,28,34,62,-0.46493910370459,-1.821876014688367,0.06512601598457392
precision,41,19,60,0.4998456944935654,1.8010642545295932,0.07702177046322825
modest,41,19,60,0.4998456944935654,1.8010642545295932,0.07702177046322825
consistently,4,9,13,-1.0813114644315363,-1.7994116735126575,0.3611108586479347
go,18,24,42,-0.5583227137796136,-1.7906167464430542,0.097222169667426
downfield,29,12,41,0.6129717320349695,1.7858225394382472,0.11781600542744328
spot,100,57,157,0.2932570505482248,1.7669985572576854,0.027543843037156058
instead,27,11,38,0.6284924871462314,1.7570603486810445,0.12794603293432555
barrels,16,5,21,0.8935574944065552,1.7440464427034084,0.2624997607601695
show,14,4,18,0.9831379512587608,1.734093200683563,0.32142825569546546
going,12,3,15,1.1166375926252483,1.7298884738113656,0.41666620718790764
