word,count_a,count_b,total_count,log_odds,z_score,variance
taylor,25,25,50,1.7697556745038687,6.257032088732463,0.07999997708032573
brady,20,21,41,1.720540384906144,5.506779031530215,0.09761901961829336
soft,31,53,84,1.2335722655141383,5.45561615344397,0.05112597223960795
crisp,41,96,137,0.9193647394414519,4.927824025166973,0.03480689676508085
hogan,13,11,24,1.9358635816253775,4.725385134365763,0.16783211907644263
speed,39,491,530,-0.7695944172222529,-4.625912539402578,0.027677635288523884
miller,12,10,22,1.95104947010854,4.556670521071908,0.18333327993367593
allen,12,10,22,1.95104947010854,4.556670521071908,0.18333327993367593
nelson,13,13,26,1.7687759975963706,4.509512309437723,0.15384610976985716
scott,12,12,24,1.768694418952471,4.332399457949378,0.16666661891734527
cousins,13,16,29,1.561086369450452,4.1808026129491935,0.13942303611475723
watson,10,9,19,1.873908548273267,4.078429027423557,0.21111105029262373
reliable,79,278,357,0.5126609261131012,4.0209823944329885,0.01625534129443011
spots,51,157,208,0.6456824219956072,4.006104889678759,0.02597725722462481
middle,27,65,92,0.8907312019040745,3.8903744133382827,0.05242163122447781
austin,14,22,36,1.3167383925331366,3.8514447763624076,0.11688307991746065
chris,7,3,10,2.6156513411138054,3.7904396518950754,0.47619028779182104
dependable,7,5,12,2.1047923490259297,3.594617806518666,0.34285703901698844
across,22,54,76,0.8710323349474995,3.4437831014838496,0.06397303774610032
rodgers,16,33,49,1.044816963540991,3.429724340744234,0.09280299643897766
packers,6,4,10,2.1737036764773388,3.3674877780192323,0.41666653734559234
find,36,111,147,0.6433847064155289,3.3544777199427007,0.03678676882968855
carr,8,10,18,1.5451911656533905,3.257549480860131,0.22499993392687723
siemian,5,2,7,2.68446437633816,3.2085492897846564,0.699999709206683
athleticism,9,157,166,-1.0930544705365026,-3.1890357375381955,0.11748024332878183
defense,25,70,95,0.7393813398800484,3.173407222124368,0.05428568973477263
tom,7,8,15,1.6347385398457037,3.1586153981610856,0.26785706543198395
spectacular,20,242,262,-0.7275876388976084,-3.1272148970587597,0.054132136936837334
make,45,429,474,-0.48986712877573435,-3.126254502448897,0.024553190653693897
derek,5,3,8,2.2789826452008075,3.1206260139746336,0.5333331601624706
greg,5,3,8,2.2789826452008075,3.1206260139746336,0.5333331601624706
chargers,10,17,27,1.237785779005116,3.1059047901921115,0.15882347735178964
caleb,5,1,6,3.3776279408995444,3.0833395051904087,1.1999991061331918
