word,count_a,count_b,total_count,log_odds,z_score,variance
under,257,150,407,1.3785702961540993,13.41664538190168,0.0105577154106204
pressure,350,316,666,0.942860362714173,12.150324047336467,0.0060216989007690624
speed,116,860,976,-1.1745293977686027,-11.8745545558126,0.009783474750336972
poise,112,27,139,2.2604775010073483,10.543474557155143,0.045965593160414035
kick,116,12,128,3.1067623815876892,10.245256399296471,0.09195395483491342
quarterback,459,1776,2235,-0.5257005564851944,-10.039857864613332,0.0027417114420139155
pocket,249,232,481,0.9097494846624441,9.969949972051346,0.008326407818154698
athleticism,57,519,576,-1.377785447720445,-9.873965608934418,0.01947062831146988
reliable,183,149,332,1.0438143937885895,9.45960391116905,0.012175888383779667
interception,34,389,423,-1.6053079089660196,-8.976408550801391,0.03198243082241724
accuracy,80,20,100,2.2233816604356713,8.893528075420567,0.062499979849423175
precision,96,47,143,1.5513963830697417,8.714437170414977,0.03169325632337523
allowing,144,115,259,1.0625440648545865,8.496249702539856,0.01564009418515533
teams,84,6,90,3.476396659910203,8.226660389956875,0.17857123795147287
goal,68,12,80,2.571473780536703,8.212630481020039,0.09803917222880895
agility,130,656,786,-0.7872243148860845,-8.199944422444695,0.009216694269442265
instincts,76,469,545,-0.9877784854507912,-7.988304910315076,0.015290083552991872
special,84,5,89,3.658728880579261,7.948041904154718,0.21190449088302238
secondary,23,295,318,-1.718819944256917,-7.939478243120711,0.046868045498225874
leg,70,6,76,3.293723540159867,7.742927384874149,0.18095221962486727
punt,64,7,71,3.049799309291247,7.66092563745413,0.1584820316211802
downfield,140,128,268,0.9270328291975325,7.580480814116567,0.014955354864683367
attempt,58,8,66,2.8176664265997857,7.470965337720246,0.142241299590359
leaps,27,267,294,-1.458344977800218,-7.221447902747738,0.04078232448210971
soft,61,27,88,1.6515710040078346,7.145008627757343,0.05343046870847594
deliver,80,52,132,1.2675222469298655,7.115662259086611,0.03173076396286177
snap,487,746,1233,0.4129757677208641,7.088869170244922,0.0033938701016121894
hold,51,14,65,2.1291925066471995,7.056793697078689,0.09103638751204678
incredible,39,296,335,-1.1937463992434072,-7.007578271447813,0.02901938702098236
arm,63,32,95,1.513928686069269,6.974112040980025,0.04712300701935831
fires,108,95,203,0.9652294316321699,6.8620874840297255,0.019785572022102182
crucial,339,484,823,0.4824712118925101,6.812304504407912,0.005015967400061069
