word,count_a,count_b,total_count,log_odds,z_score,variance
speed,110,831,941,-1.175717088090643,-11.587906235430463,0.010294273818020078
pressure,386,417,803,0.7782312744224713,11.018249760936554,0.0049887545145944545
pocket,298,281,579,0.9136148516122065,10.987153367886608,0.006914422735135769
kick,123,13,136,3.1008935807497746,10.632655998813298,0.08505310981769942
receiver,201,1045,1246,-0.8020509059068877,-10.413558380183762,0.005932060274639839
under,159,107,266,1.24965405950962,9.99400275696334,0.015635100560616913
impressive,111,672,783,-0.9529177118151626,-9.300808969837833,0.01049710036353843
leg,69,7,76,3.1408299994873285,7.917923989480481,0.15734980326471712
changing,90,511,601,-0.8877944815458507,-7.766171656354261,0.013068053722808936
accuracy,61,19,80,2.0188077837737772,7.684077572709329,0.06902500710857924
punt,73,5,78,3.5337515180335215,7.644257859172274,0.21369844366595386
anchor,98,71,169,1.174956003815061,7.539117150199494,0.024288585633799504
instincts,138,648,786,-0.698083579770036,-7.446003897925809,0.008789584121575
burst,131,609,740,-0.6878742790767447,-7.142291443894238,0.009275621227207792
explosive,29,263,292,-1.3551950331076164,-6.9260778267797445,0.03828501908405158
showcased,92,468,560,-0.7775079698774867,-6.817540780347444,0.013006313266212578
poise,58,29,87,1.5453755398677878,6.794968310805237,0.051724130238707505
athleticism,29,251,280,-1.3083918868665636,-6.671059278621829,0.03846680229580231
decent,71,48,119,1.2438047808259274,6.656233705648151,0.03491783589882422
returner,85,2,87,4.602496863677699,6.433671538987265,0.5117634113197789
goal,47,4,51,3.316074259530648,6.36675645015777,0.27127640475552833
teams,39,8,47,2.4361483693311916,6.276711514198275,0.15064098011682533
hang,39,6,45,2.723847318982534,6.211328778934523,0.19230761618857253
attempt,58,38,96,1.2750088342212544,6.109186742813096,0.04355716313157566
distance,37,6,43,2.671163805624488,6.0693595028713805,0.1936936207709189
mechanics,38,12,50,2.0046540280318332,6.053923031727006,0.10964910009188622
precision,62,45,107,1.172644090355412,5.987926477012217,0.03835124968114076
defensive,266,389,655,0.47323382943246806,5.9479975313288165,0.00633009177546646
rusher,82,75,157,0.9415468600286792,5.892908489154045,0.025528452235213932
time,133,156,289,0.6931369886742322,5.872976994987217,0.013929051724406793
explodes,73,360,433,-0.7459313561533492,-5.8112246170702875,0.016476402882460137
first,105,459,564,-0.6255824489600528,-5.782904969518944,0.011702455558871918
timing,48,277,325,-0.9028945248247844,-5.775052264559128,0.024443432993390024
throw,204,282,486,0.5292019227272009,5.757619278698472,0.008448059016840235
gain,317,1065,1382,-0.36326475300287875,-5.67771673806359,0.0040935403780456
grit,38,17,55,1.65630495200086,5.676429510871964,0.08513930529853961
cut,44,255,299,-0.9070443947879969,-5.556348217881948,0.02664883189383857
hold,40,21,61,1.4962950206971435,5.55254373040531,0.07261903712268716
handoff,30,206,236,-1.0765110761099876,-5.508797765923596,0.03818768633564962
follow,30,7,37,2.307144934304864,5.496468221218122,0.17619042882588948
onto,34,14,48,1.739181187704303,5.476810614261939,0.10084031909606678
high,138,174,312,0.6207889588856359,5.446040679325363,0.012993501660759785
quarterback,478,1484,1962,-0.28469050251393213,-5.413204329840592,0.0027659040928271323
anticipation,19,165,184,-1.3112089611410198,-5.41230027623774,0.05869215428553105
return,29,5,34,2.6097126055859725,5.389361344896683,0.23448267531298495
landing,35,17,52,1.5740071680301044,5.324312648513069,0.08739494475441456
secondary,8,129,137,-1.929985729609058,-5.297047556201644,0.13275181015480259
interception,28,191,219,-1.0698134684817617,-5.286665020788966,0.0409498708344256
special,36,2,38,3.7423904632951155,5.151382293890329,0.527777210904477
inconsistency,44,31,75,1.2021351817477033,5.126605372619479,0.05498533029627061
changer,30,191,221,-1.0007808316008182,-5.095892255268702,0.03856892045976304
wobbly,28,3,31,3.0854437756173887,5.078980611650745,0.36904741179473594
booming,33,2,35,3.6553194797000446,5.019535156803731,0.5303025078774658
strides,24,5,29,2.4203711898459748,4.923496840583964,0.24166659466635623
misses,21,154,175,-1.141999432702776,-4.909270565435064,0.05411253006752313
end,113,143,256,0.6168988726383375,4.901186865126807,0.015842562577776963
steps,68,69,137,0.8374890914515314,4.901148968348316,0.02919863250186154
arm,45,35,80,1.1032331342450181,4.895111731605925,0.05079364455864713
sustain,27,11,38,1.749705770769526,4.891606208134204,0.12794610616330918
near,18,142,160,-1.2149822288579326,-4.856131769447454,0.06259777922820654
collapse,47,39,86,1.038510513483101,4.794495669178139,0.04691761570624922
refine,162,579,741,-0.42408537777117683,-4.771347343808465,0.007899953411811994
protection,36,24,60,1.2572980758009171,4.7711110482059045,0.0694444354938045
reliable,90,108,198,0.6698732347496534,4.6934607376268405,0.020370367906419815
crowd,52,48,100,0.9319903818342343,4.6562227331391295,0.0400640977822119
good,197,302,499,0.42545579088459373,4.64558894127354,0.008387399319776554
lacked,25,11,36,1.6727049516937607,4.62311263113735,0.1309090697839118
duress,21,4,25,2.5099321270968247,4.600782329146203,0.2976189512978185
showcasing,85,346,431,-0.5537161535291393,-4.573999641933083,0.01465487552993667
struggles,76,87,163,0.716919551079152,4.566075313103362,0.024652144650587533
plays,102,395,497,-0.5039201452171165,-4.537140343982186,0.012335564107042948
step,99,385,484,-0.5081052899044778,-4.508987705974886,0.012698409566522871
protect,48,44,92,0.9389133959905402,4.498612696289884,0.043560600858366584
unit,20,4,24,2.461122085195389,4.493374304429112,0.2999999071997846
through,223,735,958,-0.3431918777808205,-4.489008151229648,0.005844847898943155
sending,20,5,25,2.237970108064456,4.475940781935117,0.2499999367947212
begins,36,27,63,1.1394895856411242,4.475826517189781,0.06481480678218915
closes,30,169,199,-0.8782191425885566,-4.432823257325059,0.03925047952886014
defender,235,383,618,0.3642989756132362,4.396398586748566,0.00686628429005965
confidence,41,35,76,1.0100631141775507,4.389021337906634,0.052961666093732374
lack,68,77,145,0.7277222415503974,4.373020290331787,0.02769289201971668
split,75,308,383,-0.5624160295824536,-4.367816145239266,0.01658008228948935
williams,5,87,92,-2.0057878387482937,-4.361500575666567,0.2114940332373394
own,19,5,24,2.186656933582448,4.3504770887087485,0.25263151788470356
spiraling,20,7,27,1.9014809686045142,4.329863050301659,0.19285710606301804
clean,195,309,504,0.3922378696418436,4.2887509499209475,0.008364449980420489
zone,56,59,115,0.7997481525666572,4.286712630255175,0.03480629125280843
fires,100,133,233,0.5670026727413111,4.283837546188839,0.017518794822857627
placement,85,107,192,0.6219261164926664,4.28045128073848,0.021110497696432574
gap,60,258,318,-0.6082926278941994,-4.24408946158485,0.02054263012000928
soaring,18,3,21,2.643412283571891,4.238890676257972,0.3888887462294972
immediately,85,108,193,0.6126152292616194,4.225036854397869,0.02102396256822347
tools,24,141,165,-0.9201052531982157,-4.166878079308027,0.04875884771388213
rush,69,82,151,0.679384665128901,4.158711219177169,0.02668787235180687
executed,21,10,31,1.5935906688528636,4.1476835272092645,0.14761902499632695
jump,5,79,84,-1.9092597165811522,-4.140226675390703,0.2126580271701822
display,7,83,90,-1.6221746713992404,-4.121588046361692,0.15490522558869227
finishing,14,105,119,-1.1641951549144087,-4.091768671055037,0.08095234419300126
talent,18,118,136,-1.0296359406412074,-4.0690364701626205,0.06403010627572832
establish,25,16,41,1.2979691117647505,4.054174645580975,0.10249998657036344
separation,92,346,438,-0.47443941177875626,-4.044601314036484,0.013759735331767532
second,118,420,538,-0.4194713773254497,-4.026028942785954,0.010855526172218877
raw,9,86,95,-1.4063527753882878,-4.014237623674576,0.12273894755469707
agility,47,210,257,-0.6464880721513024,-4.00638417480855,0.026038493239025698
physical,13,99,112,-1.1794315386065515,-3.998094905426902,0.08702404692075999
backfield,51,222,273,-0.6204023242073298,-3.9953398507705806,0.02411234106847278
punter,25,1,26,4.070683732578333,3.9916367779093354,1.0399984508569278
firing,20,10,30,1.5447806188781499,3.9886067035621657,0.1499999776922518
intercepted,17,6,23,1.8930615318110178,3.9865841842327288,0.22549015333835465
set,45,46,91,0.8298464324728352,3.9578764559881594,0.0439613474254544
defenders,139,212,351,0.4301751237683531,3.941550478680595,0.011911224191120558
intended,46,48,94,0.8092686476081212,3.9221874798611807,0.04257245869848355
nick,18,8,26,1.6625408284095666,3.9126132948926378,0.18055552661515423
