word,count_a,count_b,total_count,log_odds,z_score,variance
under,208,130,338,1.3327064398565804,11.920089760657463,0.012499997931279785
kick,119,12,131,3.15593571990322,10.419737224161416,0.09173662632382952
pocket,304,323,627,0.802444678635883,10.04198148527739,0.006385447964750952
snap,469,602,1071,0.6146102443877721,9.979062892048962,0.0037933251481735604
downfield,152,104,256,1.2410620259812015,9.752411162696491,0.016194329399144083
longer,99,37,136,1.8451552965970972,9.575952399952374,0.0371280287067216
clean,169,148,317,0.9942189741880139,8.83134108922844,0.012673914618053167
quarterback,701,2388,3089,-0.3747704972117689,-8.724341776232782,0.001845293484691593
accuracy,78,10,88,2.9148366006366713,8.678013222170692,0.11282044628944828
allowing,232,255,487,0.7674535843819577,8.458663596809025,0.008231912224966973
deeper,62,16,78,2.2147946566077206,7.898453551905207,0.07862900808583162
defense,200,220,420,0.7662369320927329,7.842685620099017,0.009545453118999982
punt,77,5,82,3.5951077123294457,7.789966590368658,0.21298676798903443
receiver,237,968,1205,-0.5526655312081523,-7.6257186389489195,0.005252465442584443
deep,68,31,99,1.645760974825472,7.594243334012942,0.04696393761401805
return,68,33,101,1.5832194443815943,7.4626297575280995,0.04500890413279249
goal,60,6,66,3.1628894560103324,7.38692108071313,0.18333319560469258
incomplete,61,394,455,-1.0092637707793868,-7.335202719183639,0.01893150437570678
intended,23,258,281,-1.560757450314524,-7.172263066662944,0.0473541900373565
consistency,55,20,75,1.8716324066503445,7.167807237544077,0.06818180239123528
poise,53,18,71,1.9399227581915683,7.110980767299239,0.07442346190428435
pressure,386,573,959,0.46742855986910037,7.098669207135019,0.004335873577207524
offensive,150,663,813,-0.6305606079738633,-6.97403354888879,0.008174959467407773
agility,25,253,278,-1.4577027167414904,-6.95307630049949,0.043952535762288
interception,22,240,262,-1.532722474973383,-6.880658744825765,0.049621171518841954
uprights,52,5,57,3.2019204836621693,6.838485936907961,0.21923059807437237
modest,98,84,182,1.0145811193046539,6.823446577406186,0.022108840209307045
shotgun,54,24,78,1.6708943580822382,6.810895791801868,0.06018517312315129
drops,298,1091,1389,-0.4430319461009402,-6.778045680351278,0.0042722937319244125
pass,490,1631,2121,-0.3487735707067783,-6.770150334570667,0.0026539363949519964
end,107,100,207,0.9281450472323058,6.67302266627997,0.019345791508016484
disrupting,29,252,281,-1.3052117504340535,-6.656213238334113,0.03845098740721476
where,125,131,256,0.8137253928686228,6.5080154111116695,0.015633585458020738
accurate,45,17,62,1.8332621541701934,6.439608940221153,0.08104573339948647
composure,40,9,49,2.351427354270971,6.373600699906315,0.13611106383732047
disrupt,76,397,473,-0.7966460844293977,-6.362634741694638,0.015676780110177393
positioning,79,404,483,-0.775409485543733,-6.303211183004828,0.0151334693962929
forcing,84,420,504,-0.7529253173513881,-6.299426378182751,0.014285708760273606
distance,46,21,67,1.6439146658771113,6.242096445208741,0.06935816439816098
points,43,4,47,3.234805767509185,6.188190551830048,0.27325559356889595
time,147,174,321,0.692081992716588,6.17786420026358,0.012549845631672872
impressive,18,191,209,-1.504607673405884,-6.10243607015458,0.06079110924339513
breaking,25,213,238,-1.2851808992672114,-6.079050194468594,0.04469480696630694
drives,45,22,67,1.5753801410460344,6.055717448992909,0.067676754919232
good,358,563,921,0.409130361097616,6.0524002496570946,0.004569494273031979
cleanly,38,13,51,1.932316999953657,6.013908468103693,0.10323884132341288
attempt,71,58,129,1.0622665142955983,6.001804439530694,0.031325881596876104
break,64,340,404,-0.8132001968704721,-5.968103235616033,0.01856616887424067
sending,43,3,46,3.522498161272024,5.898844488887736,0.35658876526740885
decision,102,107,209,0.8124308837820857,5.870908182762572,0.019149713109139835
returner,57,2,59,4.210174331259193,5.852305107861267,0.5175427611815888
delivering,107,117,224,0.7709610986823865,5.763593034965043,0.01789280026713352
blocking,64,52,116,1.0675573188098681,5.718128351225293,0.034855763933378525
handoff,27,205,232,-1.1698028165191587,-5.7138338502480694,0.041915061735609854
anticipation,18,173,191,-1.4054349416788066,-5.674838730302244,0.061335858053679554
reads,73,354,427,-0.7218986192292913,-5.615978239683352,0.01652348268063796
formation,77,73,150,0.9133669545539949,5.591218833255113,0.02668563914854217
hang,47,2,49,4.017020756077873,5.5637850445753925,0.5212756829296099
center,36,16,52,1.670528661645399,5.559856015627656,0.09027775968472694
backfield,36,229,265,-0.9928624497681096,-5.537774227429989,0.03214457441992054
approaches,38,19,57,1.5527639128066655,5.526327781805939,0.07894735374060208
vision,25,190,215,-1.1706688032854062,-5.502521458724803,0.04526313186471236
opponent,58,47,105,1.0701161333877218,5.452544527740491,0.038517969197848285
high,36,18,54,1.5527244665435989,5.37879583251754,0.08333331783730219
