word,count_a,count_b,total_count,log_odds,z_score,variance
smith,7,10,17,2.421381886096688,4.913466994980615,0.24285692521723923
jaguars,5,12,17,1.9010602766898659,3.571472489880808,0.2833329973386753
thompson,3,3,6,2.775494115784449,3.3992736150362166,0.6666661053109026
gaines,3,3,6,2.775494115784449,3.3992736150362166,0.6666661053109026
nelson,3,4,7,2.4877675515041258,3.257253747419551,0.5833328216809709
secures,3,7,10,1.928018095637145,2.793965284157726,0.4761899224724475
playmaking,4,14,18,1.5229584068190256,2.6862482750952723,0.3214280591203222
chris,3,8,11,1.7944421204769805,2.6505683701765115,0.4583327463952919
showcase,3,8,11,1.7944421204769805,2.6505683701765115,0.4583327463952919
today,3,8,11,1.7944421204769805,2.6505683701765115,0.4583327463952919
carr,2,3,5,2.369311745848189,2.5954521617159245,0.8333325731641477
sanford,2,3,5,2.369311745848189,2.5954521617159245,0.8333325731641477
eric,2,4,6,2.0815852166523356,2.4036088353003975,0.7499992105936895
reaction,6,35,41,1.0126312491629008,2.29176241810829,0.195237601656509
towards,5,27,32,1.0894598789407581,2.237709197907884,0.23703647965564736
leaving,2,5,7,1.8583971785246645,2.221210831271053,0.6999991453362848
time,4,19,23,1.2173534979144893,2.2128910872760774,0.3026309469128455
defenders,4,20,24,1.1660155437448996,2.128845716027612,0.2999993432148112
both,2,6,8,1.6760311188815749,2.0527119575194814,0.6666657310744094
spectacular,11,96,107,0.6106351731684381,1.9183272457241136,0.10132538038472659
made,2,7,9,1.5218359261838552,1.8980643908348231,0.6428561182406444
sprints,2,7,9,1.5218359261838552,1.8980643908348231,0.6428561182406444
offensive,2,7,9,1.5218359261838552,1.8980643908348231,0.6428561182406444
slant,2,7,9,1.5218359261838552,1.8980643908348231,0.6428561182406444
under,2,7,9,1.5218359261838552,1.8980643908348231,0.6428561182406444
first,2,7,9,1.5218359261838552,1.8980643908348231,0.6428561182406444
davis,3,15,18,1.165521243027575,1.8428529119041575,0.39999912428641493
reads,19,198,217,0.4344609322443862,1.8089693975169754,0.057681828591890916
demonstrates,5,35,40,0.8295910346636921,1.7352167518074966,0.2285707411987204
return,4,26,30,0.9033832713268026,1.68201046961693,0.2884607303726381
knack,2,9,11,1.2704324527898274,1.6251442695988971,0.6111098961414112
left,2,9,11,1.2704324527898274,1.6251442695988971,0.6111098961414112
reflexes,2,9,11,1.2704324527898274,1.6251442695988971,0.6111098961414112
hands,2,9,11,1.2704324527898274,1.6251442695988971,0.6111098961414112
breaking,10,95,105,0.5251197885739121,1.5795246786788246,0.11052586882513302
raiders,3,18,21,0.9830658309157929,1.5764144155095507,0.3888878792302329
anticipation,3,120,123,-0.9186164159655661,-1.571580226652004,0.34166090926837445
flash,5,38,43,0.7472187830826273,1.5706921017585513,0.22631505278955172
presence,2,10,12,1.1650274075621043,1.504045562180059,0.5999986864296224
fast,2,10,12,1.1650274075621043,1.504045562180059,0.5999986864296224
completion,2,10,12,1.1650274075621043,1.504045562180059,0.5999986864296224
