word,count_a,count_b,total_count,log_odds,z_score,variance
wrap,9,9,18,1.7206151174352655,3.649977700233842,0.22222199717589364
motor,8,12,20,1.3146373283292716,2.880227658607417,0.20833310477068404
anderson,5,6,11,1.5371383197151909,2.5385016947948826,0.36666628915145993
justin,4,4,8,1.7192457768817686,2.4313819258597227,0.4999994936457607
free,4,4,8,1.7192457768817686,2.4313819258597227,0.4999994936457607
effort,4,4,8,1.7192457768817686,2.4313819258597227,0.4999994936457607
scott,3,2,5,2.124496645902229,2.327270749234986,0.8333324190827361
ryan,3,2,5,2.124496645902229,2.327270749234986,0.8333324190827361
phillips,3,2,5,2.124496645902229,2.327270749234986,0.8333324190827361
simon,3,2,5,2.124496645902229,2.327270749234986,0.8333324190827361
textbook,8,17,25,0.9660321953035353,2.253156384521746,0.18382328781497106
falcons,4,5,9,1.496042718228849,2.2301699676231883,0.4499995328882318
explosive,2,55,57,-1.5986438180323193,-2.220821509150222,0.5181745931895021
toes,3,3,6,1.7189722316935203,2.105303490860811,0.6666659915276809
mike,3,3,6,1.7189722316935203,2.105303490860811,0.6666659915276809
offenses,3,3,6,1.7189722316935203,2.105303490860811,0.6666659915276809
set,8,20,28,0.8033341358423911,1.9203372939649976,0.17499974302538102
reckoned,6,13,19,0.9461858938044045,1.9171109993219917,0.24358941941997103
massive,6,75,81,-0.8100597827745197,-1.9093352997012119,0.1799988534180912
athleticism,2,44,46,-1.3748441979557997,-1.901596325024881,0.5227214376842889
engaging,3,4,7,1.4312307229849717,1.873921881268954,0.583332717972317
gets,3,4,7,1.4312307229849717,1.873921881268954,0.583332717972317
smith,4,7,11,1.1594513694205872,1.8498455373198068,0.39285668106735094
presence,1,35,36,-1.8389375266749068,-1.813232934319934,1.028553185252012
front,17,58,75,0.4931296084590322,1.7880074019087562,0.07606476602634588
tenacity,12,37,49,0.5939329837845291,1.7878507623234519,0.11036016993573151
breaking,6,14,20,0.872018255405898,1.787106875668659,0.2380949051187024
time,5,11,16,0.9307044669240518,1.7255734245901213,0.29090869988662366
steelers,4,8,12,1.0258603936477613,1.6752240681661072,0.3749995252930689
quick,25,96,121,0.3752891874659845,1.671396308355996,0.0504165619885273
moments,6,15,21,0.8029657118760545,1.6622981697771453,0.233332990700508
demonstrates,6,15,21,0.8029657118760545,1.6622981697771453,0.233332990700508
valuable,6,15,21,0.8029657118760545,1.6622981697771453,0.233332990700508
relentless,36,148,184,0.3076395130648928,1.6554489420554164,0.03453445839132318
chance,3,5,8,1.2080276812104458,1.6541609769944197,0.5333327212074387
intensity,3,5,8,1.2080276812104458,1.6541609769944197,0.5333327212074387
titans,3,5,8,1.2080276812104458,1.6541609769944197,0.5333327212074387
technique,14,48,62,0.4878108453091299,1.6059819225675331,0.09226173096296511
incredible,5,58,63,-0.7346509211160441,-1.5761989600006956,0.21724009382165316
fantastic,6,16,22,0.7383675133143797,1.5424006191913762,0.22916631371339477
highlights,13,45,58,0.4780866774546988,1.5183468412136454,0.09914511086414689
drive,4,49,53,-0.7889656214395799,-1.5172234146434216,0.2704064747991055
snap,25,100,125,0.3342269964027551,1.4947101760551507,0.049999892399875574
