word,count_a,count_b,total_count,log_odds,z_score,variance
agility,28,56,84,-0.7997172139268427,-3.4551753360158726,0.05357136430944598
rusher,8,27,35,-1.3218455813972048,-3.2837792900734892,0.1620367515973767
awareness,42,15,57,0.9284929908294419,3.0868235538338147,0.09047605341665611
snaps,20,5,25,1.2841670967479093,2.568336812231,0.2499994901887801
position,11,25,36,-0.9259545002565943,-2.559204707477231,0.13090892051412226
maintaining,17,4,21,1.3446186214078812,2.4196045791877405,0.3088228647790645
moment,15,3,18,1.5070556388881222,2.382867162461162,0.39999900197006094
ryan,18,5,23,1.1786239711667879,2.331487065226295,0.25555508005746036
rodgers,13,2,15,1.7693376494116642,2.329444977155065,0.5769212350038541
lanes,6,16,22,-1.0853469414639267,-2.267217472082547,0.22916633220695778
passing,14,3,17,1.4379715641899917,2.2602214442329043,0.4047609568139193
such,9,20,29,-0.903157213714759,-2.2500951684178903,0.16111090453556898
linemen,18,6,24,0.9962014785777509,2.1132641527782328,0.22222186679809966
hold,26,11,37,0.7580158593134589,2.107466777161985,0.12937045638549388
williams,2,9,11,-1.608250006843738,-2.057282651952694,0.611109726439007
ravens,2,9,11,-1.608250006843738,-2.057282651952694,0.611109726439007
raiders,2,9,11,-1.608250006843738,-2.057282651952694,0.611109726439007
season,2,9,11,-1.608250006843738,-2.057282651952694,0.611109726439007
punch,8,17,25,-0.8582085449653345,-2.0016703430380964,0.18382330047383294
jake,9,1,10,2.0944946759545973,1.9870164602622908,1.111106253662456
giving,12,22,34,-0.7107143625823173,-1.980422468101946,0.12878773178981157
holds,17,6,23,0.938951759057705,1.9773328421535266,0.2254898513385258
key,41,55,96,-0.3990398353113038,-1.9339895654722468,0.04257201945467598
league,15,5,20,0.9960285688020711,1.9288025721308957,0.26666624015771956
shows,1,7,8,-2.04997023112937,-1.9175748505452925,1.1428532259460022
robinson,1,7,8,-2.04997023112937,-1.9175748505452925,1.1428532259460022
pulls,7,15,22,-0.8664653795854962,-1.8929310530598562,0.2095235471771737
skill,15,25,40,-0.6154345095804814,-1.8843766729381488,0.10666655065615797
kind,40,22,62,0.49581826790681127,1.8679629669225668,0.07045446539650049
center,8,1,9,1.97662080684065,1.8635796011000716,1.1249956141326911
part,8,16,24,-0.7974826340000183,-1.8417083582732652,0.18749977508306093
end,44,57,101,-0.36406911381506823,-1.8142082237796993,0.04027109242830007
