word,count_a,count_b,total_count,log_odds,z_score,variance
extend,6,14,20,-2.102069079974326,-4.307966822447016,0.23809444790781745
athleticism,5,10,15,-1.9459044842265634,-3.5527246055355124,0.29999909877725706
downfield,10,12,22,-1.4353900582371226,-3.352353029825551,0.18333288539190146
agility,2,8,10,-2.638430343438868,-3.3373882550786598,0.6249968081774274
threat,3,8,11,-2.2328122734707154,-3.298088329010769,0.45833165814521365
dual,2,7,9,-2.5043586178170436,-3.1234910782493692,0.6428542184867762
duress,5,8,13,-1.7216787315531743,-3.020028313577974,0.3249991310706816
capability,2,5,7,-2.1668066438780764,-2.58983380409319,0.6999975606919382
rolls,4,6,10,-1.6562134818131584,-2.565798233204007,0.4166655818609182
coming,8,8,16,-1.2512118437682416,-2.502426694532619,0.24999939918433264
mobility,1,4,5,-2.6364228805588654,-2.358094332648836,1.2499936163548548
right,47,24,71,-0.5817581769627571,-2.3188278937692552,0.06294307567182247
remarkable,4,5,9,-1.473351993596852,-2.1963461801580397,0.4499988914951928
defenders,8,7,15,-1.1171397962808882,-2.158521772383049,0.2678564933784927
scanning,30,16,46,-0.6235307507185031,-2.01418894384128,0.0958330559986828
dynamic,3,4,7,-1.5375049925117068,-2.013069093917653,0.5833318730176915
beam,11,8,19,-0.9322942450520717,-2.0064026258391374,0.21590854548897526
awareness,5,5,10,-1.250054220892899,-1.9765116434041528,0.39999903869493225
growing,5,5,10,-1.250054220892899,-1.9765116434041528,0.39999903869493225
composure,7,6,13,-1.0961347089269822,-1.9702322652195483,0.30952305680126524
find,7,6,13,-1.0961347089269822,-1.9702322652195483,0.30952305680126524
line,37,4,41,0.9800635226177103,1.8620682560805393,0.2770239118897203
quick,51,7,58,0.7419166708618619,1.8406752719100723,0.16246353687066592
pass,46,6,52,0.7926442166255434,1.8261363397806887,0.18840403189592453
young,2,3,5,-1.654902633366289,-1.8128573654580817,0.8333311637218364
spins,2,3,5,-1.654902633366289,-1.8128573654580817,0.8333311637218364
vikings,2,3,5,-1.654902633366289,-1.8128573654580817,0.8333311637218364
diggs,2,3,5,-1.654902633366289,-1.8128573654580817,0.8333311637218364
reliable,22,1,23,1.8457551315320337,1.8052080403454456,1.0454268515288612
steps,25,2,27,1.2803792084345051,1.7423885792597162,0.5399918371900423
stride,33,4,37,0.8650324043475512,1.6338819101729727,0.28030021072795736
scans,33,4,37,0.8650324043475512,1.6338819101729727,0.28030021072795736
begins,7,5,12,-0.9132732121266605,-1.5597129213865264,0.34285627179721684
run,3,3,6,-1.2492838123812087,-1.530055780690492,0.6666650644915537
development,3,3,6,-1.2492838123812087,-1.530055780690492,0.6666650644915537
perfect,5,4,9,-1.0263711101308894,-1.5300255994205907,0.4499988914951928
closing,12,7,19,-0.7110561494011991,-1.4950900070619395,0.22618985170353703
over,20,2,22,1.0564627128747208,1.4245426758334612,0.5499933250093374
incredible,8,5,13,-0.7795873331050638,-1.3674884725793692,0.3249991310706816
defense,64,12,76,0.42930075948518187,1.364699119137914,0.09895767684640441
formation,18,9,27,-0.5570580751046199,-1.3645100906507248,0.16666616598736503
precise,19,2,21,1.0050149033874014,1.3519391951547317,0.5526252005462285
launching,13,7,20,-0.6308587133356642,-1.3456695624757329,0.21977958711398513
off,14,1,15,1.3925389625174107,1.3453318230627904,1.0714104552784263
textbook,14,1,15,1.3925389625174107,1.3453318230627904,1.0714104552784263
remain,14,1,15,1.3925389625174107,1.3453318230627904,1.0714104552784263
breaking,14,1,15,1.3925389625174107,1.3453318230627904,1.0714104552784263
league,6,4,10,-0.8438952278828236,-1.30735856729085,0.4166655818609182
chains,23,3,26,0.7906883812242738,1.2880871952802841,0.37680806379184906
fires,41,7,48,0.5221072359975398,1.2766787060515266,0.16724617534627148
center,13,1,14,1.3182772205899278,1.2703336962915655,1.0769061547834313
dropping,13,1,14,1.3182772205899278,1.2703336962915655,1.0769061547834313
while,11,6,17,-0.6435312808652371,-1.2679957263019581,0.2575750213149773
spiral,11,6,17,-0.6435312808652371,-1.2679957263019581,0.2575750213149773
toe,4,3,7,-0.9614477027043442,-1.2588321112183356,0.5833318730176915
strong,4,3,7,-0.9614477027043442,-1.2588321112183356,0.5833318730176915
entire,4,3,7,-0.9614477027043442,-1.2588321112183356,0.5833318730176915
such,4,3,7,-0.9614477027043442,-1.2588321112183356,0.5833318730176915
eyes,4,3,7,-0.9614477027043442,-1.2588321112183356,0.5833318730176915
plays,27,4,31,0.663431291773664,1.2383082963793697,0.2870346577941823
read,53,10,63,0.4223984631293618,1.225156085647338,0.11886714055436653
before,39,16,55,-0.3597679536784879,-1.211808987400272,0.08814072402696405
accurate,14,7,21,-0.5565959810724905,-1.202386548400442,0.2142850705551836
calm,17,2,19,0.8934803124815236,1.1952256207552994,0.5588177427142964
beautiful,9,5,14,-0.6616497632321705,-1.1862357683875195,0.31111023050873315
keeping,9,5,14,-0.6616497632321705,-1.1862357683875195,0.31111023050873315
surveys,16,2,18,0.8327012502333009,1.110273753555493,0.5624945082146848
races,11,1,12,1.1509156720213944,1.101925205851835,1.0908945523361626
evading,7,4,11,-0.6895901528622925,-1.100206813289471,0.39285604698223275
threading,15,7,22,-0.4874483192917429,-1.064909171310714,0.20952315252368733
needle,15,7,22,-0.4874483192917429,-1.064909171310714,0.20952315252368733
perfectly,46,9,55,0.38555932716194796,1.0578191483286814,0.13284939439405433
like,29,5,34,0.5115184290334467,1.0563489041453624,0.23448107583182612
decisions,15,2,17,0.7680083138793741,1.0202440715302454,0.5666614689833646
pocket,101,23,124,0.23476486123104845,1.0161271637490552,0.053378954695237714
collapse,10,5,15,-0.5561346726835366,-1.0153598759085831,0.29999909877725706
where,10,5,15,-0.5561346726835366,-1.0153598759085831,0.29999909877725706
spot,5,3,8,-0.7381499700539722,-1.0107548500464363,0.5333318806952351
