word,count_a,count_b,total_count,log_odds,z_score,variance
determination,14,43,57,1.0573668819794682,3.4362690328610426,0.09468410767290486
shoulder,4,2,6,2.868101768068046,3.3118022300069807,0.7499983811123908
tough,4,2,6,2.868101768068046,3.3118022300069807,0.7499983811123908
churning,5,7,12,1.8388502177692416,3.1404374743281283,0.3428565169750827
backfield,10,29,39,1.1127399404879927,3.034317212025984,0.13448238185329373
legs,4,6,10,1.7691066225391143,2.7406907582309725,0.4166658872019551
reliable,3,3,6,2.174013303378638,2.6626139425712396,0.6666655154570044
brady,4,7,11,1.614859999773988,2.57642785267868,0.3928563554388567
bears,4,7,11,1.614859999773988,2.57642785267868,0.3928563554388567
powers,5,11,16,1.386480952288748,2.5706074310438,0.2909084241594185
running,8,25,33,1.0367016675193055,2.5521868747717154,0.1649995092185258
style,3,4,7,1.886235521341007,2.469664236905009,0.5833322840538049
physical,3,4,7,1.886235521341007,2.469664236905009,0.5833322840538049
surprising,3,5,8,1.6629961648421316,2.277153509580843,0.5333322895702525
vikings,3,5,8,1.6629961648421316,2.277153509580843,0.5333322895702525
evades,4,9,13,1.363353603005808,2.2687601723595257,0.36111027102188037
powering,5,14,19,1.1450306077363095,2.197808797057597,0.271427831542396
situations,4,10,14,1.2578970727589116,2.1262367880263295,0.34999912364256036
agility,11,180,191,-0.6314186390211702,-2.0329953660012627,0.09646327849383965
contact,6,21,27,0.9220611317586354,1.9918829563464593,0.21428501386997623
way,5,16,21,1.0113069593911668,1.9738720639822696,0.2624992039128726
chargers,2,3,5,1.76770325526509,1.9364237070175876,0.8333317744039102
slips,2,3,5,1.76770325526509,1.9364237070175876,0.8333317744039102
versatility,2,3,5,1.76770325526509,1.9364237070175876,0.8333317744039102
cornerback,2,3,5,1.76770325526509,1.9364237070175876,0.8333317744039102
fakes,3,7,10,1.3263321790606444,1.9220402214307801,0.47618934064454777
surge,4,12,16,1.075383439791902,1.8626214356704205,0.3333323739933838
find,7,29,36,0.75351624097536,1.7893290297798243,0.1773392301803429
barrels,3,8,11,1.1927048702093197,1.7617441626109291,0.45833212966112746
need,4,13,17,0.9952446734826328,1.7406351129602922,0.32692207270299095
great,2,4,6,1.4799255451772426,1.7088726680935566,0.7499983811123908
him,1,44,45,-1.6157813189338635,-1.597757693908,1.0226884007747201
keep,4,15,19,0.8519516758908816,1.513960482575333,0.31666556846300414
yardage,4,15,19,0.8519516758908816,1.513960482575333,0.31666556846300414
