word,count_a,count_b,total_count,log_odds,z_score,variance
decision,2,3,5,-3.096055943252103,-3.3915651177460457,0.8333305033189036
bills,3,3,6,-2.6904246269746137,-3.295088928456833,0.6666645768090591
quick,7,3,10,-1.8424594140112696,-2.6699831299630747,0.47618841476965856
executing,3,2,5,-2.2824947896916488,-2.5003520130272228,0.8333305033189036
consistency,4,2,6,-1.994646219761223,-2.3032235764051237,0.7499970611409638
showcase,4,2,6,-1.994646219761223,-2.3032235764051237,0.7499970611409638
eagles,4,2,6,-1.994646219761223,-2.3032235764051237,0.7499970611409638
invaluable,6,2,8,-1.588847771222845,-1.9459382426372656,0.666663183580117
forward,6,2,8,-1.588847771222845,-1.9459382426372656,0.666663183580117
make,13,3,16,-1.222417299956395,-1.908505224315855,0.4102534754017234
placement,7,2,9,-1.4345303230629742,-1.7891789681638592,0.6428533283473788
rolling,7,2,9,-1.4345303230629742,-1.7891789681638592,0.6428533283473788
stands,7,2,9,-1.4345303230629742,-1.7891789681638592,0.6428533283473788
ready,8,2,10,-1.3008321153410618,-1.645442415666731,0.6249958366299349
asset,25,4,29,-0.8566324076037493,-1.5907344372370709,0.28999708639605126
splitting,9,2,11,-1.1828822240329027,-1.5131536250132716,0.6111065879473144
forcing,9,2,11,-1.1828822240329027,-1.5131536250132716,0.6111065879473144
sets,9,2,11,-1.1828822240329027,-1.5131536250132716,0.6111065879473144
adds,10,2,12,-1.077354815891379,-1.3908647546953223,0.599995109762443
skill,10,2,12,-1.077354815891379,-1.3908647546953223,0.599995109762443
air,29,4,33,-0.7075411857054918,-1.3265580647637798,0.2844794644008444
stakes,11,2,13,-0.9818777091368371,-1.2773179013103582,0.5909038285192687
crucial,62,7,69,-0.5092061587874319,-1.2770768140060202,0.15898393986202533
showcasing,69,2,71,0.864065161085243,1.2046714432013481,0.5144649104802298
standing,4,1,5,-1.2990425968562151,-1.1619028908471571,1.2499916732598697
gain,4,1,5,-1.2990425968562151,-1.1619028908471571,1.2499916732598697
showing,4,1,5,-1.2990425968562151,-1.1619028908471571,1.2499916732598697
tough,4,1,5,-1.2990425968562151,-1.1619028908471571,1.2499916732598697
phenomenal,4,1,5,-1.2990425968562151,-1.1619028908471571,1.2499916732598697
full,4,1,5,-1.2990425968562151,-1.1619028908471571,1.2499916732598697
perform,4,1,5,-1.2990425968562151,-1.1619028908471571,1.2499916732598697
poise,22,3,25,-0.6948176269585291,-1.1289516259368038,0.3787834440005803
role,22,3,25,-0.6948176269585291,-1.1289516259368038,0.3787834440005803
steady,13,2,15,-0.8144896729816828,-1.0723310744268117,0.5769170601313005
launches,24,3,27,-0.6074711295143862,-0.9920025170842531,0.3749952244003163
stopping,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
tenacity,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
counts,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
highlights,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
shows,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
eyes,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
fantastic,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
build,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
delivering,5,1,6,-1.0757331208037737,-0.9820094954240121,1.199990219524886
moment,14,2,16,-0.7402146781462893,-0.9792174590480566,0.5714221739640719
confidence,25,3,28,-0.5664815313041585,-0.9271291766826705,0.3733283868356523
spirals,15,2,17,-0.6710547535097193,-0.8914494508880837,0.5666598868879836
precision,55,2,57,0.6349340113874122,0.882057461627278,0.5181594542219224
powerful,26,3,29,-0.5270931855826948,-0.8644476399492861,0.3717897541260087
position,34,1,35,0.8460155709111525,0.8338642875854919,1.0293568613253017
immense,6,1,7,-0.893245585060015,-0.8269887133284899,1.1666553902289123
pivotal,6,1,7,-0.893245585060015,-0.8269887133284899,1.1666553902289123
breath,6,1,7,-0.893245585060015,-0.8269887133284899,1.1666553902289123
cleanly,6,1,7,-0.893245585060015,-0.8269887133284899,1.1666553902289123
speed,6,1,7,-0.893245585060015,-0.8269887133284899,1.1666553902289123
back,16,2,18,-0.6063491491757267,-0.8084706801604579,0.5624928366004744
display,27,3,30,-0.4891851962109266,-0.8038190397831727,0.37036508128999535
under,77,7,84,-0.28999727657641383,-0.7346025537063134,0.15584144672017844
giving,17,2,19,-0.5455574144358906,-0.7298036877423627,0.5588159813348028
through,53,5,58,-0.3261257841162095,-0.697104227287913,0.2188642558673286
leg,66,3,69,0.41119379643774767,0.6965657346281123,0.3484728073712332
cardinals,7,1,8,-0.7389288832576408,-0.6912085478306006,1.1428443479281438
precise,7,1,8,-0.7389288832576408,-0.6912085478306006,1.1428443479281438
start,7,1,8,-0.7389288832576408,-0.6912085478306006,1.1428443479281438
snapped,7,1,8,-0.7389288832576408,-0.6912085478306006,1.1428443479281438
great,7,1,8,-0.7389288832576408,-0.6912085478306006,1.1428443479281438
smooth,7,1,8,-0.7389288832576408,-0.6912085478306006,1.1428443479281438
perfectly,29,3,32,-0.41739082317238996,-0.688225656598829,0.3678104594368031
good,41,4,45,-0.359248537628881,-0.6858263987498191,0.27438579371412986
moments,18,2,20,-0.48823185819219983,-0.6550364513655698,0.5555476219349931
coverage,28,1,29,0.6508590624063793,0.6395529623181104,1.0356687752572107
pressure,93,8,101,-0.23451461591098433,-0.6365018666926836,0.13575019636733648
soaring,30,3,33,-0.38332152390258134,-0.6330396729860733,0.3666608621681513
goal,68,6,74,-0.25917975439971297,-0.6085821119994098,0.18136930212422728
return,19,2,21,-0.4339974652305614,-0.5838114564587891,0.5526232590645425
points,31,3,34,-0.3503639248137942,-0.5794619831151283,0.3655854212187053
once,8,1,9,-0.6052314312211085,-0.5706212990283419,1.1249856732009489
showed,8,1,9,-0.6052314312211085,-0.5706212990283419,1.1249856732009489
making,8,1,9,-0.6052314312211085,-0.5706212990283419,1.1249856732009489
solidifies,8,1,9,-0.6052314312211085,-0.5706212990283419,1.1249856732009489
