word,count_a,count_b,total_count,log_odds,z_score,variance
soft,51,16,67,0.8976331396733901,3.1326176503314906,0.08210752754077555
him,27,39,66,-0.6398762590510767,-2.555869787544049,0.06267791565077012
separation,31,42,73,-0.5758220241411234,-2.4318278779689257,0.05606745950197995
defense,36,13,49,0.7547971183669295,2.332683762032179,0.10470049489383512
create,31,41,72,-0.5514686102137718,-2.3170095289578057,0.0566481791471546
athleticism,12,21,33,-0.8300917921905029,-2.2938761898701263,0.1309520472211506
exactly,2,9,11,-1.7734402861227867,-2.2685983168171377,0.6111079430512992
find,37,14,51,0.7080293599825778,2.2564815094400803,0.09845527190333767
coverage,35,13,48,0.7264311966273462,2.236558677846021,0.10549415067385358
make,17,26,43,-0.6956615305001135,-2.2303622983676648,0.09728483469966595
vital,4,10,14,-1.185522029251179,-2.0039011640578406,0.34999888572134946
brees,10,1,11,2.036787222055146,1.9420111848309278,1.0999878034174628
remarkable,6,12,18,-0.9624990355315877,-1.9250007126763156,0.24999931386744162
off,38,44,82,-0.41788975265854233,-1.8870065772826796,0.049042953361507685
dynamic,3,8,11,-1.2497466564565034,-1.846001233540031,0.45833180287769276
zone,62,32,94,0.3978752558923002,1.8279083762394925,0.047378904636775306
speed,11,17,28,-0.7049708045053604,-1.8218534604495775,0.1497322599191101
breaks,4,9,13,-1.0799079980944546,-1.797078193218778,0.36111004294701654
quick,20,26,46,-0.5325594935267564,-1.7905703146660419,0.08846133750982615
towards,10,2,12,1.3433923159875762,1.7343169726852132,0.599996574837983
delivering,6,11,17,-0.8752339237338287,-1.724535808544311,0.25757508492630893
clean,6,11,17,-0.8752339237338287,-1.724535808544311,0.25757508492630893
powering,1,5,6,-1.877979371721235,-1.7143576673361214,1.199993149675966
lines,8,13,21,-0.7547261187522372,-1.679565465224305,0.2019225802887712
need,2,6,8,-1.3672158168547046,-1.6744936235765062,0.6666642270870043
cardinals,2,6,8,-1.3672158168547046,-1.6744936235765062,0.6666642270870043
shake,2,6,8,-1.3672158168547046,-1.6744936235765062,0.6666642270870043
running,52,27,79,0.39119968476370826,1.6491839034436149,0.05626765522685073
side,11,16,27,-0.6440920363008882,-1.644458401378145,0.15340873015769207
making,16,21,37,-0.5416331081096359,-1.6322041379538677,0.11011879684404757
spot,24,10,34,0.610119467092118,1.6209951522414099,0.14166622860934217
finding,15,5,20,0.8327800191849928,1.6126745233675615,0.2666656908348017
delivers,29,13,42,0.5372095118945444,1.6094977069667324,0.11140550788947283
highlights,32,15,47,0.49262546345436586,1.5743060574087713,0.09791638695809948
goff,7,1,8,1.679533265230999,1.571065671790673,1.1428481811765614
falcons,7,1,8,1.679533265230999,1.571065671790673,1.1428481811765614
key,18,7,25,0.6787059030973053,1.5236934493676628,0.19841205359717812
