word,count_a,count_b,total_count,log_odds,z_score,variance
thompson,3,2,5,3.1639782898548816,3.4659660241661547,0.8333326300442836
smith,4,8,12,2.065772114392315,3.3733933792341007,0.37499963483075055
after,10,52,62,1.1123689062757327,3.221477658707871,0.11923051880133514
effort,5,15,20,1.6606715813181587,3.2158787766980446,0.26666632043225846
chris,3,8,11,1.7774365458824066,2.6254493299244572,0.45833279031327934
gaines,2,3,5,2.3523539165314107,2.576875694013061,0.8333326300442836
colts,2,3,5,2.3523539165314107,2.576875694013061,0.8333326300442836
eye,2,3,5,2.3523539165314107,2.576875694013061,0.8333326300442836
carr,2,3,5,2.3523539165314107,2.576875694013061,0.8333326300442836
tackling,10,68,78,0.8434411127839949,2.490362161666944,0.11470557196220586
releases,5,24,29,1.190295577591602,2.421290330801915,0.24166619522017507
nelson,2,4,6,2.064630672983303,2.3840313104149846,0.7499992696615011
eric,2,4,6,2.064630672983303,2.3840313104149846,0.7499992696615011
snatching,3,10,13,1.5542104030271693,2.3610167605098287,0.4333327200657212
little,4,18,22,1.2544285092986769,2.269348646177873,0.3055549935260862
athleticism,3,175,178,-1.3148303495550575,-2.258105902734003,0.33903991323491967
anticipated,2,5,7,1.8414459228885267,2.200950092664487,0.6999992092870091
missed,2,5,7,1.8414459228885267,2.200950092664487,0.6999992092870091
statement,2,5,7,1.8414459228885267,2.200950092664487,0.6999992092870091
balance,2,5,7,1.8414459228885267,2.200950092664487,0.6999992092870091
most,2,5,7,1.8414459228885267,2.200950092664487,0.6999992092870091
tackle,5,28,33,1.0359793432484325,2.133824182282858,0.2357137551613998
commendable,3,12,15,1.3718062380844493,2.125194844788939,0.4166659769030875
catches,2,6,8,1.6590831526134222,2.031954901499724,0.666665801080646
preventing,2,6,8,1.6590831526134222,2.031954901499724,0.666665801080646
knocking,2,6,8,1.6590831526134222,2.031954901499724,0.666665801080646
raiders,2,6,8,1.6590831526134222,2.031954901499724,0.666665801080646
lined,5,30,35,0.9669036830246709,2.001683196591065,0.23333277286706372
line,8,60,68,0.7444809334506184,1.9779731305326993,0.1416662454516303
spectacular,7,50,57,0.793030630778639,1.9651113886921876,0.16285668086921531
deflections,8,62,70,0.7116081502662981,1.8942329995331744,0.14112859913514864
easily,2,7,9,1.5048912501687761,1.8769305380113135,0.6428561949081562
jets,2,7,9,1.5048912501687761,1.8769305380113135,0.6428561949081562
gets,2,7,9,1.5048912501687761,1.8769305380113135,0.6428561949081562
help,2,7,9,1.5048912501687761,1.8769305380113135,0.6428561949081562
become,4,23,27,1.0090992571062287,1.8627150310846359,0.29347758368527144
turn,8,63,71,0.6955663261120488,1.8532129203272,0.14087257678923365
explodes,2,8,10,1.3713186285727286,1.7345975413985557,0.6249989653546314
off,13,124,137,0.5046752767604232,1.7311515170383263,0.08498727382274537
away,5,170,175,-0.7735100205045633,-1.7047443547133336,0.2058796240197683
closing,7,56,63,0.679453189695681,1.694856712731707,0.16071377708691245
breaking,1,81,82,-1.6404886259584037,-1.6304806869267918,1.012313734993696
speed,6,185,191,-0.6757184001404548,-1.628970282802996,0.1720700033342995
jaguars,2,9,11,1.25349435913623,1.6034768465869844,0.6111099870521725
eyes,4,141,145,-0.8090596630952369,-1.5956553183393338,0.25708866581739825
anticipate,8,70,78,0.5899153818525749,1.5806553380173651,0.139285233366565
incomplete,4,28,32,0.8121821189974057,1.5194557262200907,0.28571349078962704
snap,16,172,188,0.3850771739321841,1.4733094794214032,0.06831366496485611
lightning,1,68,69,-1.4650120518319953,-1.4543765421119463,1.0146790007778579
next,1,68,69,-1.4650120518319953,-1.4543765421119463,1.0146790007778579
interceptions,10,99,109,0.4665415680240024,1.406033081208912,0.11010058120034343
man,2,85,87,-0.9950718676242198,-1.3909863853507451,0.5117562294000584
jones,3,20,23,0.8606500740503344,1.390077117075698,0.38333231551387387
momentum,3,20,23,0.8606500740503344,1.390077117075698,0.38333231551387387
stop,2,11,13,1.0527411850599266,1.3694991229372877,0.590907783142278
