word,count_a,count_b,total_count,log_odds,z_score,variance
make,18,33,51,1.1676661998469182,3.984988631434903,0.08585848964191882
tackle,29,84,113,0.7110477505177553,3.3014028258429398,0.04638744968249919
break,6,7,13,1.6171873457373183,2.9067890161335144,0.30952351442010534
anderson,5,6,11,1.5887474504777037,2.623731319003845,0.366666315437178
awareness,7,12,19,1.2323903944378412,2.5912623338360397,0.22619023136127175
offense,9,19,28,1.024435378986488,2.531651212603799,0.16374249067054025
justin,4,4,8,1.770855040789451,2.5043683954836355,0.49999952890231414
quickly,7,13,20,1.1522926014243318,2.4579255088189487,0.21977997174431013
drops,19,200,219,-0.589013767027847,-2.4535576853900385,0.05763129057882717
block,12,31,43,0.8228811284889295,2.4203303603772373,0.11559123609526488
ryan,3,2,5,2.176106055408771,2.383805964731375,0.833332482740387
keeping,3,2,5,2.176106055408771,2.383805964731375,0.833332482740387
see,3,2,5,2.176106055408771,2.383805964731375,0.833332482740387
quick,28,101,129,0.4903843304619482,2.2960525799041442,0.0456151923411749
engaging,6,11,17,1.164982030389508,2.2954454525420696,0.25757546892575645
bigger,11,29,40,0.8023467762545531,2.2658323150533706,0.12539167138857318
explosive,7,99,106,-0.8826282526762297,-2.256799431038587,0.15295712876015444
reed,3,3,6,1.7705861965280238,2.1685173851382,0.6666660385364188
faster,6,12,18,1.0779155825949873,2.155832434699519,0.24999970556404344
bringing,8,19,27,0.906327976083575,2.1504313546553613,0.17763134496869837
open,1,49,50,-2.1243985812672523,-2.103071582988876,1.0203845991031877
powering,10,27,37,0.7782813095121837,2.102412524628733,0.137036838820718
highlights,6,13,19,0.9978177977781684,2.0217246942045994,0.2435894419913319
freight,7,90,97,-0.7868198610761095,-2.0052154619527225,0.15396731575078731
train,7,90,97,-0.7868198610761095,-2.0052154619527225,0.15396731575078731
like,12,128,140,-0.6005297115589183,-1.9891484239679111,0.0911453712982854
getting,3,57,60,-1.1768261223924057,-1.9867200698099294,0.35087404365797986
while,2,48,50,-1.410264836323214,-1.9541313450432818,0.5208274344525863
tenacity,20,72,92,0.49136383058008715,1.943976066943163,0.06388877217602108
scrimmage,12,37,49,0.6456192496138522,1.9434360942533997,0.1103601831946515
ferocity,3,4,7,1.4828492524882746,1.9415063652453568,0.5833327608188178
misses,3,4,7,1.4828492524882746,1.9415063652453568,0.5833327608188178
jets,3,4,7,1.4828492524882746,1.9415063652453568,0.5833327608188178
lines,4,7,11,1.211074350642365,1.9322072924355687,0.39285671322095356
gap,4,7,11,1.211074350642365,1.9322072924355687,0.39285671322095356
stopping,4,7,11,1.211074350642365,1.9322072924355687,0.39285671322095356
disrupting,9,25,34,0.7496676846236587,1.9285056339581585,0.15111088773884723
avoid,2,47,49,-1.389156382558638,-1.9240636452402013,0.5212708144093131
sheds,6,14,20,0.9236547428483792,1.892930166413501,0.2380949283032605
disengage,17,60,77,0.510853748740681,1.8593095415167515,0.07549006048494497
high,1,36,37,-1.8153849008863672,-1.7906998318834828,1.027760334001245
snapped,36,153,189,0.326110481160228,1.7604807464368448,0.03431365298499717
smith,4,8,12,1.0774879508799078,1.7595314919075136,0.37499955834606513
against,13,44,57,0.5523285156652964,1.7496791984411397,0.09965017688945993
running,24,95,119,0.3965045851450206,1.7355718096381823,0.05219287891709695
dives,3,5,8,1.2596507794349971,1.724848787104102,0.5333327638286784
lined,3,5,8,1.2596507794349971,1.724848787104102,0.5333327638286784
tries,3,5,8,1.2596507794349971,1.724848787104102,0.5333327638286784
driving,9,28,37,0.6361735252304106,1.6602571193043385,0.14682515939990715
level,2,39,41,-1.2021301811971856,-1.6580929544225738,0.5256361842329378
massive,2,39,41,-1.2021301811971856,-1.6580929544225738,0.5256361842329378
receiver,3,47,50,-0.9833710889842608,-1.6513669909676694,0.3546073012235832
dominant,8,24,32,0.6724374547123357,1.6471299412457188,0.16666640494594379
scanning,8,86,94,-0.6072810648388742,-1.6429378744386673,0.13662720906774334
man,4,9,13,0.9596498975651819,1.5969549730052859,0.3611106527361764
today,1,29,30,-1.598778450099636,-1.57191706050954,1.0344686090716155
wraps,36,159,195,0.2873105984236384,1.556627248914653,0.034067011437518564
receives,5,13,18,0.815172280631848,1.5490667583595557,0.27692268755689936
before,5,13,18,0.815172280631848,1.5490667583595557,0.27692268755689936
solid,7,21,28,0.6722786563417875,1.5403851248473226,0.19047589136679288
forces,3,6,9,1.077274274305421,1.5234967862630917,0.4999994111280869
free,3,6,9,1.077274274305421,1.5234967862630917,0.4999994111280869
eyes,3,6,9,1.077274274305421,1.5234967862630917,0.4999994111280869
gain,3,6,9,1.077274274305421,1.5234967862630917,0.4999994111280869
charging,1,27,28,-1.527209987496474,-1.4996999872018124,1.0370238283691025
size,2,3,5,1.3647975952808888,1.4950616217418147,0.833332482740387
staying,2,3,5,1.3647975952808888,1.4950616217418147,0.833332482740387
mike,2,3,5,1.3647975952808888,1.4950616217418147,0.833332482740387
phillips,2,3,5,1.3647975952808888,1.4950616217418147,0.833332482740387
broncos,2,3,5,1.3647975952808888,1.4950616217418147,0.833332482740387
opponents,2,3,5,1.3647975952808888,1.4950616217418147,0.833332482740387
love,2,3,5,1.3647975952808888,1.4950616217418147,0.833332482740387
maintaining,7,74,81,-0.5901901900065578,-1.492503808549708,0.15636987065245575
quarterback,59,424,483,-0.20678912862763843,-1.4882086391238225,0.019307576476586985
quickness,13,117,130,-0.42969591243789207,-1.469789313205377,0.08546971861475189
athleticism,1,26,27,-1.4894149148466012,-1.4615818930262023,1.0384488001577825
timing,4,10,14,0.8542343559715935,1.4439205872991958,0.3499995218361215
potential,9,31,40,0.5342253258728613,1.4109023625238948,0.14336892337802437
even,38,174,212,0.2510471954519211,1.4020204773300002,0.03206284344791315
edge,2,32,34,-1.0039193847912227,-1.377371243972479,0.5312459800560441
future,2,32,34,-1.0039193847912227,-1.377371243972479,0.5312459800560441
comes,7,70,77,-0.5343991885833725,-1.3480919044402302,0.15714210944666562
trenches,7,23,30,0.5811966209635244,1.3464051327591748,0.18633508858354036
crucial,7,23,30,0.5811966209635244,1.3464051327591748,0.18633508858354036
next,1,23,24,-1.3666483773955207,-1.337880871765974,1.0434669332692221
carrier,1,23,24,-1.3666483773955207,-1.337880871765974,1.0434669332692221
got,3,7,10,0.9230686296405999,1.3376543977000197,0.476189856606521
blocks,12,46,58,0.4273987891699118,1.3185276707582247,0.10507226110780016
defensive,24,105,129,0.29586691985702185,1.3076824542794305,0.05119036517222597
capitalize,5,15,20,0.6719612928981897,1.3012484700368185,0.26666624791351
momentum,4,11,15,0.7588691433813191,1.2997143723617373,0.3409085908548174
run,4,11,15,0.7588691433813191,1.2997143723617373,0.3409085908548174
wrap,4,11,15,0.7588691433813191,1.2997143723617373,0.3409085908548174
tackling,4,11,15,0.7588691433813191,1.2997143723617373,0.3409085908548174
opposing,4,45,49,-0.6517714545146305,-1.2492078605264494,0.2722207680931201
hands,1,21,22,-1.2755671378992357,-1.246246013698163,1.0476086600661256
showcases,1,21,22,-1.2755671378992357,-1.246246013698163,1.0476086600661256
situations,2,4,6,1.0770606904991684,1.243683291556893,0.7499991166921303
