word,count_a,count_b,total_count,log_odds,z_score,variance
determination,11,9,20,1.4856966682418555,3.3054684262273124,0.20201995617876944
speed,30,198,228,-0.6113026946506412,-3.1202039589376813,0.03838368382553091
coverage,17,24,41,0.9406967408775975,2.9674818211195877,0.10049006901408411
explosive,8,83,91,-1.0608501145692593,-2.865620842548348,0.13704733687867093
kyle,5,1,6,2.8934189462705406,2.6413221377700933,1.1999962784169156
want,19,32,51,0.7641819819662468,2.6385406547609223,0.08388146498622318
high,6,5,11,1.4662755906585287,2.42147591076646,0.3666662220107091
effort,6,5,11,1.4662755906585287,2.42147591076646,0.3666662220107091
pressure,16,28,44,0.72534042748625,2.314487573110826,0.09821414973461463
linebacker,24,49,73,0.5717954522667981,2.295002989347905,0.062074736212253984
develop,4,2,6,1.976778930453932,2.282589396947637,0.7499988817337743
crashing,6,6,12,1.283878041925436,2.2237433255976127,0.3333329357273982
strong,6,6,12,1.283878041925436,2.2237433255976127,0.3333329357273982
overall,19,37,56,0.6186182797738189,2.191829241878934,0.07965848906015034
presence,1,32,33,-2.185197257642172,-2.1518540621471343,1.0312302996498683
refine,10,73,83,-0.7080101030637946,-2.0997268511447733,0.11369812583029124
solid,17,33,50,0.6215563407115621,2.081983329485979,0.08912642914658489
quicker,11,18,29,0.7918640260613987,2.0691143891198274,0.14646445014143333
nick,4,3,7,1.5712381758515903,2.0572349568320973,0.5833326085309007
disciplined,4,3,7,1.5712381758515903,2.0572349568320973,0.5833326085309007
tackles,3,37,40,-1.2316108835660842,-2.051665802125427,0.3603576922459149
scrimmage,15,29,44,0.6253584842685047,1.9662903775944909,0.10114927745301841
exploding,2,28,30,-1.3579491929918683,-1.85531958828067,0.5357097898604143
staying,3,2,5,1.6888222665557366,1.8500132973308054,0.833332256484082
feels,3,2,5,1.6888222665557366,1.8500132973308054,0.833332256484082
find,3,2,5,1.6888222665557366,1.8500132973308054,0.833332256484082
weaver,3,2,5,1.6888222665557366,1.8500132973308054,0.833332256484082
hawk,3,2,5,1.6888222665557366,1.8500132973308054,0.833332256484082
both,3,2,5,1.6888222665557366,1.8500132973308054,0.833332256484082
timed,3,2,5,1.6888222665557366,1.8500132973308054,0.833332256484082
jaguars,3,2,5,1.6888222665557366,1.8500132973308054,0.833332256484082
