word,count_a,count_b,total_count,log_odds,z_score,variance
frame,6,21,27,-1.3433214110569187,-2.9019084181925705,0.2142853443372854
end,35,56,91,-0.5613795375199429,-2.605338386080978,0.04642852431827325
deliver,5,17,22,-1.3140387679478174,-2.5828944948005725,0.25882309338351006
protecting,6,17,23,-1.1316301335312007,-2.383092977701665,0.22548986842771174
anchors,6,17,23,-1.1316301335312007,-2.383092977701665,0.22548986842771174
creating,119,78,197,0.3363090044300767,2.308481403486239,0.02122385305441023
quickness,35,16,51,0.6952136160341995,2.3037081391372363,0.091071318734195
progresses,3,12,15,-1.4762541640444296,-2.2870053331341778,0.41666585910123727
murray,1,10,11,-2.392525650564669,-2.2811889551628366,1.0999949334436498
block,70,41,111,0.44805512352982646,2.2783011738012293,0.038675917744388694
future,15,28,43,-0.7145967607703811,-2.2333238227507657,0.10238084021488086
tackle,102,66,168,0.34886687920309445,2.208398127206179,0.024955411767993867
williams,2,10,12,-1.699293463438388,-2.1937810292298487,0.5999985771653932
ben,2,10,12,-1.699293463438388,-2.1937810292298487,0.5999985771653932
ensuring,9,19,28,-0.8373201515261144,-2.069239875126758,0.16374249704461752
initial,37,19,56,0.5788216902727852,2.050825410320831,0.07965851657719204
maintaining,64,39,103,0.4081180618172775,2.009045240564447,0.04126598329106644
against,106,126,232,-0.26472130968242524,-2.008553094982276,0.017370454120242407
rush,46,62,108,-0.3894811071379136,-2.001471847077426,0.03786812660412303
drops,58,75,133,-0.34822972835961075,-1.9915208460125582,0.03057468383090439
rusher,19,31,50,-0.5799281937695913,-1.9904308322945223,0.08488955657318054
getting,19,31,50,-0.5799281937695913,-1.9904308322945223,0.08488955657318054
wilson,5,13,18,-1.0453928151765925,-1.9865533476777635,0.27692270000423963
sustaining,20,8,28,0.8281963986876857,1.979769368849414,0.1749997685610831
agility,20,32,52,-0.5603918918461881,-1.965985808220128,0.08124991755697819
roethlisberger,3,10,13,-1.2937418210168463,-1.9653365376973053,0.43333261532826545
power,12,22,34,-0.6962664395923674,-1.9401629323128482,0.128787739076692
massive,6,14,20,-0.9371875886854344,-1.9206642255146507,0.2380949382067572
technique,114,79,193,0.280107720091217,1.9134301240111864,0.02143013679743068
long,13,4,17,1.0903301942659418,1.906933738147225,0.32692254651009045
pushing,4,11,15,-1.1013784277686272,-1.886329614140661,0.34090860684065705
elite,2,8,10,-1.4759593144199572,-1.8669590761538732,0.6249987886518559
moving,16,6,22,0.8925760389455579,1.8645318286212396,0.2291663487865429
improve,42,56,98,-0.3784448510821683,-1.8539944425897494,0.04166662708007806
hand,33,46,79,-0.42272580945803284,-1.8530251493869279,0.052042110629228845
time,56,71,127,-0.32830384150595915,-1.8369506772676252,0.03194161994189887
rodgers,9,2,11,1.4155933332797535,1.8108350261650943,0.6111097950788711
strike,17,27,44,-0.5527955498551176,-1.7854379531371882,0.0958604694925981
determination,17,7,24,0.7990420377285927,1.7792532563179895,0.20168041103209536
running,65,42,107,0.3493146711013715,1.7644383076843815,0.03919409998265129
placement,32,44,76,-0.40894155212945993,-1.7601755353895983,0.05397722097844153
drives,37,21,58,0.47854706338411734,1.7515454004714268,0.07464599534756614
matt,7,1,8,1.857345615228537,1.7373905649452346,1.1428534201117786
guard,15,6,21,0.8279501659561763,1.71402081653801,0.2333330247481108
quick,37,49,86,-0.3714317273712897,-1.7054102951525651,0.04743514530971272
prevent,15,24,39,-0.5600634684969856,-1.7015958311276551,0.10833322340930424
evident,4,10,14,-1.0059728265922363,-1.7004055534718292,0.3499995371221662
overall,82,56,138,0.29411600844363583,1.6966031636619074,0.030052235380902157
stunts,2,7,9,-1.3423326415191283,-1.6741843930609652,0.6428560330118562
footwork,133,148,281,-0.19848704031047149,-1.6612533637525082,0.01427554065444624
showing,25,13,38,0.5657921562740347,1.6546534399967407,0.11692294665505014
pass,86,100,186,-0.24195366427804732,-1.645224459437548,0.02162788702568232
focus,8,2,10,1.2977231525372384,1.64150596448965,0.6249987886518559
before,22,11,33,0.604941455149028,1.6381901385742133,0.13636348089634745
strong,40,24,64,0.42295313188222217,1.6380912826414287,0.06666659775434142
opening,5,11,16,-0.8781478134950422,-1.628130606956909,0.2909087387427359
space,45,28,73,0.3866409811210261,1.6063195588498071,0.05793644903396769
fierce,27,37,64,-0.4053358164065628,-1.6014299475979807,0.06406400270834736
through,63,42,105,0.317886535365,1.595778531059413,0.039682500472968354
passer,11,4,15,0.9231015381187335,1.580994982569207,0.34090860684065705
difference,6,1,7,1.703108031793323,1.576773865041488,1.1666633857372635
aaron,6,1,7,1.703108031793323,1.576773865041488,1.1666633857372635
got,1,5,6,-1.6989031728714403,-1.5508811568718854,1.1999971543307864
blind,1,5,6,-1.6989031728714403,-1.5508811568718854,1.1999971543307864
longer,35,21,56,0.4228020778998225,1.5317468416514943,0.07619039743353306
punch,24,13,37,0.5248826985905657,1.5241893720796373,0.1185896144531634
