word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,2,4,6,-1.9620484737067159,-2.2655817043841444,0.7499978313738784
agility,2,4,6,-1.9620484737067159,-2.2655817043841444,0.7499978313738784
evades,2,4,6,-1.9620484737067159,-2.2655817043841444,0.7499978313738784
fires,50,5,55,1.040285907574197,2.2179099614513333,0.21999743005785038
unleashes,8,7,15,-1.1360653980392188,-2.1950894536862924,0.2678565177169832
even,30,16,46,-0.6424846568687181,-2.075415560165464,0.09583306639148395
refine,5,5,10,-1.2689856541519546,-2.0064448132579336,0.3999990747187724
extend,12,8,20,-0.8640669142287223,-1.8930781324671249,0.20833281125639885
missed,2,3,5,-1.6738398875423446,-1.8336020255943237,0.8333312450255954
threat,2,3,5,-1.6738398875423446,-1.8336020255943237,0.8333312450255954
incredible,4,4,8,-1.268606425477386,-1.7940824872635301,0.4999988433984654
stride,22,1,23,1.8266650459301275,1.78653643428285,1.0454278893028264
bit,26,2,28,1.3006507247118604,1.7725015665850479,0.5384533944565404
solid,59,9,68,0.6172496703852168,1.7248659762882597,0.12805927009180568
gain,72,12,84,0.5290551711399694,1.6967573558814333,0.09722152880064877
shotgun,20,1,21,1.731059788076183,1.6893609611687963,1.0499756511798681
pass,29,14,43,-0.5419429846713983,-1.6652637538947486,0.10591101716874331
focus,9,6,15,-0.8634557940477698,-1.6382942335949282,0.27777708167519843
opportunities,7,5,12,-0.9322174760388418,-1.5920663766321617,0.3428563044392141
deeper,18,1,19,1.6254042839614566,1.5820688761380732,1.0555335127330032
downfield,22,11,33,-0.5764863893144003,-1.5611347791934411,0.1363632420679779
become,5,4,9,-1.0453150603515553,-1.5582655359174693,0.44999893303517613
reliable,5,4,9,-1.0453150603515553,-1.5582655359174693,0.44999893303517613
free,3,3,6,-1.268227452979536,-1.5532568652950174,0.6666651245312872
evading,3,3,6,-1.268227452979536,-1.5532568652950174,0.6666651245312872
playmaker,3,3,6,-1.268227452979536,-1.5532568652950174,0.6666651245312872
crucial,17,9,26,-0.6333297695268048,-1.5363478295468689,0.16993416521427002
big,22,2,24,1.1330039110191255,1.5341043871024664,0.5454475485733982
showing,26,3,29,0.8946636660673324,1.4672709130177852,0.3717910953831791
showcasing,63,25,88,-0.34669808531584323,-1.466733187426042,0.05587282737981365
delivering,8,5,13,-0.7985380176814179,-1.4007301466049151,0.32499916363283077
spots,13,7,20,-0.6498164655170475,-1.3861078133545908,0.21977961082243447
laser,24,11,35,-0.48917778588523486,-1.343492762977264,0.13257535274240081
passing,6,4,10,-0.8628455906326433,-1.336716316033557,0.4166656225127977
breaking,6,4,10,-0.8628455906326433,-1.336716316033557,0.4166656225127977
perfectly,19,2,21,0.9859561267895742,1.3263011720056321,0.5526254395674081
defenders,19,2,21,0.9859561267895742,1.3263011720056321,0.5526254395674081
move,4,3,7,-0.9803977429293367,-1.2836435088507774,0.5833319277413911
feet,4,3,7,-0.9803977429293367,-1.2836435088507774,0.5833319277413911
smith,4,3,7,-0.9803977429293367,-1.2836435088507774,0.5833319277413911
overall,23,3,26,0.7716161909969603,1.257017030242221,0.3768081960890825
launching,9,5,14,-0.6806068713175302,-1.2202228686740748,0.31111026350831017
rush,27,4,31,0.644345711446678,1.2026844771910634,0.28703474695308834
bounds,17,8,25,-0.5150183963858241,-1.2012208007833374,0.18382297756278101
begins,12,1,13,1.2190547533549623,1.1712381065562631,1.0833181932891491
surveys,12,1,13,1.2190547533549623,1.1712381065562631,1.0833181932891491
hesitated,12,1,13,1.2190547533549623,1.1712381065562631,1.0833181932891491
still,31,5,36,0.55942108830412,1.1607936673039299,0.23225635569246925
taking,7,4,11,-0.7085469318063007,-1.1304513527759328,0.3928560880489064
tight,26,4,30,0.6064568592642052,1.1291655661191935,0.28845931851893564
deep,44,17,61,-0.31856220483621467,-1.1155290310332129,0.08155052156998549
showcases,21,3,24,0.6803477575364614,1.1022939035800117,0.38094923375866196
erupts,30,5,35,0.5264825944372147,1.0899264049106896,0.23333166912155703
