word,count_a,count_b,total_count,log_odds,z_score,variance
today,7,4,11,-2.1106571307693818,-3.36744960224764,0.39285579992312364
stands,6,3,9,-1.9750086342281463,-2.793089137473207,0.49999815933584124
counts,8,3,11,-1.6870123265881647,-2.491887931483673,0.4583312804835688
performance,9,3,12,-1.5690721053459473,-2.3536139343009697,0.44444226291987204
need,4,2,6,-1.9730538355591722,-2.278290519742986,0.7499972390037618
opponents,4,2,6,-1.9730538355591722,-2.278290519742986,0.7499972390037618
directional,10,3,13,-1.4635543669447397,-2.2233046324631314,0.4333310149192873
confidently,5,2,7,-1.749753529437795,-2.091359943079191,0.6999970107636525
most,5,2,7,-1.749753529437795,-2.091359943079191,0.6999970107636525
poise,19,4,23,-1.110239051202293,-2.0181849502867926,0.3026293683751015
consistently,6,2,8,-1.5672751438968628,-1.9195169054604369,0.666663394379808
shows,6,2,8,-1.5672751438968628,-1.9195169054604369,0.666663394379808
power,6,2,8,-1.5672751438968628,-1.9195169054604369,0.666663394379808
executed,6,2,8,-1.5672751438968628,-1.9195169054604369,0.666663394379808
pin,13,3,16,-1.2007182395412244,-1.8746270501136768,0.4102536530215396
him,14,3,17,-1.1264529202078934,-1.7705768860857332,0.4047589956061601
solidify,8,2,10,-1.2792792657270065,-1.6181795607351697,0.6249960886006394
onto,8,2,10,-1.2792792657270065,-1.6181795607351697,0.6249960886006394
kicking,8,2,10,-1.2792792657270065,-1.6181795607351697,0.6249960886006394
flip,17,3,20,-0.931824697508639,-1.4880111161156424,0.39215348856686294
beautifully,9,2,11,-1.161339269445322,-1.4855953501879624,0.6111068616928328
solid,59,1,60,1.4222239688692255,1.4103835841907533,1.0168607827356655
through,47,6,53,-0.610132519388773,-1.407386360982928,0.18794105920741624
like,10,2,12,-1.055821760094716,-1.363065249729126,0.599995405723336
strides,10,2,12,-1.055821760094716,-1.363065249729126,0.599995405723336
while,29,4,33,-0.6858047442883501,-1.285804295186711,0.2844796637688569
showing,11,2,13,-0.9603545557533932,-1.2493182436859829,0.5909041470028584
opponent,11,2,13,-0.9603545557533932,-1.2493182436859829,0.5909041470028584
making,11,2,13,-0.9603545557533932,-1.2493182436859829,0.5909041470028584
comes,21,3,24,-0.7198856187539597,-1.1663541407874343,0.3809483740948783
toward,12,2,14,-0.8731861248620953,-1.1432741944980669,0.5833280363432312
enough,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
demeanor,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
quicker,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
lined,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
trademark,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
league,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
tighter,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
straight,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
refining,4,1,5,-1.277645009715684,-1.1427640129857979,1.2499921772012788
sky,13,2,15,-0.7929863349441062,-1.044020137274998,0.5769174242712863
returner,60,2,62,0.7438206896607147,1.0348386379829313,0.5166438180218805
poised,5,1,6,-1.0543453662203008,-0.9624849190752303,1.199990811446672
titans,5,1,6,-1.0543453662203008,-0.9624849190752303,1.199990811446672
setting,5,1,6,-1.0543453662203008,-0.9624849190752303,1.199990811446672
room,5,1,6,-1.0543453662203008,-0.9624849190752303,1.199990811446672
got,5,1,6,-1.0543453662203008,-0.9624849190752303,1.199990811446672
cardinals,5,1,6,-1.0543453662203008,-0.9624849190752303,1.199990811446672
back,24,3,27,-0.5858814642143075,-0.9567461480919861,0.3749955134219344
season,14,2,16,-0.7187212529308136,-0.9507838488017004,0.5714225611423176
takes,37,1,38,0.9521448525405143,0.9395587186194589,1.0269710328712023
special,37,1,38,0.9521448525405143,0.9395587186194589,1.0269710328712023
moments,15,2,17,-0.6495712445006943,-0.8629097946882311,0.5666602972037971
good,48,5,53,-0.40431580867894734,-0.8603823874095068,0.2208301777298221
leg,71,3,74,0.5061809934091421,0.8587907472248779,0.3474057116711468
punting,6,1,7,-0.8718676678459518,-0.8071962761367938,1.1666560726864623
unit,6,1,7,-0.8718676678459518,-0.8071962761367938,1.1666560726864623
role,6,1,7,-0.8718676678459518,-0.8071962761367938,1.1666560726864623
sailing,6,1,7,-0.8718676678459518,-0.8071962761367938,1.1666560726864623
flawlessly,6,1,7,-0.8718676678459518,-0.8071962761367938,1.1666560726864623
stakes,6,1,7,-0.8718676678459518,-0.8071962761367938,1.1666560726864623
however,86,4,90,0.41028675694583683,0.8021440295263036,0.2616196063106283
attempt,50,5,55,-0.36317690533737856,-0.7743015216946938,0.21999672807490864
clean,50,5,55,-0.36317690533737856,-0.7743015216946938,0.21999672807490864
impressive,50,5,55,-0.36317690533737856,-0.7743015216946938,0.21999672807490864
strength,31,1,32,0.7742727376243153,0.7620961158957649,1.0322108965131993
high,51,5,56,-0.3432157856370619,-0.7323971132288633,0.2196045130044269
reliable,17,2,19,-0.5240937479010501,-0.7010910006640875,0.5588164381477547
soars,17,2,19,-0.5240937479010501,-0.7010910006640875,0.5588164381477547
territory,17,2,19,-0.5240937479010501,-0.7010910006640875,0.5588164381477547
consistency,52,5,57,-0.3236391820454134,-0.6912158643260303,0.21922738086149507
situations,7,1,8,-0.7175608075493427,-0.6712202039632698,1.1428451222846352
swing,7,1,8,-0.7175608075493427,-0.6712202039632698,1.1428451222846352
follow,7,1,8,-0.7175608075493427,-0.6712202039632698,1.1428451222846352
breath,7,1,8,-0.7175608075493427,-0.6712202039632698,1.1428451222846352
spirals,7,1,8,-0.7175608075493427,-0.6712202039632698,1.1428451222846352
erupts,28,1,29,0.6720196796180042,0.6603451195074083,1.0356715294907715
giving,18,2,20,-0.46677811789284185,-0.6262527622079803,0.5555481020808563
focus,27,1,28,0.635495297886667,0.624056416623142,1.0369957511376129
goal,54,5,59,-0.285581742594875,-0.6109276741670854,0.21851501359706793
sails,26,1,27,0.5975982575234813,0.5864384540699417,1.038421722724047
right,19,2,21,-0.41255365448366366,-0.5549650849616529,0.5526237625867763
great,19,2,21,-0.41255365448366366,-0.5549650849616529,0.5526237625867763
hold,19,2,21,-0.41255365448366366,-0.5549650849616529,0.5526237625867763
showcases,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
control,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
calm,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
positioning,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
maintain,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
moment,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
opportunity,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
moving,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
progresses,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
unleash,8,1,9,-0.5838732008177203,-0.5504842259321944,1.124986540265803
crowd,42,2,44,0.3843005734767253,0.5309957772358054,0.5237932896953584
lines,24,1,25,0.5172422006728938,0.5068007567259003,1.0416297906802001
want,41,2,43,0.3600451966496312,0.49720591927099067,0.5243743769614244
air,32,3,35,-0.2969375684340436,-0.4917792303007939,0.36457755656744767
launches,20,2,22,-0.36110309213064173,-0.4869149309061132,0.5499918201872716
coverage,57,3,60,0.2843314369282366,0.48001344499986776,0.35086734916339235
position,23,1,24,0.47452594948716253,0.4645426918508203,1.043442854419265
precision,40,2,42,0.33519478403664227,0.46261958138545717,0.5249845001836622
ready,9,1,10,-0.465933920330337,-0.442026693393833,1.1110962041617125
tight,9,1,10,-0.465933920330337,-0.442026693393833,1.1110962041617125
delivering,9,1,10,-0.465933920330337,-0.442026693393833,1.1110962041617125
uprights,39,2,41,0.3097192012537615,0.4271985354329096,0.5256258928969515
deep,39,2,41,0.3097192012537615,0.4271985354329096,0.5256258928969515
attempts,21,2,23,-0.3121556342842995,-0.42182789256268627,0.547610503874767
clutch,22,1,23,0.4299175753905544,0.4204745081988823,1.0454206082705635
distance,22,1,23,0.4299175753905544,0.4204745081988823,1.0454206082705635
teams,38,2,40,0.28358596527523794,0.3909017604665412,0.5263010237450885
powerful,21,1,22,0.38324097349778974,0.3744354607200049,1.0475865793907169
inside,21,1,22,0.38324097349778974,0.3744354607200049,1.0475865793907169
ensure,21,1,22,0.38324097349778974,0.3744354607200049,1.0475865793907169
soaring,22,2,24,-0.2654782993538136,-0.35946225188029884,0.5454456373693203
cleanly,10,1,11,-0.3604171308627784,-0.3436468062345024,1.099983640374543
lead,10,1,11,-0.3604171308627784,-0.3436468062345024,1.099983640374543
himself,10,1,11,-0.3604171308627784,-0.3436468062345024,1.099983640374543
impact,10,1,11,-0.3604171308627784,-0.3436468062345024,1.099983640374543
snap,99,6,105,0.14311359250094213,0.34039623821778003,0.17676336620268834
landing,23,2,25,-0.2208691919439536,-0.29960410449442,0.5434689880910882
technique,23,2,25,-0.2208691919439536,-0.29960410449442,0.5434689880910882
perfect,19,1,20,0.28284441837223007,0.2756865049487511,1.052602047490177
own,19,1,20,0.28284441837223007,0.2756865049487511,1.052602047490177
opposing,19,1,20,0.28284441837223007,0.2756865049487511,1.052602047490177
strong,19,1,20,0.28284441837223007,0.2756865049487511,1.052602047490177
display,19,1,20,0.28284441837223007,0.2756865049487511,1.052602047490177
where,11,1,12,-0.26495064937769275,-0.25367300536932735,1.0908912747386406
refine,11,1,12,-0.26495064937769275,-0.25367300536932735,1.0908912747386406
drives,11,1,12,-0.26495064937769275,-0.25367300536932735,1.0908912747386406
line,91,7,98,-0.0988625152918301,-0.252053374081958,0.15384319140605585
hang,37,3,40,-0.15096609445141151,-0.25148661951301393,0.36035377285403464
snapped,37,3,40,-0.15096609445141151,-0.25148661951301393,0.36035377285403464
under,64,5,69,-0.11409562765540571,-0.24571041386543224,0.2156209110740811
kick,105,8,113,-0.08934945954788098,-0.24361081927642142,0.13452119453677763
games,18,1,19,0.22862068688729664,0.2225259944999977,1.0555274917795092
distances,18,1,19,0.22862068688729664,0.2225259944999977,1.0555274917795092
longer,38,3,41,-0.1241398786610759,-0.20700264241826918,0.3596423729068776
punt,52,4,56,-0.0982190333244537,-0.18929427999156065,0.2692255849605977
forward,12,1,13,-0.17778294357211966,-0.1708098467945416,1.0833140577792475
before,12,1,13,-0.17778294357211966,-0.1708098467945416,1.0833140577792475
key,12,1,13,-0.17778294357211966,-0.1708098467945416,1.0833140577792475
lands,12,1,13,-0.17778294357211966,-0.1708098467945416,1.0833140577792475
speed,17,1,18,0.17130578829841525,0.16648139275630053,1.058796932730053
might,17,1,18,0.17130578829841525,0.16648139275630053,1.058796932730053
approaches,17,1,18,0.17130578829841525,0.16648139275630053,1.058796932730053
crucial,39,3,42,-0.09800639827280921,-0.16357875418123183,0.3589674466141302
work,68,5,73,-0.05283546421087859,-0.11402706031494532,0.21470155938961263
downfield,52,0,52,10.774445947703011,0.09428214045257684,13059.634615356297
foot,13,1,14,-0.09758388045446775,-0.0940350854828256,1.0769023398423907
taking,13,1,14,-0.09758388045446775,-0.0940350854828256,1.0769023398423907
