word,count_a,count_b,total_count,log_odds,z_score,variance
agility,19,36,55,-0.915213392301867,-3.227525065457796,0.08040915264729155
break,18,4,22,1.2355386555665806,2.2351790569614485,0.3055540438811452
allen,1,7,8,-2.218309524672258,-2.075046318884269,1.1428485905281116
delivers,18,5,23,1.0121537110171008,2.0021872464151245,0.2555545173333182
speed,12,18,30,-0.6785084825062739,-1.8206313745999363,0.13888857361888512
sideline,36,16,52,0.5428222010634602,1.8066240386124095,0.09027752293471392
quick,32,14,46,0.5583131843515412,1.7423628167210927,0.10267827848475058
clean,37,17,54,0.5095394697861932,1.7390291960573527,0.08585031935615245
lined,12,3,15,1.1168873996262416,1.7302783714342018,0.416664811428881
needle,1,5,6,-1.8813544782324287,-1.7174384888280585,1.1999934625856654
marker,1,5,6,-1.8813544782324287,-1.7174384888280585,1.1999934625856654
precision,21,8,29,0.6961303731371586,1.6755095548473282,0.17261850400163414
blocking,9,14,23,-0.7144588476093103,-1.6722417938857344,0.1825392621137068
display,22,27,49,-0.4781768034311389,-1.6648846589280124,0.08249140600685867
after,72,40,112,0.3205436048692576,1.6254547545666558,0.03888879291749264
highlights,3,7,10,-1.1193329443498872,-1.622069886873551,0.47618909830827805
enhance,3,7,10,-1.1193329443498872,-1.622069886873551,0.47618909830827805
keeping,9,2,11,1.2343570674450612,1.5789987720010055,0.6111080877622904
slipping,9,2,11,1.2343570674450612,1.5789987720010055,0.6111080877622904
wrist,7,1,8,1.6760594455376507,1.5678159174869657,1.1428485905281116
flick,7,1,8,1.6760594455376507,1.5678159174869657,1.1428485905281116
lines,5,9,14,-0.8599380243236148,-1.5417356957656456,0.31111034333994114
free,23,27,50,-0.4335396932240201,-1.5278830914625658,0.0805151270268582
catch,144,90,234,0.20402776577212833,1.518393556315037,0.018055513467013694
off,59,59,118,-0.2743281762610188,-1.4899849416458508,0.03389823405649211
over,8,12,20,-0.6777904591522637,-1.4849661803539267,0.20833286042832772
under,8,12,20,-0.6777904591522637,-1.4849661803539267,0.20833286042832772
catches,8,12,20,-0.6777904591522637,-1.4849661803539267,0.20833286042832772
open,8,12,20,-0.6777904591522637,-1.4849661803539267,0.20833286042832772
wants,1,4,5,-1.6579696326288564,-1.4829364227186876,1.2499944342866431
rounded,1,4,5,-1.6579696326288564,-1.4829364227186876,1.2499944342866431
bit,15,19,34,-0.5091203452027324,-1.4740217495319186,0.11929798862775831
traffic,14,18,32,-0.5239879111400345,-1.4704390181594909,0.12698385246326443
make,14,18,32,-0.5239879111400345,-1.4704390181594909,0.12698385246326443
turns,12,16,28,-0.5602394467456557,-1.467052842173873,0.14583301503184712
powers,12,4,16,0.82896412654903,1.4358104919173447,0.33333216926129017
showcases,2,5,7,-1.188025403389469,-1.4199641078373264,0.6999978732392118
