word,count_a,count_b,total_count,log_odds,z_score,variance
reliable,19,40,59,1.0107527317587701,3.6276555299872917,0.0776314620055884
soft,8,9,17,1.6351746087289056,3.3651635605369865,0.2361108335111448
crisp,12,21,33,1.1941034609991243,3.299784299745103,0.13095220347782782
find,9,13,22,1.3853546775885457,3.194793828094516,0.18803395347178695
taylor,7,9,16,1.501247728291637,2.978947903354333,0.25396794801879063
cousins,5,4,9,1.9752570829534353,2.9445411690274774,0.44999946144031594
textbook,5,5,10,1.75204525214403,2.7702283975020157,0.39999953295635127
brady,5,5,10,1.75204525214403,2.7702283975020157,0.39999953295635127
both,10,20,30,1.0598484831670598,2.7365190135297404,0.14999978107337913
speed,10,138,148,-0.8797953278222428,-2.686532479485647,0.10724550825027471
awareness,11,24,35,0.9729588552340855,2.672161798850728,0.13257555323253953
hogan,4,3,7,2.039468886306623,2.670293209315803,0.5833326238486749
solid,32,109,141,0.5300101789089577,2.6361089838278113,0.040424224611153796
turns,11,25,36,0.9320682881930091,2.576102698994071,0.1309088835881473
defense,6,9,15,1.346701748401145,2.5551885283690745,0.27777742641397163
gaining,6,9,15,1.346701748401145,2.5551885283690745,0.27777742641397163
spots,16,44,60,0.7421262066997851,2.5420779711783434,0.08522711780509529
might,7,13,20,1.133249130448716,2.417304700360134,0.21977991240344735
spectacular,6,95,101,-1.0158557470396063,-2.4132971391155444,0.17719133804075515
rodgers,6,10,16,1.2412728032588198,2.4037160379680755,0.2666663137893224
additional,6,10,16,1.2412728032588198,2.4037160379680755,0.2666663137893224
aaron,3,2,5,2.1569252874747447,2.3627947639679485,0.8333322792419149
miller,3,2,5,2.1569252874747447,2.3627947639679485,0.8333322792419149
nelson,3,2,5,2.1569252874747447,2.3627947639679485,0.8333322792419149
example,3,2,5,2.1569252874747447,2.3627947639679485,0.8333322792419149
feet,10,24,34,0.8772527104567898,2.330726092585338,0.14166643371258056
make,10,123,133,-0.763689789005153,-2.322444202333667,0.10812929971360352
even,11,128,139,-0.7081753683410632,-2.2539082356005458,0.09872091530880053
scott,3,3,6,1.751392133057779,2.145009785024952,0.6666658882605854
watson,3,3,6,1.751392133057779,2.145009785024952,0.6666658882605854
room,3,3,6,1.751392133057779,2.145009785024952,0.6666658882605854
changing,6,12,18,1.0588143539302113,2.1176302532131053,0.24999963512229853
top,5,9,14,1.1639850979348791,2.0868438697332947,0.3111106832761915
getting,5,9,14,1.1639850979348791,2.0868438697332947,0.3111106832761915
athleticism,3,59,62,-1.23136692340315,-2.080562524223141,0.3502784537566472
upfield,16,51,67,0.594009278695169,2.07300977899834,0.08210767530643362
pushed,9,23,32,0.8141245865976163,2.070624878771055,0.1545891060268246
quick,19,64,83,0.539099557332718,2.0634653529181883,0.0682564328909917
hands,35,138,173,0.3829120767128238,2.0232526115490517,0.03581771763224829
deep,5,73,78,-0.9336397194175623,-2.019669513088563,0.2136968001361289
tua,3,4,7,1.4636418636489728,1.9163582026740362,0.5833326238486749
past,1,39,40,-1.9154066493305244,-1.8913340699125571,1.02561765862345
yardage,11,33,44,0.6538877784148509,1.8781514809095516,0.12121188533172923
middle,4,8,12,1.0582981150224384,1.728194846196143,0.3749994526834478
consistently,2,40,42,-1.2472623805976362,-1.7213956992561619,0.5249938547952265
few,3,5,8,1.2404300522995069,1.6985299254536215,0.5333326275786447
austin,3,5,8,1.2404300522995069,1.6985299254536215,0.5333326275786447
inbounds,3,5,8,1.2404300522995069,1.6985299254536215,0.5333326275786447
displaying,3,5,8,1.2404300522995069,1.6985299254536215,0.5333326275786447
short,8,23,31,0.6959459597119473,1.6955241932187808,0.16847794387791812
little,5,12,17,0.8760977456272458,1.6459024222766965,0.2833328674251611
secure,1,30,31,-1.652429492512831,-1.625573180395896,1.033315215589509
coverage,15,54,69,0.4717093973735951,1.616192116375451,0.08518499233774697
tackle,7,20,27,0.7019867177642025,1.5984955709749162,0.19285678176244136
makes,31,132,163,0.30481942647177807,1.5272749249517337,0.03983371760863029
footwork,9,29,38,0.581911548815536,1.5250563103261585,0.14559356946972132
impressive,15,130,145,-0.4120786040946989,-1.5111740373038862,0.07435859312207574
showing,7,21,28,0.6531280292667603,1.4965057724168584,0.19047581980700307
aspect,3,6,9,1.0580402015816395,1.4962958945431297,0.49999927024459706
across,3,6,9,1.0580402015816395,1.4962958945431297,0.49999927024459706
moore,3,6,9,1.0580402015816395,1.4962958945431297,0.49999927024459706
highlights,6,17,23,0.7101652859156191,1.4955330369992073,0.2254897766306111
launches,6,65,71,-0.6343020979317036,-1.4866223646848153,0.18205012085487798
streaking,1,26,27,-1.5090563758847857,-1.4808584827108464,1.0384457526507984
tom,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
slight,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
fine,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
titans,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
justin,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
opportunity,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
steps,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
third,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
between,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
allen,2,3,5,1.3455326460839618,1.4739580964518453,0.8333322792419149
route,60,282,342,0.20729478617379637,1.4580624584667767,0.020212707985428985
sprints,1,25,26,-1.4697676064166822,-1.4412362468315263,1.0399847970078064
showed,4,10,14,0.8350177872803064,1.4114388661939952,0.3499994074387894
expertly,4,10,14,0.8350177872803064,1.4114388661939952,0.3499994074387894
under,3,40,43,-0.841406313706706,-1.405606838993181,0.3583305283752031
air,2,32,34,-1.0235716476280814,-1.4043352993189995,0.5312450183205409
target,14,53,67,0.4210808031561788,1.4012980166431634,0.0902962824664964
looking,1,24,25,-1.4288775603680897,-1.4000181961006166,1.041652046409863
leaping,4,47,51,-0.7150793792192998,-1.3729337823405166,0.27127472140080255
high,3,39,42,-0.8160199944101123,-1.361980041857069,0.35897161845131625
still,2,31,33,-0.9917545730998221,-1.3593930952204074,0.5322532281218626
dangerous,1,23,24,-1.3862498992165557,-1.3570715501467923,1.0434642232536357
being,17,68,85,0.36617977302135696,1.350405953984003,0.07352922932607663
breaking,14,54,68,0.4023199415126344,1.3414624569190021,0.08994687378888427
control,1,22,23,-1.341730094719475,-1.3122463641509792,1.045441090371468
secures,3,7,10,0.9038212064512665,1.3097624173265727,0.4761897083754191
time,3,7,10,0.9038212064512665,1.3097624173265727,0.4761897083754191
fumbles,3,7,10,0.9038212064512665,1.3097624173265727,0.4761897083754191
after,25,108,133,0.28964362910754904,1.3050303714565075,0.04925912836899294
dynamic,4,11,15,0.7396392042489222,1.2667794983971483,0.34090847122038115
opportunities,1,21,22,-1.2951420419779147,-1.2653724554872199,1.0476061749446166
body,2,29,31,-0.9249264605624603,-1.2651505272892611,0.5344782126514398
scanning,27,119,146,0.269649945894038,1.2649689337958645,0.045440275441697944
burst,5,15,20,0.6527488396973684,1.2640439226257607,0.2666661477298043
darts,2,4,6,1.0577824253253514,1.2214228273515264,0.7499989053668956
bears,2,4,6,1.0577824253253514,1.2214228273515264,0.7499989053668956
tagovailoa,2,4,6,1.0577824253253514,1.2214228273515264,0.7499989053668956
future,2,4,6,1.0577824253253514,1.2214228273515264,0.7499989053668956
created,2,4,6,1.0577824253253514,1.2214228273515264,0.7499989053668956
trademark,2,4,6,1.0577824253253514,1.2214228273515264,0.7499989053668956
romo,2,4,6,1.0577824253253514,1.2214228273515264,0.7499989053668956
technique,2,4,6,1.0577824253253514,1.2214228273515264,0.7499989053668956
changer,1,20,21,-1.2462838455372323,-1.2162556140235792,1.049987709590453
elite,1,20,21,-1.2462838455372323,-1.2162556140235792,1.049987709590453
like,1,20,21,-1.2462838455372323,-1.2162556140235792,1.049987709590453
snag,1,20,21,-1.2462838455372323,-1.2162556140235792,1.049987709590453
improve,9,33,42,0.4524254310348157,1.203098229525118,0.1414138161852487
turn,12,47,59,0.3866940379038182,1.195588010353031,0.10460967428792448
create,21,159,180,-0.27659996886547944,-1.1913107492169164,0.05390811335181259
hauls,6,20,26,0.5474408550966761,1.1760928643124853,0.21666620708330173
today,1,19,20,-1.194922523733152,-1.1646728869668128,1.052619870635086
leaps,4,42,46,-0.6022584782226499,-1.1509593640615101,0.2738078301567835
spot,3,8,11,0.7702214833988315,1.1376935394334604,0.45833251945367426
keep,3,8,11,0.7702214833988315,1.1376935394334604,0.45833251945367426
hitting,3,8,11,0.7702214833988315,1.1376935394334604,0.45833251945367426
picking,3,8,11,0.7702214833988315,1.1376935394334604,0.45833251945367426
space,4,12,16,0.6525594157917469,1.1302671628667333,0.33333268466225535
excellent,7,25,32,0.4785004899322436,1.1189918159714354,0.18285673170678773
showcased,12,97,109,-0.3413098729480488,-1.1153550365651228,0.09364216301488047
dart,2,26,28,-0.8155220976418898,-1.111373525955975,0.5384574276769744
inches,1,18,19,-1.14078727992481,-1.1103666546419702,1.055544429143513
left,1,18,19,-1.14078727992481,-1.1103666546419702,1.055544429143513
precision,11,90,101,-0.3533334167346496,-1.1062229804670973,0.10201970743476384
first,6,21,27,0.49858217910919933,1.0770617967668143,0.2142852406897814
