word,count_a,count_b,total_count,log_odds,z_score,variance
carr,4,3,7,3.030069739956142,3.967293879185878,0.5833329440834851
smith,5,10,15,2.049531940902126,3.7419177526878604,0.2999997597772809
really,6,17,23,1.701516570855162,3.583212566031386,0.22548996595356507
sanford,3,2,5,3.1473575574730352,3.447758657857234,0.8333327550192953
nfl,6,20,26,1.5388954630825014,3.306079715833138,0.2166664145218946
lack,5,17,22,1.5186654157129373,2.985110982950888,0.25882322316811596
turning,5,17,22,1.5186654157129373,2.985110982950888,0.25882322316811596
trajectory,4,12,16,1.6434694688578393,2.846574140331651,0.3333329774479413
defensive,13,89,102,0.8205418306084589,2.7635530501908994,0.08815883453973321
chris,3,8,11,1.7608595807658363,2.600963241397316,0.45833288680833056
valiant,3,8,11,1.7608595807658363,2.600963241397316,0.45833288680833056
committed,2,3,5,2.3358648172741168,2.558812591285933,0.8333327550192953
fundamentals,2,3,5,2.3358648172741168,2.558812591285933,0.8333327550192953
valuable,4,15,19,1.420223841196858,2.5238056189694977,0.3166662592669666
sprints,3,9,12,1.6430425583973092,2.4645651532504185,0.4444439699305884
wait,7,40,47,0.999747207455453,2.440173441565092,0.16785682622519654
tightly,2,4,6,2.0481488573455424,2.3649995351356345,0.7499993994432022
situational,2,4,6,2.0481488573455424,2.3649995351356345,0.7499993994432022
eric,2,4,6,2.0481488573455424,2.3649995351356345,0.7499993994432022
reaction,6,33,39,1.037677245914228,2.33809945393359,0.19696933851105164
past,8,52,60,0.8710351486797245,2.2935445654784004,0.14423046184564742
yardage,4,18,22,1.237800190464136,2.2392664919322587,0.3055550933990629
leap,6,35,41,0.978768582958871,2.215124585570833,0.19523771973578224
breakup,3,11,14,1.4423038787413,2.214369023531061,0.4242418889438551
timing,6,230,236,-0.9106313114390012,-2.2020581781837336,0.17101239162482734
us,2,5,7,1.824971396038448,2.1812590368055726,0.6999993497972798
edge,2,5,7,1.824971396038448,2.1812590368055726,0.6999993497972798
eagles,2,5,7,1.824971396038448,2.1812590368055726,0.6999993497972798
nelson,2,5,7,1.824971396038448,2.1812590368055726,0.6999993497972798
